date,location,variant,median_freq,freq_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50
2022-01-26,Austria,Delta,0.0077782758,0.015790312,0.0036767207,0.0123677915,0.0046663187,0.009895611,0.005958102
2022-01-27,Austria,Delta,0.0067721885,0.014046591,0.0031072856,0.01093016,0.00397925,0.008716915,0.005125108
2022-01-28,Austria,Delta,0.0058454215,0.012629356,0.0026194341,0.009695631,0.0033803117,0.007665218,0.0043664593
2022-01-29,Austria,Delta,0.0050646337,0.011435298,0.0022051171,0.008616313,0.0028574388,0.0067527993,0.0037420294
2022-01-30,Austria,Delta,0.0044060685,0.010398309,0.0018512906,0.0076004807,0.0024201912,0.00591255,0.0032100123
2022-01-31,Austria,Delta,0.0038237593,0.009287705,0.0015363031,0.0066782515,0.0020344886,0.0051972903,0.0027363321
2022-02-01,Austria,Delta,0.0033194586,0.008295227,0.001290337,0.0059193373,0.0016995651,0.0045360117,0.0023312978
2022-02-02,Austria,Delta,0.0028706114,0.0074734883,0.0010626297,0.0052376627,0.0014495886,0.0039323745,0.0019949041
2022-02-03,Austria,Delta,0.0024922928,0.0067883893,0.00087219494,0.0046355827,0.0012258281,0.0034560214,0.0017088325
2022-02-04,Austria,Delta,0.0021566073,0.0061138254,0.0007198673,0.004135417,0.0010357158,0.0030111852,0.0014610598
2022-02-05,Austria,Delta,0.0018571955,0.0054539717,0.00059907924,0.0036472739,0.0008624346,0.002620088,0.0012422816
2022-02-06,Austria,Delta,0.0015863879,0.0048949644,0.00049144175,0.0032344263,0.0007223337,0.0022959595,0.0010523791
2022-02-07,Austria,Delta,0.001359577,0.0044327616,0.00040798844,0.002862559,0.00061394024,0.002010291,0.0008934678
2022-02-08,Austria,Delta,0.001162275,0.004039839,0.00033996717,0.0025336617,0.000508294,0.0017554142,0.0007551594
2022-02-09,Austria,Delta,0.0009970657,0.0036445516,0.0002735207,0.0022394508,0.0004291183,0.0015121598,0.00063812116
2022-02-10,Austria,Delta,0.00085614424,0.003275875,0.00022316228,0.001981494,0.00035530553,0.0013096795,0.0005352281
2022-02-11,Austria,Delta,0.0007325094,0.0029544143,0.00018297473,0.0017535944,0.00029255345,0.0011359111,0.0004543958
2022-02-12,Austria,Delta,0.0006274208,0.0026867813,0.00014879172,0.0015614261,0.00024131587,0.0009888966,0.0003842328
2022-02-13,Austria,Delta,0.00054016546,0.0024211553,0.0001212348,0.0013928388,0.00019865272,0.000862112,0.00032158033
2022-02-14,Austria,Delta,0.00046238018,0.0022234598,9.9546494e-05,0.0012176085,0.00016219611,0.0007531203,0.00026881124
2022-02-15,Austria,Delta,0.00039790492,0.0020301929,8.0843165e-05,0.0010614729,0.00013272463,0.0006561117,0.000224766
2022-02-16,Austria,Delta,0.00033826122,0.0018451798,6.5515465e-05,0.0009365711,0.00010925493,0.0005690091,0.00018654761
2022-02-17,Austria,Delta,0.00028890662,0.0016690011,5.3619267e-05,0.0008352391,8.8845874e-05,0.0004977709,0.00015505796
2022-02-18,Austria,Delta,0.0002456067,0.0015059945,4.3668504e-05,0.0007325875,7.171096e-05,0.00043363785,0.00012772802
2022-02-19,Austria,Delta,0.00020940515,0.0013553605,3.4331508e-05,0.00064775033,5.8200614e-05,0.00037192722,0.00010742148
2022-02-20,Austria,Delta,0.00017619325,0.0012487659,2.7527403e-05,0.00056852854,4.7452253e-05,0.00032294428,8.871009e-05
2022-02-21,Austria,Delta,0.00014761531,0.0011120713,2.2014465e-05,0.000504291,3.8114173e-05,0.00028009675,7.397194e-05
2022-02-22,Austria,Delta,0.00012288988,0.0010210155,1.7559123e-05,0.00044042355,3.0668496e-05,0.00024141997,6.0015038e-05
2022-01-26,Austria,Omicron 21K,0.6167481,0.6699228,0.5595336,0.6515188,0.5822647,0.6341864,0.5980682
2022-01-27,Austria,Omicron 21K,0.5959653,0.652321,0.5369968,0.63111794,0.56019413,0.61424196,0.57646
2022-01-28,Austria,Omicron 21K,0.5745239,0.6325439,0.5160181,0.6110885,0.53898454,0.59363055,0.55416054
2022-01-29,Austria,Omicron 21K,0.5529231,0.611847,0.49355432,0.5896784,0.51599765,0.57255375,0.53288364
2022-01-30,Austria,Omicron 21K,0.53050613,0.59101415,0.46968144,0.5686915,0.49334922,0.55087405,0.51002073
2022-01-31,Austria,Omicron 21K,0.508134,0.570447,0.44667584,0.5477826,0.46940598,0.5293822,0.48688433
2022-02-01,Austria,Omicron 21K,0.48521557,0.54874223,0.42185345,0.5264862,0.44582665,0.507504,0.4631208
