date,location,variant,median_freq,freq_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50
2022-04-30,Belgium,Delta,3.0719133e-05,0.00049592176,1.7723614e-06,0.00018134556,4.9266705e-06,8.2071136e-05,1.1189056e-05
2022-05-01,Belgium,Delta,2.8589086e-05,0.0004919243,1.560836e-06,0.00017741973,4.470396e-06,7.797171e-05,1.017304e-05
2022-05-02,Belgium,Delta,2.6669466e-05,0.00049046474,1.3754914e-06,0.00016847617,4.016027e-06,7.3455696e-05,9.3710705e-06
2022-05-03,Belgium,Delta,2.5162306e-05,0.000491434,1.2191225e-06,0.00016053328,3.5929577e-06,6.9629925e-05,8.569713e-06
2022-05-04,Belgium,Delta,2.3573137e-05,0.0004915917,1.1437181e-06,0.00015411932,3.2264088e-06,6.583586e-05,7.772875e-06
2022-05-05,Belgium,Delta,2.2100414e-05,0.0004866052,1.0730392e-06,0.0001507932,2.9230566e-06,6.249779e-05,7.109563e-06
2022-05-06,Belgium,Delta,2.063928e-05,0.00045772982,9.703265e-07,0.00014877696,2.5714064e-06,5.8698886e-05,6.494309e-06
2022-05-07,Belgium,Delta,1.9320589e-05,0.00043032982,8.424353e-07,0.00014443543,2.2954935e-06,5.568572e-05,5.9408685e-06
2022-05-08,Belgium,Delta,1.7878228e-05,0.00042609894,7.4669856e-07,0.0001392847,2.083451e-06,5.2700925e-05,5.4713278e-06
2022-05-09,Belgium,Delta,1.6622442e-05,0.00042600627,6.2775194e-07,0.00013543924,1.8465095e-06,4.9288123e-05,5.009402e-06
2022-05-10,Belgium,Delta,1.5225927e-05,0.00042586165,5.336041e-07,0.00013229951,1.6388346e-06,4.7267837e-05,4.5820616e-06
2022-05-11,Belgium,Delta,1.423359e-05,0.00042850545,4.6291095e-07,0.0001290848,1.4820848e-06,4.490266e-05,4.194093e-06
2022-05-12,Belgium,Delta,1.3336097e-05,0.0004303916,4.1236416e-07,0.00012595125,1.3294792e-06,4.341481e-05,3.7767477e-06
2022-05-13,Belgium,Delta,1.2483731e-05,0.00041740353,3.4059758e-07,0.00012286268,1.1777636e-06,4.088988e-05,3.4936752e-06
2022-05-14,Belgium,Delta,1.1602211e-05,0.00038812793,3.0090078e-07,0.000118956246,1.0340589e-06,3.839697e-05,3.2079686e-06
2022-05-15,Belgium,Delta,1.0602015e-05,0.00038250323,2.666179e-07,0.00011589972,9.131541e-07,3.683335e-05,2.921521e-06
2022-05-16,Belgium,Delta,1.0002488e-05,0.0003790475,2.3660233e-07,0.00011013554,8.134905e-07,3.5439647e-05,2.6462542e-06
2022-05-17,Belgium,Delta,9.091802e-06,0.0003754091,2.1024844e-07,0.00010648332,7.1456003e-07,3.403776e-05,2.4645988e-06
2022-05-18,Belgium,Delta,8.382276e-06,0.0003715543,1.871226e-07,0.000102354534,6.426813e-07,3.276983e-05,2.2410898e-06
2022-05-19,Belgium,Delta,7.6243587e-06,0.0003578329,1.6586252e-07,0.000101148325,5.5993667e-07,3.146702e-05,2.037734e-06
2022-05-20,Belgium,Delta,6.914866e-06,0.0003617011,1.4090372e-07,9.5674295e-05,4.918046e-07,2.9655588e-05,1.8472069e-06
2022-05-21,Belgium,Delta,6.3585467e-06,0.0003275058,1.1895239e-07,9.278718e-05,4.5034307e-07,2.7508257e-05,1.671506e-06
2022-05-22,Belgium,Delta,5.8538785e-06,0.00031453732,1.0196151e-07,8.8866866e-05,3.9862883e-07,2.6079902e-05,1.5206394e-06
2022-05-23,Belgium,Delta,5.328937e-06,0.0003117212,8.8886374e-08,8.473505e-05,3.518172e-07,2.4690962e-05,1.376998e-06
2022-05-24,Belgium,Delta,4.6673986e-06,0.00032260432,7.49404e-08,8.0915524e-05,3.0431787e-07,2.3399989e-05,1.229848e-06
2022-05-25,Belgium,Delta,4.253314e-06,0.0003374198,6.393004e-08,7.7725905e-05,2.5718037e-07,2.1718364e-05,1.0957456e-06
2022-05-26,Belgium,Delta,3.9146353e-06,0.00033457638,5.4493402e-08,7.393163e-05,2.3044204e-07,2.017288e-05,9.806139e-07
2022-05-27,Belgium,Delta,3.5504986e-06,0.00032996194,4.7463207e-08,6.977834e-05,1.9819464e-07,1.8547824e-05,8.564507e-07
2022-04-30,Belgium,Omicron 21K,0.004480207,0.00700518,0.0028333229,0.0059827752,0.0033275492,0.005252905,0.0038635535
2022-05-01,Belgium,Omicron 21K,0.004133391,0.0065570655,0.002589587,0.0055766585,0.0030640732,0.0048621166,0.0035531018
2022-05-02,Belgium,Omicron 21K,0.0038183732,0.0060547856,0.002367154,0.005186449,0.0028046314,0.004512155,0.0032536974
2022-05-03,Belgium,Omicron 21K,0.0035371154,0.0056241765,0.0021512804,0.0048425132,0.0025579375,0.004172922,0.002996163
2022-05-04,Belgium,Omicron 21K,0.003268158,0.0052157925,0.001973835,0.0045196414,0.0023339605,0.0038670292,0.002751939
2022-05-05,Belgium,Omicron 21K,0.0030092401,0.0048692417,0.0017930791,0.004197406,0.0021298663,0.0035935633,0.002526952
2022-05-06,Belgium,Omicron 21K,0.002785786,0.004559009,0.0016365807,0.0038890338,0.0019425314,0.0033357423,0.002312353
2022-05-07,Belgium,Omicron 21K,0.0025743989,0.004271804,0.0015000795,0.0036290209,0.0017819589,0.0031019875,0.0021165477
2022-05-08,Belgium,Omicron 21K,0.0023655468,0.0039785,0.0013750818,0.0033748094,0.0016254819,0.002873142,0.0019441328
2022-05-09,Belgium,Omicron 21K,0.002185613,0.0037101854,0.0012462155,0.003137383,0.0014839687,0.0026631553,0.0017796587
2022-05-10,Belgium,Omicron 21K,0.0020068316,0.003483104,0.0011377205,0.0029213324,0.0013439688,0.0024532736,0.0016239538
2022-05-11,Belgium,Omicron 21K,0.0018449946,0.0032702452,0.0010352087,0.002731685,0.0012279011,0.002261367,0.0014883457
2022-05-12,Belgium,Omicron 21K,0.0016953436,0.0030698578,0.0009400684,0.0025388382,0.0011236501,0.0020914604,0.0013628418
2022-05-13,Belgium,Omicron 21K,0.00156022,0.002908077,0.0008540586,0.0023606329,0.0010240156,0.0019337855,0.0012431832
2022-05-14,Belgium,Omicron 21K,0.0014314501,0.0027508957,0.0007763902,0.0021903617,0.00093118555,0.0017876383,0.0011361149
2022-05-15,Belgium,Omicron 21K,0.0013098253,0.0025806588,0.0006961339,0.002041466,0.0008453308,0.0016581387,0.0010378703
2022-05-16,Belgium,Omicron 21K,0.001200952,0.0023858892,0.0006318812,0.0018909387,0.0007676569,0.0015325495,0.00094590953
2022-05-17,Belgium,Omicron 21K,0.0011031459,0.0022513033,0.0005756655,0.0017595765,0.0006969825,0.0014132361,0.0008593135
2022-05-18,Belgium,Omicron 21K,0.0010110852,0.002117093,0.00051315525,0.0016358696,0.0006302811,0.0013058371,0.00078321213
2022-05-19,Belgium,Omicron 21K,0.000924809,0.0019700357,0.00046382198,0.00151748,0.00057006534,0.0012071698,0.0007143035
2022-05-20,Belgium,Omicron 21K,0.00084556,0.0018190632,0.00041436762,0.0014099823,0.0005133542,0.0011108613,0.0006517392
2022-05-21,Belgium,Omicron 21K,0.0007693409,0.0016791968,0.00036771022,0.0013096121,0.00046224252,0.0010216155,0.00058893475
2022-05-22,Belgium,Omicron 21K,0.0006992668,0.0015432106,0.0003255311,0.0012091624,0.00041623128,0.00094012055,0.0005325839
2022-05-23,Belgium,Omicron 21K,0.00063436653,0.0014353623,0.00028905226,0.0011139947,0.00037111685,0.00085999887,0.000480605
2022-05-24,Belgium,Omicron 21K,0.0005699424,0.001337248,0.00025490968,0.0010227821,0.0003302023,0.0007845913,0.00043015808
2022-05-25,Belgium,Omicron 21K,0.00050973473,0.0012417932,0.00022187589,0.0009438039,0.000291862,0.000714279,0.00038166554
2022-05-26,Belgium,Omicron 21K,0.00045663118,0.0011695599,0.00019284396,0.0008640239,0.0002544509,0.00064427545,0.0003376808
2022-05-27,Belgium,Omicron 21K,0.0004072155,0.0011037133,0.00016663097,0.0007844855,0.00022271082,0.0005799504,0.00029526075
2022-04-30,Belgium,Omicron 21L,0.9740459,0.97998506,0.9659441,0.9783003,0.9689873,0.97628415,0.9715912
2022-05-01,Belgium,Omicron 21L,0.9727968,0.97905284,0.9639545,0.97736883,0.9674125,0.9751084,0.9701282
2022-05-02,Belgium,Omicron 21L,0.9712625,0.97800404,0.961574,0.97615904,0.96539974,0.97383255,0.96834534
2022-05-03,Belgium,Omicron 21L,0.96956015,0.9767723,0.9590608,0.97483796,0.9630435,0.97233903,0.9663561
2022-05-04,Belgium,Omicron 21L,0.9675689,0.9753997,0.9558552,0.97321993,0.9602786,0.97067416,0.96404445
2022-05-05,Belgium,Omicron 21L,0.96526104,0.9740937,0.952225,0.971446,0.9571955,0.96857464,0.9614415
2022-05-06,Belgium,Omicron 21L,0.9625263,0.9724364,0.9485659,0.96943873,0.95350385,0.9663099,0.9584403
2022-05-07,Belgium,Omicron 21L,0.9593631,0.9707045,0.94325733,0.967209,0.9495513,0.9635928,0.9548098
2022-05-08,Belgium,Omicron 21L,0.9559604,0.96847737,0.9383158,0.96462435,0.94481564,0.9605964,0.95094717
2022-05-09,Belgium,Omicron 21L,0.951917,0.96613973,0.9316383,0.96154463,0.93968755,0.957233,0.9463078
2022-05-10,Belgium,Omicron 21L,0.94755864,0.9632589,0.923896,0.9583118,0.93352896,0.953572,0.9409753
2022-05-11,Belgium,Omicron 21L,0.9424926,0.95993376,0.91494834,0.95471185,0.92640346,0.9493241,0.93481696
