	date	location	cases
0	2021-10-15	Australia	2311
1	2021-10-16	Australia	2173
2	2021-10-17	Australia	2059
3	2021-10-18	Australia	2038
4	2021-10-19	Australia	2097
5	2021-10-20	Australia	2544
6	2021-10-21	Australia	2547
7	2021-10-22	Australia	1883
8	2021-10-23	Australia	2174
9	2021-10-24	Australia	1684
10	2021-10-25	Australia	1786
11	2021-10-26	Australia	1850
12	2021-10-27	Australia	2038
13	2021-10-28	Australia	1886
14	2021-10-29	Australia	1589
15	2021-10-30	Australia	1185
16	2021-10-31	Australia	1466
17	2021-11-01	Australia	1135
18	2021-11-02	Australia	1111
19	2021-11-03	Australia	1537
20	2021-11-04	Australia	1580
21	2021-11-05	Australia	1534
22	2021-11-06	Australia	1387
23	2021-11-07	Australia	1264
24	2021-11-08	Australia	1292
25	2021-11-09	Australia	1201
26	2021-11-10	Australia	1556
27	2021-11-11	Australia	1414
28	2021-11-12	Australia	1452
29	2021-11-13	Australia	1115
30	2021-11-14	Australia	995
31	2021-11-15	Australia	1014
32	2021-11-16	Australia	1228
33	2021-11-17	Australia	1267
34	2021-11-18	Australia	1505
35	2021-11-19	Australia	1360
36	2021-11-20	Australia	1465
37	2021-11-21	Australia	1207
38	2021-11-22	Australia	1002
39	2021-11-23	Australia	1464
40	2021-11-24	Australia	1527
41	2021-11-25	Australia	1627
42	2021-11-26	Australia	1480
43	2021-11-27	Australia	1235
44	2021-11-28	Australia	1155
45	2021-11-29	Australia	1099
46	2021-11-30	Australia	1417
47	2021-12-01	Australia	1702
48	2021-12-02	Australia	1522
49	2021-12-03	Australia	1708
50	2021-12-04	Australia	1249
51	2021-12-05	Australia	1285
52	2021-12-06	Australia	1434
53	2021-12-07	Australia	1705
54	2021-12-08	Australia	1654
55	2021-12-09	Australia	1711
56	2021-12-10	Australia	1757
57	2021-12-11	Australia	1543
58	2021-12-12	Australia	1843
59	2021-12-13	Australia	1970
60	2021-12-14	Australia	2809
61	2021-12-15	Australia	3423
62	2021-12-16	Australia	3802
63	2021-12-17	Australia	4017
64	2021-12-18	Australia	3862
65	2021-12-19	Australia	4031
66	2021-12-20	Australia	4492
67	2021-12-21	Australia	5531
68	2021-12-22	Australia	8357
69	2021-12-23	Australia	8218
70	2021-12-24	Australia	9855
71	2021-12-25	Australia	9459
72	2021-12-26	Australia	9884
73	2021-12-27	Australia	11797
74	2021-12-28	Australia	17678
75	2021-12-29	Australia	21369
76	2021-12-30	Australia	33811
77	2021-12-31	Australia	30363
78	2022-01-01	Australia	37459
79	2022-01-02	Australia	29608
80	2022-01-03	Australia	44745
81	2022-01-04	Australia	71495
82	2022-01-05	Australia	75426
83	2022-01-06	Australia	78229
84	2022-01-07	Australia	98092
85	2022-01-08	Australia	111907
86	2022-01-09	Australia	72834
87	2022-01-10	Australia	93806
88	2022-01-11	Australia	84408
89	2022-01-12	Australia	175271
90	2022-01-13	Australia	128185
91	2022-01-14	Australia	86288
92	2022-01-15	Australia	112867
93	2022-01-16	Australia	59891
94	2022-01-17	Australia	84355
95	2022-01-18	Australia	84615
96	2022-01-19	Australia	67604
97	2022-01-20	Australia	63941
98	2022-01-21	Australia	43166
99	2022-01-22	Australia	67182
100	2022-01-23	Australia	32234
101	2022-01-24	Australia	58022
102	2022-01-25	Australia	52920
103	2022-01-26	Australia	51016
104	2022-01-27	Australia	66223
105	2022-01-28	Australia	65980
106	2022-01-29	Australia	47258
107	2022-01-30	Australia	36719
108	2022-01-31	Australia	0
109	2022-02-01	Australia	40146
110	2022-02-02	Australia	24228
111	2022-02-03	Australia	32179
112	2022-02-04	Australia	27336
113	2022-02-05	Australia	22985
114	2022-02-06	Australia	25247
