date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-03-03	Australia	Delta	0.00024252597	0.0007345261	8.4295956e-05	0.00049692695	0.00012254396	0.00035580443	0.0001599493							
2022-03-04	Australia	Delta	0.00021407986	0.00066880276	7.1987044e-05	0.0004458592	0.00010551601	0.00031668827	0.00013845983							
2022-03-05	Australia	Delta	0.00018843458	0.00060759916	6.134626e-05	0.0003991232	9.0801885e-05	0.0002816018	0.00012020891							
2022-03-06	Australia	Delta	0.00016476952	0.0005507792	5.2172247e-05	0.0003564806	7.8087796e-05	0.000249884	0.00010414893							
2022-03-07	Australia	Delta	0.00014424504	0.000498245	4.44759e-05	0.00031764744	6.712293e-05	0.000222111	8.998073e-05							
2022-03-08	Australia	Delta	0.0001258843	0.0004469331	3.800378e-05	0.00028116236	5.7632562e-05	0.00019619451	7.7287004e-05							
2022-03-09	Australia	Delta	0.00010934022	0.0003994669	3.24166e-05	0.00025028415	4.960787e-05	0.0001731116	6.683596e-05							
2022-03-10	Australia	Delta	9.537479e-05	0.0003563416	2.7589194e-05	0.00022207153	4.236785e-05	0.0001524371	5.764133e-05							
2022-03-11	Australia	Delta	8.314404e-05	0.0003172782	2.338575e-05	0.00019621466	3.5939283e-05	0.00013323365	4.9319446e-05							
2022-03-12	Australia	Delta	7.218195e-05	0.00028200014	1.9789797e-05	0.000173007	3.0427565e-05	0.00011633408	4.210637e-05							
2022-03-13	Australia	Delta	6.230103e-05	0.000250233	1.6626302e-05	0.00015226385	2.5764402e-05	0.00010122382	3.6056415e-05							
2022-03-14	Australia	Delta	5.369579e-05	0.00022170664	1.3880157e-05	0.00013386752	2.2024862e-05	8.8032655e-05	3.082054e-05							
2022-03-15	Australia	Delta	4.6287612e-05	0.00019615889	1.1571703e-05	0.00011752609	1.8805162e-05	7.631155e-05	2.6259022e-05							
2022-03-16	Australia	Delta	4.0103085e-05	0.00017333755	9.637037e-06	0.00010323347	1.6038583e-05	6.620388e-05	2.2386173e-05							
2022-03-17	Australia	Delta	3.4581768e-05	0.00015300207	8.018251e-06	9.076559e-05	1.3481939e-05	5.761129e-05	1.9059422e-05							
2022-03-18	Australia	Delta	2.973451e-05	0.00013530382	6.6657667e-06	7.9516285e-05	1.1279048e-05	5.0138293e-05	1.6111162e-05							
2022-03-19	Australia	Delta	2.55185e-05	0.00011998661	5.537133e-06	6.97762e-05	9.426657e-06	4.3438133e-05	1.3691167e-05							
2022-03-20	Australia	Delta	2.1865402e-05	0.00010630919	4.5965544e-06	6.120754e-05	7.930395e-06	3.7822625e-05	1.1606798e-05							
2022-03-21	Australia	Delta	1.8721856e-05	9.4122224e-05	3.8136518e-06	5.366129e-05	6.6837765e-06	3.2984743e-05	9.839891e-06							
2022-03-22	Australia	Delta	1.5948819e-05	8.328301e-05	3.1625818e-06	4.702614e-05	5.631109e-06	2.855295e-05	8.360848e-06							
2022-03-23	Australia	Delta	1.3598061e-05	7.3659096e-05	2.6216085e-06	4.1178722e-05	4.7411518e-06	2.468819e-05	7.1030495e-06							
2022-03-24	Australia	Delta	1.1680085e-05	6.5127504e-05	2.1724986e-06	3.611682e-05	3.991134e-06	2.1359552e-05	6.0231537e-06							
2022-03-25	Australia	Delta	1.0065807e-05	5.7573936e-05	1.7999461e-06	3.1630683e-05	3.3550687e-06	1.8492887e-05	5.1037086e-06							
2022-03-26	Australia	Delta	8.630487e-06	5.1028394e-05	1.4911054e-06	2.7706745e-05	2.8213694e-06	1.602337e-05	4.322923e-06							
2022-03-27	Australia	Delta	7.399661e-06	4.531954e-05	1.2352214e-06	2.4334724e-05	2.3779771e-06	1.389542e-05	3.660219e-06							
2022-03-28	Australia	Delta	6.3465777e-06	4.026643e-05	1.0298261e-06	2.1379226e-05	2.0048253e-06	1.20520945e-05	3.099401e-06							
2022-03-29	Australia	Delta	5.4265815e-06	3.5794e-05	8.5966684e-07	1.8782095e-05	1.689793e-06	1.0456314e-05	2.6250282e-06							
2022-03-30	Australia	Delta	4.653299e-06	3.1839285e-05	7.1798127e-07	1.6501566e-05	1.4247918e-06	9.06463e-06	2.2245367e-06							
2022-03-31	Australia	Delta	3.992539e-06	2.8349701e-05	5.999583e-07	1.4499717e-05	1.1990251e-06	7.873219e-06	1.8922989e-06							
2022-04-01	Australia	Delta	3.4285079e-06	2.5256482e-05	5.016015e-07	1.2745211e-05	1.0074662e-06	6.852478e-06	1.610792e-06							
2022-04-02	Australia	Delta	2.9467756e-06	2.25135e-05	4.196026e-07	1.1206827e-05	8.51665e-07	5.9682607e-06	1.3743772e-06							
2022-04-03	Australia	Delta	2.5380423e-06	2.0079118e-05	3.511916e-07	9.857026e-06	7.2097686e-07	5.1982165e-06	1.1741688e-06							
2022-04-04	Australia	Delta	2.18702e-06	1.79166e-05	2.9407224e-07	8.6718865e-06	6.066515e-07	4.529343e-06	1.0040328e-06							
2022-04-05	Australia	Delta	1.8854632e-06	1.599419e-05	2.4635443e-07	7.630889e-06	5.1326657e-07	3.948645e-06	8.577182e-07							
2022-04-06	Australia	Delta	1.6273159e-06	1.4283805e-05	2.06467e-07	6.716169e-06	4.3379424e-07	3.4439895e-06	7.323618e-07							
2022-04-07	Australia	Delta	1.4068573e-06	1.2751155e-05	1.7310214e-07	5.9042122e-06	3.6509485e-07	3.0049127e-06	6.249907e-07							
2022-04-08	Australia	Delta	1.2168492e-06	1.13296555e-05	1.4516363e-07	5.1897605e-06	3.0738218e-07	2.6301261e-06	5.3277455e-07							
2022-04-09	Australia	Delta	1.0529856e-06	1.0063395e-05	1.2145256e-07	4.563666e-06	2.5901485e-07	2.302648e-06	4.548679e-07							
2022-04-10	Australia	Delta	9.1157835e-07	8.937197e-06	1.0154399e-07	4.0141067e-06	2.183347e-07	2.008006e-06	3.8827412e-07							
2022-04-11	Australia	Delta	7.883692e-07	7.937848e-06	8.479033e-08	3.537738e-06	1.8411632e-07	1.7435265e-06	3.3137655e-07							
2022-04-12	Australia	Delta	6.8161876e-07	7.0505102e-06	7.079725e-08	3.121185e-06	1.5532899e-07	1.5188649e-06	2.8271768e-07							
2022-04-13	Australia	Delta	5.894895e-07	6.276381e-06	5.910472e-08	2.7520427e-06	1.3126464e-07	1.3219081e-06	2.4101598e-07							
2022-04-14	Australia	Delta	5.0936876e-07	5.5942355e-06	4.9330787e-08	2.4213905e-06	1.11002464e-07	1.1465993e-06	2.0556377e-07							
2022-04-15	Australia	Delta	4.3878305e-07	4.986868e-06	4.1158366e-08	2.1169897e-06	9.395968e-08	9.945933e-07	1.7532781e-07							
2022-04-16	Australia	Delta	3.7790684e-07	4.4457042e-06	3.4325332e-08	1.8494009e-06	7.951828e-08	8.630433e-07	1.498391e-07							
2022-04-17	Australia	Delta	3.2578902e-07	3.963312e-06	2.8614656e-08	1.6247941e-06	6.69564e-08	7.491343e-07	1.2809792e-07							
2022-04-18	Australia	Delta	2.805299e-07	3.5331677e-06	2.384493e-08	1.43654e-06	5.6598083e-08	6.4981725e-07	1.09102814e-07							
2022-04-19	Australia	Delta	2.4149605e-07	3.1494747e-06	1.9863386e-08	1.2611845e-06	4.790942e-08	5.636299e-07	9.257505e-08							
2022-04-20	Australia	Delta	2.0816131e-07	2.8070922e-06	1.6541563e-08	1.1067659e-06	4.056687e-08	4.902362e-07	7.865625e-08							
2022-04-21	Australia	Delta	1.794616e-07	2.5015001e-06	1.3761656e-08	9.711407e-07	3.434023e-08	4.269137e-07	6.709455e-08							
2022-04-22	Australia	Delta	1.5466104e-07	2.2287231e-06	1.1443062e-08	8.5200355e-07	2.8993112e-08	3.7143258e-07	5.713225e-08							
2022-04-23	Australia	Delta	1.3323599e-07	1.9853612e-06	9.518168e-09	7.499611e-07	2.4466607e-08	3.229833e-07	4.8532225e-08							
2022-04-24	Australia	Delta	1.14729005e-07	1.7645013e-06	7.920884e-09	6.620014e-07	2.0637e-08	2.8117805e-07	4.125352e-08							
2022-04-25	Australia	Delta	9.874233e-08	1.5653716e-06	6.5956396e-09	5.8463235e-07	1.7404702e-08	2.444905e-07	3.5131976e-08							
2022-04-26	Australia	Delta	8.5017895e-08	1.3888285e-06	5.4962177e-09	5.165369e-07	1.4673206e-08	2.1233717e-07	2.9882035e-08							
2022-04-27	Australia	Delta	7.329055e-08	1.232346e-06	4.583764e-09	4.5653454e-07	1.2366463e-08	1.8400743e-07	2.5414465e-08							
2022-04-28	Australia	Delta	6.3229756e-08	1.0938793e-06	3.8251944e-09	4.0328973e-07	1.0420992e-08	1.59732e-07	2.1605002e-08							
2022-04-29	Australia	Delta	5.4598466e-08	9.716296e-07	3.1904626e-09	3.5369666e-07	8.78289e-09	1.3905262e-07	1.8276184e-08							
2022-04-30	Australia	Delta	4.6830444e-08	8.6393686e-07	2.663132e-09	3.0937622e-07	7.3973854e-09	1.212156e-07	1.5528414e-08							
2022-05-01	Australia	Delta	4.0422478e-08	7.692556e-07	2.2211402e-09	2.7016165e-07	6.2402594e-09	1.0523041e-07	1.3237543e-08							
2022-03-03	Australia	Omicron 21K	0.52808666	0.5435388	0.51163316	0.5382622	0.5167585	0.53361475	0.5222881							
2022-03-04	Australia	Omicron 21K	0.5049013	0.52069473	0.4885477	0.51533425	0.49397406	0.51068527	0.49933696							
2022-03-05	Australia	Omicron 21K	0.48184648	0.49797124	0.46537486	0.49217892	0.47152063	0.48762137	0.4764349							
2022-03-06	Australia	Omicron 21K	0.45862606	0.4748952	0.44234315	0.4690829	0.4489019	0.46466047	0.45357913							
2022-03-07	Australia	Omicron 21K	0.43592018	0.45233107	0.41980162	0.44622192	0.426081	0.44164103	0.4306937							
2022-03-08	Australia	Omicron 21K	0.41348216	0.43007416	0.39773113	0.42377508	0.40391564	0.4189235	0.40825677							
2022-03-09	Australia	Omicron 21K	0.39127326	0.40777063	0.37554437	0.40163344	0.38182884	0.39653382	0.38604838							
2022-03-10	Australia	Omicron 21K	0.36966765	0.38601285	0.35357887	0.3799214	0.3601815	0.3747926	0.3644232							
2022-03-11	Australia	Omicron 21K	0.34854758	0.36481762	0.3323248	0.35868627	0.33895916	0.3534236	0.34330913							
2022-03-12	Australia	Omicron 21K	0.3280366	0.34414056	0.31190702	0.33796123	0.31831917	0.33288562	0.32287723							
2022-03-13	Australia	Omicron 21K	0.30798686	0.32405168	0.29255694	0.31794536	0.2983521	0.31265107	0.30289847							
2022-03-14	Australia	Omicron 21K	0.2885906	0.30454832	0.27378273	0.2984323	0.2791655	0.29321182	0.28374916							
2022-03-15	Australia	Omicron 21K	0.27004445	0.2857281	0.2555278	0.2795913	0.26089934	0.27462593	0.26539096							
2022-03-16	Australia	Omicron 21K	0.25226521	0.26760817	0.23787415	0.2616078	0.2432959	0.2569315	0.24793291							
