date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-10-03	Brazil	Delta	0.002445643	0.0070153484	0.0008941484	0.004754322	0.0012113621	0.0034566964	0.0016632797							
2022-10-04	Brazil	Delta	0.0023111342	0.006970195	0.00083097245	0.004564353	0.0011305625	0.003311382	0.0015681663							
2022-10-05	Brazil	Delta	0.0022073924	0.006971851	0.00076727197	0.0044004163	0.0010760496	0.0031946045	0.0014724953							
2022-10-06	Brazil	Delta	0.0020703021	0.006903699	0.00070981425	0.0042992635	0.0009947661	0.0030867464	0.0013630821							
2022-10-07	Brazil	Delta	0.0019463571	0.006706002	0.00065047614	0.0042204265	0.0009215786	0.002966668	0.0012799646							
2022-10-08	Brazil	Delta	0.0018362002	0.006603711	0.0005900612	0.0041026296	0.00085547724	0.0028413257	0.0011979901							
2022-10-09	Brazil	Delta	0.0017350526	0.0065315794	0.0005373999	0.003971255	0.0007918168	0.0027186507	0.0011379641							
2022-10-10	Brazil	Delta	0.0016715657	0.006458192	0.00048518047	0.0038430146	0.00073355576	0.0026094397	0.0010660557							
2022-10-11	Brazil	Delta	0.0015808928	0.006383108	0.00043733587	0.0037255709	0.00067705027	0.0025155717	0.0009897479							
2022-10-12	Brazil	Delta	0.001499807	0.0063011823	0.0003937307	0.0036238693	0.0006166394	0.0024186731	0.0009300889							
2022-10-13	Brazil	Delta	0.0014311107	0.006145259	0.00035648202	0.003468382	0.0005593665	0.0023190943	0.0008632632							
2022-10-14	Brazil	Delta	0.0013393494	0.006031259	0.0003235996	0.0033637863	0.0005103288	0.0022217846	0.00080122566							
2022-10-15	Brazil	Delta	0.001268849	0.005940832	0.00029310916	0.0032925177	0.0004650731	0.0021260995	0.0007517246							
2022-10-16	Brazil	Delta	0.001208837	0.0058486215	0.00026346184	0.003210981	0.00042277767	0.0020245158	0.00070587767							
2022-10-17	Brazil	Delta	0.0011373038	0.005690947	0.00023397416	0.0031341289	0.000385302	0.0019367196	0.00065368676							
2022-10-18	Brazil	Delta	0.0010673197	0.005530544	0.00020752456	0.0030069554	0.00035378351	0.0018384124	0.0006032505							
2022-10-19	Brazil	Delta	0.0010048731	0.0053681997	0.00018576282	0.0028964167	0.00032038294	0.0017495033	0.0005650528							
2022-10-20	Brazil	Delta	0.0009465524	0.0052043214	0.000168136	0.0027824705	0.00029113668	0.0016702462	0.0005159593							
2022-10-21	Brazil	Delta	0.000884637	0.005038797	0.00015194737	0.002661491	0.00026523703	0.0015736211	0.00047042518							
2022-10-22	Brazil	Delta	0.00082272396	0.0048715053	0.00013706053	0.002547103	0.00024142255	0.0014874246	0.0004359794							
2022-10-23	Brazil	Delta	0.00076880166	0.004702678	0.00012511532	0.002465597	0.00022124506	0.0014138551	0.0004047472							
2022-10-24	Brazil	Delta	0.0007167504	0.004569133	0.00011419704	0.0023646026	0.00020078111	0.0013436053	0.00037124107							
2022-10-25	Brazil	Delta	0.00066466874	0.004439717	0.00010408079	0.002268176	0.00018344322	0.0012781534	0.00034068816							
2022-10-26	Brazil	Delta	0.0006158403	0.0043069166	9.470011e-05	0.0021778755	0.00016816698	0.0012122174	0.00031039666							
2022-10-27	Brazil	Delta	0.0005678936	0.004170372	8.5991094e-05	0.0020809388	0.00015388189	0.0011491317	0.0002845931							
2022-10-28	Brazil	Delta	0.0005259187	0.0040305317	7.7924386e-05	0.0019974327	0.00013830424	0.0010708281	0.00026038312							
2022-10-29	Brazil	Delta	0.00048396562	0.0038878648	6.9952424e-05	0.0019005581	0.00012521973	0.0010113893	0.00023565892							
2022-10-30	Brazil	Delta	0.00044264624	0.003745169	6.2318824e-05	0.0017999737	0.000110969544	0.00095389993	0.00021110488							
2022-10-31	Brazil	Delta	0.00040358148	0.0036003399	5.4589807e-05	0.0017136742	9.809527e-05	0.0008973718	0.00018821377							
2022-11-01	Brazil	Delta	0.00036714473	0.0034535031	4.770857e-05	0.0016382744	8.6591506e-05	0.0008407752	0.00016966672							
2022-11-02	Brazil	Delta	0.00033459126	0.0033051562	4.1598374e-05	0.0015509136	7.695295e-05	0.0007900726	0.00015139465							
