date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-01-15,Japan,Delta,0.031003807,0.036810588,0.026569212,0.034629308,0.027998364,0.03281819,0.029263329,,,,,,,
2022-01-16,Japan,Delta,0.026293438,0.031475082,0.022365749,0.029481726,0.023671348,0.02798499,0.024807217,,,,,,,
2022-01-17,Japan,Delta,0.022366479,0.026978323,0.018830374,0.025178457,0.020063968,0.023850502,0.021078968,,,,,,,
2022-01-18,Japan,Delta,0.01912043,0.02319052,0.015962904,0.021592403,0.017050793,0.020384837,0.017905049,,,,,,,
2022-01-19,Japan,Delta,0.016353209,0.019979488,0.013552788,0.018571662,0.014478153,0.017471027,0.01525095,,,,,,,
2022-01-20,Japan,Delta,0.014016322,0.017251581,0.011502521,0.015941374,0.012368161,0.014983069,0.01302363,,,,,,,
2022-01-21,Japan,Delta,0.012037215,0.014967987,0.009827774,0.013762843,0.010570477,0.012919977,0.011150136,,,,,,,
2022-01-22,Japan,Delta,0.01034835,0.012963729,0.008401466,0.01186287,0.009029614,0.01112551,0.009545939,,,,,,,
2022-01-23,Japan,Delta,0.008909076,0.011269569,0.007196961,0.010289814,0.0077337893,0.009598321,0.008187602,,,,,,,
2022-01-24,Japan,Delta,0.0076888804,0.0097999945,0.006176469,0.008947977,0.0066433595,0.008336725,0.0070480746,,,,,,,
2022-01-25,Japan,Delta,0.0066452064,0.008535432,0.005312305,0.0077857724,0.0057293605,0.007223986,0.0060821776,,,,,,,
2022-01-26,Japan,Delta,0.0057564713,0.007450925,0.004572408,0.006773202,0.0049328185,0.006277425,0.0052639544,,,,,,,
2022-01-27,Japan,Delta,0.0049996227,0.006505727,0.003952069,0.0059262305,0.004266918,0.0054807607,0.0045658555,,,,,,,
2022-01-28,Japan,Delta,0.0043455195,0.0057038916,0.0034240396,0.00519456,0.0036812497,0.0047919974,0.0039681382,,,,,,,
2022-01-29,Japan,Delta,0.0037991446,0.0050035086,0.0029705414,0.0045568845,0.0032004456,0.004180027,0.0034492526,,,,,,,
2022-01-30,Japan,Delta,0.003327452,0.004395796,0.002565899,0.003999364,0.0027837935,0.0036590486,0.0029981786,,,,,,,
