date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2021-11-03,Trinidad and Tobago,Delta,0.9236685,0.942796,0.8956604,0.936475,0.90747267,0.93049145,0.9151131,,,,,,,
2021-11-04,Trinidad and Tobago,Delta,0.9286655,0.94695747,0.90159726,0.9409952,0.913244,0.93529445,0.920732,,,,,,,
2021-11-05,Trinidad and Tobago,Delta,0.93336284,0.95075035,0.9072243,0.9453091,0.918421,0.9398177,0.9258375,,,,,,,
2021-11-06,Trinidad and Tobago,Delta,0.93784285,0.9542862,0.9127809,0.9492465,0.92331487,0.9439802,0.9305805,,,,,,,
2021-11-07,Trinidad and Tobago,Delta,0.94199264,0.9575807,0.91804576,0.952914,0.92799807,0.9478715,0.93518037,,,,,,,
2021-11-08,Trinidad and Tobago,Delta,0.94588846,0.9607589,0.92302144,0.95629555,0.932474,0.9515151,0.9394914,,,,,,,
2021-11-09,Trinidad and Tobago,Delta,0.94947183,0.963658,0.92772067,0.95949376,0.9367366,0.9549712,0.9435325,,,,,,,
2021-11-10,Trinidad and Tobago,Delta,0.95285064,0.96626157,0.9321554,0.96246237,0.9407549,0.95817304,0.9472065,,,,,,,
2021-11-11,Trinidad and Tobago,Delta,0.955973,0.9686856,0.9363376,0.96520936,0.94446874,0.9612319,0.95043623,,,,,,,
2021-11-12,Trinidad and Tobago,Delta,0.9589877,0.9710107,0.94027907,0.96776,0.9480717,0.964055,0.95377964,,,,,,,
2021-11-13,Trinidad and Tobago,Delta,0.96180516,0.97333014,0.9440465,0.97014534,0.9514403,0.9666278,0.9568543,,,,,,,
2021-11-14,Trinidad and Tobago,Delta,0.9644104,0.97549176,0.9476047,0.97241545,0.95458233,0.9690477,0.95963836,,,,,,,
2021-11-15,Trinidad and Tobago,Delta,0.9669127,0.97748196,0.95094854,0.97446454,0.9575343,0.97128606,0.9622789,,,,,,,
2021-11-16,Trinidad and Tobago,Delta,0.9691857,0.9793136,0.95408165,0.9763637,0.9602764,0.9733677,0.9647951,,,,,,,
2021-11-17,Trinidad and Tobago,Delta,0.9713112,0.9808437,0.9568587,0.9782272,0.96286166,0.9752904,0.96714115,,,,,,,
2021-11-18,Trinidad and Tobago,Delta,0.9733612,0.9822672,0.9593869,0.979867,0.96527827,0.9771079,0.9693252,,,,,,,
2021-11-19,Trinidad and Tobago,Delta,0.97523606,0.98368627,0.9618628,0.98137736,0.96754324,0.97882223,0.97141325,,,,,,,
2021-11-20,Trinidad and Tobago,Delta,0.9769696,0.984993,0.96419495,0.9828513,0.96959126,0.9803751,0.973293,,,,,,,
2021-11-21,Trinidad and Tobago,Delta,0.978603,0.98619616,0.9663882,0.9842096,0.9714393,0.9818114,0.9750191,,,,,,,
2021-11-22,Trinidad and Tobago,Delta,0.98008764,0.9872649,0.9684228,0.98540294,0.97320676,0.98311436,0.97663814,,,,,,,
2021-11-23,Trinidad and Tobago,Delta,0.9814735,0.9882667,0.9704033,0.9865218,0.97497547,0.9843349,0.9781994,,,,,,,
2021-11-24,Trinidad and Tobago,Delta,0.9827571,0.9892112,0.9722579,0.98755056,0.976547,0.985485,0.9796221,,,,,,,
2021-11-25,Trinidad and Tobago,Delta,0.9839467,0.99007654,0.9739655,0.9885143,0.97809976,0.98657143,0.9809544,,,,,,,
2021-11-26,Trinidad and Tobago,Delta,0.98505807,0.9908563,0.9754734,0.9893826,0.97955376,0.9875418,0.9822402,,,,,,,
2021-11-27,Trinidad and Tobago,Delta,0.98586416,0.991435,0.976735,0.9899863,0.9806105,0.9882142,0.98322845,,,,,,,
2021-11-28,Trinidad and Tobago,Delta,0.98316514,0.98986435,0.9704034,0.9882036,0.97527105,0.98598427,0.97982323,,,,,,,
2021-11-29,Trinidad and Tobago,Delta,0.9799823,0.9886929,0.95879817,0.9866896,0.9675215,0.98366314,0.9749116,,,,,,,
2021-11-30,Trinidad and Tobago,Delta,0.9793286,0.98861885,0.9533589,0.9866189,0.9639093,0.98340935,0.97268605,,,,,,,
2021-12-01,Trinidad and Tobago,Delta,0.97822595,0.98863006,0.94741523,0.9861223,0.9606902,0.98268783,0.9706727,,,,,,,
2021-12-02,Trinidad and Tobago,Delta,0.9759673,0.98808265,0.9393083,0.98525107,0.95604306,0.98091197,0.96732146,,,,,,,
2021-12-03,Trinidad and Tobago,Delta,0.97371274,0.98774165,0.93147564,0.98417616,0.95096993,0.97983426,0.9642166,,,,,,,
2021-12-04,Trinidad and Tobago,Delta,0.9716277,0.9869626,0.9250586,0.9831816,0.94667226,0.9784385,0.960986,,,,,,,
2021-12-05,Trinidad and Tobago,Delta,0.9691987,0.9861942,0.91942537,0.9817867,0.94218785,0.9767579,0.95732546,,,,,,,
2021-12-06,Trinidad and Tobago,Delta,0.96665585,0.98501897,0.9152713,0.98006296,0.9375559,0.9748062,0.95390534,,,,,,,
2021-12-07,Trinidad and Tobago,Delta,0.9637115,0.98395,0.9097415,0.97875684,0.93265986,0.97283536,0.9503819,,,,,,,
2021-12-08,Trinidad and Tobago,Delta,0.96064913,0.9825822,0.9049562,0.9777581,0.92799944,0.9704787,0.9468266,,,,,,,
2021-12-09,Trinidad and Tobago,Delta,0.95774215,0.98147404,0.89780164,0.9760727,0.923307,0.9680872,0.9424849,,,,,,,
2021-12-10,Trinidad and Tobago,Delta,0.95438206,0.98041034,0.8890693,0.9743784,0.91850185,0.96581644,0.9383023,,,,,,,
2021-12-11,Trinidad and Tobago,Delta,0.9508201,0.9791268,0.88167953,0.97304827,0.9128239,0.9637097,0.9335416,,,,,,,
2021-12-12,Trinidad and Tobago,Delta,0.9498444,0.9784399,0.88544405,0.97228545,0.91195685,0.96369034,0.9325912,,,,,,,
2021-12-13,Trinidad and Tobago,Delta,0.95005953,0.9785274,0.8847482,0.9725311,0.90991867,0.96363384,0.9316132,,,,,,,
2021-12-14,Trinidad and Tobago,Delta,0.9484588,0.9785178,0.8771584,0.97149736,0.9050526,0.9614606,0.9286555,,,,,,,
