date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-02-15	Trinidad and Tobago	Delta	0.02712034	0.050260022	0.015123865	0.041810445	0.01890413	0.03376559	0.022673013							
2022-02-16	Trinidad and Tobago	Delta	0.024725828	0.046565842	0.013607772	0.03849031	0.01695166	0.030983754	0.020560578							
2022-02-17	Trinidad and Tobago	Delta	0.022571418	0.043195173	0.012210248	0.035266805	0.015184977	0.028289245	0.018612728							
2022-02-18	Trinidad and Tobago	Delta	0.02056285	0.04027064	0.010922048	0.032503184	0.013638116	0.025946174	0.016878307							
2022-02-19	Trinidad and Tobago	Delta	0.018701471	0.037498567	0.009750262	0.029933335	0.012277369	0.023703016	0.015230683							
2022-02-20	Trinidad and Tobago	Delta	0.01700265	0.034766868	0.008712139	0.027557233	0.011014754	0.021670818	0.013720155							
2022-02-21	Trinidad and Tobago	Delta	0.01548735	0.032219343	0.0077935234	0.025495186	0.009911154	0.019795693	0.012367371							
2022-02-22	Trinidad and Tobago	Delta	0.014104684	0.029938433	0.0069593405	0.023577873	0.008879317	0.018078135	0.011176637							
2022-02-23	Trinidad and Tobago	Delta	0.01281186	0.027797997	0.0062013306	0.02178089	0.007954817	0.016571224	0.010077361							
2022-02-24	Trinidad and Tobago	Delta	0.011646954	0.02579031	0.005542976	0.020076003	0.007131935	0.015204828	0.00906973							
2022-02-25	Trinidad and Tobago	Delta	0.010553609	0.023945022	0.0049519995	0.018432375	0.0063897003	0.013833475	0.008167755							
2022-02-26	Trinidad and Tobago	Delta	0.009555846	0.022225954	0.004421835	0.016984422	0.005721726	0.012616544	0.0073787877							
2022-02-27	Trinidad and Tobago	Delta	0.008639116	0.020615354	0.0039461926	0.015617203	0.0051207216	0.011532469	0.006647773							
2022-02-28	Trinidad and Tobago	Delta	0.007819652	0.019106625	0.003518113	0.014277744	0.0045801396	0.010525694	0.0059773885							
2022-03-01	Trinidad and Tobago	Delta	0.007093412	0.017693713	0.00313035	0.013106041	0.0040996843	0.009576314	0.0053658253							
2022-03-02	Trinidad and Tobago	Delta	0.0064175213	0.016371122	0.0027823183	0.01203017	0.003684598	0.008731061	0.004825528							
