date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-10-03	USA	Delta	4.4462566e-05	9.7112155e-05	2.041084e-05	7.345764e-05	2.6374299e-05	5.7678022e-05	3.4159628e-05							
2022-10-04	USA	Delta	4.427912e-05	9.760956e-05	2.0029558e-05	7.4462856e-05	2.6076335e-05	5.7956808e-05	3.4425666e-05							
2022-10-05	USA	Delta	4.4295863e-05	9.8705335e-05	1.9922732e-05	7.474024e-05	2.5753756e-05	5.7983718e-05	3.4292498e-05							
2022-10-06	USA	Delta	4.439157e-05	0.00010068987	1.9677253e-05	7.447931e-05	2.552303e-05	5.7847246e-05	3.4139404e-05							
2022-10-07	USA	Delta	4.449075e-05	0.00010231253	1.9336534e-05	7.514472e-05	2.5358331e-05	5.786095e-05	3.3901415e-05							
2022-10-08	USA	Delta	4.4154338e-05	0.000103516475	1.8947678e-05	7.532262e-05	2.5196625e-05	5.754965e-05	3.3727454e-05							
2022-10-09	USA	Delta	4.4141467e-05	0.00010492539	1.8558821e-05	7.579381e-05	2.4979645e-05	5.7794558e-05	3.3250242e-05							
2022-10-10	USA	Delta	4.424373e-05	0.00010597439	1.816317e-05	7.6014585e-05	2.4746983e-05	5.822594e-05	3.2671916e-05							
2022-10-11	USA	Delta	4.4201857e-05	0.00010723469	1.776647e-05	7.669557e-05	2.4347186e-05	5.9050282e-05	3.246187e-05							
2022-10-12	USA	Delta	4.4087483e-05	0.000107798616	1.7370796e-05	7.7366465e-05	2.3821378e-05	5.9180118e-05	3.2160217e-05							
2022-10-13	USA	Delta	4.3647393e-05	0.0001101582	1.6820946e-05	7.780874e-05	2.3498003e-05	5.929715e-05	3.1728985e-05							
2022-10-14	USA	Delta	4.3471955e-05	0.00011092718	1.6340971e-05	7.812472e-05	2.312438e-05	5.9143884e-05	3.1296026e-05							
2022-10-15	USA	Delta	4.325049e-05	0.00011350445	1.6020687e-05	7.863036e-05	2.289344e-05	5.9628117e-05	3.108115e-05							
2022-10-16	USA	Delta	4.271257e-05	0.00011575356	1.5753338e-05	7.948114e-05	2.2168015e-05	5.9679995e-05	3.0291376e-05							
2022-10-17	USA	Delta	4.2490425e-05	0.00011805193	1.5468695e-05	8.046159e-05	2.1637732e-05	5.9464644e-05	3.0109912e-05							
2022-10-18	USA	Delta	4.2122098e-05	0.00011877763	1.5057925e-05	8.1203805e-05	2.1282134e-05	5.9425605e-05	2.9491652e-05							
2022-10-19	USA	Delta	4.194115e-05	0.00012028875	1.4627365e-05	8.14274e-05	2.114712e-05	5.9320944e-05	2.904717e-05							
2022-10-20	USA	Delta	4.1902356e-05	0.00012218424	1.411499e-05	8.220269e-05	2.0526599e-05	5.920608e-05	2.8635142e-05							
2022-10-21	USA	Delta	4.1829386e-05	0.00012404338	1.362084e-05	8.255748e-05	2.0067913e-05	5.9113387e-05	2.790988e-05							
2022-10-22	USA	Delta	4.1249867e-05	0.00012610992	1.3119126e-05	8.3109175e-05	1.9665222e-05	5.8755373e-05	2.7215025e-05							
2022-10-23	USA	Delta	4.0584884e-05	0.0001276818	1.263583e-05	8.378511e-05	1.9126794e-05	5.8879676e-05	2.6577365e-05							
2022-10-24	USA	Delta	3.9852814e-05	0.00012998699	1.2162322e-05	8.399024e-05	1.8514093e-05	5.9015925e-05	2.6010766e-05							
2022-10-25	USA	Delta	3.949263e-05	0.00013157922	1.1698527e-05	8.414111e-05	1.816175e-05	5.8585487e-05	2.5484886e-05							
2022-10-26	USA	Delta	3.9002858e-05	0.00013310582	1.1244411e-05	8.437925e-05	1.7735993e-05	5.8271595e-05	2.4843634e-05							
2022-10-27	USA	Delta	3.8447477e-05	0.00013456089	1.0846035e-05	8.417045e-05	1.7106695e-05	5.826316e-05	2.4249623e-05							
2022-10-28	USA	Delta	3.7963244e-05	0.00013593785	1.0482221e-05	8.537268e-05	1.659106e-05	5.7850706e-05	2.373924e-05							
2022-10-29	USA	Delta	3.730896e-05	0.00013722909	1.0091448e-05	8.672851e-05	1.6238208e-05	5.7787758e-05	2.3078734e-05							
2022-10-30	USA	Delta	3.647618e-05	0.00013842623	9.642972e-06	8.667035e-05	1.5706219e-05	5.724162e-05	2.2476273e-05							
2022-10-31	USA	Delta	3.5942583e-05	0.00014014727	9.249216e-06	8.574559e-05	1.526839e-05	5.6966128e-05	2.1964846e-05							
2022-11-01	USA	Delta	3.5505847e-05	0.00014224055	8.891763e-06	8.644593e-05	1.4851855e-05	5.6958237e-05	2.126415e-05							
2022-11-02	USA	Delta	3.4816716e-05	0.00014427549	8.529837e-06	8.586269e-05	1.4321385e-05	5.644811e-05	2.0794017e-05							
2022-11-03	USA	Delta	3.419339e-05	0.0001462313	8.175602e-06	8.604197e-05	1.3738569e-05	5.5999135e-05	2.0344898e-05							
2022-11-04	USA	Delta	3.3554203e-05	0.00014682073	7.829078e-06	8.6558925e-05	1.3131877e-05	5.483005e-05	1.977043e-05							
2022-11-05	USA	Delta	3.2711006e-05	0.00014727084	7.4902946e-06	8.6821325e-05	1.2669903e-05	5.394695e-05	1.9161067e-05							
2022-11-06	USA	Delta	3.2085925e-05	0.00014757455	7.159292e-06	8.649212e-05	1.22319125e-05	5.366384e-05	1.8559513e-05							
2022-11-07	USA	Delta	3.121054e-05	0.0001477253	6.8361164e-06	8.609879e-05	1.1749364e-05	5.2904492e-05	1.8031362e-05							
2022-11-08	USA	Delta	3.0270796e-05	0.00014773817	6.5208114e-06	8.555119e-05	1.1237513e-05	5.237521e-05	1.7393137e-05							
2022-11-09	USA	Delta	2.9579638e-05	0.00014762227	6.2134277e-06	8.48766e-05	1.0736754e-05	5.1089024e-05	1.6776332e-05							
2022-11-10	USA	Delta	2.8711996e-05	0.00014851309	5.9140093e-06	8.484075e-05	1.024049e-05	5.009667e-05	1.6125068e-05							
2022-11-11	USA	Delta	2.8125018e-05	0.00014928366	5.622599e-06	8.354526e-05	9.758766e-06	4.969714e-05	1.5497208e-05							
2022-11-12	USA	Delta	2.735596e-05	0.00015007978	5.3392414e-06	8.247712e-05	9.335258e-06	4.924285e-05	1.4893378e-05							
2022-11-13	USA	Delta	2.633821e-05	0.00014925873	5.0639765e-06	8.1460326e-05	8.973713e-06	4.791803e-05	1.4269378e-05							
2022-11-14	USA	Delta	2.5554471e-05	0.00014833224	4.7968365e-06	8.0340986e-05	8.4435e-06	4.6705132e-05	1.3713345e-05							
2022-11-15	USA	Delta	2.4685673e-05	0.00014721428	4.5378565e-06	7.914345e-05	7.963666e-06	4.5395038e-05	1.3173498e-05							
2022-11-16	USA	Delta	2.3835566e-05	0.00014550448	4.287094e-06	7.787005e-05	7.541138e-06	4.4011867e-05	1.2582113e-05							
2022-11-17	USA	Delta	2.2953212e-05	0.00014376803	4.04462e-06	7.621822e-05	7.1335435e-06	4.2655432e-05	1.2091622e-05							
2022-11-18	USA	Delta	2.1926442e-05	0.00014183563	3.8104918e-06	7.412752e-05	6.723958e-06	4.1457653e-05	1.1613855e-05							
2022-11-19	USA	Delta	2.1042939e-05	0.00014096143	3.58473e-06	7.178592e-05	6.3295347e-06	4.017273e-05	1.1140917e-05							
2022-11-20	USA	Delta	2.0292402e-05	0.00014015162	3.3673223e-06	6.969842e-05	5.9494055e-06	3.8784026e-05	1.0668897e-05							
2022-11-21	USA	Delta	1.957596e-05	0.00013876901	3.1582456e-06	6.841014e-05	5.5830133e-06	3.740297e-05	1.0185818e-05							
2022-11-22	USA	Delta	1.8765131e-05	0.00013586647	2.9574594e-06	6.685995e-05	5.244671e-06	3.603225e-05	9.698821e-06							
2022-11-23	USA	Delta	1.7959974e-05	0.00013283153	2.764898e-06	6.493759e-05	4.9411983e-06	3.495913e-05	9.16602e-06							
2022-11-24	USA	Delta	1.7214965e-05	0.00012967674	2.5804611e-06	6.356413e-05	4.639436e-06	3.366811e-05	8.685442e-06							
2022-11-25	USA	Delta	1.642187e-05	0.00012641499	2.4040223e-06	6.1444516e-05	4.3142745e-06	3.263369e-05	8.272062e-06							
2022-11-26	USA	Delta	1.563756e-05	0.00012305938	2.2354318e-06	5.9328337e-05	4.0409927e-06	3.146823e-05	7.796887e-06							
2022-11-27	USA	Delta	1.4911315e-05	0.00011962287	2.074511e-06	5.72311e-05	3.709428e-06	3.0422592e-05	7.3414335e-06							
2022-11-28	USA	Delta	1.4089575e-05	0.00011611754	1.9210433e-06	5.5155793e-05	3.4363984e-06	2.9361643e-05	6.8758704e-06							
2022-11-29	USA	Delta	1.3315503e-05	0.00011255474	1.774796e-06	5.310417e-05	3.189995e-06	2.8197235e-05	6.427057e-06							
2022-11-30	USA	Delta	1.2578967e-05	0.00010894559	1.6334586e-06	5.107766e-05	2.9416087e-06	2.6884687e-05	6.005674e-06							
2022-12-01	USA	Delta	1.1847047e-05	0.00010550765	1.4860891e-06	4.9077644e-05	2.733764e-06	2.5609752e-05	5.60757e-06							
2022-10-03	USA	Omicron 21K	0.0003968123	0.0005457431	0.00029111526	0.0004874302	0.0003207795	0.00043802417	0.0003549283							
2022-10-04	USA	Omicron 21K	0.00039357517	0.0005449151	0.0002877075	0.00048445782	0.0003164016	0.00043603644	0.00035111315							
2022-10-05	USA	Omicron 21K	0.00039029197	0.00054326607	0.00028310408	0.00048129744	0.00031356793	0.00043414178	0.0003468017							
2022-10-06	USA	Omicron 21K	0.00038719515	0.00054104044	0.0002774138	0.00047903048	0.00031084227	0.00043035712	0.0003423722							
2022-10-07	USA	Omicron 21K	0.0003831336	0.0005386459	0.00027325022	0.00047472861	0.00030927404	0.00042572003	0.00033921687							
2022-10-08	USA	Omicron 21K	0.00037885213	0.00053607405	0.00026918063	0.00047255488	0.00030523527	0.000422947	0.00033591565							
2022-10-09	USA	Omicron 21K	0.00037509343	0.00053331617	0.0002641545	0.00047013775	0.00030097467	0.0004189587	0.00033149344							
2022-10-10	USA	Omicron 21K	0.00037103496	0.00053414213	0.00025924	0.00046773377	0.00029665782	0.0004163189	0.00032692926							
2022-10-11	USA	Omicron 21K	0.0003668888	0.00053563854	0.00025519932	0.00046516935	0.00029235767	0.00041238917	0.0003226251							
2022-10-12	USA	Omicron 21K	0.00036280943	0.0005338921	0.00025255192	0.00046268423	0.00028756837	0.00040910818	0.00031813845							
2022-10-13	USA	Omicron 21K	0.00035896906	0.00053145655	0.00024817177	0.00046005484	0.0002838667	0.00040583118	0.00031311333							
2022-10-14	USA	Omicron 21K	0.00035524942	0.00052859023	0.00024240519	0.00045713142	0.00027816804	0.0004037494	0.00030863605							
2022-10-15	USA	Omicron 21K	0.000351467	0.0005275186	0.00023737896	0.0004524259	0.00027226997	0.0003999098	0.000304057							
2022-10-16	USA	Omicron 21K	0.00034691519	0.00052494404	0.00023295762	0.0004474701	0.00026657557	0.00039591547	0.00030000004							
2022-10-17	USA	Omicron 21K	0.00034228066	0.0005204312	0.00022817013	0.00044222974	0.00026175968	0.0003923986	0.00029617312							
2022-10-18	USA	Omicron 21K	0.00033660716	0.0005158453	0.00022282248	0.00043688164	0.00025703368	0.00038823133	0.00029190636							
2022-10-19	USA	Omicron 21K	0.00033125258	0.00051249977	0.00021682197	0.00043222564	0.0002521893	0.0003832649	0.00028721974							
2022-10-20	USA	Omicron 21K	0.0003256609	0.0005089097	0.00021063624	0.0004265813	0.00024667397	0.00037918973	0.00028204737							
