date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2021-11-03,United Kingdom,Delta,0.9992739,0.9994832,0.9990009,0.999422,0.99911106,0.99935174,0.999196,,,,,,,
2021-11-04,United Kingdom,Delta,0.99927056,0.9994799,0.998997,0.99941635,0.9991094,0.9993446,0.9991919,,,,,,,
2021-11-05,United Kingdom,Delta,0.99926496,0.9994746,0.99899006,0.9994084,0.99910057,0.99933696,0.99918306,,,,,,,
2021-11-06,United Kingdom,Delta,0.99925923,0.9994694,0.9989829,0.9994,0.9990929,0.99933064,0.9991782,,,,,,,
2021-11-07,United Kingdom,Delta,0.9992523,0.9994636,0.99896896,0.99939215,0.9990878,0.9993256,0.999169,,,,,,,
2021-11-08,United Kingdom,Delta,0.999241,0.99945426,0.9989524,0.99938273,0.9990772,0.9993186,0.9991614,,,,,,,
2021-11-09,United Kingdom,Delta,0.99922895,0.99944353,0.9989461,0.99937373,0.99906266,0.99931,0.9991493,,,,,,,
2021-11-10,United Kingdom,Delta,0.9992205,0.9994334,0.99893475,0.99936306,0.99905175,0.99930495,0.9991377,,,,,,,
2021-11-11,United Kingdom,Delta,0.9992076,0.999424,0.99891615,0.99935037,0.9990384,0.99929273,0.9991233,,,,,,,
2021-11-12,United Kingdom,Delta,0.9991915,0.99940825,0.9988969,0.9993376,0.9990182,0.9992742,0.99910307,,,,,,,
2021-11-13,United Kingdom,Delta,0.99917066,0.9993892,0.99887323,0.9993234,0.9989949,0.99925745,0.99907786,,,,,,,
2021-11-14,United Kingdom,Delta,0.9991492,0.999367,0.99884486,0.999306,0.99896646,0.99923444,0.9990525,,,,,,,
2021-11-15,United Kingdom,Delta,0.9991157,0.9993397,0.9988059,0.99928147,0.99892676,0.9992043,0.9990198,,,,,,,
2021-11-16,United Kingdom,Delta,0.99907315,0.99930507,0.99874735,0.99924314,0.9988803,0.999163,0.9989723,,,,,,,
2021-11-17,United Kingdom,Delta,0.99901843,0.9992603,0.9986763,0.9991959,0.9988212,0.99911267,0.9989129,,,,,,,
