date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-06-03	Vietnam	Delta	0.01636053	0.0363132	0.007980527	0.02912941	0.009985268	0.021871021	0.012422953							
2022-06-04	Vietnam	Delta	0.016309747	0.03708574	0.007917903	0.029071564	0.009992263	0.021712177	0.012382504							
2022-06-05	Vietnam	Delta	0.016288308	0.037134998	0.0078097684	0.0289707	0.00981696	0.021809768	0.012372671							
2022-06-06	Vietnam	Delta	0.016263813	0.037393287	0.0076768426	0.028770901	0.009690308	0.021951478	0.0122375265							
2022-06-07	Vietnam	Delta	0.016282277	0.03730649	0.00759421	0.028846858	0.009577916	0.02196939	0.012233291							
2022-06-08	Vietnam	Delta	0.016233075	0.03721121	0.007534614	0.029018547	0.0094768405	0.021845112	0.012207283							
2022-06-09	Vietnam	Delta	0.016027462	0.03712818	0.0073965974	0.029126052	0.009302798	0.021698412	0.012120018							
2022-06-10	Vietnam	Delta	0.015701007	0.037126508	0.007241632	0.02896113	0.009242813	0.021548912	0.011984025							
2022-06-11	Vietnam	Delta	0.015498454	0.03726293	0.007082842	0.029031103	0.009042331	0.021590652	0.011894977							
2022-06-12	Vietnam	Delta	0.015389324	0.03733009	0.0069429856	0.028955191	0.008991447	0.021607477	0.011737619							
2022-06-13	Vietnam	Delta	0.015193248	0.037422094	0.006758248	0.028949978	0.008980787	0.021694537	0.01170738							
2022-06-14	Vietnam	Delta	0.014991205	0.037120722	0.0065545617	0.028625622	0.008809116	0.021507263	0.0116180405							
2022-06-15	Vietnam	Delta	0.014942296	0.037078712	0.006391096	0.028557384	0.0087541165	0.021567464	0.01149112							
2022-06-16	Vietnam	Delta	0.014972178	0.03743103	0.0063189515	0.028590064	0.00857077	0.021519244	0.011498172							
2022-06-17	Vietnam	Delta	0.014920656	0.03770451	0.006226101	0.028501013	0.008370056	0.021518253	0.011324932							
2022-06-18	Vietnam	Delta	0.01486106	0.037927415	0.006095227	0.028416783	0.008234392	0.02150701	0.011074949							
2022-06-19	Vietnam	Delta	0.014823465	0.038181342	0.005988169	0.028350256	0.0080883475	0.02126722	0.011030663							
2022-06-20	Vietnam	Delta	0.014780892	0.038528442	0.005807083	0.028297361	0.007926984	0.02134496	0.0109841535							
2022-06-21	Vietnam	Delta	0.014811851	0.038951267	0.005589131	0.028417107	0.0078064227	0.021306604	0.0107897315							
2022-06-22	Vietnam	Delta	0.014755694	0.039358962	0.005374829	0.028413454	0.007671346	0.021450996	0.010630921							
