date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-07-18,Vietnam,Delta,0.0007897673,0.0085129095,9.327825e-05,0.0036373944,0.00020687282,0.001608883,0.0003748492,,,,,,,
2022-07-19,Vietnam,Delta,0.000679475,0.007712165,7.225953e-05,0.0031990656,0.00016701278,0.0014174059,0.00031534233,,,,,,,
2022-07-20,Vietnam,Delta,0.0005812742,0.006933106,5.5615063e-05,0.0027848056,0.00013609923,0.0012374527,0.00026236402,,,,,,,
2022-07-21,Vietnam,Delta,0.0004882149,0.0062314253,4.2490763e-05,0.0024390402,0.000110921246,0.0010740135,0.00021256514,,,,,,,
2022-07-22,Vietnam,Delta,0.0004105882,0.005674214,3.2197822e-05,0.0020720793,8.9854475e-05,0.000927955,0.00017333994,,,,,,,
2022-07-23,Vietnam,Delta,0.0003417157,0.005054591,2.4197903e-05,0.0017870144,7.186523e-05,0.00080115563,0.00014029388,,,,,,,
2022-07-24,Vietnam,Delta,0.00028257142,0.0044208886,1.8048973e-05,0.0015120534,5.686352e-05,0.00068175525,0.00011289923,,,,,,,
2022-07-25,Vietnam,Delta,0.00023555485,0.0038327049,1.3372286e-05,0.0012844224,4.4257657e-05,0.0005705883,8.925857e-05,,,,,,,
2022-07-26,Vietnam,Delta,0.0001901472,0.00329425,1.0047212e-05,0.0011112401,3.4406556e-05,0.00047791994,7.031388e-05,,,,,,,
2022-07-27,Vietnam,Delta,0.00015191476,0.002809275,7.5101307e-06,0.000922358,2.6337259e-05,0.00039395923,5.5408982e-05,,,,,,,
2022-07-28,Vietnam,Delta,0.000120079974,0.0023911325,5.5811815e-06,0.0007594005,2.0241567e-05,0.00032357697,4.3061606e-05,,,,,,,
2022-07-29,Vietnam,Delta,9.627783e-05,0.0020323624,4.1334756e-06,0.0006386129,1.5095515e-05,0.00026114576,3.3520453e-05,,,,,,,
2022-07-30,Vietnam,Delta,7.66398e-05,0.0017199228,3.0566803e-06,0.0005330578,1.14913155e-05,0.00021012555,2.553326e-05,,,,,,,
2022-07-31,Vietnam,Delta,6.0259128e-05,0.0014515652,2.2591103e-06,0.00044394325,8.513991e-06,0.00017045598,1.9669105e-05,,,,,,,
2022-08-01,Vietnam,Delta,4.6723242e-05,0.0012242665,1.6713188e-06,0.00036819113,6.2910785e-06,0.00013781653,1.5060056e-05,,,,,,,
2022-08-02,Vietnam,Delta,3.641222e-05,0.0010343023,1.2400142e-06,0.00030540102,4.7110148e-06,0.0001094476,1.1571435e-05,,,,,,,
2022-08-03,Vietnam,Delta,2.8770784e-05,0.0008774245,9.245313e-07,0.00025401005,3.5140854e-06,8.840543e-05,8.883185e-06,,,,,,,
2022-08-04,Vietnam,Delta,2.2877162e-05,0.00074913044,6.939789e-07,0.0002122034,2.6729933e-06,7.249701e-05,6.814583e-06,,,,,,,
2022-08-05,Vietnam,Delta,1.8258224e-05,0.0006540256,5.239581e-07,0.00017575652,2.0504647e-06,5.9335438e-05,5.3172926e-06,,,,,,,
2022-08-06,Vietnam,Delta,1.4776879e-05,0.0005768669,3.9008756e-07,0.00014699495,1.5785223e-06,4.8835303e-05,4.1482126e-06,,,,,,,
2022-08-07,Vietnam,Delta,1.2073569e-05,0.00051418174,2.94132e-07,0.00012764844,1.2318244e-06,4.0955474e-05,3.3358585e-06,,,,,,,
2022-08-08,Vietnam,Delta,1.0000738e-05,0.0004638095,2.247645e-07,0.00011175188,9.722153e-07,3.4896984e-05,2.7265514e-06,,,,,,,
2022-08-09,Vietnam,Delta,8.427212e-06,0.00042282802,1.7401658e-07,9.886371e-05,7.6591607e-07,3.0149771e-05,2.2484792e-06,,,,,,,
2022-08-10,Vietnam,Delta,7.0711203e-06,0.00038945884,1.3640417e-07,8.814397e-05,6.112484e-07,2.6321657e-05,1.8601233e-06,,,,,,,
2022-08-11,Vietnam,Delta,6.0557804e-06,0.00036236516,1.0817946e-07,7.967924e-05,4.944673e-07,2.325955e-05,1.5441024e-06,,,,,,,
2022-08-12,Vietnam,Delta,5.307755e-06,0.00034271437,8.6741416e-08,7.222268e-05,4.0591567e-07,2.0715413e-05,1.2874018e-06,,,,,,,
2022-08-13,Vietnam,Delta,4.6451596e-06,0.000328612,7.024612e-08,6.664856e-05,3.3787845e-07,1.8761097e-05,1.1154078e-06,,,,,,,
2022-08-14,Vietnam,Delta,4.086676e-06,0.00031775213,5.735012e-08,6.223517e-05,2.8583622e-07,1.7167411e-05,9.707015e-07,,,,,,,
2022-08-15,Vietnam,Delta,3.6629017e-06,0.00030934915,4.707428e-08,5.8193305e-05,2.4637652e-07,1.5965605e-05,8.401208e-07,,,,,,,
2022-08-16,Vietnam,Delta,3.2774237e-06,0.00030269512,3.8829324e-08,5.3724667e-05,2.1374711e-07,1.4818822e-05,7.295584e-07,,,,,,,
2022-08-17,Vietnam,Delta,2.9317052e-06,0.0002971065,3.213171e-08,4.942152e-05,1.8648262e-07,1.3680534e-05,6.424043e-07,,,,,,,
2022-08-18,Vietnam,Delta,2.623362e-06,0.0002918839,2.6624047e-08,4.5507633e-05,1.6202941e-07,1.2639869e-05,5.6468525e-07,,,,,,,
2022-08-19,Vietnam,Delta,2.34633e-06,0.00028639723,2.2045729e-08,4.2045278e-05,1.3770318e-07,1.1563767e-05,4.9435675e-07,,,,,,,
2022-08-20,Vietnam,Delta,2.1121832e-06,0.00028025528,1.8217104e-08,3.9413226e-05,1.1635792e-07,1.0702719e-05,4.3277336e-07,,,,,,,
2022-08-21,Vietnam,Delta,1.8760466e-06,0.0002733275,1.5013612e-08,3.683919e-05,9.772229e-08,9.999326e-06,3.7630386e-07,,,,,,,
2022-08-22,Vietnam,Delta,1.6520335e-06,0.00026556174,1.2337647e-08,3.4252982e-05,8.294105e-08,9.155821e-06,3.2516988e-07,,,,,,,
2022-08-23,Vietnam,Delta,1.4669888e-06,0.00025685108,1.0104786e-08,3.1668907e-05,6.990588e-08,8.298749e-06,2.7831368e-07,,,,,,,
2022-08-24,Vietnam,Delta,1.2837957e-06,0.00024710398,8.223265e-09,2.9131517e-05,5.8697676e-08,7.376087e-06,2.3593886e-07,,,,,,,
2022-08-25,Vietnam,Delta,1.101577e-06,0.00023637504,6.6683987e-09,2.6609312e-05,4.912225e-08,6.498846e-06,1.9781092e-07,,,,,,,
2022-08-26,Vietnam,Delta,9.5223857e-07,0.00022083243,5.411805e-09,2.4384255e-05,4.1522192e-08,5.683257e-06,1.673497e-07,,,,,,,
2022-08-27,Vietnam,Delta,8.246201e-07,0.00020599009,4.3654644e-09,2.2273483e-05,3.4079935e-08,4.9438777e-06,1.4106148e-07,,,,,,,
2022-08-28,Vietnam,Delta,7.1188856e-07,0.00019130824,3.4998804e-09,2.0061892e-05,2.7714039e-08,4.3111722e-06,1.1743954e-07,,,,,,,
2022-08-29,Vietnam,Delta,6.121312e-07,0.00017698706,2.7727944e-09,1.79384e-05,2.2467432e-08,3.8647586e-06,9.6634245e-08,,,,,,,
