date	location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2021-09-20	Australia	Delta	0.8011175	0.8780106	0.7167183	0.85245395	0.7493013	0.82483464	0.77385795
2021-09-21	Australia	Delta	0.80148613	0.87810886	0.7164494	0.8523148	0.74947965	0.8250891	0.7736131
2021-09-22	Australia	Delta	0.80159175	0.878206	0.71651936	0.85239434	0.7494122	0.8249181	0.7733089
2021-09-23	Australia	Delta	0.8015001	0.8786725	0.7166152	0.85255	0.74927795	0.8248854	0.77309334
2021-09-24	Australia	Delta	0.80133915	0.8791542	0.716737	0.8522934	0.74920774	0.82489103	0.7730819
2021-09-25	Australia	Delta	0.80099225	0.87954575	0.7170541	0.8524312	0.74922794	0.8248504	0.7730211
2021-09-26	Australia	Delta	0.8010725	0.8798555	0.7173518	0.85224485	0.7490157	0.82491046	0.7728895
2021-09-27	Australia	Delta	0.80077904	0.87990046	0.7176071	0.85198003	0.74892503	0.82484543	0.7727412
2021-09-28	Australia	Delta	0.80076665	0.8797355	0.71781886	0.8516621	0.74845964	0.82449186	0.77272546
2021-09-29	Australia	Delta	0.800795	0.8796812	0.7179855	0.8519206	0.7483857	0.82445216	0.7730497
2021-09-30	Australia	Delta	0.80085564	0.8796732	0.7181057	0.8524892	0.74799556	0.82449716	0.7731181
2021-10-01	Australia	Delta	0.80080146	0.87964284	0.7181781	0.8529343	0.74749005	0.8245176	0.77324903
2021-10-02	Australia	Delta	0.80073494	0.8796164	0.71820134	0.8529624	0.74704754	0.82461524	0.77321196
2021-10-03	Australia	Delta	0.80073667	0.8796061	0.7181988	0.8529934	0.7466705	0.8248818	0.7732521
2021-10-04	Australia	Delta	0.8005135	0.8796078	0.71821344	0.8530256	0.746497	0.8249594	0.77327824
2021-10-05	Australia	Delta	0.8003702	0.879616	0.71819913	0.85372317	0.7465261	0.8249121	0.7732836
2021-10-06	Australia	Delta	0.8002425	0.8796323	0.718166	0.85430634	0.74655443	0.82487404	0.77331257
2021-10-07	Australia	Delta	0.7999364	0.87964606	0.7181239	0.8543765	0.7465831	0.82487774	0.77336645
2021-10-08	Australia	Delta	0.7998854	0.8796501	0.7180681	0.8544557	0.7466186	0.82476896	0.7735828
2021-10-09	Australia	Delta	0.7997983	0.8796392	0.71802104	0.85457295	0.7466645	0.8246584	0.77381706
2021-10-10	Australia	Delta	0.79983836	0.87960756	0.7179958	0.85473365	0.7467142	0.8246219	0.77383786
2021-10-11	Australia	Delta	0.79984754	0.87954986	0.71800256	0.8549434	0.74677503	0.82440424	0.77402735
2021-10-12	Australia	Delta	0.79979724	0.8794606	0.7180517	0.85507166	0.746856	0.8239762	0.7740579
2021-10-13	Australia	Delta	0.8000442	0.8793342	0.7181535	0.855145	0.74694216	0.8238155	0.7738106
2021-10-14	Australia	Delta	0.8001915	0.8791666	0.7183157	0.8550253	0.74696505	0.8237705	0.7735923
2021-10-15	Australia	Delta	0.80026245	0.87896216	0.71853334	0.8546491	0.74653465	0.82359815	0.7735683
2021-10-16	Australia	Delta	0.80028534	0.8787277	0.71879643	0.85420716	0.7461541	0.82367325	0.77342254
2021-10-17	Australia	Delta	0.80019295	0.87847716	0.7190954	0.8544062	0.7458236	0.82337725	0.7734548
2021-10-18	Australia	Delta	0.80004334	0.8782159	0.7192522	0.85458404	0.7455241	0.8233487	0.773656
2021-10-19	Australia	Delta	0.7997861	0.8779459	0.7193918	0.85404336	0.7456001	0.8232797	0.7738075
2021-10-20	Australia	Delta	0.79984754	0.8776735	0.71953213	0.85370886	0.7457904	0.8225967	0.7738764
2021-10-21	Australia	Delta	0.79986644	0.87740517	0.71966517	0.8537591	0.7457468	0.8220689	0.7739262
2021-10-22	Australia	Delta	0.79977024	0.8771474	0.71978295	0.853278	0.7458967	0.822225	0.77377915
2021-10-23	Australia	Delta	0.7998265	0.87690634	0.7198773	0.8533837	0.7459463	0.82252944	0.7738306
2021-10-24	Australia	Delta	0.7999636	0.8766885	0.7199403	0.853486	0.7459452	0.8226147	0.7739531
2021-10-25	Australia	Delta	0.79985666	0.8765001	0.719964	0.8535866	0.7459091	0.82284987	0.774021
2021-10-26	Australia	Delta	0.7998639	0.87639165	0.7199461	0.8536861	0.74584615	0.82275987	0.7739764
2021-10-27	Australia	Delta	0.79990286	0.87637955	0.7198926	0.8537414	0.7457386	0.8227863	0.7741346
2021-10-28	Australia	Delta	0.79992497	0.87636745	0.7195982	0.8537788	0.745595	0.82324356	0.77415466
2021-10-29	Australia	Delta	0.79981023	0.87635005	0.7192377	0.853815	0.7454236	0.8233237	0.7740402
2021-10-30	Australia	Delta	0.7997473	0.876322	0.71886325	0.853722	0.74524575	0.82325566	0.7739625
2021-10-31	Australia	Delta	0.7996876	0.8762795	0.71848047	0.85346717	0.7452984	0.8231753	0.77401376
2021-11-01	Australia	Delta	0.79957616	0.8762351	0.71809715	0.8532295	0.7455519	0.823242	0.77386665
2021-11-02	Australia	Delta	0.79940265	0.8761657	0.7177398	0.8530123	0.74580395	0.82350254	0.7742963
2021-11-03	Australia	Delta	0.7990632	0.8761065	0.7176912	0.85280746	0.7460531	0.8233285	0.77441204
2021-11-04	Australia	Delta	0.79886395	0.8760239	0.7176484	0.85280764	0.74628335	0.82304454	0.7745613
2021-11-05	Australia	Delta	0.7987694	0.8759543	0.71761084	0.8529053	0.74648803	0.8230214	0.7746365
2021-11-06	Australia	Delta	0.79877484	0.87590414	0.7175895	0.8526465	0.7464133	0.82302624	0.7745478
2021-11-07	Australia	Delta	0.7986597	0.8760599	0.7175875	0.8521882	0.74625385	0.82320774	0.7744255
2021-11-08	Australia	Delta	0.7985116	0.87626654	0.7176021	0.8521901	0.7461407	0.8234119	0.77431214
2021-11-09	Australia	Delta	0.79825014	0.8763747	0.71763045	0.8524969	0.7461705	0.8234012	0.77424276
2021-11-10	Australia	Delta	0.798001	0.8763039	0.7176699	0.8521327	0.7457145	0.82353723	0.77431726
2021-11-11	Australia	Delta	0.79777074	0.8759745	0.7177097	0.8520323	0.74535394	0.8235338	0.77437603
2021-11-12	Australia	Delta	0.79756594	0.87584126	0.7177535	0.85201544	0.74490094	0.8236749	0.7743921
2021-11-13	Australia	Delta	0.7974395	0.87576514	0.71779937	0.8519999	0.74457496	0.82369107	0.7741245
2021-11-14	Australia	Delta	0.7976488	0.8757627	0.71758646	0.85184366	0.7446325	0.8236927	0.7738234
2021-11-15	Australia	Delta	0.79769933	0.87576	0.71691835	0.85156536	0.74442846	0.8234697	0.77360314
2021-11-16	Australia	Delta	0.7975906	0.875756	0.7162669	0.8512671	0.74425036	0.8234379	0.7737464
2021-11-17	Australia	Delta	0.79745126	0.87560606	0.71578014	0.85095257	0.744103	0.823337	0.7735177
2021-11-18	Australia	Delta	0.7974834	0.8754177	0.715613	0.8506275	0.74403316	0.82313365	0.77338284
2021-11-19	Australia	Delta	0.7977443	0.87531865	0.7154232	0.85030115	0.74410045	0.82319254	0.77325463
2021-11-20	Australia	Delta	0.7978947	0.87538576	0.7152146	0.84998363	0.74421906	0.82289326	0.7732706
2021-11-21	Australia	Delta	0.79772764	0.875463	0.71518385	0.8496847	0.7443838	0.823042	0.7733931
2021-11-22	Australia	Delta	0.7977371	0.87554944	0.7151598	0.8495834	0.7445892	0.823197	0.77332205
2021-11-23	Australia	Delta	0.7980889	0.8756443	0.7150488	0.8495917	0.7442763	0.8231046	0.77344364
2021-11-24	Australia	Delta	0.7984827	0.8759841	0.7147237	0.84958756	0.7438159	0.82295716	0.7731954
2021-11-25	Australia	Delta	0.7985563	0.8766631	0.71455085	0.84958035	0.743871	0.8228104	0.7733792
2021-11-26	Australia	Delta	0.79845	0.87732255	0.7144097	0.8495769	0.74392	0.82294834	0.77291787
2021-11-27	Australia	Delta	0.7983463	0.8778764	0.7142849	0.8489392	0.74395937	0.8231469	0.77263665
2021-11-28	Australia	Delta	0.79824686	0.87798315	0.7141618	0.8488564	0.74398744	0.8231054	0.77272236
2021-11-29	Australia	Delta	0.7980995	0.8780285	0.71388775	0.8489499	0.7440034	0.82333004	0.7728098
2021-11-30	Australia	Delta	0.797945	0.8780122	0.71321416	0.8493883	0.74400735	0.82321525	0.7727859
2021-12-01	Australia	Delta	0.7977971	0.877939	0.7128278	0.8498194	0.74400085	0.8232076	0.7724328
2021-12-02	Australia	Delta	0.7976561	0.8778136	0.7127861	0.85026604	0.7439911	0.8232722	0.77216446
2021-12-03	Australia	Delta	0.7975843	0.877641	0.7128488	0.8506193	0.7440544	0.82311785	0.7720276
2021-12-04	Australia	Delta	0.7975184	0.8775275	0.71292156	0.85108817	0.7441317	0.82326305	0.7719302
2021-12-05	Australia	Delta	0.79748607	0.877463	0.7129885	0.85206735	0.74422586	0.8233478	0.7719427
2021-12-06	Australia	Delta	0.79749477	0.8774264	0.7130941	0.8525724	0.744069	0.8232461	0.7720848
2021-12-07	Australia	Delta	0.79758406	0.8773935	0.7132209	0.8529006	0.743814	0.8232809	0.7721898
2021-12-08	Australia	Delta	0.7978903	0.8771229	0.7133595	0.85313314	0.74366647	0.82324195	0.7721419
2021-12-09	Australia	Delta	0.7976905	0.87681973	0.7135115	0.8532989	0.74358964	0.8231573	0.7722196
2021-12-10	Australia	Delta	0.79760206	0.8764745	0.7136791	0.85340255	0.7435283	0.82297635	0.7720126
2021-12-11	Australia	Delta	0.79757226	0.8760859	0.7138628	0.8534386	0.74461013	0.8228338	0.7718183
2021-12-12	Australia	Delta	0.7976294	0.8756632	0.71406096	0.85341686	0.7453815	0.8228047	0.7717372
2021-12-13	Australia	Delta	0.79781556	0.8752513	0.71427155	0.8533496	0.74466115	0.8227738	0.7717751
2021-12-14	Australia	Delta	0.79801273	0.87499416	0.71449214	0.85324943	0.743752	0.82272184	0.7718526
2021-12-15	Australia	Delta	0.7982346	0.874776	0.7142601	0.8531286	0.7438909	0.8229506	0.77190757
2021-12-16	Australia	Delta	0.7983618	0.8748164	0.7139213	0.85299957	0.7440868	0.82324034	0.77198446
2021-12-17	Australia	Delta	0.79864836	0.8745016	0.7142174	0.8535166	0.7442736	0.8232933	0.77191657
2021-12-18	Australia	Delta	0.7986996	0.874362	0.7149653	0.8533837	0.74350566	0.82292503	0.771935
2021-12-19	Australia	Delta	0.7984953	0.87463135	0.714989	0.85375714	0.7432985	0.823106	0.772066
2021-12-20	Australia	Delta	0.79839575	0.87533057	0.7148843	0.85380703	0.7433744	0.82311857	0.7721846
2021-12-21	Australia	Delta	0.79845464	0.87516344	0.7147029	0.853729	0.7435256	0.82297575	0.77223915
2021-12-22	Australia	Delta	0.7983047	0.87543446	0.7144921	0.8536772	0.74404055	0.82344455	0.77232873
2021-12-23	Australia	Delta	0.79831785	0.8758701	0.7142545	0.85365736	0.74382895	0.82324255	0.7721913
2021-12-24	Australia	Delta	0.7986288	0.87633055	0.7142186	0.8535289	0.74402374	0.8232923	0.77220285
2021-12-25	Australia	Delta	0.79886234	0.87668437	0.71417415	0.853637	0.7442384	0.82317847	0.7719528
