date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-06-20,Australia,Omicron 21K,0.9983967,1.3479834,0.75723934,1.2479672,0.8167505,1.1280649,0.9087614
2022-06-21,Australia,Omicron 21K,0.9985875,1.3514178,0.7572973,1.245823,0.8157723,1.1283323,0.9077116
2022-06-22,Australia,Omicron 21K,0.99913013,1.3523048,0.75584865,1.2441103,0.8148629,1.1280018,0.9074356
2022-06-23,Australia,Omicron 21K,0.9996452,1.3501103,0.75474375,1.2441992,0.8140688,1.1278193,0.9072959
2022-06-24,Australia,Omicron 21K,1.0003533,1.3479254,0.7544742,1.2418282,0.8137446,1.1278949,0.90704405
2022-06-25,Australia,Omicron 21K,1.0001087,1.3474623,0.7545297,1.2424349,0.8148756,1.1278601,0.9074533
2022-06-26,Australia,Omicron 21K,1.0006242,1.3471491,0.75421226,1.2430131,0.81611073,1.1275816,0.90774727
2022-06-27,Australia,Omicron 21K,1.0008776,1.3472877,0.75357085,1.2395643,0.81738085,1.1263783,0.90761167
2022-06-28,Australia,Omicron 21K,1.0008974,1.3472897,0.7530509,1.2369643,0.81808144,1.1241468,0.90773886
2022-06-29,Australia,Omicron 21K,1.0011057,1.3472046,0.75302243,1.2378157,0.818106,1.1240443,0.9078157
2022-06-30,Australia,Omicron 21K,1.0016618,1.3470955,0.75317824,1.2388477,0.81809807,1.123929,0.9082393
2022-07-01,Australia,Omicron 21K,1.0020802,1.3493643,0.7533541,1.2428095,0.8180607,1.1238142,0.9079197
2022-07-02,Australia,Omicron 21K,1.0020285,1.3513519,0.75351083,1.243657,0.8179968,1.1236788,0.9079375
2022-07-03,Australia,Omicron 21K,1.001472,1.350878,0.753723,1.2412267,0.8182219,1.123141,0.9079505
2022-07-04,Australia,Omicron 21K,1.0012801,1.350453,0.75417924,1.2422862,0.81862175,1.1227616,0.9077219
2022-07-05,Australia,Omicron 21K,1.0013425,1.3500772,0.7547095,1.2436714,0.8189645,1.1224731,0.9066834
2022-07-06,Australia,Omicron 21K,1.0011048,1.3497508,0.7553032,1.2449381,0.8192452,1.122412,0.9057319
2022-07-07,Australia,Omicron 21K,1.0006977,1.3506658,0.7559498,1.2460792,0.81945926,1.1223445,0.9066319
2022-07-08,Australia,Omicron 21K,1.0003377,1.3531244,0.7565008,1.2470493,0.81960183,1.1222675,0.9069272
2022-07-09,Australia,Omicron 21K,1.0002093,1.3556595,0.756606,1.246494,0.81921864,1.1221781,0.9070247
2022-07-10,Australia,Omicron 21K,1.0005504,1.3582084,0.756701,1.2445428,0.8187578,1.1223085,0.9071107
2022-07-11,Australia,Omicron 21K,1.0009149,1.3607078,0.7567887,1.2426685,0.8183742,1.122235,0.90785027
2022-07-12,Australia,Omicron 21K,1.0007983,1.363093,0.7568717,1.242331,0.8179952,1.1231431,0.90808797
2022-07-13,Australia,Omicron 21K,1.0005466,1.3652992,0.756798,1.242431,0.8182146,1.1237203,0.9077036
2022-07-14,Australia,Omicron 21K,1.000102,1.3672695,0.7557578,1.2422332,0.8188678,1.1228313,0.9072355
2022-07-15,Australia,Omicron 21K,0.99989116,1.368994,0.7547577,1.239676,0.8184886,1.1223007,0.9068232
2022-07-16,Australia,Omicron 21K,1.000313,1.3704801,0.7537966,1.2363603,0.817965,1.1219285,0.9064659
2022-07-17,Australia,Omicron 21K,1.000331,1.3717353,0.7532134,1.2363414,0.8174,1.1208984,0.90601826
2022-07-18,Australia,Omicron 21K,1.0007732,1.3727677,0.7531278,1.237177,0.8168122,1.120444,0.90563554
2022-07-19,Australia,Omicron 21K,1.0006771,1.3735849,0.7530451,1.2380224,0.8162377,1.1203085,0.9053652
2022-07-20,Australia,Omicron 21K,1.0005485,1.3741951,0.7529675,1.2376922,0.8156909,1.1202916,0.90509784
2022-07-21,Australia,Omicron 21K,1.0007523,1.3746072,0.7528974,1.2364041,0.8154052,1.1202776,0.90498275
2022-07-22,Australia,Omicron 21K,1.0009784,1.3748295,0.75283676,1.2348909,0.8152683,1.1202377,0.90495825
2022-07-23,Australia,Omicron 21K,1.0005546,1.3748707,0.7527882,1.2329938,0.8151055,1.1204154,0.90475166
2022-07-24,Australia,Omicron 21K,0.9996378,1.3751056,0.75275373,1.2309567,0.81490713,1.1204808,0.904253
2022-07-25,Australia,Omicron 21K,0.99957395,1.3749909,0.7527357,1.2298257,0.81503737,1.1205744,0.9040991
2022-07-26,Australia,Omicron 21K,0.9998666,1.3745306,0.7527353,1.2309232,0.8151698,1.1207466,0.90388966
2022-07-27,Australia,Omicron 21K,1.0002605,1.373781,0.7527525,1.2320415,0.81526685,1.1211143,0.9036331
2022-07-28,Australia,Omicron 21K,1.0006735,1.3729296,0.7527869,1.2321731,0.81531125,1.1213717,0.90333855
2022-07-29,Australia,Omicron 21K,1.0019559,1.3720627,0.7528382,1.2308275,0.81530917,1.1214986,0.90301514
2022-07-30,Australia,Omicron 21K,1.0023664,1.3712974,0.7529062,1.2312126,0.8152665,1.1217593,0.9026703
2022-07-31,Australia,Omicron 21K,1.0037076,1.370517,0.7529905,1.2304733,0.8151894,1.1221919,0.90159535
2022-08-01,Australia,Omicron 21K,1.0032821,1.369748,0.75309086,1.2305785,0.81508374,1.1225756,0.9009932
2022-08-02,Australia,Omicron 21K,1.002578,1.3690165,0.7524848,1.23101,0.8151206,1.1228967,0.90021753
2022-08-03,Australia,Omicron 21K,1.0018957,1.3683482,0.7516098,1.2307642,0.81516606,1.1230958,0.8998116
