date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-09-03,Brazil,Omicron 21K,0.011336932,0.020343196,0.005905946,0.017061362,0.007759029,0.013754308,0.009283493,,,,,,,
2022-09-04,Brazil,Omicron 21K,0.011848896,0.021573644,0.0060778377,0.017885774,0.008041044,0.014388135,0.009650778,,,,,,,
2022-09-05,Brazil,Omicron 21K,0.012334065,0.022862572,0.0062544993,0.018721,0.008314319,0.015037026,0.009953568,,,,,,,
2022-09-06,Brazil,Omicron 21K,0.012824789,0.024094619,0.006462862,0.019644227,0.008605855,0.015609482,0.010321539,,,,,,,
2022-09-07,Brazil,Omicron 21K,0.013361585,0.025386062,0.0066630747,0.020647826,0.0089363195,0.016303103,0.010732012,,,,,,,
2022-09-08,Brazil,Omicron 21K,0.013969056,0.026821062,0.0068660425,0.021625502,0.009264578,0.017055325,0.011094075,,,,,,,
2022-09-09,Brazil,Omicron 21K,0.014573132,0.028343976,0.007071861,0.022661474,0.009590085,0.017888557,0.011544641,,,,,,,
2022-09-10,Brazil,Omicron 21K,0.015156962,0.029955998,0.0071823276,0.02371316,0.00993817,0.018688666,0.011941604,,,,,,,
2022-09-11,Brazil,Omicron 21K,0.015813878,0.03161996,0.0074042426,0.024831379,0.010235914,0.019641798,0.012412716,,,,,,,
2022-09-12,Brazil,Omicron 21K,0.016527567,0.033272486,0.0076348274,0.025937844,0.010548813,0.020511877,0.012918048,,,,,,,
2022-09-13,Brazil,Omicron 21K,0.01713802,0.03500417,0.007872332,0.027135726,0.010868635,0.02139704,0.013358599,,,,,,,
2022-09-14,Brazil,Omicron 21K,0.017845668,0.03668385,0.008117115,0.028366793,0.011164966,0.02232059,0.013825552,,,,,,,
2022-09-15,Brazil,Omicron 21K,0.018576507,0.03840218,0.008358315,0.02966184,0.011403788,0.02334651,0.014264671,,,,,,,
2022-09-16,Brazil,Omicron 21K,0.019234398,0.040474795,0.0085786525,0.031251516,0.011704359,0.024493007,0.014674202,,,,,,,
2022-09-17,Brazil,Omicron 21K,0.01995483,0.042647153,0.008806262,0.032967772,0.012053093,0.025729682,0.015118291,,,,,,,
2022-09-18,Brazil,Omicron 21K,0.020800566,0.045207024,0.0091377655,0.034576014,0.012403274,0.027012274,0.015667439,,,,,,,
2022-09-19,Brazil,Omicron 21K,0.021700516,0.047794867,0.009486876,0.03606811,0.012759733,0.028316902,0.016245198,,,,,,,
2022-09-20,Brazil,Omicron 21K,0.02254694,0.05067686,0.009852223,0.03786001,0.0131408265,0.029637147,0.01700783,,,,,,,
2022-09-21,Brazil,Omicron 21K,0.023485873,0.05341637,0.010131252,0.039711226,0.013527028,0.030816933,0.017592583,,,,,,,
2022-09-22,Brazil,Omicron 21K,0.024428789,0.0560748,0.010420018,0.04176802,0.013865239,0.03227742,0.018197656,,,,,,,
2022-09-23,Brazil,Omicron 21K,0.02543196,0.058868915,0.010714982,0.043961797,0.01429583,0.033912346,0.0188459,,,,,,,
2022-09-24,Brazil,Omicron 21K,0.02641746,0.061987206,0.010933723,0.046354577,0.014706687,0.035409875,0.019415906,,,,,,,
2022-09-25,Brazil,Omicron 21K,0.02755621,0.06537473,0.011177897,0.048703313,0.015059101,0.036955874,0.019982165,,,,,,,
2022-09-26,Brazil,Omicron 21K,0.028681729,0.06892308,0.011476883,0.0514314,0.015395937,0.03863671,0.020682236,,,,,,,
2022-09-27,Brazil,Omicron 21K,0.029873967,0.0726392,0.011782223,0.054374903,0.015887858,0.040578756,0.021477895,,,,,,,
2022-09-28,Brazil,Omicron 21K,0.0311705,0.07654515,0.012093917,0.057458356,0.016445903,0.042448733,0.022263918,,,,,,,
2022-09-29,Brazil,Omicron 21K,0.032578506,0.08063705,0.012393444,0.060697872,0.016918661,0.044179443,0.022932282,,,,,,,
2022-09-30,Brazil,Omicron 21K,0.033850193,0.08525427,0.012697223,0.064099446,0.017431756,0.04605463,0.023645395,,,,,,,
