date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-04-03,Brazil,Delta,0.85989654,1.1486318,0.6521269,1.0230882,0.7113168,0.94192463,0.7867444
2022-04-04,Brazil,Delta,0.8607621,1.1522541,0.65044075,1.0232319,0.7113581,0.94170636,0.78702295
2022-04-05,Brazil,Delta,0.861112,1.1554854,0.6491098,1.024066,0.71054333,0.9424017,0.7871109
2022-04-06,Brazil,Delta,0.8617174,1.1584423,0.6480988,1.0248166,0.71019864,0.9408733,0.7871947
2022-04-07,Brazil,Delta,0.86255336,1.1583686,0.64744884,1.024442,0.7101257,0.94070053,0.7869258
2022-04-08,Brazil,Delta,0.86297107,1.1577194,0.6483921,1.0232956,0.71023154,0.941274,0.7862253
2022-04-09,Brazil,Delta,0.863639,1.157089,0.6492347,1.023119,0.71043074,0.9418751,0.7861648
2022-04-10,Brazil,Delta,0.86343086,1.1564751,0.6499679,1.0229179,0.71068054,0.94232225,0.78553236
2022-04-11,Brazil,Delta,0.86309826,1.1558819,0.6505666,1.0226979,0.71096563,0.9421828,0.78533256
2022-04-12,Brazil,Delta,0.86307156,1.1553192,0.6511005,1.0230384,0.71127033,0.9419478,0.7853052
2022-04-13,Brazil,Delta,0.86301726,1.1547699,0.65157664,1.0238526,0.7102542,0.94209206,0.78538734
2022-04-14,Brazil,Delta,0.86303043,1.1542344,0.6516874,1.0241413,0.70848006,0.9421194,0.7852284
2022-04-15,Brazil,Delta,0.8631531,1.1537127,0.65167725,1.0237132,0.7084971,0.9425823,0.78493166
2022-04-16,Brazil,Delta,0.86356175,1.1532105,0.65166163,1.024504,0.7090927,0.9424735,0.78453344
2022-04-17,Brazil,Delta,0.8633971,1.154108,0.65164,1.0257316,0.70972055,0.94260585,0.78548247
2022-04-18,Brazil,Delta,0.86312675,1.156982,0.65161246,1.0269147,0.71022433,0.9427519,0.78617406
2022-04-19,Brazil,Delta,0.8625894,1.1597992,0.6515322,1.0279152,0.71061575,0.9432074,0.78637826
2022-04-20,Brazil,Delta,0.86247796,1.162429,0.6512412,1.0284952,0.7109062,0.9430976,0.7864733
2022-04-21,Brazil,Delta,0.86262023,1.1648633,0.65062296,1.0290196,0.7111076,0.9432521,0.7862409
2022-04-22,Brazil,Delta,0.8624105,1.1670942,0.64999557,1.0292183,0.7112317,0.9433539,0.7857327
2022-04-23,Brazil,Delta,0.8622704,1.1691146,0.64938104,1.028144,0.71129036,0.94347525,0.7852231
2022-04-24,Brazil,Delta,0.8623009,1.1705234,0.6489692,1.0276762,0.7112952,0.9437626,0.7855339
2022-04-25,Brazil,Delta,0.86251044,1.1706524,0.6488694,1.027806,0.71125823,0.9439324,0.78560674
2022-04-26,Brazil,Delta,0.86272967,1.1707022,0.64871585,1.0283382,0.7107515,0.9440003,0.7853474
2022-04-27,Brazil,Delta,0.8625697,1.1706624,0.6484307,1.028831,0.7101447,0.94424224,0.78527725
2022-04-28,Brazil,Delta,0.8618872,1.1705356,0.6478251,1.0292832,0.70983624,0.94451696,0.78567505
2022-04-29,Brazil,Delta,0.862134,1.1703286,0.6471529,1.0293872,0.709529,0.94474787,0.7861389
2022-04-30,Brazil,Delta,0.8638075,1.1700487,0.64642835,1.0291646,0.70963854,0.94480956,0.7867526
2022-05-01,Brazil,Delta,0.86444753,1.1697932,0.6456659,1.0290353,0.70968294,0.9448727,0.78734887
2022-05-02,Brazil,Delta,0.8643827,1.1714423,0.6448797,1.0289975,0.7094415,0.9449191,0.78713524
2022-05-03,Brazil,Delta,0.86431575,1.1732666,0.644084,1.0289838,0.70925355,0.94479525,0.7877523
2022-05-04,Brazil,Delta,0.8639397,1.1752616,0.6433912,1.0290407,0.70914745,0.9442525,0.7878386
2022-05-05,Brazil,Delta,0.86323273,1.1775835,0.64278305,1.0291795,0.70902914,0.94364846,0.7875992
2022-05-06,Brazil,Delta,0.8630239,1.1802359,0.6421865,1.0293963,0.7093978,0.9436817,0.78721726
2022-05-07,Brazil,Delta,0.86244005,1.1812167,0.6417711,1.0296876,0.7096821,0.94350004,0.7868783
2022-05-08,Brazil,Delta,0.86213243,1.1805332,0.64142776,1.0294976,0.70985526,0.94300336,0.7868994
2022-05-09,Brazil,Delta,0.861642,1.1799002,0.6412828,1.0290581,0.7099378,0.9426343,0.7861249
2022-05-10,Brazil,Delta,0.8617973,1.1793079,0.6412615,1.0285785,0.7098899,0.9427196,0.7857909
2022-05-11,Brazil,Delta,0.8617058,1.1787457,0.6412661,1.0280752,0.70964515,0.9426659,0.7856381
2022-05-12,Brazil,Delta,0.8613322,1.1782023,0.64129514,1.0291029,0.7094189,0.9426553,0.7856099
2022-05-13,Brazil,Delta,0.8603384,1.1776669,0.6414533,1.0311928,0.7091744,0.94269776,0.7855253
2022-05-14,Brazil,Delta,0.86007166,1.177129,0.64173794,1.0332615,0.70884776,0.9433458,0.78522146
2022-05-15,Brazil,Delta,0.8601066,1.1770422,0.64203715,1.0344076,0.70859367,0.94289285,0.7850593
2022-05-16,Brazil,Delta,0.85977626,1.1769676,0.6423332,1.0348353,0.7083664,0.94301105,0.7849943
2022-05-17,Brazil,Delta,0.86009145,1.1768224,0.6424544,1.0350924,0.7084637,0.9431336,0.7851509
2022-05-18,Brazil,Delta,0.8601024,1.176605,0.6424188,1.035319,0.70884013,0.9431557,0.78488696
2022-05-19,Brazil,Delta,0.8598559,1.1763144,0.6423608,1.0355086,0.70918757,0.9430814,0.7848234
2022-05-20,Brazil,Delta,0.8596196,1.1759503,0.6422695,1.0356556,0.7095038,0.9428172,0.7846929
2022-05-21,Brazil,Delta,0.8599466,1.1755227,0.6421426,1.0357585,0.709791,0.9425162,0.7846816
2022-05-22,Brazil,Delta,0.85981697,1.1750457,0.64198184,1.0358179,0.71018076,0.9422662,0.78396654
2022-05-23,Brazil,Delta,0.85948825,1.1745336,0.64178896,1.035715,0.7106218,0.9420109,0.78317624
2022-05-24,Brazil,Delta,0.859266,1.1740007,0.64156556,1.0355419,0.71099824,0.9418458,0.7829199
2022-05-25,Brazil,Delta,0.85888374,1.1734614,0.6413133,1.0353757,0.7109291,0.94184047,0.78323984
2022-05-26,Brazil,Delta,0.85840344,1.1729298,0.64103407,1.0351973,0.7108158,0.94114786,0.78369325
2022-05-27,Brazil,Delta,0.8580694,1.1724201,0.64072937,1.0346618,0.7106989,0.94103825,0.78424966
2022-05-28,Brazil,Delta,0.85777926,1.1719466,0.64076483,1.0341905,0.7107485,0.94083154,0.7841853
2022-05-29,Brazil,Delta,0.85755104,1.1715235,0.6411642,1.0337789,0.71079457,0.9405618,0.78371996
2022-05-30,Brazil,Delta,0.8574027,1.1711648,0.6415243,1.0334235,0.71083784,0.9403719,0.7833736
2022-05-31,Brazil,Delta,0.8580383,1.1708846,0.6418295,1.0332597,0.7108792,0.94093096,0.78281313
2022-06-01,Brazil,Delta,0.8583467,1.1706908,0.64206964,1.0331932,0.7109197,0.94133353,0.7831471
2022-06-02,Brazil,Delta,0.8581451,1.1705768,0.64224803,1.0332477,0.71096075,0.94195336,0.7832132
2022-06-03,Brazil,Delta,0.8579761,1.1705348,0.64236915,1.0329089,0.71100366,0.9424252,0.78327334
