date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-08-03	Japan	Omicron 21K	4.5402696e-05	0.00015330392	1.5364694e-05	9.957093e-05	2.1609556e-05	6.9941576e-05	3.021112e-05							
2022-08-04	Japan	Omicron 21K	4.149227e-05	0.00014605925	1.3783586e-05	9.371065e-05	1.9541501e-05	6.498306e-05	2.7543258e-05							
2022-08-05	Japan	Omicron 21K	3.819174e-05	0.0001390602	1.241308e-05	8.796827e-05	1.7438593e-05	6.040774e-05	2.5133082e-05							
2022-08-06	Japan	Omicron 21K	3.4936398e-05	0.00013240465	1.1179056e-05	8.2531005e-05	1.5697085e-05	5.6146328e-05	2.275165e-05							
2022-08-07	Japan	Omicron 21K	3.206729e-05	0.00012595119	9.911411e-06	7.734797e-05	1.4270155e-05	5.211866e-05	2.0593216e-05							
2022-08-08	Japan	Omicron 21K	2.9478371e-05	0.00011981778	8.757497e-06	7.209523e-05	1.2861409e-05	4.836364e-05	1.8618352e-05							
2022-08-09	Japan	Omicron 21K	2.7003472e-05	0.00011401049	7.7368e-06	6.815463e-05	1.1589393e-05	4.4636785e-05	1.6997685e-05							
2022-08-10	Japan	Omicron 21K	2.4867179e-05	0.000108510045	6.8474073e-06	6.477296e-05	1.0415914e-05	4.138277e-05	1.5369445e-05							
2022-08-11	Japan	Omicron 21K	2.2891141e-05	0.0001032991	6.092582e-06	6.134457e-05	9.305593e-06	3.839885e-05	1.3875627e-05							
2022-08-12	Japan	Omicron 21K	2.105371e-05	9.836181e-05	5.428874e-06	5.741508e-05	8.3159875e-06	3.5522797e-05	1.258074e-05							
2022-08-13	Japan	Omicron 21K	1.9367422e-05	9.368411e-05	4.8492866e-06	5.3683765e-05	7.5189782e-06	3.3020544e-05	1.1427341e-05							
2022-08-14	Japan	Omicron 21K	1.7712298e-05	8.926228e-05	4.331751e-06	5.0193412e-05	6.7326023e-06	3.078986e-05	1.0384555e-05							
2022-08-15	Japan	Omicron 21K	1.6345955e-05	8.512878e-05	3.8643393e-06	4.7488265e-05	6.0740645e-06	2.8602639e-05	9.411908e-06							
2022-08-16	Japan	Omicron 21K	1.4994312e-05	8.1121485e-05	3.4344305e-06	4.5446388e-05	5.4973907e-06	2.6566535e-05	8.559166e-06							
2022-08-17	Japan	Omicron 21K	1.3799347e-05	7.7217606e-05	3.0519245e-06	4.242178e-05	4.9422683e-06	2.4686258e-05	7.787439e-06							
2022-08-18	Japan	Omicron 21K	1.261148e-05	7.350067e-05	2.7117417e-06	3.9806913e-05	4.4462236e-06	2.2940152e-05	7.0891174e-06							
2022-08-19	Japan	Omicron 21K	1.1496458e-05	6.9981834e-05	2.4211868e-06	3.712792e-05	4.005442e-06	2.130751e-05	6.4483265e-06							
2022-08-20	Japan	Omicron 21K	1.0567338e-05	6.6476074e-05	2.166289e-06	3.493463e-05	3.6190297e-06	1.9756106e-05	5.8518895e-06							
2022-08-21	Japan	Omicron 21K	9.723404e-06	6.312401e-05	1.9390109e-06	3.294818e-05	3.2578278e-06	1.8469475e-05	5.305142e-06							
2022-08-22	Japan	Omicron 21K	8.950941e-06	5.999252e-05	1.7347782e-06	3.1072246e-05	2.9226348e-06	1.7203221e-05	4.8123957e-06							
2022-08-23	Japan	Omicron 21K	8.218292e-06	5.698618e-05	1.5529109e-06	2.929958e-05	2.6362256e-06	1.6010727e-05	4.377644e-06							
2022-08-24	Japan	Omicron 21K	7.5180064e-06	5.378112e-05	1.3908891e-06	2.7623511e-05	2.3778334e-06	1.4903438e-05	3.950601e-06							
2022-08-25	Japan	Omicron 21K	6.9002135e-06	5.0764436e-05	1.2467401e-06	2.6027472e-05	2.1443457e-06	1.399322e-05	3.5892167e-06							
2022-08-26	Japan	Omicron 21K	6.3859384e-06	4.7934685e-05	1.1224088e-06	2.4507923e-05	1.932989e-06	1.3054213e-05	3.2486373e-06							
2022-08-27	Japan	Omicron 21K	5.8893024e-06	4.528546e-05	1.0108163e-06	2.3071192e-05	1.726483e-06	1.209979e-05	2.9459181e-06							
2022-08-28	Japan	Omicron 21K	5.412219e-06	4.2792977e-05	9.026845e-07	2.1712023e-05	1.5679278e-06	1.1280111e-05	2.6792154e-06							
2022-08-29	Japan	Omicron 21K	4.9430855e-06	4.0447856e-05	8.044687e-07	2.0410378e-05	1.419328e-06	1.0397757e-05	2.4361702e-06							
2022-08-30	Japan	Omicron 21K	4.531198e-06	3.866188e-05	7.1689647e-07	1.9020272e-05	1.2770385e-06	9.694772e-06	2.2038066e-06							
2022-08-31	Japan	Omicron 21K	4.1719795e-06	3.7078207e-05	6.38845e-07	1.7583281e-05	1.1486052e-06	9.038315e-06	1.996169e-06							
2022-09-01	Japan	Omicron 21K	3.8330636e-06	3.5343546e-05	5.6930315e-07	1.6628022e-05	1.0247185e-06	8.404224e-06	1.8216667e-06							
2022-09-02	Japan	Omicron 21K	3.5211322e-06	3.3390417e-05	5.0735724e-07	1.5767024e-05	9.095387e-07	7.859417e-06	1.6574784e-06							
2022-09-03	Japan	Omicron 21K	3.2340708e-06	3.154137e-05	4.52185e-07	1.4921819e-05	8.186714e-07	7.312862e-06	1.5119034e-06							
2022-09-04	Japan	Omicron 21K	2.9699443e-06	2.979075e-05	4.0305065e-07	1.399535e-05	7.394487e-07	6.781056e-06	1.3685014e-06							
2022-09-05	Japan	Omicron 21K	2.7269793e-06	2.8133112e-05	3.5929588e-07	1.3111146e-05	6.680849e-07	6.3134808e-06	1.2382138e-06							
2022-09-06	Japan	Omicron 21K	2.505228e-06	2.656316e-05	3.2033185e-07	1.2144914e-05	6.025408e-07	5.8866012e-06	1.1296735e-06							
2022-09-07	Japan	Omicron 21K	2.2981717e-06	2.5188521e-05	2.8563227e-07	1.1258485e-05	5.4100605e-07	5.4768425e-06	1.0221895e-06							
2022-09-08	Japan	Omicron 21K	2.1096043e-06	2.4067476e-05	2.5472767e-07	1.0609497e-05	4.877853e-07	5.08042e-06	9.2475307e-07							
2022-09-09	Japan	Omicron 21K	1.9400459e-06	2.2992921e-05	2.2719962e-07	1.0023562e-05	4.364584e-07	4.7316607e-06	8.377135e-07							
2022-09-10	Japan	Omicron 21K	1.7787512e-06	2.19604e-05	2.0267535e-07	9.437954e-06	3.902341e-07	4.4062594e-06	7.720481e-07							
2022-09-11	Japan	Omicron 21K	1.6334129e-06	2.0965781e-05	1.808231e-07	8.842958e-06	3.4886833e-07	4.102511e-06	7.0687355e-07							
