date	location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2022-02-18	Japan	Delta	0.60343707	0.7186811	0.50194794	0.6820966	0.5365916	0.6478819	0.5674472
2022-02-19	Japan	Delta	0.60361767	0.71931946	0.50022656	0.6815024	0.5361734	0.646756	0.5682767
2022-02-20	Japan	Delta	0.6035726	0.71981704	0.49959207	0.6820606	0.5356416	0.6457535	0.5686022
2022-02-21	Japan	Delta	0.6032456	0.720188	0.49854666	0.6803172	0.53544366	0.64505416	0.56863546
2022-02-22	Japan	Delta	0.60279953	0.72044694	0.49833238	0.6805204	0.5354976	0.6448291	0.5678911
2022-02-23	Japan	Delta	0.6027851	0.7206166	0.49828315	0.680863	0.53552425	0.64503133	0.568374
2022-02-24	Japan	Delta	0.60288763	0.7207049	0.4983617	0.68057597	0.5355242	0.6447236	0.56833935
2022-02-25	Japan	Delta	0.6032748	0.7209916	0.49838766	0.6803958	0.5355655	0.6449957	0.5685028
2022-02-26	Japan	Delta	0.603184	0.7210833	0.49854106	0.6806371	0.5353756	0.6444947	0.56872046
2022-02-27	Japan	Delta	0.60295403	0.7211828	0.4987818	0.68015915	0.5353531	0.6440664	0.5685805
2022-02-28	Japan	Delta	0.60315055	0.7211972	0.49901068	0.6801031	0.53546524	0.64350665	0.56847376
2022-03-01	Japan	Delta	0.60291326	0.72118515	0.49921766	0.68042946	0.53556216	0.6431892	0.5683714
2022-03-02	Japan	Delta	0.60300964	0.7214261	0.4993922	0.68071777	0.5355052	0.64295363	0.56891334
2022-03-03	Japan	Delta	0.602911	0.7219455	0.5002594	0.6804162	0.53540516	0.6428559	0.5691792
2022-03-04	Japan	Delta	0.6029081	0.7215003	0.50057137	0.6806121	0.5352328	0.6428199	0.5689552
2022-03-05	Japan	Delta	0.60279167	0.72150016	0.5004407	0.68079215	0.5349988	0.6428834	0.568913
2022-03-06	Japan	Delta	0.6028916	0.7216288	0.5003303	0.68065524	0.5347143	0.64224946	0.56888247
2022-03-07	Japan	Delta	0.60268915	0.7217575	0.500236	0.68041646	0.5345212	0.6423559	0.56886625
2022-03-08	Japan	Delta	0.6022427	0.72187626	0.50015354	0.6803953	0.53447425	0.642458	0.56884825
2022-03-09	Japan	Delta	0.6019187	0.7219751	0.50007874	0.6803848	0.5349609	0.6424176	0.5684231
2022-03-10	Japan	Delta	0.6018173	0.7220441	0.5000074	0.6808418	0.53522575	0.6426266	0.5680158
2022-03-11	Japan	Delta	0.60169697	0.72207314	0.49993533	0.680846	0.5356719	0.6426609	0.5676256
2022-03-12	Japan	Delta	0.60219425	0.7220692	0.4998585	0.6811055	0.5360724	0.6426047	0.56725156
2022-03-13	Japan	Delta	0.6023449	0.72200954	0.4997726	0.6813753	0.5364407	0.64229155	0.5666406
2022-03-14	Japan	Delta	0.6024156	0.72188663	0.4996559	0.68161225	0.53678274	0.64222455	0.56624615
2022-03-15	Japan	Delta	0.6025759	0.7217061	0.4995858	0.6818169	0.5370967	0.64210737	0.56617963
2022-03-16	Japan	Delta	0.6025994	0.72147787	0.49953762	0.6818108	0.5371159	0.64219636	0.56624746
2022-03-17	Japan	Delta	0.60270643	0.721212	0.4994873	0.68158853	0.5367529	0.6424404	0.5654135
2022-03-18	Japan	Delta	0.6026554	0.7209184	0.4989977	0.6823354	0.5363902	0.6426278	0.56472075
2022-03-19	Japan	Delta	0.6025815	0.720607	0.4989568	0.6825837	0.53630686	0.64252377	0.5646532
2022-03-20	Japan	Delta	0.6023406	0.72031057	0.49896365	0.68269634	0.5364004	0.6427548	0.56462795
2022-03-21	Japan	Delta	0.60236996	0.72089183	0.49897584	0.68223554	0.5364908	0.64301395	0.5647589
2022-03-22	Japan	Delta	0.602088	0.7214807	0.49899685	0.6824294	0.53651106	0.6430008	0.5645578
2022-03-23	Japan	Delta	0.6017444	0.72207046	0.49903208	0.68262017	0.5363922	0.6427323	0.5640051
2022-03-24	Japan	Delta	0.6014558	0.7226728	0.49908614	0.6824542	0.53629625	0.6427809	0.5640807
2022-03-25	Japan	Delta	0.6014215	0.7225716	0.49916327	0.6824651	0.5362433	0.6427702	0.5641498
2022-03-26	Japan	Delta	0.6014371	0.72245127	0.49926156	0.68269473	0.5362158	0.6432413	0.5643581
2022-03-27	Japan	Delta	0.6009389	0.7225971	0.49937576	0.6829183	0.53627753	0.64367926	0.5646473
2022-03-28	Japan	Delta	0.600759	0.72267616	0.49949878	0.682575	0.5363661	0.6441024	0.56482804
2022-03-29	Japan	Delta	0.6001157	0.72264063	0.4994821	0.681492	0.53647625	0.6439006	0.5649077
2022-03-30	Japan	Delta	0.6002512	0.72245646	0.49963376	0.6810949	0.5366728	0.64377606	0.56499267
2022-03-31	Japan	Delta	0.60061395	0.7222684	0.49985123	0.6807786	0.5369967	0.6437421	0.5647857
2022-04-01	Japan	Delta	0.60113245	0.72208756	0.49993977	0.68063253	0.5367851	0.64361656	0.56460655
2022-04-02	Japan	Delta	0.60124636	0.7219405	0.50000215	0.6804966	0.53614545	0.6433799	0.5645136
2022-04-03	Japan	Delta	0.6011833	0.721804	0.49986112	0.6800099	0.5356294	0.6433759	0.56459945
2022-04-04	Japan	Delta	0.6008928	0.72168124	0.49983713	0.67947316	0.5357186	0.6431867	0.56442475
2022-04-05	Japan	Delta	0.6006676	0.7215749	0.49992195	0.67934656	0.5358161	0.6430117	0.56434864
2022-04-06	Japan	Delta	0.60058856	0.7214874	0.49978647	0.6794525	0.5359833	0.64310443	0.56429327
2022-04-07	Japan	Delta	0.6007298	0.72142303	0.49959716	0.67951524	0.53615135	0.64284426	0.5643365
2022-04-08	Japan	Delta	0.600822	0.72137475	0.5007107	0.6795383	0.53609973	0.64283264	0.56469434
2022-04-09	Japan	Delta	0.6004534	0.7213378	0.5005704	0.679525	0.5359652	0.6429365	0.56474245
2022-04-10	Japan	Delta	0.6005092	0.72130895	0.50006044	0.67956835	0.5359376	0.6429454	0.5649498
2022-04-11	Japan	Delta	0.60073704	0.721285	0.49953455	0.68018615	0.5357354	0.6427175	0.5648877
2022-04-12	Japan	Delta	0.6009948	0.72126275	0.4989888	0.6807428	0.5355777	0.6425382	0.5645517
2022-04-13	Japan	Delta	0.60127723	0.7212392	0.49842995	0.6801213	0.5354341	0.6424897	0.5648774
2022-04-14	Japan	Delta	0.60141253	0.72121096	0.49842	0.68012327	0.53529847	0.64282215	0.564746
2022-04-15	Japan	Delta	0.6014004	0.7211751	0.49846447	0.68063617	0.53542215	0.6428388	0.5645838
2022-04-16	Japan	Delta	0.60132384	0.7211751	0.498514	0.6811708	0.5355902	0.6427147	0.5646213
2022-04-17	Japan	Delta	0.60108614	0.72140896	0.49856985	0.6812495	0.5357187	0.643046	0.56458855
2022-04-18	Japan	Delta	0.6006992	0.72160363	0.4985366	0.6809764	0.53581023	0.64331454	0.56446654
2022-04-19	Japan	Delta	0.6004295	0.7218188	0.49781156	0.6817542	0.53589875	0.6434934	0.5643687
2022-04-20	Japan	Delta	0.6005636	0.72204775	0.4971127	0.681701	0.5356848	0.6437233	0.5642731
2022-04-21	Japan	Delta	0.60058594	0.72228396	0.49644423	0.6814012	0.53547823	0.6433338	0.5641811
2022-04-22	Japan	Delta	0.6004566	0.7225238	0.49577448	0.68131393	0.534794	0.6435095	0.56409407
2022-04-23	Japan	Delta	0.6004329	0.7227686	0.49512205	0.6812092	0.5343434	0.64406514	0.5640319
2022-04-24	Japan	Delta	0.6002026	0.722967	0.49488086	0.6809258	0.53385556	0.64384437	0.5641098
2022-04-25	Japan	Delta	0.6000788	0.7230215	0.49477285	0.68097544	0.5339199	0.6439176	0.56419605
2022-04-26	Japan	Delta	0.6004283	0.72324616	0.49468064	0.6813786	0.5339688	0.64411473	0.5642847
2022-04-27	Japan	Delta	0.6001513	0.72352093	0.4946083	0.6815737	0.5336101	0.6436865	0.5642984
2022-04-28	Japan	Delta	0.5998844	0.7237989	0.49456	0.68089616	0.5332351	0.6435437	0.5642581
2022-04-29	Japan	Delta	0.5998382	0.7247011	0.4945395	0.6804487	0.5328498	0.644009	0.56423306
2022-04-30	Japan	Delta	0.59960806	0.7250054	0.49458265	0.6803884	0.53246033	0.64430344	0.56407094
2022-05-01	Japan	Delta	0.59924173	0.7252975	0.49463817	0.68027586	0.5322418	0.64437467	0.5645681
2022-05-02	Japan	Delta	0.59898436	0.72568756	0.49469858	0.68012106	0.53212434	0.6443515	0.5649036
2022-05-03	Japan	Delta	0.5988077	0.7257124	0.49476713	0.67993426	0.5320246	0.64437455	0.5648074
2022-05-04	Japan	Delta	0.59857416	0.72569644	0.49484706	0.6797255	0.5319844	0.6444516	0.56507707
2022-05-05	Japan	Delta	0.5983418	0.7256741	0.4949261	0.679094	0.5316986	0.64450276	0.56528556
2022-05-06	Japan	Delta	0.5983696	0.7256452	0.49490845	0.6788099	0.53144646	0.64454615	0.5654613
2022-05-07	Japan	Delta	0.59831995	0.7256097	0.49486777	0.678943	0.5312839	0.6443904	0.5656575
2022-05-08	Japan	Delta	0.5984031	0.7255675	0.49445504	0.679255	0.53150976	0.64443433	0.5658565
2022-05-09	Japan	Delta	0.5985292	0.7255186	0.49397004	0.67929244	0.53127426	0.6441569	0.56598085
2022-05-10	Japan	Delta	0.598685	0.72546273	0.49406195	0.6794282	0.5313926	0.6444471	0.5660039
2022-05-11	Japan	Delta	0.5988214	0.7254003	0.49416882	0.679463	0.53165966	0.6440293	0.5660274
2022-05-12	Japan	Delta	0.5987967	0.72533274	0.4942792	0.67952764	0.53204423	0.6441096	0.5654955
2022-05-13	Japan	Delta	0.5986784	0.72527635	0.4943911	0.6795423	0.53255004	0.643888	0.5654139
2022-05-14	Japan	Delta	0.5986047	0.72498757	0.4945029	0.6794741	0.53318137	0.6437065	0.56534195
2022-05-15	Japan	Delta	0.59869766	0.72423005	0.4946128	0.67949003	0.53365356	0.6436883	0.5655436
2022-05-16	Japan	Delta	0.59877706	0.7234627	0.49436462	0.6796612	0.5337055	0.64365244	0.5654139
2022-05-17	Japan	Delta	0.5988451	0.72289634	0.49390817	0.67994374	0.53377104	0.6437481	0.56533825
2022-05-18	Japan	Delta	0.59890383	0.72270095	0.4938302	0.6801696	0.5330893	0.6439681	0.5651626
2022-05-19	Japan	Delta	0.5989555	0.72250926	0.49380523	0.6803306	0.5323733	0.64384514	0.56514436
2022-05-20	Japan	Delta	0.5991136	0.7223249	0.49344847	0.6804187	0.5317389	0.64404535	0.56507194
2022-05-21	Japan	Delta	0.5992315	0.7221513	0.4922564	0.68042606	0.531193	0.6442736	0.5651655
2022-05-22	Japan	Delta	0.5995173	0.72199166	0.49226362	0.6803455	0.5314276	0.64412105	0.5651605
2022-05-23	Japan	Delta	0.5998521	0.7218434	0.49224922	0.68015736	0.5318795	0.6440967	0.5651421
2022-05-24	Japan	Delta	0.59988976	0.721699	0.49221689	0.680989	0.5319581	0.6444836	0.5647669
2022-05-25	Japan	Delta	0.59973586	0.7209453	0.4921704	0.6822223	0.53215694	0.644299	0.56457335
2022-05-26	Japan	Delta	0.6001349	0.72010386	0.49211338	0.6817794	0.5321661	0.6440377	0.5641215
2022-05-27	Japan	Delta	0.60060495	0.7205268	0.49204972	0.6815856	0.5323293	0.6441784	0.563728
2022-05-28	Japan	Delta	0.60053253	0.7208916	0.49259394	0.68239075	0.5326869	0.6443436	0.56414926
2022-05-29	Japan	Delta	0.6003597	0.7199893	0.49365136	0.68263245	0.53203917	0.6434879	0.5640277
2022-05-30	Japan	Delta	0.6004645	0.71899706	0.49296233	0.68236125	0.5325402	0.6434001	0.5636438
2022-05-31	Japan	Delta	0.6003737	0.7193514	0.49174118	0.6818053	0.53244966	0.6429286	0.56277204
2022-06-01	Japan	Delta	0.6007327	0.7201536	0.4912583	0.6810315	0.5323108	0.64317095	0.5628386
2022-02-18	Japan	Omicron 21K	0.7362902	0.7474007	0.7246778	0.74395704	0.7284639	0.7402655	0.7318686
2022-02-19	Japan	Omicron 21K	0.7363713	0.74753463	0.7247232	0.7439393	0.7285594	0.74017596	0.7321056
2022-02-20	Japan	Omicron 21K	0.7362928	0.74720764	0.7247218	0.7438906	0.7284219	0.7399186	0.7321597
2022-02-21	Japan	Omicron 21K	0.7361885	0.74712646	0.7246177	0.7435703	0.72839355	0.7399143	0.73213243
2022-02-22	Japan	Omicron 21K	0.73600054	0.74697685	0.7245374	0.74359584	0.7283827	0.7399963	0.7321956
2022-02-23	Japan	Omicron 21K	0.7360567	0.7469038	0.72440624	0.74380577	0.7283562	0.73997784	0.7322
2022-02-24	Japan	Omicron 21K	0.7360096	0.7470353	0.72425723	0.7435501	0.72833514	0.740014	0.7321862
2022-02-25	Japan	Omicron 21K	0.7360438	0.74707365	0.72425675	0.743536	0.72835237	0.7399788	0.7321162
2022-02-26	Japan	Omicron 21K	0.7360046	0.74711764	0.72436595	0.7434695	0.7283215	0.7400065	0.73211217
2022-02-27	Japan	Omicron 21K	0.7360276	0.7469404	0.72449666	0.7433733	0.72845817	0.7400885	0.732075
2022-02-28	Japan	Omicron 21K	0.73601335	0.74683344	0.7246785	0.74325895	0.72844523	0.74009335	0.73208064
2022-03-01	Japan	Omicron 21K	0.73604244	0.74681455	0.72477496	0.7431619	0.728606	0.74007905	0.73214364
2022-03-02	Japan	Omicron 21K	0.73601437	0.7467891	0.7248772	0.7431792	0.7285534	0.7399339	0.7321658
2022-03-03	Japan	Omicron 21K	0.7359091	0.74676687	0.7248858	0.7431717	0.7285695	0.73980844	0.7322471
2022-03-04	Japan	Omicron 21K	0.7359326	0.7467711	0.7249479	0.74311644	0.72863036	0.73983353	0.7322928
2022-03-05	Japan	Omicron 21K	0.7359755	0.7467214	0.7249527	0.7432756	0.7287082	0.73983055	0.73224455
2022-03-06	Japan	Omicron 21K	0.7360517	0.74658704	0.7250432	0.7433099	0.7288126	0.73974764	0.73229384
