date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-06-20,Japan,Omicron 21K,0.95925546,1.0962217,0.83226454,1.0524601,0.86987436,1.0091343,0.90882015
2022-06-21,Japan,Omicron 21K,0.9582439,1.0982674,0.83465,1.0549726,0.86982214,1.0080752,0.9081494
2022-06-22,Japan,Omicron 21K,0.9584662,1.0999154,0.83500206,1.0554394,0.8694428,1.0079354,0.9078531
2022-06-23,Japan,Omicron 21K,0.9589329,1.0998176,0.83554053,1.0541306,0.8715229,1.0074673,0.907802
2022-06-24,Japan,Omicron 21K,0.95890725,1.100728,0.8363641,1.055622,0.8726933,1.0069591,0.9081322
2022-06-25,Japan,Omicron 21K,0.9583138,1.101475,0.83727086,1.0551965,0.87149227,1.0066404,0.9089579
2022-06-26,Japan,Omicron 21K,0.9590378,1.1015646,0.83922905,1.054946,0.87030214,1.007987,0.9087479
2022-06-27,Japan,Omicron 21K,0.9592857,1.1030006,0.8398231,1.0552118,0.87036705,1.0090128,0.9092316
2022-06-28,Japan,Omicron 21K,0.9591696,1.1029184,0.8400345,1.0550959,0.87044686,1.0086178,0.9101248
2022-06-29,Japan,Omicron 21K,0.9594365,1.1031954,0.8401679,1.0556948,0.87059706,1.0075418,0.91069525
2022-06-30,Japan,Omicron 21K,0.9590999,1.1034014,0.840268,1.0566775,0.87060016,1.0069183,0.91016877
2022-07-01,Japan,Omicron 21K,0.9596541,1.1034338,0.84035695,1.0574871,0.86979234,1.0071396,0.90958726
2022-07-02,Japan,Omicron 21K,0.95966333,1.1027931,0.8402184,1.0570766,0.8693782,1.007259,0.90923
2022-07-03,Japan,Omicron 21K,0.95918167,1.1021152,0.8399681,1.0564854,0.8696862,1.0071974,0.90926564
2022-07-04,Japan,Omicron 21K,0.95847595,1.1014063,0.8396765,1.0559914,0.8700398,1.0071031,0.90921456
2022-07-05,Japan,Omicron 21K,0.95822835,1.1007272,0.8393764,1.0555524,0.8704252,1.0072341,0.9085593
2022-07-06,Japan,Omicron 21K,0.95797515,1.1010187,0.8390629,1.0551702,0.8704809,1.0069497,0.9086056
2022-07-07,Japan,Omicron 21K,0.9576343,1.1019769,0.83865297,1.0551819,0.8702891,1.0065403,0.9086168
2022-07-08,Japan,Omicron 21K,0.95788515,1.1012053,0.8382348,1.0555084,0.8701084,1.0063608,0.9085548
2022-07-09,Japan,Omicron 21K,0.95791876,1.1009628,0.8380408,1.0550456,0.8707125,1.0065106,0.908743
2022-07-10,Japan,Omicron 21K,0.9578902,1.1011317,0.8379829,1.0546482,0.8714146,1.0063266,0.90936613
2022-07-11,Japan,Omicron 21K,0.95779073,1.1014333,0.8379177,1.0547731,0.87207943,1.0062144,0.9099281
2022-07-12,Japan,Omicron 21K,0.9576945,1.1017444,0.8378459,1.0548571,0.8721489,1.0064988,0.9104402
2022-07-13,Japan,Omicron 21K,0.9576139,1.1017962,0.83811885,1.0555784,0.8715794,1.0067127,0.91129136
2022-07-14,Japan,Omicron 21K,0.95771664,1.1013279,0.8385104,1.0561854,0.8702949,1.0064487,0.9116329
2022-07-15,Japan,Omicron 21K,0.95754874,1.1008487,0.83885056,1.0570489,0.8701577,1.006481,0.91149306
2022-07-16,Japan,Omicron 21K,0.958156,1.1003665,0.83913887,1.0589529,0.86972713,1.0067332,0.91151726
2022-07-17,Japan,Omicron 21K,0.95869553,1.0998899,0.8393749,1.0588032,0.869792,1.0067756,0.9115102
2022-07-18,Japan,Omicron 21K,0.95913255,1.0994272,0.8395585,1.0594244,0.86988467,1.0063491,0.91137254
2022-07-19,Japan,Omicron 21K,0.9586241,1.0989869,0.83968914,1.05961,0.8700027,1.0066019,0.91160053
2022-07-20,Japan,Omicron 21K,0.95884466,1.0985768,0.83975863,1.0598958,0.8701438,1.007103,0.9121513
2022-07-21,Japan,Omicron 21K,0.9590401,1.0983711,0.83977354,1.0597512,0.8703157,1.0073335,0.91172373
2022-07-22,Japan,Omicron 21K,0.9593199,1.0985297,0.8397372,1.0595002,0.8704854,1.0072109,0.9112913
2022-07-23,Japan,Omicron 21K,0.95946413,1.0987277,0.839635,1.0593023,0.87068117,1.0075604,0.9109554
2022-07-24,Japan,Omicron 21K,0.9596032,1.0990112,0.8395223,1.0591666,0.87085867,1.0071619,0.91168857
2022-07-25,Japan,Omicron 21K,0.95942533,1.0993211,0.8395064,1.0590801,0.8709198,1.007176,0.9114018
2022-07-26,Japan,Omicron 21K,0.95993376,1.0996549,0.8393469,1.0590785,0.87137765,1.0073137,0.9112505
2022-07-27,Japan,Omicron 21K,0.9600568,1.1000085,0.8392687,1.0591503,0.87162656,1.0074654,0.91165745
2022-07-28,Japan,Omicron 21K,0.95995116,1.1003776,0.8388184,1.0592829,0.8718665,1.0076518,0.9113884
2022-07-29,Japan,Omicron 21K,0.9588837,1.1007581,0.83834577,1.059389,0.8717441,1.0074905,0.91135204
2022-07-30,Japan,Omicron 21K,0.9591136,1.1011454,0.8382642,1.0592233,0.8707821,1.0074168,0.91152936
2022-07-31,Japan,Omicron 21K,0.9600519,1.1015357,0.8380991,1.0573361,0.87077177,1.0077615,0.91158986
2022-08-01,Japan,Omicron 21K,0.96015525,1.1018851,0.83786845,1.0558144,0.8713376,1.0077717,0.91159546
2022-08-02,Japan,Omicron 21K,0.9603214,1.1020386,0.83759,1.0563974,0.8708239,1.0079778,0.91110617
2022-08-03,Japan,Omicron 21K,0.96027714,1.1021974,0.8372816,1.0573967,0.87100554,1.0082508,0.91061056
2022-08-04,Japan,Omicron 21K,0.9601989,1.1023571,0.8369373,1.0560136,0.87142175,1.0084126,0.9110253
2022-08-05,Japan,Omicron 21K,0.96035254,1.1025136,0.83646405,1.0556248,0.8717921,1.0086223,0.9110918
2022-08-06,Japan,Omicron 21K,0.96040446,1.1033872,0.83604205,1.0558574,0.8721672,1.0087134,0.9106395
2022-08-07,Japan,Omicron 21K,0.96038705,1.1042799,0.83594173,1.0561063,0.8725691,1.0086758,0.9105852
2022-08-08,Japan,Omicron 21K,0.96105444,1.1051655,0.8358487,1.05637,0.87293553,1.0087446,0.91065097
2022-08-09,Japan,Omicron 21K,0.9608035,1.1053829,0.8357605,1.056647,0.87323654,1.0091778,0.91095656
2022-08-10,Japan,Omicron 21K,0.96036357,1.1053519,0.8356745,1.0571659,0.87308615,1.0095623,0.9116121
2022-08-11,Japan,Omicron 21K,0.96019197,1.1053636,0.83558583,1.05745,0.8727148,1.009393,0.91245645
2022-08-12,Japan,Omicron 21K,0.9610133,1.1054263,0.8354769,1.0576872,0.87244654,1.0104543,0.9123937
2022-08-13,Japan,Omicron 21K,0.96105325,1.1055484,0.83559793,1.057261,0.87232137,1.0104773,0.91221243
2022-08-14,Japan,Omicron 21K,0.96089864,1.1058537,0.8357415,1.058334,0.8722377,1.010677,0.9119085
2022-08-15,Japan,Omicron 21K,0.9606946,1.1061746,0.8358867,1.0586847,0.8725623,1.0108732,0.9121046
2022-08-16,Japan,Omicron 21K,0.96016383,1.1064738,0.83604026,1.0586277,0.8732085,1.0109987,0.9122359
2022-08-17,Japan,Omicron 21K,0.9601245,1.106801,0.8362105,1.0584612,0.87375176,1.0114161,0.9119438
2022-08-18,Japan,Omicron 21K,0.9599298,1.107105,0.83639944,1.0587606,0.8736902,1.0116423,0.91088516
2022-08-19,Japan,Omicron 21K,0.9597652,1.1074958,0.83660537,1.0589598,0.87323755,1.011812,0.91104555
2022-08-20,Japan,Omicron 21K,0.9594736,1.1079103,0.8366089,1.0589073,0.87229466,1.0117505,0.91155
