date	location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2021-12-19	South Africa	Delta	0.91378653	1.0188886	0.8023981	0.9787256	0.83887994	0.94747335	0.87802476
2021-12-20	South Africa	Delta	0.91357005	1.0198462	0.80339754	0.9789849	0.8398169	0.9465648	0.8776987
2021-12-21	South Africa	Delta	0.9133481	1.0206252	0.80322015	0.97807586	0.841854	0.94639343	0.87729347
2021-12-22	South Africa	Delta	0.9131595	1.021298	0.8030108	0.9775853	0.8434058	0.9468473	0.876801
2021-12-23	South Africa	Delta	0.9132725	1.0209912	0.8033389	0.9775104	0.8441643	0.9472283	0.8767377
2021-12-24	South Africa	Delta	0.9137821	1.0206146	0.80406463	0.9785931	0.8440369	0.94697154	0.8770864
2021-12-25	South Africa	Delta	0.914402	1.019578	0.80363154	0.9800774	0.8437956	0.94740206	0.8771901
2021-12-26	South Africa	Delta	0.9142139	1.0183806	0.803097	0.9799356	0.84326684	0.94747555	0.87692606
2021-12-27	South Africa	Delta	0.91452074	1.0172799	0.80246437	0.9806148	0.84281003	0.94716954	0.8772663
2021-12-28	South Africa	Delta	0.9144275	1.0177364	0.8017863	0.9800017	0.84264773	0.94712496	0.8773245
2021-12-29	South Africa	Delta	0.91442794	1.0196446	0.8010819	0.9793875	0.8409966	0.9471222	0.8777572
2021-12-30	South Africa	Delta	0.9141858	1.0191052	0.8003708	0.9788652	0.84057975	0.9472201	0.8774255
2021-12-31	South Africa	Delta	0.91428435	1.0185437	0.7996664	0.9788502	0.8406993	0.94740003	0.87792057
2022-01-01	South Africa	Delta	0.9144585	1.017978	0.7989651	0.9791406	0.84086305	0.9476817	0.878038
2022-01-02	South Africa	Delta	0.9143088	1.0178312	0.79843014	0.9793807	0.8410626	0.947865	0.8782046
2022-01-03	South Africa	Delta	0.91392934	1.0180104	0.79800445	0.979576	0.841289	0.9483206	0.87827
2022-01-04	South Africa	Delta	0.91399825	1.0182083	0.7975656	0.97973216	0.8415878	0.9485962	0.87826025
2022-01-05	South Africa	Delta	0.9136557	1.0184427	0.79721844	0.97985464	0.84202325	0.94878256	0.8780862
2022-01-06	South Africa	Delta	0.9138062	1.0187877	0.79699993	0.9799492	0.841997	0.9489525	0.8782891
2022-01-07	South Africa	Delta	0.91380227	1.0192074	0.79680425	0.98002124	0.8423441	0.9489033	0.8779101
2022-01-08	South Africa	Delta	0.9143239	1.020289	0.7966317	0.98010844	0.8423535	0.94909495	0.8773781
2022-01-09	South Africa	Delta	0.9146038	1.0213841	0.7964827	0.9804179	0.842636	0.9487958	0.8769736
2022-01-10	South Africa	Delta	0.91457057	1.0216173	0.7963576	0.9806682	0.8433284	0.9487317	0.87673175
2022-01-11	South Africa	Delta	0.9141815	1.021777	0.7962568	0.98053443	0.84398234	0.9486695	0.8765986
2022-01-12	South Africa	Delta	0.91383743	1.0216386	0.7958199	0.980451	0.8440733	0.94884676	0.8768493
2022-01-13	South Africa	Delta	0.91336596	1.0211686	0.79517794	0.9804478	0.8437624	0.94883966	0.8774197
2022-01-14	South Africa	Delta	0.9133427	1.0206753	0.79456806	0.980867	0.84367496	0.94904876	0.87700206
2022-01-15	South Africa	Delta	0.9130761	1.0208609	0.79321516	0.9812257	0.8436517	0.9491808	0.8770833
2022-01-16	South Africa	Delta	0.9133693	1.0202258	0.792392	0.98139745	0.84358966	0.949364	0.8771561
2022-01-17	South Africa	Delta	0.9133869	1.0195575	0.7920631	0.98138916	0.8440412	0.94949985	0.8773725
2022-01-18	South Africa	Delta	0.9131023	1.0194293	0.79231966	0.9812692	0.84464806	0.9497779	0.87736523
2022-01-19	South Africa	Delta	0.9127459	1.0198213	0.7926142	0.9820179	0.84505403	0.9500179	0.87787366
2022-01-20	South Africa	Delta	0.91239154	1.020204	0.79295087	0.9827924	0.8451183	0.94995105	0.87792516
2022-01-21	South Africa	Delta	0.9118419	1.0206153	0.7932485	0.9831301	0.84495384	0.9495515	0.8779248
2022-01-22	South Africa	Delta	0.91228664	1.0207434	0.7932013	0.9830516	0.84464103	0.9490073	0.8781482
2022-01-23	South Africa	Delta	0.9125705	1.0185713	0.79327464	0.9830217	0.84437644	0.9486214	0.8780861
2022-01-24	South Africa	Delta	0.91273916	1.016848	0.7935517	0.9830296	0.84420747	0.94865286	0.8783637
2022-01-25	South Africa	Delta	0.912693	1.016825	0.79366946	0.9846614	0.8443811	0.9484086	0.87792885
2022-01-26	South Africa	Delta	0.91253203	1.0168102	0.7934589	0.9846785	0.8439228	0.9482398	0.87774056
2022-01-27	South Africa	Delta	0.9125192	1.0167997	0.7935897	0.98465514	0.8438801	0.9484216	0.8786363
2022-01-28	South Africa	Delta	0.9128625	1.0167896	0.7937163	0.9845982	0.8438551	0.9482554	0.8782148
2022-01-29	South Africa	Delta	0.91348153	1.016595	0.7938362	0.9845148	0.8440966	0.9487181	0.87760466
2022-01-30	South Africa	Delta	0.91351056	1.0163128	0.7939466	0.9844074	0.84395	0.9496579	0.8773158
2022-01-31	South Africa	Delta	0.9143123	1.0167217	0.79404485	0.9843014	0.84340245	0.9498812	0.8769458
2022-02-01	South Africa	Delta	0.9142608	1.0166737	0.7941284	0.984249	0.8431737	0.94985425	0.8767872
2022-02-02	South Africa	Delta	0.9140018	1.0172141	0.79419464	0.98417616	0.8429297	0.9494663	0.8767396
2022-02-03	South Africa	Delta	0.9137889	1.0179858	0.7942409	0.9843635	0.84308404	0.9492066	0.8769523
2022-02-04	South Africa	Delta	0.91381186	1.0186039	0.79426515	0.983843	0.8426395	0.94897974	0.87662226
2022-02-05	South Africa	Delta	0.91381	1.0189815	0.79427075	0.98376083	0.8422036	0.949053	0.8774291
2022-02-06	South Africa	Delta	0.9136613	1.019094	0.79426336	0.9836938	0.8418864	0.9489746	0.8781318
2022-02-07	South Africa	Delta	0.91357213	1.0192113	0.7942488	0.98362315	0.84158957	0.9480485	0.8786491
2022-02-08	South Africa	Delta	0.9136201	1.019337	0.79423285	0.9835988	0.8412957	0.9485543	0.8784483
2022-02-09	South Africa	Delta	0.9134767	1.019475	0.7942211	0.98348475	0.8407853	0.9484112	0.8779546
2022-02-10	South Africa	Delta	0.9137826	1.0196288	0.7942195	0.9834287	0.84068346	0.9480394	0.8779017
2022-02-11	South Africa	Delta	0.91374975	1.0198022	0.7939067	0.9834714	0.8406475	0.94830084	0.87840796
2022-02-12	South Africa	Delta	0.91276264	1.0198036	0.7929627	0.98344034	0.8405238	0.9484848	0.87878245
2022-02-13	South Africa	Delta	0.9120423	1.0197811	0.7919642	0.98342216	0.84045553	0.94912624	0.8791967
2022-02-14	South Africa	Delta	0.9119774	1.0197864	0.7909297	0.9834272	0.84038085	0.94979674	0.8792429
2022-02-15	South Africa	Delta	0.9116694	1.019839	0.79096365	0.9834628	0.8393049	0.9493151	0.8800812
2022-02-16	South Africa	Delta	0.91175246	1.019948	0.7910379	0.9835328	0.8396513	0.94940686	0.88079876
2022-02-17	South Africa	Delta	0.9120511	1.0200998	0.7911475	0.98385257	0.83991337	0.94989204	0.8800236
2022-02-18	South Africa	Delta	0.9122696	1.0202775	0.79128635	0.9837634	0.839722	0.9502381	0.87943166
2022-02-19	South Africa	Delta	0.91237146	1.0204644	0.7914288	0.98401934	0.83958435	0.95014596	0.87868667
2022-02-20	South Africa	Delta	0.9123408	1.0206442	0.7912587	0.98412526	0.83958036	0.9500418	0.87880677
2022-02-21	South Africa	Delta	0.9125321	1.0207999	0.7908038	0.9841898	0.83930373	0.9502141	0.87781227
2022-02-22	South Africa	Delta	0.9127499	1.0209421	0.7900289	0.9845615	0.83842796	0.9501623	0.87744504
2022-02-23	South Africa	Delta	0.9128081	1.0210489	0.7893549	0.98540103	0.8389511	0.9499349	0.8776408
2022-02-24	South Africa	Delta	0.91300225	1.0206264	0.7893026	0.985461	0.8401354	0.9504087	0.87741905
2022-02-25	South Africa	Delta	0.9129511	1.0201218	0.7892082	0.9854512	0.83939946	0.950809	0.87749785
2022-02-26	South Africa	Delta	0.91313773	1.0201132	0.789064	0.9856249	0.839354	0.9514799	0.8780847
2022-02-27	South Africa	Delta	0.9131619	1.020165	0.788863	0.98573244	0.8410856	0.95202196	0.877918
2022-02-28	South Africa	Delta	0.9133356	1.0203091	0.7886059	0.9858265	0.8428467	0.95176196	0.87782276
2022-03-01	South Africa	Delta	0.9130851	1.020501	0.78829837	0.98592144	0.8427342	0.951347	0.8778226
2022-03-02	South Africa	Delta	0.9129778	1.020741	0.7874222	0.98615456	0.8439062	0.9517921	0.87825954
2022-03-03	South Africa	Delta	0.91285884	1.0212734	0.78731763	0.9869479	0.844404	0.952306	0.8783081
