date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-01-01	Trinidad and Tobago	Delta	0.6753434	0.74024975	0.60639596	0.71756375	0.62763464	0.69810104	0.64963347							
2022-01-02	Trinidad and Tobago	Delta	0.65712285	0.7223621	0.5858872	0.69993204	0.6093178	0.6793571	0.6314176							
2022-01-03	Trinidad and Tobago	Delta	0.6382818	0.70315874	0.5655247	0.6817048	0.59057605	0.6607057	0.6127948							
2022-01-04	Trinidad and Tobago	Delta	0.61895204	0.6840532	0.5462768	0.66333944	0.5714879	0.6418971	0.59371495							
2022-01-05	Trinidad and Tobago	Delta	0.5985806	0.6663321	0.52445614	0.6440196	0.5506833	0.6225513	0.5743859							
2022-01-06	Trinidad and Tobago	Delta	0.57810575	0.6482183	0.5016826	0.6244425	0.5310388	0.60381305	0.5543408							
2022-01-07	Trinidad and Tobago	Delta	0.55709887	0.62985444	0.48013008	0.60456073	0.5103899	0.5840359	0.5340561							
2022-01-08	Trinidad and Tobago	Delta	0.5371581	0.61072445	0.45793197	0.5841734	0.49013367	0.56495917	0.5126875							
2022-01-09	Trinidad and Tobago	Delta	0.51601595	0.589867	0.4359761	0.56441355	0.46999326	0.54460067	0.49167296							
2022-01-10	Trinidad and Tobago	Delta	0.49545395	0.5712381	0.41486412	0.5442637	0.44990885	0.5245174	0.47027084							
2022-01-11	Trinidad and Tobago	Delta	0.47462666	0.551882	0.39208043	0.52501357	0.4287851	0.5041642	0.44878596							
2022-01-12	Trinidad and Tobago	Delta	0.4547966	0.53362453	0.36962533	0.50506115	0.40802222	0.48379722	0.4285076							
2022-01-13	Trinidad and Tobago	Delta	0.434518	0.5128701	0.35143545	0.48631313	0.38734418	0.46257824	0.40930504							
2022-01-14	Trinidad and Tobago	Delta	0.41389924	0.49044037	0.3343412	0.46664917	0.3658852	0.4429729	0.3882042							
2022-01-15	Trinidad and Tobago	Delta	0.3935122	0.46982604	0.31697398	0.44732034	0.34725296	0.42445198	0.36848047							
2022-01-16	Trinidad and Tobago	Delta	0.37324154	0.45069522	0.29896575	0.42873725	0.3280397	0.40546638	0.34948435							
2022-01-17	Trinidad and Tobago	Delta	0.3543894	0.43071347	0.27995002	0.4100529	0.30761153	0.38657844	0.33081827							
2022-01-18	Trinidad and Tobago	Delta	0.33622468	0.41316372	0.26153797	0.3923724	0.28913414	0.36876714	0.31230682							
2022-01-19	Trinidad and Tobago	Delta	0.31840324	0.397128	0.24404979	0.37435892	0.2707965	0.35058486	0.2957645							
2022-01-20	Trinidad and Tobago	Delta	0.3012129	0.38015044	0.22764593	0.357959	0.2533485	0.33318084	0.27828813							
2022-01-21	Trinidad and Tobago	Delta	0.28446424	0.36295253	0.2128494	0.34101477	0.23618549	0.31545863	0.2617495							
2022-01-22	Trinidad and Tobago	Delta	0.26862407	0.3476293	0.1985276	0.3254323	0.22005732	0.29891023	0.24656984							
2022-01-23	Trinidad and Tobago	Delta	0.25359	0.33162087	0.18510315	0.31003934	0.20521095	0.28333598	0.23124085							
2022-01-24	Trinidad and Tobago	Delta	0.23913427	0.31652167	0.17219953	0.29611385	0.19283965	0.2684457	0.21713616							
