date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-02-01,Trinidad and Tobago,Delta,0.14962712,0.24026409,0.08220811,0.20843504,0.1035986,0.1828875,0.12504546,,,,,,,
2022-02-02,Trinidad and Tobago,Delta,0.14082038,0.2308695,0.07604349,0.19925201,0.09555869,0.1745202,0.11714635,,,,,,,
2022-02-03,Trinidad and Tobago,Delta,0.13246715,0.22192721,0.07033843,0.19028947,0.088098064,0.16559628,0.10992618,,,,,,,
2022-02-04,Trinidad and Tobago,Delta,0.124533996,0.2132037,0.065066196,0.18154399,0.08121685,0.15716039,0.1027991,,,,,,,
2022-02-05,Trinidad and Tobago,Delta,0.117300496,0.20483239,0.06019421,0.17385557,0.07493995,0.14877047,0.09614027,,,,,,,
2022-02-06,Trinidad and Tobago,Delta,0.11073761,0.19754821,0.055640668,0.16630767,0.0693746,0.14125842,0.08965294,,,,,,,
2022-02-07,Trinidad and Tobago,Delta,0.1043126,0.19016483,0.05117905,0.15833005,0.06404102,0.13423158,0.08365159,,,,,,,
2022-02-08,Trinidad and Tobago,Delta,0.09832142,0.1825521,0.0472415,0.15105106,0.05917171,0.12699178,0.078124195,,,,,,,
2022-02-09,Trinidad and Tobago,Delta,0.09037653,0.17085467,0.042522937,0.14131358,0.053738955,0.118193895,0.07111846,,,,,,,
2022-02-10,Trinidad and Tobago,Delta,0.08262624,0.15982613,0.038058534,0.13104023,0.04857066,0.10816036,0.064777255,,,,,,,
2022-02-11,Trinidad and Tobago,Delta,0.076628596,0.15156604,0.034552425,0.123040065,0.044461783,0.10097399,0.0594779,,,,,,,
2022-02-12,Trinidad and Tobago,Delta,0.07112438,0.14388639,0.03142632,0.115805626,0.040882204,0.094283715,0.054567125,,,,,,,
2022-02-13,Trinidad and Tobago,Delta,0.06556624,0.13615012,0.028530948,0.10815591,0.037152488,0.08782504,0.05033764,,,,,,,
2022-02-14,Trinidad and Tobago,Delta,0.06042941,0.12889485,0.02595288,0.10125193,0.03385996,0.08215271,0.046205707,,,,,,,
2022-02-15,Trinidad and Tobago,Delta,0.05591646,0.12206894,0.023536202,0.094943434,0.030903438,0.07710319,0.04248831,,,,,,,
2022-02-16,Trinidad and Tobago,Delta,0.051757764,0.11550258,0.021280013,0.08931503,0.028078403,0.07198428,0.039047092,,,,,,,
2022-02-17,Trinidad and Tobago,Delta,0.04801458,0.10883133,0.019268408,0.08375485,0.025408942,0.066819996,0.035878044,,,,,,,
2022-02-18,Trinidad and Tobago,Delta,0.044386923,0.10253693,0.017481377,0.07853087,0.0232715,0.062407266,0.0330294,,,,,,,
2022-02-19,Trinidad and Tobago,Delta,0.04104994,0.096856676,0.015824987,0.07366799,0.021078598,0.05843567,0.030473325,,,,,,,
2022-02-20,Trinidad and Tobago,Delta,0.03802373,0.09223786,0.014332744,0.06912134,0.019330924,0.05428114,0.028121222,,,,,,,
2022-02-21,Trinidad and Tobago,Delta,0.035198182,0.0878885,0.012934025,0.064853325,0.017746052,0.050635956,0.025917586,,,,,,,
2022-02-22,Trinidad and Tobago,Delta,0.03261722,0.08379747,0.011670949,0.061269306,0.016305257,0.047327634,0.023872226,,,,,,,
2022-02-23,Trinidad and Tobago,Delta,0.031037927,0.08085357,0.010782262,0.058934096,0.0151358815,0.04540644,0.022322979,,,,,,,
2022-02-24,Trinidad and Tobago,Delta,0.029857026,0.078282245,0.010125901,0.056973755,0.014181156,0.043931037,0.02117465,,,,,,,
2022-02-25,Trinidad and Tobago,Delta,0.028137827,0.07519449,0.009409457,0.054408833,0.013152907,0.04180807,0.019903153,,,,,,,
2022-02-26,Trinidad and Tobago,Delta,0.026435114,0.072158426,0.008696339,0.051924884,0.012254454,0.039595168,0.018566554,,,,,,,
2022-02-27,Trinidad and Tobago,Delta,0.024761152,0.06945109,0.008074045,0.04980211,0.011495573,0.03761948,0.01737672,,,,,,,
2022-02-28,Trinidad and Tobago,Delta,0.023414081,0.06687685,0.007521881,0.04785973,0.010761872,0.035830915,0.016363665,,,,,,,
2022-03-01,Trinidad and Tobago,Delta,0.022007272,0.06433215,0.006993207,0.045957882,0.010039226,0.03399752,0.015421513,,,,,,,
2022-03-02,Trinidad and Tobago,Delta,0.020720221,0.061950587,0.0064978497,0.044085905,0.009367798,0.03234125,0.014446212,,,,,,,
2022-03-03,Trinidad and Tobago,Delta,0.019548869,0.05970396,0.0060421606,0.04237732,0.008746229,0.030608512,0.01354159,,,,,,,
2022-03-04,Trinidad and Tobago,Delta,0.01845497,0.05760221,0.0056085484,0.040767148,0.00816646,0.029129155,0.012697028,,,,,,,
2022-03-05,Trinidad and Tobago,Delta,0.01741295,0.05556857,0.0051963395,0.039226945,0.0076226066,0.027699007,0.011904619,,,,,,,
2022-03-06,Trinidad and Tobago,Delta,0.016418517,0.05360415,0.0048132017,0.037554502,0.007097717,0.026247352,0.011095644,,,,,,,
2022-03-07,Trinidad and Tobago,Delta,0.015507693,0.051643316,0.004458904,0.035932183,0.0065980367,0.024917422,0.010368943,,,,,,,
2022-03-08,Trinidad and Tobago,Delta,0.01461116,0.049904715,0.0041308734,0.03432925,0.006132444,0.023629645,0.009702215,,,,,,,
2022-03-09,Trinidad and Tobago,Delta,0.013776057,0.048148952,0.003826714,0.0328355,0.0057016704,0.022402577,0.0090668015,,,,,,,
2022-03-10,Trinidad and Tobago,Delta,0.012970205,0.04638011,0.0035403064,0.031405866,0.005307788,0.021273063,0.008461433,,,,,,,
2022-03-11,Trinidad and Tobago,Delta,0.012176121,0.04459784,0.0032707774,0.030038929,0.004928167,0.020163985,0.007913335,,,,,,,
2022-03-12,Trinidad and Tobago,Delta,0.011462579,0.042880125,0.00302198,0.02875645,0.004574177,0.019056609,0.0073429756,,,,,,,
2022-03-13,Trinidad and Tobago,Delta,0.0108051095,0.041213773,0.0027923398,0.027537722,0.004246163,0.01804385,0.0068746684,,,,,,,
2022-03-14,Trinidad and Tobago,Delta,0.010183083,0.039595626,0.0025804637,0.02637041,0.0039500645,0.01709877,0.0064944783,,,,,,,
2022-03-15,Trinidad and Tobago,Delta,0.009570744,0.03805039,0.0023845849,0.025253119,0.0036776178,0.016207157,0.0060993815,,,,,,,
2022-03-16,Trinidad and Tobago,Delta,0.008996241,0.036538333,0.0022037737,0.024101507,0.003422616,0.015370944,0.0057215123,,,,,,,
2022-03-17,Trinidad and Tobago,Delta,0.00847603,0.034997284,0.0020370935,0.023078255,0.0031839,0.014625473,0.0053689694,,,,,,,
2022-03-18,Trinidad and Tobago,Delta,0.007998856,0.033508554,0.0018834092,0.022096273,0.0029541026,0.013904172,0.00501293,,,,,,,
2022-03-19,Trinidad and Tobago,Delta,0.0075121084,0.03218355,0.0017416634,0.021141427,0.0027322858,0.013195628,0.004676414,,,,,,,
2022-03-20,Trinidad and Tobago,Delta,0.007068879,0.031003552,0.001610894,0.020163732,0.0025166888,0.012531302,0.004366973,,,,,,,
2022-03-21,Trinidad and Tobago,Delta,0.0066649197,0.029814534,0.0014883061,0.019171,0.0023160696,0.011903405,0.0040793563,,,,,,,
2022-03-22,Trinidad and Tobago,Delta,0.0062823324,0.02867736,0.0013730659,0.018247332,0.0021297582,0.011308244,0.0038246622,,,,,,,
2022-03-23,Trinidad and Tobago,Delta,0.005909737,0.02766751,0.0012678031,0.017421944,0.0019567364,0.010773366,0.0035646595,,,,,,,
2022-03-24,Trinidad and Tobago,Delta,0.0055521308,0.026698675,0.0011721089,0.016627977,0.0017975908,0.010272618,0.0032940868,,,,,,,
2022-03-25,Trinidad and Tobago,Delta,0.0052146222,0.025769172,0.0010839277,0.015863862,0.0016610043,0.009757918,0.0030598065,,,,,,,
2022-03-26,Trinidad and Tobago,Delta,0.00490777,0.0248775,0.0010025338,0.015142869,0.0015357198,0.00924036,0.0028564746,,,,,,,
2022-03-27,Trinidad and Tobago,Delta,0.004625409,0.02402178,0.000923495,0.014502029,0.0014175194,0.008763037,0.0026692264,,,,,,,
2022-03-28,Trinidad and Tobago,Delta,0.0043546865,0.023176596,0.00085060904,0.013902102,0.001314002,0.008271638,0.0024684395,,,,,,,
2022-03-29,Trinidad and Tobago,Delta,0.0040987143,0.022282308,0.00078309793,0.013334808,0.0012285452,0.007849207,0.0022853217,,,,,,,
2022-03-30,Trinidad and Tobago,Delta,0.0038270964,0.021405205,0.0007216502,0.012784679,0.0011327844,0.0074236044,0.0021387883,,,,,,,
2022-03-31,Trinidad and Tobago,Delta,0.0035641748,0.020534858,0.0006662081,0.011989493,0.001041721,0.0070421593,0.0020027126,,,,,,,
2022-04-01,Trinidad and Tobago,Delta,0.003313009,0.019697897,0.00061369245,0.011284292,0.0009579084,0.006650873,0.0018631888,,,,,,,
2022-02-01,Trinidad and Tobago,Omicron 21K,0.82682085,0.8988812,0.7394608,0.8760058,0.7709566,0.8534843,0.79632866,,,,,,,
2022-02-02,Trinidad and Tobago,Omicron 21K,0.8348833,0.90534043,0.7481421,0.8833229,0.7806168,0.86094815,0.80529344,,,,,,,
2022-02-03,Trinidad and Tobago,Omicron 21K,0.84247786,0.9112427,0.7565974,0.889641,0.7883279,0.8683387,0.81405646,,,,,,,
2022-02-04,Trinidad and Tobago,Omicron 21K,0.8499986,0.9166007,0.7647749,0.8961117,0.7951099,0.8754399,0.8217542,,,,,,,
2022-02-05,Trinidad and Tobago,Omicron 21K,0.8574324,0.921487,0.77211833,0.90154254,0.80199766,0.8816599,0.8295192,,,,,,,
2022-02-06,Trinidad and Tobago,Omicron 21K,0.8636074,0.92606795,0.7790677,0.9073386,0.8090645,0.8877745,0.83651245,,,,,,,
2022-02-07,Trinidad and Tobago,Omicron 21K,0.8695172,0.93031144,0.7856499,0.9120388,0.81657624,0.89330965,0.8417497,,,,,,,
2022-02-08,Trinidad and Tobago,Omicron 21K,0.8737172,0.9332207,0.7910691,0.9158155,0.8214797,0.8970737,0.8474014,,,,,,,
2022-02-09,Trinidad and Tobago,Omicron 21K,0.85750616,0.91632617,0.7783434,0.89895487,0.8074635,0.8812279,0.8334331,,,,,,,
2022-02-10,Trinidad and Tobago,Omicron 21K,0.8383491,0.89993966,0.7558305,0.8829508,0.78520274,0.8629632,0.8122324,,,,,,,
2022-02-11,Trinidad and Tobago,Omicron 21K,0.8289062,0.8947165,0.74766743,0.8774295,0.77406436,0.85580605,0.80258703,,,,,,,
2022-02-12,Trinidad and Tobago,Omicron 21K,0.8220761,0.8895648,0.7402246,0.873391,0.764004,0.8495517,0.79439557,,,,,,,
2022-02-13,Trinidad and Tobago,Omicron 21K,0.81146944,0.8836198,0.72498477,0.8648931,0.7507596,0.8412184,0.78089154,,,,,,,
2022-02-14,Trinidad and Tobago,Omicron 21K,0.8008794,0.8767662,0.70977795,0.8583211,0.7358895,0.8313961,0.7654336,,,,,,,
2022-02-15,Trinidad and Tobago,Omicron 21K,0.78987,0.8709754,0.689783,0.85311615,0.72322625,0.82498,0.75532997,,,,,,,
2022-02-16,Trinidad and Tobago,Omicron 21K,0.7810892,0.8675126,0.6735343,0.84670186,0.70772517,0.81645393,0.74430114,,,,,,,
2022-02-17,Trinidad and Tobago,Omicron 21K,0.7712951,0.8618233,0.65654874,0.8388491,0.69454664,0.8081095,0.7322056,,,,,,,
2022-02-18,Trinidad and Tobago,Omicron 21K,0.7610031,0.8567527,0.63901746,0.83158207,0.6820352,0.80009854,0.72056353,,,,,,,
2022-02-19,Trinidad and Tobago,Omicron 21K,0.7525878,0.85195726,0.6226222,0.8242403,0.6701602,0.7937255,0.7095695,,,,,,,
