date	location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2022-04-03	Trinidad and Tobago	Delta	0.9781554	1.4611511	0.6427157	1.2715735	0.7584173	1.121229	0.85669506
2022-04-04	Trinidad and Tobago	Delta	0.9768538	1.461718	0.6426786	1.2714436	0.75821346	1.120338	0.8556752
2022-04-05	Trinidad and Tobago	Delta	0.97704524	1.4621463	0.6426897	1.273981	0.75839484	1.121384	0.85563505
2022-04-06	Trinidad and Tobago	Delta	0.97655845	1.4626732	0.6427418	1.2772435	0.7584585	1.1194466	0.85525656
2022-04-07	Trinidad and Tobago	Delta	0.9766654	1.4632719	0.642828	1.2775205	0.7570986	1.1180098	0.85519075
2022-04-08	Trinidad and Tobago	Delta	0.9768683	1.4639153	0.64294136	1.2768849	0.7559713	1.1187247	0.85525334
2022-04-09	Trinidad and Tobago	Delta	0.97693574	1.4645774	0.6430753	1.2776479	0.75526845	1.1193686	0.8561045
2022-04-10	Trinidad and Tobago	Delta	0.97720957	1.4652326	0.6432227	1.2796372	0.7548804	1.1199275	0.8568331
2022-04-11	Trinidad and Tobago	Delta	0.977382	1.465855	0.6433768	1.2810045	0.7546855	1.1203879	0.8570016
2022-04-12	Trinidad and Tobago	Delta	0.9772568	1.4664192	0.6435307	1.2811716	0.75438654	1.1207361	0.85636914
2022-04-13	Trinidad and Tobago	Delta	0.9771118	1.4668996	0.6422367	1.2806461	0.75319064	1.1209586	0.8555496
2022-04-14	Trinidad and Tobago	Delta	0.9770585	1.4672704	0.6407667	1.2801927	0.7519794	1.1210413	0.8547187
2022-04-15	Trinidad and Tobago	Delta	0.9771238	1.4675066	0.63938874	1.2798786	0.75076276	1.1208187	0.8542621
2022-04-16	Trinidad and Tobago	Delta	0.97723293	1.4675999	0.6382351	1.279702	0.7503357	1.120436	0.854011
2022-04-17	Trinidad and Tobago	Delta	0.97738206	1.4675615	0.6372718	1.2794627	0.7501645	1.1199164	0.8539325
2022-04-18	Trinidad and Tobago	Delta	0.9773506	1.4674039	0.63660175	1.2807096	0.74906945	1.1192642	0.8542489
2022-04-19	Trinidad and Tobago	Delta	0.9769365	1.46714	0.63631415	1.2808897	0.74831194	1.1200528	0.85382164
2022-04-20	Trinidad and Tobago	Delta	0.9765237	1.4667821	0.63598067	1.2795342	0.7477483	1.1203883	0.85336626
2022-04-21	Trinidad and Tobago	Delta	0.9763309	1.4663427	0.6352618	1.2799494	0.74740714	1.1209346	0.8530761
2022-04-22	Trinidad and Tobago	Delta	0.9760933	1.4658346	0.63325995	1.280415	0.74745417	1.1209898	0.8523861
2022-04-23	Trinidad and Tobago	Delta	0.9753236	1.4652704	0.6316995	1.2808151	0.74749887	1.1210226	0.8514671
2022-04-24	Trinidad and Tobago	Delta	0.97552216	1.4646626	0.6302657	1.2811329	0.74753475	1.1210698	0.8505937
2022-04-25	Trinidad and Tobago	Delta	0.9756601	1.4640236	0.63024557	1.2814544	0.74755496	1.1211121	0.84977174
2022-04-26	Trinidad and Tobago	Delta	0.97498345	1.4633663	0.6302602	1.2817646	0.7466431	1.1209707	0.8493416
2022-04-27	Trinidad and Tobago	Delta	0.97534406	1.462703	0.63022953	1.2820513	0.7466032	1.1206648	0.84949386
2022-04-28	Trinidad and Tobago	Delta	0.97561413	1.4620466	0.63016546	1.2823097	0.74656296	1.1202297	0.8496641
2022-04-29	Trinidad and Tobago	Delta	0.97581816	1.4614098	0.63007236	1.2823942	0.7467642	1.1196908	0.84972095
2022-04-30	Trinidad and Tobago	Delta	0.9759805	1.4608055	0.6299548	1.2819816	0.7472974	1.1190735	0.84919596
2022-05-01	Trinidad and Tobago	Delta	0.97612584	1.4602462	0.62992907	1.279888	0.74690115	1.1183683	0.84875536
2022-05-02	Trinidad and Tobago	Delta	0.9762785	1.459745	0.63023174	1.2785523	0.7465272	1.1180382	0.8485689
2022-05-03	Trinidad and Tobago	Delta	0.9764631	1.4593143	0.63058174	1.279537	0.7462023	1.1180135	0.8485199
2022-05-04	Trinidad and Tobago	Delta	0.97693634	1.458967	0.6309728	1.2802323	0.746129	1.1185122	0.8485117
2022-05-05	Trinidad and Tobago	Delta	0.97773826	1.4587158	0.6313989	1.2811943	0.74608576	1.1189715	0.84849966
2022-05-06	Trinidad and Tobago	Delta	0.9783759	1.4583657	0.63185394	1.2822123	0.7460347	1.1189095	0.84854084
2022-05-07	Trinidad and Tobago	Delta	0.9783516	1.457883	0.6323318	1.2820394	0.74597573	1.1187452	0.848716
2022-05-08	Trinidad and Tobago	Delta	0.9779284	1.4576495	0.63281715	1.2819054	0.74593043	1.1185546	0.8488225
2022-05-09	Trinidad and Tobago	Delta	0.9775531	1.4576702	0.6337949	1.2818143	0.74588877	1.1184337	0.8488535
2022-05-10	Trinidad and Tobago	Delta	0.9777309	1.4579175	0.6352186	1.2816901	0.74585265	1.1186322	0.8494809
2022-05-11	Trinidad and Tobago	Delta	0.97784144	1.4583607	0.6366935	1.2815925	0.7459145	1.1187824	0.8500964
2022-05-12	Trinidad and Tobago	Delta	0.97768295	1.4589694	0.63821644	1.2815322	0.74580216	1.1189324	0.8506558
2022-05-13	Trinidad and Tobago	Delta	0.97657055	1.4597135	0.6389691	1.2814977	0.7460104	1.1191403	0.8500029
2022-05-14	Trinidad and Tobago	Delta	0.9763056	1.4605626	0.6394907	1.281103	0.7462259	1.1196204	0.8493526
2022-05-15	Trinidad and Tobago	Delta	0.97602063	1.4612539	0.6399971	1.2799535	0.746488	1.1203802	0.84899104
2022-05-16	Trinidad and Tobago	Delta	0.97598475	1.4614809	0.6404809	1.2778603	0.7467325	1.1209208	0.8486142
2022-05-17	Trinidad and Tobago	Delta	0.9762337	1.4615712	0.6409292	1.276804	0.74700356	1.1214447	0.8482273
2022-05-18	Trinidad and Tobago	Delta	0.9761965	1.4614921	0.6413114	1.2768917	0.7473148	1.1219591	0.84830517
2022-05-19	Trinidad and Tobago	Delta	0.9759064	1.4612095	0.64165205	1.2766074	0.74755687	1.1223752	0.8494418
2022-05-20	Trinidad and Tobago	Delta	0.97593534	1.4606973	0.6419451	1.2759836	0.74772286	1.1228323	0.8507342
2022-05-21	Trinidad and Tobago	Delta	0.97595024	1.4599779	0.6421921	1.2754396	0.747816	1.123338	0.8505185
2022-05-22	Trinidad and Tobago	Delta	0.97557914	1.4590976	0.64239895	1.2766895	0.7478448	1.1236817	0.8501909
2022-05-23	Trinidad and Tobago	Delta	0.97559035	1.4581032	0.642571	1.2785763	0.7477826	1.1236821	0.85045433
2022-05-24	Trinidad and Tobago	Delta	0.97556996	1.4570405	0.6427138	1.2790395	0.74761623	1.1238763	0.85109454
