date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-08-03,USA,Delta,2.0088388e-05,4.13632e-05,1.0066888e-05,3.157737e-05,1.290387e-05,2.5566369e-05,1.6162005e-05,,,,,,,
2022-08-04,USA,Delta,2.0061378e-05,4.113755e-05,9.946014e-06,3.1882755e-05,1.2839606e-05,2.5587648e-05,1.6092272e-05,,,,,,,
2022-08-05,USA,Delta,2.0085667e-05,4.11514e-05,9.922329e-06,3.2163647e-05,1.2828548e-05,2.5659576e-05,1.6034357e-05,,,,,,,
2022-08-06,USA,Delta,2.0041054e-05,4.0856583e-05,9.743149e-06,3.265873e-05,1.2713482e-05,2.5734102e-05,1.6019912e-05,,,,,,,
2022-08-07,USA,Delta,1.9978052e-05,4.1015617e-05,9.5286505e-06,3.3042234e-05,1.25512925e-05,2.5809097e-05,1.5955187e-05,,,,,,,
2022-08-08,USA,Delta,2.0057525e-05,4.1893072e-05,9.403939e-06,3.3261542e-05,1.247887e-05,2.5850728e-05,1.595365e-05,,,,,,,
2022-08-09,USA,Delta,2.0118283e-05,4.2514457e-05,9.276988e-06,3.3732555e-05,1.240493e-05,2.5915715e-05,1.5935837e-05,,,,,,,
2022-08-10,USA,Delta,2.0182702e-05,4.312749e-05,9.10939e-06,3.421682e-05,1.2380368e-05,2.600277e-05,1.586679e-05,,,,,,,
2022-08-11,USA,Delta,2.0305339e-05,4.4185836e-05,8.978423e-06,3.4429773e-05,1.2258955e-05,2.6357986e-05,1.575507e-05,,,,,,,
2022-08-12,USA,Delta,2.0190422e-05,4.529152e-05,8.877453e-06,3.5027086e-05,1.21355115e-05,2.6637144e-05,1.5665684e-05,,,,,,,
2022-08-13,USA,Delta,2.0028241e-05,4.6011606e-05,8.793235e-06,3.5409423e-05,1.2013518e-05,2.678476e-05,1.5630141e-05,,,,,,,
2022-08-14,USA,Delta,1.9986139e-05,4.6804234e-05,8.715301e-06,3.581292e-05,1.194906e-05,2.7232514e-05,1.5590176e-05,,,,,,,
2022-08-15,USA,Delta,2.021917e-05,4.8052716e-05,8.643463e-06,3.6246824e-05,1.1933839e-05,2.730516e-05,1.5513426e-05,,,,,,,
2022-08-16,USA,Delta,2.0329717e-05,4.935686e-05,8.49949e-06,3.6742702e-05,1.18675125e-05,2.7659173e-05,1.5450376e-05,,,,,,,
2022-08-17,USA,Delta,2.044199e-05,5.072452e-05,8.430881e-06,3.7318245e-05,1.1655718e-05,2.7908334e-05,1.5390977e-05,,,,,,,
2022-08-18,USA,Delta,2.0491887e-05,5.2158182e-05,8.368832e-06,3.7926475e-05,1.1631701e-05,2.815828e-05,1.5312267e-05,,,,,,,
2022-08-19,USA,Delta,2.0598683e-05,5.369838e-05,8.313145e-06,3.8542188e-05,1.1515189e-05,2.850196e-05,1.5278369e-05,,,,,,,
2022-08-20,USA,Delta,2.0706757e-05,5.5230088e-05,8.263584e-06,3.907784e-05,1.1480197e-05,2.8713008e-05,1.5217791e-05,,,,,,,
2022-08-21,USA,Delta,2.0934129e-05,5.64469e-05,8.219113e-06,3.964227e-05,1.1462192e-05,2.9085695e-05,1.5264219e-05,,,,,,,
2022-08-22,USA,Delta,2.0998803e-05,5.7751487e-05,8.170263e-06,4.039204e-05,1.1306446e-05,2.9740224e-05,1.5202726e-05,,,,,,,
2022-08-23,USA,Delta,2.1181138e-05,5.912719e-05,8.125029e-06,4.1076488e-05,1.1263731e-05,3.0073083e-05,1.5241874e-05,,,,,,,
2022-08-24,USA,Delta,2.1448592e-05,6.103743e-05,8.030779e-06,4.1926527e-05,1.1216311e-05,3.0460445e-05,1.5248337e-05,,,,,,,
2022-08-25,USA,Delta,2.1693817e-05,6.309532e-05,7.924485e-06,4.2750904e-05,1.1181161e-05,3.0926814e-05,1.5248197e-05,,,,,,,
2022-08-26,USA,Delta,2.1838108e-05,6.524423e-05,7.823464e-06,4.364056e-05,1.110242e-05,3.164862e-05,1.530509e-05,,,,,,,
2022-08-27,USA,Delta,2.2084372e-05,6.748627e-05,7.6751e-06,4.4607645e-05,1.1036386e-05,3.211451e-05,1.5196946e-05,,,,,,,
2022-08-28,USA,Delta,2.2335065e-05,6.97948e-05,7.518146e-06,4.5584995e-05,1.098827e-05,3.280927e-05,1.5096576e-05,,,,,,,
2022-08-29,USA,Delta,2.2489672e-05,7.197022e-05,7.366284e-06,4.6797664e-05,1.0993077e-05,3.3517947e-05,1.5050027e-05,,,,,,,
2022-08-30,USA,Delta,2.267789e-05,7.417139e-05,7.219139e-06,4.807122e-05,1.1000832e-05,3.4074365e-05,1.5111475e-05,,,,,,,
2022-08-31,USA,Delta,2.2928743e-05,7.64485e-05,7.15184e-06,4.9118764e-05,1.10109995e-05,3.494814e-05,1.51069e-05,,,,,,,
2022-09-01,USA,Delta,2.3102213e-05,7.879526e-05,7.1341947e-06,5.0545044e-05,1.0998347e-05,3.5647463e-05,1.5071579e-05,,,,,,,
2022-09-02,USA,Delta,2.3510429e-05,8.120618e-05,7.1165605e-06,5.159257e-05,1.0936736e-05,3.63489e-05,1.5035748e-05,,,,,,,
2022-09-03,USA,Delta,2.373652e-05,8.378933e-05,7.098525e-06,5.249486e-05,1.091112e-05,3.7224003e-05,1.5164331e-05,,,,,,,
2022-09-04,USA,Delta,2.4052273e-05,8.659194e-05,7.079715e-06,5.415929e-05,1.0908054e-05,3.7935213e-05,1.515037e-05,,,,,,,
2022-09-05,USA,Delta,2.419249e-05,8.930308e-05,7.0597875e-06,5.5206954e-05,1.0918797e-05,3.8738217e-05,1.5109272e-05,,,,,,,
2022-09-06,USA,Delta,2.4424146e-05,9.183772e-05,7.038455e-06,5.6545712e-05,1.0820776e-05,3.939776e-05,1.5135844e-05,,,,,,,
2022-09-07,USA,Delta,2.4776193e-05,9.4478426e-05,7.0155065e-06,5.7879184e-05,1.0773456e-05,4.0400242e-05,1.5176124e-05,,,,,,,
2022-09-08,USA,Delta,2.4977557e-05,9.752062e-05,6.9908e-06,5.915842e-05,1.0755239e-05,4.1475778e-05,1.538399e-05,,,,,,,
2022-09-09,USA,Delta,2.5201824e-05,0.00010024372,6.9642538e-06,6.044475e-05,1.0675343e-05,4.2203348e-05,1.538297e-05,,,,,,,
2022-09-10,USA,Delta,2.5500904e-05,0.00010273557,6.9358375e-06,6.173649e-05,1.0584375e-05,4.3294654e-05,1.5456026e-05,,,,,,,
2022-09-11,USA,Delta,2.5941832e-05,0.00010523634,6.9055686e-06,6.3032065e-05,1.048894e-05,4.412528e-05,1.55544e-05,,,,,,,
2022-09-12,USA,Delta,2.6508846e-05,0.00010787634,6.8735117e-06,6.4295804e-05,1.0398142e-05,4.4923025e-05,1.5604384e-05,,,,,,,
2022-09-13,USA,Delta,2.7012895e-05,0.000110750756,6.766497e-06,6.5529865e-05,1.0389983e-05,4.5906938e-05,1.5741232e-05,,,,,,,
2022-09-14,USA,Delta,2.742016e-05,0.00011366213,6.6590346e-06,6.676206e-05,1.0311426e-05,4.6789864e-05,1.5862906e-05,,,,,,,
2022-09-15,USA,Delta,2.7651058e-05,0.00011661027,6.5518293e-06,6.849199e-05,1.022243e-05,4.7715337e-05,1.5863381e-05,,,,,,,
2022-09-16,USA,Delta,2.7858883e-05,0.0001195947,6.4448827e-06,6.961376e-05,1.0239279e-05,4.9052684e-05,1.580443e-05,,,,,,,
2022-09-17,USA,Delta,2.8069058e-05,0.0001235029,6.3381194e-06,7.083275e-05,1.014754e-05,5.0320417e-05,1.5861224e-05,,,,,,,
2022-09-18,USA,Delta,2.8350096e-05,0.0001276315,6.227421e-06,7.2163704e-05,1.0120525e-05,5.116527e-05,1.582913e-05,,,,,,,
2022-09-19,USA,Delta,2.8680066e-05,0.0001311216,6.1162946e-06,7.352111e-05,1.0022188e-05,5.1899653e-05,1.5886273e-05,,,,,,,
2022-09-20,USA,Delta,2.884849e-05,0.00013409325,6.005287e-06,7.532953e-05,9.952775e-06,5.2501673e-05,1.5843792e-05,,,,,,,
2022-09-21,USA,Delta,2.906736e-05,0.00013689062,5.8942414e-06,7.780689e-05,9.873111e-06,5.2632357e-05,1.582426e-05,,,,,,,
2022-09-22,USA,Delta,2.9185596e-05,0.00013959457,5.768188e-06,7.935837e-05,9.76456e-06,5.2802847e-05,1.59405e-05,,,,,,,
2022-09-23,USA,Delta,2.9438143e-05,0.00014350339,5.690672e-06,8.0209975e-05,9.66079e-06,5.4131688e-05,1.5951637e-05,,,,,,,
2022-09-24,USA,Delta,2.9679293e-05,0.00014674413,5.611977e-06,8.2160695e-05,9.499932e-06,5.5797063e-05,1.604603e-05,,,,,,,
2022-09-25,USA,Delta,2.985281e-05,0.00015006342,5.531961e-06,8.434133e-05,9.366055e-06,5.6965106e-05,1.6016347e-05,,,,,,,
2022-09-26,USA,Delta,2.9900075e-05,0.00015394957,5.449404e-06,8.667744e-05,9.248832e-06,5.7735837e-05,1.5989077e-05,,,,,,,
2022-09-27,USA,Delta,2.9911036e-05,0.00015779126,5.36311e-06,8.860834e-05,9.188161e-06,5.8452883e-05,1.6018994e-05,,,,,,,
2022-09-28,USA,Delta,2.99973e-05,0.00016158761,5.276415e-06,9.005988e-05,8.992568e-06,5.916329e-05,1.5921407e-05,,,,,,,
2022-09-29,USA,Delta,3.007309e-05,0.00016615869,5.190021e-06,9.2220456e-05,8.7865965e-06,5.962394e-05,1.5917836e-05,,,,,,,
2022-09-30,USA,Delta,3.010804e-05,0.000171727,5.084755e-06,9.434338e-05,8.627544e-06,6.094765e-05,1.5649865e-05,,,,,,,
2022-10-01,USA,Delta,3.002089e-05,0.00017742172,4.96667e-06,9.640553e-05,8.546692e-06,6.189193e-05,1.554023e-05,,,,,,,
2022-08-03,USA,Omicron 21K,0.0003000475,0.00038659957,0.00022949703,0.0003520054,0.000251226,0.0003278643,0.00027560611,,,,,,,
2022-08-04,USA,Omicron 21K,0.0002960831,0.0003828279,0.00022622864,0.00034827087,0.00024849208,0.00032491705,0.00027085404,,,,,,,
