date	location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2022-03-04	USA	Delta	0.7784451	0.8387215	0.72600794	0.816396	0.7433832	0.79799557	0.76082927
2022-03-05	USA	Delta	0.77782243	0.83725154	0.72571063	0.8161185	0.7436409	0.79721045	0.7608437
2022-03-06	USA	Delta	0.7773514	0.83873403	0.72520494	0.8155021	0.74266547	0.796863	0.7607552
2022-03-07	USA	Delta	0.7770035	0.83881307	0.72533727	0.8152667	0.7439602	0.7969531	0.76045406
2022-03-08	USA	Delta	0.7771668	0.83865607	0.726061	0.8148786	0.7444931	0.79705393	0.76058936
2022-03-09	USA	Delta	0.77647936	0.83857214	0.7264823	0.8149098	0.74451256	0.7973924	0.7602299
2022-03-10	USA	Delta	0.7764595	0.8385445	0.72674143	0.8150819	0.74457693	0.7972464	0.76040685
2022-03-11	USA	Delta	0.776695	0.83855677	0.72691363	0.81562704	0.74455196	0.79667705	0.7606602
2022-03-12	USA	Delta	0.7766485	0.8387816	0.7266562	0.8154159	0.74432033	0.7961953	0.7606535
2022-03-13	USA	Delta	0.7765467	0.83928514	0.72660226	0.81514806	0.74356794	0.7958811	0.7602103
2022-03-14	USA	Delta	0.77668524	0.83960027	0.72653294	0.8156823	0.74340576	0.7957406	0.76000416
2022-03-15	USA	Delta	0.7768888	0.8405366	0.7262486	0.81599194	0.74370867	0.7959574	0.75993836
2022-03-16	USA	Delta	0.7770775	0.8418162	0.72611415	0.81551456	0.7436759	0.79644024	0.76050544
2022-03-17	USA	Delta	0.7770343	0.8426281	0.7260117	0.814954	0.74363863	0.79634124	0.76064295
2022-03-18	USA	Delta	0.7770307	0.8425976	0.72588766	0.8143922	0.7436018	0.79658514	0.7603716
2022-03-19	USA	Delta	0.7772138	0.84239113	0.72593224	0.8145819	0.7435638	0.7966852	0.76053905
2022-03-20	USA	Delta	0.7774537	0.84227395	0.7261529	0.8147922	0.74312127	0.79653674	0.760535
2022-03-21	USA	Delta	0.7772284	0.84219444	0.72622156	0.81511784	0.7432922	0.79637414	0.76035035
2022-03-22	USA	Delta	0.77702653	0.8421154	0.7262136	0.81507576	0.7434237	0.79641676	0.7601519
2022-03-23	USA	Delta	0.777033	0.84204525	0.7262318	0.8149845	0.7432264	0.7967379	0.76037633
2022-03-24	USA	Delta	0.77718115	0.8419826	0.7258753	0.81489736	0.7432823	0.7969074	0.7603723
2022-03-25	USA	Delta	0.7771729	0.841926	0.72560793	0.8147887	0.7433363	0.79686564	0.76048434
2022-03-26	USA	Delta	0.77729017	0.8414479	0.7257309	0.8146344	0.7433507	0.7968209	0.76056015
2022-03-27	USA	Delta	0.7774302	0.84081525	0.7260075	0.8147535	0.74363333	0.7968689	0.7603644
2022-03-28	USA	Delta	0.7775316	0.8401468	0.7263454	0.8147718	0.7442653	0.7968389	0.7603859
2022-03-29	USA	Delta	0.77772343	0.8398219	0.72672856	0.8147002	0.74452114	0.7969208	0.7602761
2022-03-30	USA	Delta	0.7779392	0.8396096	0.7271153	0.81495184	0.74479026	0.7971098	0.76009345
2022-03-31	USA	Delta	0.7773471	0.83932936	0.72733486	0.81478834	0.74473804	0.79743075	0.76027775
2022-04-01	USA	Delta	0.7775805	0.8398566	0.7273781	0.81485933	0.74443746	0.7975648	0.760095
2022-04-02	USA	Delta	0.77793586	0.84041643	0.72713065	0.8151809	0.7447839	0.7975961	0.76000583
2022-04-03	USA	Delta	0.77809024	0.84067714	0.72758526	0.8150931	0.74476653	0.7975998	0.7597513
2022-04-04	USA	Delta	0.7781413	0.8403181	0.7279663	0.8153055	0.74436027	0.79787225	0.7597323
2022-04-05	USA	Delta	0.77836156	0.83995605	0.7282707	0.8151164	0.7444593	0.79797614	0.7596642
2022-04-06	USA	Delta	0.7783518	0.83963823	0.72847354	0.81556845	0.7447624	0.7978416	0.75987023
2022-04-07	USA	Delta	0.7783599	0.8392737	0.72852075	0.8154819	0.74508107	0.7977406	0.7602036
2022-04-08	USA	Delta	0.77839875	0.8391587	0.72867024	0.8155573	0.745266	0.79782814	0.76036906
2022-04-09	USA	Delta	0.7783152	0.83881736	0.7280138	0.81600595	0.7452804	0.7982689	0.76012564
2022-04-10	USA	Delta	0.7781507	0.8384193	0.7276819	0.8159832	0.7450058	0.798786	0.76015216
2022-04-11	USA	Delta	0.77830434	0.83788633	0.7264781	0.8157658	0.74512947	0.79888636	0.7605064
2022-04-12	USA	Delta	0.77839756	0.83717966	0.7257657	0.81585824	0.74520206	0.7989466	0.7604955
2022-04-13	USA	Delta	0.77834666	0.8364626	0.7253512	0.81581885	0.745557	0.7992582	0.76047087
2022-04-14	USA	Delta	0.7783771	0.83638775	0.72482324	0.81585383	0.74572253	0.79921114	0.76037914
2022-04-15	USA	Delta	0.7787349	0.8363547	0.7249284	0.81581557	0.7458696	0.799469	0.76049316
2022-04-16	USA	Delta	0.7791065	0.8360073	0.7252027	0.81576335	0.74632347	0.7992879	0.76061296
2022-04-17	USA	Delta	0.77909595	0.83578014	0.72528875	0.81572604	0.74666023	0.79967296	0.7609712
2022-04-18	USA	Delta	0.7792816	0.83551925	0.7253727	0.81585705	0.7466638	0.79959035	0.7613032
2022-04-19	USA	Delta	0.7793207	0.8355575	0.72541565	0.8160206	0.7468035	0.79945445	0.7615429
2022-04-20	USA	Delta	0.77945805	0.8357649	0.72582364	0.8159586	0.74662256	0.79932445	0.76145613
2022-04-21	USA	Delta	0.7796792	0.8373662	0.7261417	0.816057	0.74669707	0.7989445	0.761438
2022-04-22	USA	Delta	0.7794667	0.83798087	0.7264528	0.81615204	0.74660355	0.79860544	0.76165926
2022-04-23	USA	Delta	0.7795913	0.83846104	0.726761	0.8162772	0.74650455	0.7987033	0.7613266
2022-04-24	USA	Delta	0.77969986	0.8388004	0.7269899	0.816507	0.7463996	0.79892445	0.7611585
2022-04-25	USA	Delta	0.77978265	0.8391495	0.7269529	0.81667274	0.7462925	0.7983152	0.7610918
2022-04-26	USA	Delta	0.77981097	0.83886516	0.7260242	0.8167243	0.7459487	0.79834306	0.761039
2022-04-27	USA	Delta	0.7799336	0.83858013	0.725075	0.8166313	0.7461595	0.7983744	0.76094437
2022-04-28	USA	Delta	0.7802583	0.8383113	0.7249415	0.8171557	0.74607366	0.7984089	0.7608112
2022-04-29	USA	Delta	0.7803789	0.83806324	0.7254551	0.81723773	0.7459534	0.79847354	0.7610787
2022-04-30	USA	Delta	0.78037333	0.83873445	0.72516704	0.8176305	0.7460888	0.7983606	0.761434
2022-05-01	USA	Delta	0.780514	0.83993983	0.72477925	0.81806695	0.7458096	0.7980839	0.7614002
2022-05-02	USA	Delta	0.780638	0.8410423	0.724648	0.81837845	0.7453971	0.7979684	0.7614461
2022-05-03	USA	Delta	0.7807107	0.84205085	0.7252908	0.8186232	0.7451371	0.79824746	0.76143074
2022-05-04	USA	Delta	0.7808746	0.84293425	0.7253368	0.81895936	0.7450712	0.79848546	0.7616509
2022-05-05	USA	Delta	0.78097886	0.8432634	0.72512764	0.8190173	0.7449104	0.7991634	0.76147246
2022-05-06	USA	Delta	0.7810359	0.843505	0.72494054	0.819216	0.74464643	0.79964113	0.7612239
2022-05-07	USA	Delta	0.780991	0.8440058	0.7247794	0.8191938	0.74441916	0.7997502	0.7616056
2022-05-08	USA	Delta	0.7811791	0.8449557	0.7246485	0.81929505	0.7437086	0.79982585	0.76127386
2022-05-09	USA	Delta	0.78117406	0.84582543	0.7245517	0.81947374	0.74336994	0.7997612	0.7611179
2022-05-10	USA	Delta	0.781332	0.84611976	0.72493243	0.8199939	0.7432231	0.7997759	0.76138073
2022-05-11	USA	Delta	0.78144467	0.84639215	0.72571194	0.8201508	0.7432414	0.79971665	0.7613074
