date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-05-21,USA,Delta,1.064997,1.2229936,0.92512715,1.1729048,0.9726019,1.1231899,1.0138859
2022-05-22,USA,Delta,1.0644596,1.2238733,0.9259436,1.1729717,0.9718761,1.1227859,1.0128709
2022-05-23,USA,Delta,1.0654863,1.2255483,0.92594004,1.1715752,0.9705185,1.1220882,1.0141369
2022-05-24,USA,Delta,1.0652075,1.225723,0.92579085,1.1711624,0.9711691,1.1211358,1.0149484
2022-05-25,USA,Delta,1.0656313,1.2257512,0.92552054,1.1708705,0.97067666,1.1207535,1.015892
2022-05-26,USA,Delta,1.065629,1.2247015,0.9230846,1.1705428,0.9700379,1.1202954,1.0152481
2022-05-27,USA,Delta,1.065299,1.2230351,0.9209542,1.1701157,0.9706076,1.1201854,1.0147779
2022-05-28,USA,Delta,1.0654881,1.221698,0.92036456,1.1697252,0.9705394,1.1206355,1.0146672
2022-05-29,USA,Delta,1.0655131,1.2216158,0.919708,1.1693046,0.96963406,1.121203,1.0152638
2022-05-30,USA,Delta,1.0658603,1.2210622,0.9189939,1.1688358,0.9690927,1.1214578,1.0145853
2022-05-31,USA,Delta,1.0662627,1.2195055,0.91750264,1.1684738,0.96827435,1.1217064,1.0149431
2022-06-01,USA,Delta,1.066381,1.2181323,0.9167936,1.1682211,0.96753335,1.1214032,1.0149746
2022-06-02,USA,Delta,1.0663266,1.2168372,0.9168252,1.1678816,0.967433,1.1216702,1.0147501
2022-06-03,USA,Delta,1.0671254,1.2156296,0.9168991,1.1675183,0.96738976,1.1203446,1.0146868
2022-06-04,USA,Delta,1.0672235,1.2154982,0.9169667,1.1670294,0.9676111,1.1201797,1.0148916
2022-06-05,USA,Delta,1.0678985,1.2154896,0.9166394,1.1667732,0.9683646,1.1212046,1.0143961
2022-06-06,USA,Delta,1.0685871,1.2154593,0.91427064,1.1669716,0.96960497,1.1213526,1.0143422
2022-06-07,USA,Delta,1.0680544,1.2156827,0.91422296,1.166736,0.9705322,1.1217791,1.0135705
2022-06-08,USA,Delta,1.0672197,1.2185127,0.9142349,1.1670715,0.9708229,1.1224322,1.0133895
2022-06-09,USA,Delta,1.0668013,1.2194593,0.9134879,1.1672262,0.9708034,1.1212628,1.0133501
2022-06-10,USA,Delta,1.0667768,1.2190108,0.9121798,1.1673882,0.97074133,1.1207137,1.013498
2022-06-11,USA,Delta,1.0661267,1.2185884,0.91202736,1.1675613,0.9706455,1.120615,1.0137413
2022-06-12,USA,Delta,1.0665562,1.2181965,0.9122171,1.1677668,0.9704917,1.1213261,1.01403
2022-06-13,USA,Delta,1.0661316,1.2178407,0.9125323,1.1683326,0.97039354,1.1218164,1.0140302
2022-06-14,USA,Delta,1.0661726,1.2175488,0.91283727,1.1693891,0.9709929,1.1215754,1.0140777
2022-06-15,USA,Delta,1.0664048,1.217294,0.91225886,1.1694149,0.9718294,1.1217566,1.0142609
2022-06-16,USA,Delta,1.0665057,1.2170708,0.9124745,1.1688355,0.97224057,1.1216339,1.014403
2022-06-17,USA,Delta,1.0670131,1.2168746,0.9111265,1.1689885,0.972414,1.1211721,1.014923
2022-06-18,USA,Delta,1.0670211,1.2167006,0.9097394,1.169162,0.9725741,1.1213803,1.0153229
2022-06-19,USA,Delta,1.0665956,1.2165439,0.910088,1.1693755,0.9725147,1.1214063,1.014588
2022-06-20,USA,Delta,1.0655959,1.2164,0.9105161,1.1692467,0.9709282,1.1217347,1.0145146
2022-06-21,USA,Delta,1.0660424,1.2162642,0.91102207,1.1693761,0.97220874,1.1221733,1.0148726
2022-06-22,USA,Delta,1.0658718,1.2161317,0.9116045,1.1695199,0.97346956,1.122249,1.0149245
2022-06-23,USA,Delta,1.065342,1.2159977,0.912262,1.1696471,0.9734784,1.1228677,1.0146964
2022-06-24,USA,Delta,1.0646223,1.2158575,0.9129931,1.1695727,0.97337013,1.1224623,1.0147278
2022-06-25,USA,Delta,1.064579,1.2157066,0.91358227,1.1694069,0.97249174,1.1220926,1.0145026
2022-06-26,USA,Delta,1.0647805,1.2155437,0.9139875,1.1691552,0.97166395,1.1228355,1.014992
2022-06-27,USA,Delta,1.0648141,1.2153733,0.9139178,1.1688298,0.9706786,1.1228569,1.015928
2022-06-28,USA,Delta,1.064713,1.2151998,0.913942,1.1690949,0.96992713,1.1227225,1.0163612
2022-06-29,USA,Delta,1.0647986,1.2150283,0.91493183,1.1700306,0.9701343,1.1234367,1.0165355
2022-06-30,USA,Delta,1.0652733,1.2148633,0.91591036,1.1702937,0.969545,1.1236598,1.0165083
2022-07-01,USA,Delta,1.0658628,1.2147098,0.9167575,1.1691489,0.9700381,1.1240014,1.0165772
2022-07-02,USA,Delta,1.066627,1.2145724,0.9170492,1.1673245,0.9698899,1.1245304,1.0162549
2022-07-03,USA,Delta,1.06669,1.2144558,0.91731834,1.167216,0.96947736,1.1246039,1.0154436
2022-07-04,USA,Delta,1.0658619,1.2143648,0.91756,1.1674242,0.9699939,1.1243651,1.0148745
2022-07-05,USA,Delta,1.0652169,1.2146454,0.91776896,1.1676686,0.968828,1.123987,1.014143
2022-07-06,USA,Delta,1.0656252,1.2148216,0.91794026,1.1679511,0.9685763,1.1235368,1.0138965
2022-07-07,USA,Delta,1.0651269,1.2148746,0.91806936,1.168273,0.96859807,1.1234801,1.013114
2022-07-08,USA,Delta,1.0652149,1.214808,0.91815734,1.1686283,0.96971035,1.1236675,1.012941
2022-07-09,USA,Delta,1.0661758,1.2146332,0.918208,1.1690884,0.9709011,1.1237283,1.0128638
2022-07-10,USA,Delta,1.066148,1.214538,0.9181104,1.1701846,0.9706095,1.12377,1.0131202
2022-07-11,USA,Delta,1.0661044,1.2156188,0.9188309,1.1703138,0.97013795,1.1235389,1.01318
2022-07-12,USA,Delta,1.0662491,1.216828,0.9182135,1.1701266,0.97009224,1.1237214,1.0130761
2022-07-13,USA,Delta,1.0662432,1.2181511,0.9176674,1.1704805,0.9698829,1.123979,1.01286
2022-07-14,USA,Delta,1.0661073,1.2190673,0.91769177,1.1702539,0.9697174,1.1240866,1.0124967
2022-07-15,USA,Delta,1.0658727,1.2191889,0.91779137,1.1706346,0.9697554,1.1242146,1.0123563
2022-07-16,USA,Delta,1.0651913,1.2201645,0.91782457,1.1714848,0.969949,1.1235235,1.0121315
2022-07-17,USA,Delta,1.0647218,1.2215188,0.91770864,1.1717874,0.9699609,1.1230512,1.0120375
2022-07-18,USA,Delta,1.0644872,1.2214864,0.91758853,1.1719128,0.9695292,1.1230276,1.0118531
2022-07-19,USA,Delta,1.0645036,1.2214336,0.917467,1.1716297,0.9689755,1.1235871,1.0122061
2022-07-20,USA,Delta,1.0644208,1.2213593,0.91772974,1.1710607,0.96755874,1.1239183,1.0122833
2022-07-21,USA,Delta,1.0640836,1.2212673,0.9187288,1.1707294,0.9679321,1.123287,1.0122968
2022-07-22,USA,Delta,1.0639901,1.221592,0.9187443,1.1705788,0.9680187,1.1232241,1.012356
2022-07-23,USA,Delta,1.0640466,1.2216557,0.9186876,1.1712699,0.96750385,1.124136,1.0129879
2022-07-24,USA,Delta,1.0637981,1.2217674,0.9186325,1.1721967,0.9677238,1.1237915,1.0134224
2022-07-25,USA,Delta,1.0647138,1.2219348,0.91857916,1.1722271,0.96839243,1.1233813,1.0136086
2022-07-26,USA,Delta,1.0649514,1.2228931,0.9184712,1.1724102,0.96858287,1.1235251,1.0136381
2022-07-27,USA,Delta,1.0644891,1.2241027,0.91661185,1.1724783,0.9684301,1.1236819,1.0136559
2022-07-28,USA,Delta,1.0639043,1.2252673,0.9164758,1.1730046,0.96826893,1.1235844,1.0143013
2022-07-29,USA,Delta,1.063586,1.2265748,0.91639405,1.1730744,0.9680979,1.1232021,1.0144911
2022-07-30,USA,Delta,1.0640635,1.228817,0.9163213,1.1732078,0.96789116,1.1232482,1.0151654
2022-07-31,USA,Delta,1.0640101,1.2314224,0.91625625,1.1735789,0.96763813,1.1238908,1.0153677
2022-08-01,USA,Delta,1.0645245,1.2333419,0.9161967,1.1737841,0.9674014,1.1241863,1.0154023
2022-08-02,USA,Delta,1.0643551,1.2343721,0.9161404,1.1738272,0.9673335,1.1244494,1.0151455
2022-08-03,USA,Delta,1.0639801,1.2354012,0.9160733,1.1738509,0.9674171,1.1245989,1.0149387
2022-08-04,USA,Delta,1.0645225,1.2362337,0.9153404,1.1738437,0.9677125,1.1250035,1.0147712
2022-08-05,USA,Delta,1.064599,1.2364395,0.91525143,1.173838,0.9676073,1.1264309,1.0148008
2022-08-06,USA,Delta,1.0645564,1.2363825,0.91531575,1.174376,0.96747833,1.12651,1.0148513
2022-08-07,USA,Delta,1.0642302,1.236351,0.9153769,1.1742959,0.967405,1.1260827,1.0145268
2022-08-08,USA,Delta,1.0639708,1.2363534,0.91543424,1.1741039,0.96776307,1.126128,1.0142034
2022-08-09,USA,Delta,1.0640589,1.2363985,0.915007,1.1769301,0.9675627,1.1262288,1.0133663
2022-08-10,USA,Delta,1.064289,1.2364947,0.91432875,1.1767405,0.96709615,1.1266543,1.0137601
2022-08-11,USA,Delta,1.0642776,1.2366456,0.9136344,1.1763451,0.9670752,1.1272528,1.013439
2022-08-12,USA,Delta,1.064714,1.2368406,0.9129637,1.1757759,0.96790385,1.1279087,1.0131402
2022-08-13,USA,Delta,1.064535,1.2391105,0.9123085,1.1758001,0.96758294,1.1278627,1.0131667
2022-08-14,USA,Delta,1.0652237,1.2407944,0.91130066,1.1765729,0.96730417,1.1275344,1.0127168
2022-08-15,USA,Delta,1.0656478,1.2437385,0.9099486,1.1773055,0.9670635,1.1273034,1.0124023
2022-08-16,USA,Delta,1.0657846,1.245014,0.90860486,1.1769769,0.9668647,1.1273729,1.0124923
2022-08-17,USA,Delta,1.066036,1.2441196,0.9072564,1.1765164,0.9666108,1.1274815,1.0126772
2022-08-18,USA,Delta,1.066302,1.2432334,0.9062637,1.1770091,0.9659137,1.1275424,1.0129089
2022-08-19,USA,Delta,1.0670793,1.242858,0.9056337,1.1770496,0.9655019,1.1271068,1.0131478
2022-08-20,USA,Delta,1.0670476,1.2431413,0.9049291,1.1769288,0.9659162,1.12657,1.0133709
2022-08-21,USA,Delta,1.0672874,1.2446716,0.90409803,1.1772043,0.9663118,1.1271116,1.0137336
2022-08-22,USA,Delta,1.0681297,1.2464705,0.90344644,1.177357,0.966255,1.1272506,1.0140287
2022-08-23,USA,Delta,1.0692332,1.2464967,0.9028037,1.1767168,0.9662085,1.1272666,1.0143728
2022-08-24,USA,Delta,1.0702624,1.2491832,0.9021584,1.1767087,0.9661734,1.1272157,1.013718
2022-08-25,USA,Delta,1.070626,1.252753,0.90611255,1.1773803,0.9661505,1.1276329,1.0135298
2022-08-26,USA,Delta,1.0701426,1.2554,0.90715295,1.1777776,0.96582514,1.1278459,1.0140208
2022-08-27,USA,Delta,1.0690763,1.2553684,0.9071783,1.1772801,0.9660992,1.1275656,1.0144182
2022-08-28,USA,Delta,1.067106,1.253587,0.9072447,1.1766857,0.96603906,1.1274602,1.0143362
2022-08-29,USA,Delta,1.0666326,1.2504201,0.90736187,1.1770414,0.9658986,1.127338,1.0140078
2022-08-30,USA,Delta,1.0669928,1.2475407,0.90701383,1.1765532,0.9659563,1.126753,1.0137732
2022-08-31,USA,Delta,1.0678037,1.2408367,0.9062626,1.1750615,0.9668696,1.1258566,1.0142812
2022-09-01,USA,Delta,1.0666714,1.2363014,0.9055002,1.1746786,0.9658787,1.1268005,1.0151966
2022-05-21,USA,Omicron 21K,1.1219609,1.1592536,1.083602,1.1462321,1.0973053,1.1351146,1.1096641
2022-05-22,USA,Omicron 21K,1.1223731,1.1593285,1.0843257,1.1460611,1.098467,1.1350113,1.109276
2022-05-23,USA,Omicron 21K,1.1221383,1.1586316,1.0857015,1.1451935,1.0980896,1.1346306,1.1093736
2022-05-24,USA,Omicron 21K,1.1222341,1.1570129,1.0866101,1.1454488,1.0981417,1.1347413,1.1094422
2022-05-25,USA,Omicron 21K,1.1218749,1.1565619,1.0866101,1.1456704,1.0981616,1.1345558,1.1098481
2022-05-26,USA,Omicron 21K,1.1212342,1.156934,1.0871253,1.1459185,1.098334,1.1344142,1.1096969
2022-05-27,USA,Omicron 21K,1.1209207,1.1571219,1.0870495,1.1460042,1.0982754,1.1344047,1.1095612
2022-05-28,USA,Omicron 21K,1.1206425,1.1578255,1.0868955,1.1457858,1.0985516,1.1344547,1.1095774
2022-05-29,USA,Omicron 21K,1.120822,1.1581718,1.0878358,1.1448554,1.0983855,1.134089,1.1096028
2022-05-30,USA,Omicron 21K,1.1209261,1.1576931,1.0865273,1.1445519,1.0985982,1.1339912,1.1098218
2022-05-31,USA,Omicron 21K,1.1209526,1.157581,1.0863409,1.1444411,1.0982944,1.1338043,1.1099494
2022-06-01,USA,Omicron 21K,1.1215013,1.1571479,1.085365,1.144318,1.0978869,1.1335348,1.1100562
2022-06-02,USA,Omicron 21K,1.1212823,1.1568539,1.0839157,1.1442331,1.0978132,1.1334418,1.1101253
2022-06-03,USA,Omicron 21K,1.1208453,1.156632,1.0838356,1.1443374,1.0978652,1.1335166,1.1100798
2022-06-04,USA,Omicron 21K,1.120986,1.1569003,1.0832214,1.1440923,1.0976489,1.133604,1.1101538
2022-06-05,USA,Omicron 21K,1.1212819,1.1572362,1.0834782,1.1441036,1.097577,1.1337609,1.1101701
2022-06-06,USA,Omicron 21K,1.1216006,1.1573362,1.0839262,1.1441976,1.0973293,1.1335578,1.1103306
2022-06-07,USA,Omicron 21K,1.1217804,1.1572244,1.084427,1.1446408,1.0973778,1.1332494,1.1101446
2022-06-08,USA,Omicron 21K,1.1220078,1.1571245,1.0844972,1.1445563,1.097748,1.1337655,1.1102483
2022-06-09,USA,Omicron 21K,1.1222031,1.1570499,1.085747,1.1448684,1.0978566,1.1336915,1.1101744
2022-06-10,USA,Omicron 21K,1.1225119,1.1567626,1.0864004,1.1450889,1.0974256,1.1337222,1.1104442
2022-06-11,USA,Omicron 21K,1.1224098,1.1560218,1.0866269,1.1454787,1.097872,1.1338608,1.110393
2022-06-12,USA,Omicron 21K,1.1224892,1.1555657,1.0868437,1.1456535,1.0980912,1.1339382,1.1105934
2022-06-13,USA,Omicron 21K,1.1224577,1.1556935,1.0870168,1.1456449,1.0985585,1.134239,1.1109174
2022-06-14,USA,Omicron 21K,1.1223543,1.1554489,1.0871801,1.1457932,1.0989931,1.134176,1.1110082
2022-06-15,USA,Omicron 21K,1.1224426,1.1553705,1.0865521,1.1452593,1.0985372,1.1343348,1.1110585
2022-06-16,USA,Omicron 21K,1.1226739,1.1556394,1.0858433,1.1453891,1.0987203,1.1343505,1.1111054
2022-06-17,USA,Omicron 21K,1.1226041,1.1565671,1.0857698,1.1453502,1.099057,1.1345534,1.1111525
2022-06-18,USA,Omicron 21K,1.1229246,1.1577046,1.0857431,1.1450554,1.099254,1.1345042,1.1110831
2022-06-19,USA,Omicron 21K,1.1226695,1.1584836,1.086057,1.1447444,1.0991893,1.1347035,1.111004
2022-06-20,USA,Omicron 21K,1.122693,1.1590171,1.086689,1.144837,1.1000215,1.1349918,1.111177
2022-06-21,USA,Omicron 21K,1.1225753,1.1595571,1.0873744,1.1445626,1.1002434,1.1345998,1.1114367
2022-06-22,USA,Omicron 21K,1.1227312,1.1596434,1.0875084,1.1448545,1.1000222,1.134648,1.1111864
2022-06-23,USA,Omicron 21K,1.1228235,1.1594,1.0874927,1.1457661,1.0997939,1.1346213,1.1112779
2022-06-24,USA,Omicron 21K,1.1228162,1.1594499,1.087522,1.1456712,1.0996028,1.1346385,1.1114099
2022-06-25,USA,Omicron 21K,1.1227491,1.1602113,1.0876026,1.1456662,1.0997827,1.1349895,1.1114248
2022-06-26,USA,Omicron 21K,1.1228594,1.1598909,1.0874835,1.1458168,1.0994762,1.135011,1.1118417
2022-06-27,USA,Omicron 21K,1.1230661,1.1597881,1.0874293,1.1459388,1.0997792,1.1348637,1.1117543
2022-06-28,USA,Omicron 21K,1.1232874,1.1602902,1.0879457,1.1463977,1.0998955,1.1347313,1.1122177
2022-06-29,USA,Omicron 21K,1.1231723,1.1606877,1.0880312,1.1463673,1.099827,1.1347563,1.1123592
2022-06-30,USA,Omicron 21K,1.1231005,1.1606429,1.0884627,1.1463277,1.1002795,1.1345048,1.1125356
2022-07-01,USA,Omicron 21K,1.123167,1.1606711,1.0883579,1.1461385,1.1003108,1.1344525,1.1126941
2022-07-02,USA,Omicron 21K,1.1232793,1.1605806,1.088158,1.1461599,1.1002784,1.1345947,1.1129969
2022-07-03,USA,Omicron 21K,1.123448,1.160491,1.0884748,1.145946,1.0998578,1.134716,1.1130904
2022-07-04,USA,Omicron 21K,1.1231788,1.1614482,1.0883373,1.1458663,1.0994014,1.1349232,1.1130016
2022-07-05,USA,Omicron 21K,1.123205,1.1617732,1.088548,1.1458671,1.0993373,1.1350542,1.1131198
2022-07-06,USA,Omicron 21K,1.1230204,1.1621888,1.088833,1.1459398,1.099507,1.1352004,1.1127216
2022-07-07,USA,Omicron 21K,1.1232074,1.1615891,1.0886693,1.146538,1.0996032,1.1351788,1.112529
2022-07-08,USA,Omicron 21K,1.1230032,1.1611753,1.0880141,1.1465665,1.0991099,1.1351998,1.1126106
2022-07-09,USA,Omicron 21K,1.1230028,1.1610982,1.0875947,1.1468322,1.099179,1.1352174,1.1123545
2022-07-10,USA,Omicron 21K,1.1230583,1.1604564,1.0876296,1.1470327,1.0995541,1.1352785,1.1121049
2022-07-11,USA,Omicron 21K,1.1231606,1.160943,1.087189,1.1475866,1.098878,1.1355226,1.1120411
2022-07-12,USA,Omicron 21K,1.1233515,1.160954,1.0863988,1.1476172,1.0989888,1.1358621,1.1115255
2022-07-13,USA,Omicron 21K,1.1235561,1.1612195,1.0858667,1.1474636,1.0986316,1.1356733,1.1115915
2022-07-14,USA,Omicron 21K,1.1235791,1.1615429,1.084725,1.1477112,1.0987685,1.1356274,1.1116378
2022-07-15,USA,Omicron 21K,1.1233685,1.1626213,1.0839627,1.1474696,1.0985364,1.1356554,1.1113529
2022-07-16,USA,Omicron 21K,1.1233265,1.1650362,1.0832442,1.1473602,1.0980746,1.1355957,1.1113719
2022-07-17,USA,Omicron 21K,1.1229858,1.1649741,1.0823107,1.1477158,1.0982208,1.1355467,1.1111448
2022-07-18,USA,Omicron 21K,1.1229446,1.1647109,1.0815307,1.1478372,1.0980408,1.1354647,1.1109294
2022-07-19,USA,Omicron 21K,1.1230152,1.1643765,1.0809381,1.1480408,1.0972906,1.1357529,1.1107585
2022-07-20,USA,Omicron 21K,1.1228199,1.164881,1.0809118,1.148579,1.0967562,1.1353192,1.1106902
2022-07-21,USA,Omicron 21K,1.1232023,1.1657205,1.0807054,1.1489035,1.0964845,1.1356282,1.1105582
2022-07-22,USA,Omicron 21K,1.1232774,1.1656575,1.079247,1.149446,1.096469,1.1354513,1.1106943
2022-07-23,USA,Omicron 21K,1.1234376,1.1650923,1.0786656,1.1493903,1.096631,1.1354973,1.1106362
2022-07-24,USA,Omicron 21K,1.123636,1.16454,1.0778768,1.1495717,1.0967388,1.135432,1.1102927
2022-07-25,USA,Omicron 21K,1.1235459,1.1643071,1.0769998,1.1497293,1.0961874,1.1355566,1.1100295
2022-07-26,USA,Omicron 21K,1.1235728,1.1651261,1.0767505,1.1498606,1.0957625,1.1356333,1.1096154
2022-07-27,USA,Omicron 21K,1.1235603,1.167,1.076576,1.1500891,1.0951694,1.1360619,1.1095986
2022-07-28,USA,Omicron 21K,1.1232092,1.1680963,1.0757511,1.1501672,1.0952511,1.1359279,1.1097662
2022-07-29,USA,Omicron 21K,1.1228942,1.168869,1.0758543,1.1505336,1.0953115,1.1360755,1.1096804
2022-07-30,USA,Omicron 21K,1.1228582,1.1696134,1.07551,1.150736,1.0951346,1.1362027,1.1095321
2022-07-31,USA,Omicron 21K,1.1229761,1.1698611,1.074925,1.1505326,1.0949708,1.1367842,1.1095781
2022-08-01,USA,Omicron 21K,1.1230905,1.168933,1.0743246,1.1506937,1.0948529,1.1369736,1.1093433
2022-08-02,USA,Omicron 21K,1.1230935,1.1688964,1.0737259,1.1508228,1.0946976,1.1370945,1.1094606
2022-08-03,USA,Omicron 21K,1.123136,1.1700048,1.0731465,1.151102,1.0945423,1.1378849,1.109565
2022-08-04,USA,Omicron 21K,1.1229167,1.171313,1.0726032,1.1513423,1.0942218,1.1381167,1.1090602
2022-08-05,USA,Omicron 21K,1.1229303,1.1720088,1.0722392,1.1514548,1.0939313,1.1384442,1.1089883
2022-08-06,USA,Omicron 21K,1.1227584,1.1721088,1.0719752,1.1515737,1.0938087,1.13872,1.1091418
2022-08-07,USA,Omicron 21K,1.1229249,1.1732268,1.0720363,1.1515874,1.0937527,1.1387794,1.1085567
2022-08-08,USA,Omicron 21K,1.1228081,1.1739014,1.0716233,1.1514988,1.0934656,1.1392846,1.1083213
2022-08-09,USA,Omicron 21K,1.122887,1.1743262,1.0715029,1.1511335,1.0935661,1.1392139,1.1085305
2022-08-10,USA,Omicron 21K,1.1228182,1.1753511,1.0714927,1.1513035,1.0937136,1.1394405,1.1085913
2022-08-11,USA,Omicron 21K,1.1227336,1.1754816,1.0714146,1.1515698,1.0934693,1.1397467,1.1084548
2022-08-12,USA,Omicron 21K,1.1225891,1.1746721,1.0708783,1.1519629,1.0932002,1.1398532,1.1083951
2022-08-13,USA,Omicron 21K,1.1225697,1.1738732,1.0700532,1.1521513,1.0937005,1.1396931,1.1081313
2022-08-14,USA,Omicron 21K,1.1228356,1.1730492,1.0700805,1.1526465,1.0939411,1.1397325,1.1082954
2022-08-15,USA,Omicron 21K,1.1227292,1.1724055,1.0705452,1.152398,1.0938153,1.1398098,1.1081163
2022-08-16,USA,Omicron 21K,1.1226623,1.172781,1.0704168,1.15266,1.0935143,1.1398648,1.108195
2022-08-17,USA,Omicron 21K,1.1226444,1.1744413,1.0705271,1.1527853,1.0938787,1.1401051,1.1078788
2022-08-18,USA,Omicron 21K,1.122647,1.1734943,1.070196,1.1532902,1.0941514,1.1401931,1.1077174
2022-08-19,USA,Omicron 21K,1.1224204,1.1723467,1.0691211,1.1535589,1.0942254,1.140228,1.1078546
2022-08-20,USA,Omicron 21K,1.1223159,1.1728787,1.0681684,1.1536045,1.0941749,1.1401826,1.108038
2022-08-21,USA,Omicron 21K,1.1223884,1.1736468,1.0670687,1.1538414,1.0940156,1.140329,1.1081252
2022-08-22,USA,Omicron 21K,1.1221445,1.173173,1.0664586,1.1543255,1.0944213,1.1401459,1.1081487
2022-08-23,USA,Omicron 21K,1.1221895,1.1731282,1.066669,1.1540287,1.0939372,1.1403024,1.1077454
2022-08-24,USA,Omicron 21K,1.1221856,1.1744299,1.0654806,1.1546074,1.0939509,1.1404841,1.1082419
2022-08-25,USA,Omicron 21K,1.1220877,1.1756468,1.0659233,1.1539711,1.0931923,1.1402495,1.1078413
2022-08-26,USA,Omicron 21K,1.1226121,1.1764472,1.0655223,1.1544212,1.0934842,1.1399809,1.1083453
2022-08-27,USA,Omicron 21K,1.1228251,1.1767406,1.0649655,1.1548975,1.0933903,1.1399375,1.1084179
2022-08-28,USA,Omicron 21K,1.1226909,1.1760956,1.0636994,1.1553166,1.0935901,1.140063,1.108561
2022-08-29,USA,Omicron 21K,1.1222397,1.1751101,1.0628762,1.1558326,1.0929028,1.1395564,1.1080971
2022-08-30,USA,Omicron 21K,1.122231,1.1755393,1.0621426,1.1555244,1.0930696,1.1395425,1.1075432
2022-08-31,USA,Omicron 21K,1.1220176,1.1760476,1.0615,1.155664,1.0922508,1.1392504,1.1074584
2022-09-01,USA,Omicron 21K,1.1225417,1.1772375,1.0621972,1.1563396,1.0926353,1.1391457,1.1067241
2022-05-21,USA,Omicron 22A,1.4312077,1.4414749,1.4186604,1.4386925,1.4235286,1.4351528,1.4274819
2022-05-22,USA,Omicron 22A,1.4412408,1.4511758,1.4301931,1.4482747,1.4345701,1.4449339,1.4376727
2022-05-23,USA,Omicron 22A,1.4501308,1.4596224,1.4399354,1.4569217,1.4438536,1.4536681,1.4467378
2022-05-24,USA,Omicron 22A,1.45786,1.4672247,1.4475651,1.4642749,1.4515868,1.4611467,1.4543839
2022-05-25,USA,Omicron 22A,1.4640462,1.4734259,1.4544511,1.4703082,1.458,1.4672213,1.460644
2022-05-26,USA,Omicron 22A,1.4693327,1.4784629,1.4600118,1.4756345,1.4630738,1.4724979,1.4658737
2022-05-27,USA,Omicron 22A,1.4731995,1.4819953,1.464256,1.479333,1.46715,1.47643,1.470088
2022-05-28,USA,Omicron 22A,1.4761485,1.4845886,1.4673167,1.48241,1.470416,1.4792593,1.47316
2022-05-29,USA,Omicron 22A,1.4780581,1.4867234,1.4694161,1.4841212,1.4725039,1.4809587,1.4752946
2022-05-30,USA,Omicron 22A,1.4788713,1.4873886,1.4705052,1.4848311,1.473758,1.4818811,1.4762827
2022-05-31,USA,Omicron 22A,1.4789346,1.4872524,1.4708427,1.4845641,1.4739354,1.481853,1.47634
2022-06-01,USA,Omicron 22A,1.4781605,1.4862537,1.4704893,1.4833996,1.4734356,1.4809904,1.4757068
2022-06-02,USA,Omicron 22A,1.4766616,1.484477,1.4692423,1.4816254,1.4720249,1.4794002,1.4742516
2022-06-03,USA,Omicron 22A,1.4744527,1.4820918,1.4674027,1.4793442,1.4698579,1.4769866,1.472026
