date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-09-03,United Kingdom,Delta,4.7439742e-05,0.000180215,9.946544e-06,0.00012371562,1.7752294e-05,7.687519e-05,2.912481e-05,,,,,,,
2022-09-04,United Kingdom,Delta,4.5906334e-05,0.00017852496,9.501766e-06,0.00011981552,1.6885431e-05,7.384679e-05,2.7444079e-05,,,,,,,
2022-09-05,United Kingdom,Delta,4.3571243e-05,0.0001815035,9.115117e-06,0.00011613847,1.58945e-05,7.195487e-05,2.5946698e-05,,,,,,,
2022-09-06,United Kingdom,Delta,4.1594823e-05,0.00018447127,8.640643e-06,0.000113138274,1.4519955e-05,6.950438e-05,2.453454e-05,,,,,,,
2022-09-07,United Kingdom,Delta,3.981252e-05,0.00018193419,8.334299e-06,0.000110885,1.374579e-05,6.74624e-05,2.3065362e-05,,,,,,,
2022-09-08,United Kingdom,Delta,3.7846054e-05,0.00017404938,7.996473e-06,0.00010983094,1.28474185e-05,6.4695916e-05,2.1584297e-05,,,,,,,
2022-09-09,United Kingdom,Delta,3.627906e-05,0.00017267404,7.4956033e-06,0.00010647524,1.2112502e-05,6.235922e-05,2.0469384e-05,,,,,,,
2022-09-10,United Kingdom,Delta,3.493748e-05,0.00017387717,6.9457788e-06,0.00010260102,1.12294365e-05,6.0130573e-05,1.9417737e-05,,,,,,,
2022-09-11,United Kingdom,Delta,3.3285345e-05,0.00017233842,6.463808e-06,9.701542e-05,1.03371285e-05,5.7183963e-05,1.8204848e-05,,,,,,,
2022-09-12,United Kingdom,Delta,3.126012e-05,0.00017257982,6.002928e-06,9.510644e-05,9.596906e-06,5.4879933e-05,1.699087e-05,,,,,,,
2022-09-13,United Kingdom,Delta,2.9412146e-05,0.00017467116,5.492463e-06,9.365159e-05,8.912779e-06,5.301016e-05,1.6124028e-05,,,,,,,
2022-09-14,United Kingdom,Delta,2.7871627e-05,0.00017463532,5.1057204e-06,9.044804e-05,8.389507e-06,5.0899354e-05,1.4870524e-05,,,,,,,
2022-09-15,United Kingdom,Delta,2.6400094e-05,0.00016893307,4.6852956e-06,8.629246e-05,7.832518e-06,4.8795955e-05,1.3887806e-05,,,,,,,
2022-09-16,United Kingdom,Delta,2.4808767e-05,0.00016511156,4.263934e-06,8.329611e-05,7.160233e-06,4.685066e-05,1.29907385e-05,,,,,,,
2022-09-17,United Kingdom,Delta,2.3361481e-05,0.00016244344,3.91704e-06,7.973533e-05,6.7690926e-06,4.4715962e-05,1.2217325e-05,,,,,,,
2022-09-18,United Kingdom,Delta,2.2136424e-05,0.00016051887,3.5256219e-06,7.645052e-05,6.3424673e-06,4.350197e-05,1.1446915e-05,,,,,,,
2022-09-19,United Kingdom,Delta,2.1122938e-05,0.00015896412,3.1624393e-06,7.364369e-05,5.862486e-06,4.206207e-05,1.0791053e-05,,,,,,,
2022-09-20,United Kingdom,Delta,1.9865733e-05,0.00015734491,2.7712076e-06,7.2824034e-05,5.395098e-06,4.0622763e-05,1.0085276e-05,,,,,,,
2022-09-21,United Kingdom,Delta,1.8938641e-05,0.00015444348,2.4166307e-06,7.107019e-05,5.0148865e-06,3.8726124e-05,9.40106e-06,,,,,,,
2022-09-22,United Kingdom,Delta,1.7823804e-05,0.00015122641,2.1132414e-06,6.765044e-05,4.6073765e-06,3.6698693e-05,8.813415e-06,,,,,,,
2022-09-23,United Kingdom,Delta,1.6970122e-05,0.00015066721,1.8791957e-06,6.4706925e-05,4.2723814e-06,3.4913963e-05,8.2074e-06,,,,,,,
2022-09-24,United Kingdom,Delta,1.6015081e-05,0.00014984878,1.6698287e-06,6.20323e-05,3.931405e-06,3.3579767e-05,7.638764e-06,,,,,,,
2022-09-25,United Kingdom,Delta,1.5032403e-05,0.00014873488,1.4834341e-06,6.023621e-05,3.6219033e-06,3.19158e-05,7.154719e-06,,,,,,,
2022-09-26,United Kingdom,Delta,1.40808725e-05,0.00014726172,1.3469175e-06,5.8899597e-05,3.3447232e-06,3.0627005e-05,6.6882376e-06,,,,,,,
2022-09-27,United Kingdom,Delta,1.3350322e-05,0.00014609602,1.2230503e-06,5.6656554e-05,3.0611684e-06,2.9344526e-05,6.2051827e-06,,,,,,,
2022-09-28,United Kingdom,Delta,1.2490367e-05,0.0001460986,1.1103093e-06,5.500196e-05,2.8168097e-06,2.8145456e-05,5.7094335e-06,,,,,,,
2022-09-29,United Kingdom,Delta,1.1645536e-05,0.00014611846,1.0078797e-06,5.4425313e-05,2.5574427e-06,2.665847e-05,5.2038877e-06,,,,,,,
2022-09-30,United Kingdom,Delta,1.09809425e-05,0.0001461306,9.1521315e-07,5.3860935e-05,2.3743075e-06,2.5388648e-05,4.7395965e-06,,,,,,,
2022-10-01,United Kingdom,Delta,1.0394306e-05,0.00014616101,8.241446e-07,5.3306878e-05,2.1806247e-06,2.4095474e-05,4.4231747e-06,,,,,,,
2022-10-02,United Kingdom,Delta,9.727087e-06,0.00014614561,7.469277e-07,5.1933057e-05,2.0048114e-06,2.3177792e-05,4.0964755e-06,,,,,,,
2022-10-03,United Kingdom,Delta,9.053223e-06,0.00014605792,6.7714484e-07,5.0457264e-05,1.8351253e-06,2.2282245e-05,3.850371e-06,,,,,,,
