date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2021-10-04,United Kingdom,Delta,0.7579826,0.80291,0.71678805,0.789822,0.7326555,0.7741536,0.74534464
2021-10-05,United Kingdom,Delta,0.7572651,0.802221,0.7168856,0.7887634,0.7315738,0.77386314,0.74402773
2021-10-06,United Kingdom,Delta,0.7571814,0.80202603,0.7152728,0.78877646,0.73094803,0.7728723,0.7437488
2021-10-07,United Kingdom,Delta,0.7568585,0.80229974,0.71491575,0.78816885,0.7305966,0.77246475,0.7429293
2021-10-08,United Kingdom,Delta,0.75622654,0.80263805,0.7147617,0.7869617,0.73005146,0.7717807,0.7418963
2021-10-09,United Kingdom,Delta,0.75554097,0.80310094,0.7147491,0.7865186,0.7288792,0.77106655,0.7408978
2021-10-10,United Kingdom,Delta,0.75481164,0.80298686,0.71473575,0.7864489,0.7282831,0.770758,0.73975265
2021-10-11,United Kingdom,Delta,0.754338,0.8023316,0.71461654,0.7859613,0.7274688,0.77019966,0.7391538
2021-10-12,United Kingdom,Delta,0.7538634,0.80177087,0.71454287,0.7850421,0.7265722,0.769865,0.7388421
2021-10-13,United Kingdom,Delta,0.7535009,0.80071664,0.7137561,0.7849051,0.7256983,0.7694343,0.7383603
2021-10-14,United Kingdom,Delta,0.7528795,0.7992723,0.7131992,0.7840284,0.7249076,0.76860213,0.7377303
2021-10-15,United Kingdom,Delta,0.7522071,0.7978836,0.71206415,0.78290486,0.7241872,0.76813185,0.73697925
2021-10-16,United Kingdom,Delta,0.751808,0.79734993,0.7116976,0.7818001,0.7235562,0.7671795,0.7364776
2021-10-17,United Kingdom,Delta,0.7514636,0.79694116,0.7105929,0.78078026,0.722684,0.766738,0.7356889
2021-10-18,United Kingdom,Delta,0.750718,0.7972243,0.7092385,0.77991676,0.7219384,0.76627564,0.73486507
2021-10-19,United Kingdom,Delta,0.75001866,0.79733384,0.7078996,0.7792865,0.7212641,0.76574546,0.7340653
2021-10-20,United Kingdom,Delta,0.7497404,0.797456,0.7068727,0.77836275,0.72092646,0.76556283,0.73286945
2021-10-21,United Kingdom,Delta,0.748816,0.7970168,0.7066876,0.7775039,0.7201354,0.76515687,0.73216695
2021-10-22,United Kingdom,Delta,0.7480799,0.7963344,0.70658875,0.77630466,0.71953356,0.7643189,0.73163474
2021-10-23,United Kingdom,Delta,0.7471217,0.7952579,0.70579433,0.77546674,0.7192665,0.76330423,0.73103714
2021-10-24,United Kingdom,Delta,0.7462921,0.79407513,0.70487756,0.7752267,0.71846974,0.7621119,0.7297025
2021-10-25,United Kingdom,Delta,0.7452793,0.7935624,0.7043109,0.77457047,0.7179334,0.76147807,0.7287255
2021-10-26,United Kingdom,Delta,0.7444334,0.7930642,0.7035811,0.77338165,0.7168261,0.7607354,0.7280465
2021-10-27,United Kingdom,Delta,0.7433615,0.79254794,0.7024907,0.77229476,0.7158616,0.75975704,0.7269815
2021-10-28,United Kingdom,Delta,0.74205047,0.7917336,0.7013927,0.7716755,0.7143493,0.7588129,0.7258533
2021-10-29,United Kingdom,Delta,0.74121433,0.7908045,0.6995826,0.77068114,0.71334887,0.7575043,0.72520566
2021-10-30,United Kingdom,Delta,0.7404846,0.78980696,0.6992296,0.76983494,0.71207607,0.7563621,0.7245791
2021-10-31,United Kingdom,Delta,0.73946804,0.7887432,0.6986079,0.76853067,0.71098375,0.7550882,0.7237014
2021-11-01,United Kingdom,Delta,0.73888755,0.7875992,0.6984016,0.76755023,0.71010226,0.75372255,0.72308886
2021-11-02,United Kingdom,Delta,0.737695,0.78604865,0.6973049,0.76609415,0.70894116,0.7525228,0.72248375
2021-11-03,United Kingdom,Delta,0.73644173,0.78530043,0.6962122,0.7644208,0.707454,0.75127417,0.7216156
2021-11-04,United Kingdom,Delta,0.7352258,0.78291655,0.6949229,0.7630512,0.7057029,0.7500647,0.72074205
2021-11-05,United Kingdom,Delta,0.7338202,0.7808186,0.6937841,0.76196736,0.7043762,0.74892783,0.7192113
2021-11-06,United Kingdom,Delta,0.7326069,0.7793975,0.6927997,0.76088905,0.7034225,0.7473713,0.7177751
2021-11-07,United Kingdom,Delta,0.7311629,0.77832735,0.69172347,0.7591388,0.7027391,0.7459999,0.7170074
2021-11-08,United Kingdom,Delta,0.7297338,0.7766216,0.69043195,0.75786,0.70118624,0.74434286,0.71575934
2021-11-09,United Kingdom,Delta,0.7285178,0.7743366,0.6892338,0.7565933,0.69953305,0.74263954,0.7150327
2021-11-10,United Kingdom,Delta,0.72699106,0.7721219,0.68841016,0.7546925,0.6984618,0.7413299,0.71334743
2021-11-11,United Kingdom,Delta,0.72571623,0.7698276,0.68673784,0.7531603,0.69676495,0.7398291,0.7117511
2021-11-12,United Kingdom,Delta,0.7245632,0.76795435,0.68464315,0.7518768,0.69523007,0.7383155,0.7107067
2021-11-13,United Kingdom,Delta,0.72312725,0.7667675,0.6831944,0.7497845,0.6938844,0.7365135,0.7087339
2021-11-14,United Kingdom,Delta,0.72151864,0.76475525,0.6815479,0.7484218,0.69332194,0.7351941,0.7068971
2021-11-15,United Kingdom,Delta,0.72006524,0.76316226,0.6791246,0.74608535,0.69172436,0.7336308,0.7054448
2021-11-16,United Kingdom,Delta,0.7185857,0.76118946,0.6764405,0.74471444,0.6903691,0.73223495,0.7039643
2021-11-17,United Kingdom,Delta,0.7171056,0.75964475,0.6742958,0.74282295,0.6892602,0.7306472,0.70270526
2021-11-18,United Kingdom,Delta,0.7154784,0.75749815,0.6725514,0.7412034,0.6878393,0.72901666,0.70089376
2021-11-19,United Kingdom,Delta,0.7139946,0.7548825,0.67153823,0.7402691,0.68677866,0.7273664,0.6995415
2021-11-20,United Kingdom,Delta,0.7125812,0.75267404,0.67019457,0.7386328,0.6855639,0.7258824,0.6979163
2021-11-21,United Kingdom,Delta,0.71078676,0.751972,0.6690718,0.7373479,0.68425196,0.7241961,0.6962873
2021-11-22,United Kingdom,Delta,0.70970154,0.7506751,0.66796374,0.73585397,0.6829087,0.722548,0.6945401
2021-11-23,United Kingdom,Delta,0.7083392,0.7491175,0.66677606,0.73470575,0.6814213,0.7216208,0.69320273
2021-11-24,United Kingdom,Delta,0.7069992,0.7473176,0.6653917,0.7333236,0.6793877,0.72019506,0.6913691
2021-11-25,United Kingdom,Delta,0.7052028,0.7462914,0.664301,0.73214203,0.6777295,0.71842766,0.6895971
2021-11-26,United Kingdom,Delta,0.70404804,0.746467,0.66333556,0.7312527,0.67618763,0.7170267,0.6887368
2021-11-27,United Kingdom,Delta,0.70310724,0.7460711,0.6615418,0.72993225,0.6744735,0.71598744,0.6873442
2021-11-28,United Kingdom,Delta,0.7021659,0.7452043,0.65978783,0.72908854,0.67341477,0.71508014,0.6861983
2021-11-29,United Kingdom,Delta,0.7008081,0.74432737,0.65826374,0.72788376,0.6723042,0.71445405,0.6847286
2021-11-30,United Kingdom,Delta,0.69968504,0.7436353,0.6569153,0.7273046,0.6715959,0.71396834,0.6832463
2021-12-01,United Kingdom,Delta,0.6988724,0.74290454,0.6563203,0.7270727,0.6709621,0.71343714,0.6825708
2021-12-02,United Kingdom,Delta,0.6980194,0.74280435,0.6547339,0.7259631,0.67024106,0.712803,0.68167996
