date	location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2022-01-02	United Kingdom	Delta	0.3997394	0.4512238	0.3484546	0.43255213	0.36323684	0.41532597	0.37947297
2022-01-03	United Kingdom	Delta	0.3903523	0.43313628	0.34963068	0.41721132	0.3603176	0.4014644	0.37368196
2022-01-04	United Kingdom	Delta	0.38278246	0.41749442	0.3487971	0.40410835	0.3575751	0.39314964	0.36943722
2022-01-05	United Kingdom	Delta	0.3756497	0.405141	0.34736463	0.39469796	0.35408005	0.38616428	0.36404514
2022-01-06	United Kingdom	Delta	0.37074533	0.3995608	0.34382915	0.38886464	0.35139963	0.38077772	0.3597288
2022-01-07	United Kingdom	Delta	0.36641687	0.39445654	0.34104198	0.38477474	0.34877998	0.37655807	0.3570942
2022-01-08	United Kingdom	Delta	0.3633501	0.3914063	0.33754146	0.38125038	0.34674495	0.37359044	0.35381967
2022-01-09	United Kingdom	Delta	0.3611899	0.38734394	0.3358159	0.37860224	0.34522554	0.37145606	0.35187447
2022-01-10	United Kingdom	Delta	0.35977966	0.38544026	0.33497864	0.37685427	0.34403217	0.36984536	0.3506744
2022-01-11	United Kingdom	Delta	0.35888094	0.38411483	0.33435035	0.37582892	0.34298316	0.368551	0.35038382
2022-01-12	United Kingdom	Delta	0.35825092	0.38323706	0.33461255	0.3754435	0.3427721	0.36819285	0.35046136
2022-01-13	United Kingdom	Delta	0.3577969	0.38267696	0.33467823	0.3754288	0.34271398	0.36769235	0.35025856
2022-01-14	United Kingdom	Delta	0.3579582	0.38270122	0.33478707	0.37563992	0.3427415	0.36699852	0.35058802
2022-01-15	United Kingdom	Delta	0.35856873	0.38284	0.3353706	0.37579802	0.34266073	0.3668717	0.350754
2022-01-16	United Kingdom	Delta	0.35926595	0.38275316	0.33508188	0.37606308	0.34269384	0.3671294	0.35130447
2022-01-17	United Kingdom	Delta	0.36012933	0.38430056	0.33492717	0.37674934	0.3435695	0.36801052	0.35187227
2022-01-18	United Kingdom	Delta	0.36117828	0.3853836	0.33508843	0.37764424	0.3446208	0.36917257	0.35272586
2022-01-19	United Kingdom	Delta	0.36193603	0.3869443	0.33563069	0.37863696	0.3461792	0.37021196	0.3534734
2022-01-20	United Kingdom	Delta	0.36340463	0.38803717	0.33666253	0.3798576	0.3470926	0.37183204	0.35515046
2022-01-21	United Kingdom	Delta	0.36541414	0.39059713	0.3384082	0.3813907	0.34847918	0.37379155	0.3567503
2022-01-22	United Kingdom	Delta	0.36781216	0.3925278	0.34063527	0.38380355	0.3505721	0.376175	0.35910916
2022-01-23	United Kingdom	Delta	0.37051255	0.39480382	0.34415343	0.3870427	0.3529006	0.3787595	0.36215007
2022-01-24	United Kingdom	Delta	0.373684	0.3977908	0.3477679	0.38930446	0.35616472	0.38164818	0.36495808
2022-01-25	United Kingdom	Delta	0.37741333	0.40163013	0.3516668	0.39203644	0.35969266	0.38560328	0.3689252
2022-01-26	United Kingdom	Delta	0.38153192	0.40569538	0.35531247	0.39665437	0.3629094	0.3899761	0.37244576
2022-01-27	United Kingdom	Delta	0.38624862	0.41129518	0.3600504	0.4020132	0.36784557	0.3945818	0.3768971
2022-01-28	United Kingdom	Delta	0.39125013	0.41871	0.3639999	0.4084299	0.3727498	0.4004515	0.38140774
2022-01-29	United Kingdom	Delta	0.39707777	0.42540875	0.36727726	0.41540614	0.3773217	0.40585092	0.38654226
2022-01-30	United Kingdom	Delta	0.4035973	0.43363798	0.36989465	0.42368722	0.38195243	0.4127053	0.3920343
2022-01-31	United Kingdom	Delta	0.41046214	0.44321096	0.3740192	0.4330879	0.38690203	0.41948152	0.39757112
2022-02-01	United Kingdom	Delta	0.41716376	0.45405167	0.37896213	0.4408498	0.39131454	0.4282087	0.4039446
2022-02-02	United Kingdom	Delta	0.42462578	0.4645429	0.3834105	0.45060334	0.39783174	0.43618676	0.41017577
2022-02-03	United Kingdom	Delta	0.43225056	0.47640598	0.3879247	0.4606493	0.40342897	0.44536573	0.41630235
2022-02-04	United Kingdom	Delta	0.4405595	0.48712248	0.3923127	0.47061962	0.41028994	0.45358986	0.4240894
2022-02-05	United Kingdom	Delta	0.44852567	0.49695328	0.39776087	0.47939068	0.41739345	0.46349669	0.4310788
2022-02-06	United Kingdom	Delta	0.4569812	0.5064721	0.4045716	0.49071318	0.42469016	0.4728005	0.43953672
2022-02-07	United Kingdom	Delta	0.46456474	0.5150445	0.41472545	0.49922168	0.43286106	0.4819985	0.44876385
2022-02-08	United Kingdom	Delta	0.47321263	0.5230661	0.42565358	0.50843906	0.44190457	0.49146104	0.45744675
2022-02-09	United Kingdom	Delta	0.48309818	0.5319376	0.43367898	0.51660186	0.45263967	0.49976346	0.46634564
2022-02-10	United Kingdom	Delta	0.49196702	0.5442759	0.44481838	0.52553415	0.46180293	0.50904757	0.47519898
2022-02-11	United Kingdom	Delta	0.50100887	0.5542995	0.45599037	0.5345164	0.4705599	0.5170696	0.48387054
2022-02-12	United Kingdom	Delta	0.5090214	0.56143683	0.46512246	0.5435245	0.47717682	0.5265994	0.49208754
2022-02-13	United Kingdom	Delta	0.51871866	0.5732398	0.47355732	0.5520867	0.4869617	0.5363812	0.50014365
2022-02-14	United Kingdom	Delta	0.52864003	0.58311886	0.4797917	0.56079096	0.4924473	0.547114	0.50752324
2022-02-15	United Kingdom	Delta	0.53747857	0.5950404	0.48471665	0.5702176	0.49865183	0.5565376	0.5145041
2022-02-16	United Kingdom	Delta	0.54459655	0.6055447	0.4875464	0.58051354	0.504212	0.56372625	0.5221842
2022-02-17	United Kingdom	Delta	0.55135524	0.6171243	0.49133116	0.5901877	0.5093185	0.573124	0.52863204
2022-02-18	United Kingdom	Delta	0.5579802	0.62791216	0.49548888	0.59861976	0.5135958	0.5812192	0.53417236
2022-02-19	United Kingdom	Delta	0.5642057	0.6355992	0.49844795	0.6063718	0.51697105	0.5876433	0.53889656
2022-02-20	United Kingdom	Delta	0.5695659	0.6438311	0.5002923	0.6139408	0.5209696	0.5932786	0.543551
2022-02-21	United Kingdom	Delta	0.57445455	0.6526328	0.50388867	0.62187344	0.5239509	0.59955174	0.5475538
2022-02-22	United Kingdom	Delta	0.5786842	0.6609367	0.5065259	0.62809294	0.52710223	0.604474	0.5513425
2022-02-23	United Kingdom	Delta	0.58214056	0.66887546	0.50943017	0.633132	0.5287282	0.6092112	0.55511993
2022-02-24	United Kingdom	Delta	0.58536816	0.6748197	0.51155436	0.6393159	0.5322284	0.6127237	0.55778086
2022-02-25	United Kingdom	Delta	0.5884273	0.6776085	0.5096583	0.6442768	0.53332496	0.6170703	0.5604383
2022-02-26	United Kingdom	Delta	0.5909829	0.6817169	0.51016104	0.65036917	0.533694	0.62014437	0.56295764
2022-02-27	United Kingdom	Delta	0.5932671	0.6846793	0.5111575	0.6526772	0.535685	0.62354976	0.56480503
2022-02-28	United Kingdom	Delta	0.59411466	0.68715143	0.51023114	0.6542857	0.53559	0.6271453	0.5669124
2022-03-01	United Kingdom	Delta	0.5949375	0.6923752	0.50980633	0.6568347	0.5358857	0.62938905	0.5671627
2022-03-02	United Kingdom	Delta	0.5964484	0.69833386	0.5101335	0.66026837	0.53576136	0.631034	0.568009
2022-03-03	United Kingdom	Delta	0.59722877	0.7053635	0.51090413	0.66212875	0.5369634	0.63205445	0.5690466
2022-03-04	United Kingdom	Delta	0.5979142	0.71198165	0.51170313	0.6636482	0.53809	0.6320604	0.56914777
2022-03-05	United Kingdom	Delta	0.5991175	0.7156447	0.51236445	0.66623324	0.53978413	0.63336045	0.57066596
2022-03-06	United Kingdom	Delta	0.60132104	0.71883696	0.5118503	0.6687244	0.54059327	0.6340387	0.5715449
2022-03-07	United Kingdom	Delta	0.6030955	0.72031486	0.5122594	0.67005515	0.54286987	0.63526	0.57204163
2022-03-08	United Kingdom	Delta	0.60281634	0.72118765	0.5124061	0.6694255	0.54519576	0.635718	0.57212114
2022-03-09	United Kingdom	Delta	0.6035025	0.721809	0.5104496	0.6711025	0.5454985	0.6377773	0.57270193
2022-03-10	United Kingdom	Delta	0.6041565	0.72549784	0.5086344	0.67160004	0.54463124	0.6390088	0.57353854
2022-03-11	United Kingdom	Delta	0.6039028	0.72924334	0.506708	0.6747614	0.5449365	0.63993776	0.57314557
2022-03-12	United Kingdom	Delta	0.60356766	0.7311596	0.5044075	0.67456007	0.5441029	0.64032125	0.57334226
2022-03-13	United Kingdom	Delta	0.6038665	0.7308682	0.5041399	0.6771208	0.5427089	0.6416285	0.57367665
2022-03-14	United Kingdom	Delta	0.60414016	0.7314445	0.50461805	0.6795159	0.54112995	0.64256895	0.57413477
