date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2021-12-19,Vietnam,Delta,0.6566006,0.6968396,0.6192101,0.6841282,0.6307805,0.6686965,0.6432703
2021-12-20,Vietnam,Delta,0.65692353,0.696617,0.620052,0.68388736,0.6309532,0.6682578,0.6431868
2021-12-21,Vietnam,Delta,0.6564708,0.69601566,0.6196469,0.68340254,0.6306323,0.66906565,0.6425136
2021-12-22,Vietnam,Delta,0.656145,0.69558895,0.61937606,0.68410414,0.63088286,0.669474,0.6424046
2021-12-23,Vietnam,Delta,0.65612257,0.69531214,0.6189369,0.6836563,0.63114774,0.66957545,0.6417105
2021-12-24,Vietnam,Delta,0.6562084,0.69516087,0.617868,0.68353915,0.6311272,0.66946924,0.6419294
2021-12-25,Vietnam,Delta,0.65613717,0.6951002,0.6176458,0.6835634,0.63111055,0.66962343,0.6420002
2021-12-26,Vietnam,Delta,0.6558078,0.69485474,0.61772084,0.68359315,0.6309906,0.6694404,0.64205587
2021-12-27,Vietnam,Delta,0.6555699,0.6946357,0.61790717,0.68372416,0.6311997,0.6692107,0.64199156
2021-12-28,Vietnam,Delta,0.6555953,0.69464254,0.61785674,0.6838179,0.63125145,0.66944844,0.641965
2021-12-29,Vietnam,Delta,0.655857,0.6947722,0.61780167,0.6839963,0.6311905,0.6694182,0.6418669
2021-12-30,Vietnam,Delta,0.6559849,0.6947954,0.6177795,0.6842277,0.6310728,0.6692698,0.64154255
2021-12-31,Vietnam,Delta,0.6564337,0.69459504,0.61778164,0.68428314,0.63090354,0.66924375,0.6416005
2022-01-01,Vietnam,Delta,0.6565125,0.6944467,0.6177629,0.6842982,0.6307666,0.6691563,0.64179945
2022-01-02,Vietnam,Delta,0.65659285,0.69447124,0.6175924,0.68433684,0.6306346,0.66920924,0.64195883
2022-01-03,Vietnam,Delta,0.6568552,0.6946688,0.61744547,0.68445677,0.6306714,0.66957426,0.6421299
2022-01-04,Vietnam,Delta,0.65680325,0.6947783,0.61738014,0.6842514,0.6306782,0.66958857,0.6422057
2022-01-05,Vietnam,Delta,0.656931,0.69460493,0.6177829,0.6841382,0.6308465,0.66961956,0.6421885
2022-01-06,Vietnam,Delta,0.6567748,0.6945776,0.61820865,0.68397826,0.63087225,0.6697372,0.64222014
2022-01-07,Vietnam,Delta,0.6567989,0.6945589,0.6184838,0.6838293,0.6309368,0.6696533,0.642281
2022-01-08,Vietnam,Delta,0.65690994,0.69452715,0.61826897,0.68383616,0.6311323,0.6700497,0.6424363
2022-01-09,Vietnam,Delta,0.65683126,0.69450724,0.6180798,0.68410504,0.6311685,0.67002976,0.6428213
2022-01-10,Vietnam,Delta,0.65679353,0.69452906,0.61848384,0.68410945,0.6310818,0.66993403,0.6431996
2022-01-11,Vietnam,Delta,0.6568924,0.69450957,0.6199851,0.68457794,0.6312518,0.670151,0.64329946
2022-01-12,Vietnam,Delta,0.65687495,0.69444776,0.6210885,0.6847821,0.631194,0.6702049,0.642994
2022-01-13,Vietnam,Delta,0.65690315,0.6942351,0.62156165,0.68489873,0.63098913,0.6703301,0.64294684
2022-01-14,Vietnam,Delta,0.6571822,0.694299,0.6219975,0.6850107,0.6310252,0.6704177,0.6427629
2022-01-15,Vietnam,Delta,0.6571971,0.69455504,0.62229025,0.68490124,0.63145477,0.6705339,0.6426178
2022-01-16,Vietnam,Delta,0.65723115,0.69503427,0.622414,0.685038,0.6315862,0.6705595,0.6432406
2022-01-17,Vietnam,Delta,0.6572814,0.69553083,0.62254524,0.68499404,0.6317173,0.67069936,0.64346504
2022-01-18,Vietnam,Delta,0.6575773,0.6960081,0.6226846,0.68495995,0.6321513,0.670689,0.6435637
2022-01-19,Vietnam,Delta,0.6576113,0.69697744,0.6228323,0.6851512,0.63254344,0.67106724,0.6439276
2022-01-20,Vietnam,Delta,0.6575787,0.6974716,0.62298876,0.68527853,0.63253206,0.6709532,0.64389384
2022-01-21,Vietnam,Delta,0.65765786,0.69817,0.6228468,0.6853545,0.6327863,0.6712216,0.64372164
2022-01-22,Vietnam,Delta,0.65760535,0.6984031,0.6222585,0.68552035,0.6330148,0.6712805,0.6438098
2022-01-23,Vietnam,Delta,0.65776086,0.69818133,0.62166595,0.68563384,0.6332703,0.67136765,0.6436573
2022-01-24,Vietnam,Delta,0.65766096,0.69792604,0.62180924,0.68565416,0.6332226,0.6713358,0.64396405
2022-01-25,Vietnam,Delta,0.6576853,0.6976682,0.62186986,0.6859061,0.63326794,0.670903,0.6443571
2022-01-26,Vietnam,Delta,0.657868,0.6977395,0.6218587,0.68599576,0.6332687,0.6708028,0.6445613
2022-01-27,Vietnam,Delta,0.6579758,0.6978306,0.6219445,0.68613124,0.6335044,0.67075074,0.6448608
2022-01-28,Vietnam,Delta,0.65795374,0.6985985,0.62209487,0.6859499,0.63349396,0.6709891,0.6450518
2022-01-29,Vietnam,Delta,0.65816116,0.6990462,0.62226355,0.68606466,0.6335192,0.67069423,0.6450724
2022-01-30,Vietnam,Delta,0.6581172,0.6987643,0.62241274,0.6860529,0.6335933,0.67067873,0.6448954
2022-01-31,Vietnam,Delta,0.65806425,0.69848895,0.6226876,0.6858337,0.63322514,0.67072356,0.6449417
2022-02-01,Vietnam,Delta,0.65819407,0.69823635,0.62285054,0.6857151,0.6331676,0.6705284,0.6449413
2022-02-02,Vietnam,Delta,0.6583766,0.6980228,0.6230348,0.6856448,0.6331066,0.6708575,0.6449525
2022-02-03,Vietnam,Delta,0.65844804,0.69753313,0.62322265,0.68541455,0.6330346,0.67105174,0.6449156
2022-02-04,Vietnam,Delta,0.65819734,0.6967766,0.62343633,0.6857585,0.63273257,0.6711321,0.64465326
2022-02-05,Vietnam,Delta,0.65803266,0.69658583,0.6235137,0.68570554,0.6327905,0.6713174,0.64414066
2022-02-06,Vietnam,Delta,0.6581347,0.6970049,0.62344545,0.6853355,0.63282245,0.6712591,0.6439105
2022-02-07,Vietnam,Delta,0.65812254,0.6974739,0.6227895,0.6850801,0.63285154,0.671057,0.64403915
2022-02-08,Vietnam,Delta,0.6579596,0.697976,0.6221559,0.68486696,0.6329024,0.6711129,0.64401805
2022-02-09,Vietnam,Delta,0.6579162,0.6986222,0.6222935,0.6846859,0.63295835,0.67132264,0.6438612
2022-02-10,Vietnam,Delta,0.65775555,0.6977613,0.6224346,0.6845552,0.6329312,0.67116153,0.6441119
2022-02-11,Vietnam,Delta,0.65749395,0.6983732,0.6223184,0.68440455,0.632985,0.6714077,0.643987
2022-02-12,Vietnam,Delta,0.657464,0.6988346,0.62207174,0.6840783,0.63256854,0.67112815,0.64393055
2022-02-13,Vietnam,Delta,0.6574872,0.69910276,0.6218141,0.6839853,0.63233876,0.6710223,0.6440965
2022-02-14,Vietnam,Delta,0.6573761,0.6991847,0.621591,0.6838866,0.63221854,0.6708527,0.64414513
2022-02-15,Vietnam,Delta,0.65737486,0.69923246,0.6204071,0.68389046,0.63173234,0.6707648,0.6442191
2022-02-16,Vietnam,Delta,0.65732324,0.6990155,0.6202179,0.68399674,0.631701,0.67066383,0.6443323
2022-02-17,Vietnam,Delta,0.65746117,0.6977901,0.6202435,0.68421686,0.6318008,0.67085314,0.644473
2022-02-18,Vietnam,Delta,0.65732735,0.6972952,0.6203092,0.6843196,0.6316214,0.67101675,0.6446247
