date	location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
2022-01-02	Vietnam	Delta	0.66596705	0.71426296	0.62637365	0.69457173	0.6409155	0.68076456	0.6523413
2022-01-03	Vietnam	Delta	0.6663676	0.71385306	0.6274966	0.69495386	0.6414311	0.68080276	0.65214926
2022-01-04	Vietnam	Delta	0.6662577	0.7138063	0.62849677	0.69543874	0.6420822	0.6806481	0.6521299
2022-01-05	Vietnam	Delta	0.66621065	0.7131089	0.6288267	0.6956537	0.6422121	0.680781	0.65231276
2022-01-06	Vietnam	Delta	0.6663871	0.71246886	0.6288447	0.6959637	0.64191025	0.6802784	0.65223837
2022-01-07	Vietnam	Delta	0.666576	0.71188176	0.628808	0.6960708	0.6419752	0.68061477	0.6520128
2022-01-08	Vietnam	Delta	0.6666528	0.71289515	0.6287297	0.69618523	0.6411127	0.6807703	0.65206057
2022-01-09	Vietnam	Delta	0.6667905	0.7123415	0.62860507	0.69621545	0.6411691	0.68097866	0.65178806
2022-01-10	Vietnam	Delta	0.66682136	0.711318	0.62848604	0.69512624	0.64135236	0.6809745	0.6515806
2022-01-11	Vietnam	Delta	0.66640997	0.71017903	0.62852645	0.6949738	0.6411975	0.68106526	0.6515167
2022-01-12	Vietnam	Delta	0.6662845	0.7095998	0.62835914	0.69487894	0.6398994	0.68101513	0.651536
2022-01-13	Vietnam	Delta	0.66590655	0.7095152	0.62846744	0.69475853	0.63945484	0.68113005	0.65118504
2022-01-14	Vietnam	Delta	0.66615593	0.70966256	0.6284253	0.69491327	0.6397429	0.6809071	0.6512979
2022-01-15	Vietnam	Delta	0.66610944	0.70968914	0.62842286	0.6949261	0.6399592	0.68082714	0.6515304
2022-01-16	Vietnam	Delta	0.66606814	0.70976216	0.6284331	0.6949241	0.6398685	0.68122196	0.6518421
2022-01-17	Vietnam	Delta	0.66561973	0.70987177	0.62852484	0.6949456	0.6398472	0.6813739	0.651748
2022-01-18	Vietnam	Delta	0.6653023	0.70980716	0.62843925	0.69481534	0.6397813	0.68148696	0.65176153
2022-01-19	Vietnam	Delta	0.6654682	0.70956373	0.6281133	0.6947045	0.6396408	0.68159574	0.6514136
2022-01-20	Vietnam	Delta	0.6652792	0.710061	0.6278153	0.6946479	0.6393504	0.68130577	0.6513461
2022-01-21	Vietnam	Delta	0.6652409	0.7104801	0.6278604	0.6945594	0.63932395	0.6811598	0.65128195
2022-01-22	Vietnam	Delta	0.66531837	0.71066636	0.6276088	0.69450605	0.63917387	0.6810161	0.65120274
2022-01-23	Vietnam	Delta	0.6655233	0.7108518	0.627475	0.6944354	0.6391663	0.68080854	0.6512011
2022-01-24	Vietnam	Delta	0.6656325	0.7110027	0.62742114	0.6943683	0.6390939	0.6807858	0.6510736
2022-01-25	Vietnam	Delta	0.6654302	0.7111101	0.62763584	0.69417375	0.63903	0.68075156	0.65115374
2022-01-26	Vietnam	Delta	0.6655406	0.7110518	0.62805945	0.69393027	0.638786	0.68081266	0.65120536
2022-01-27	Vietnam	Delta	0.6654668	0.710501	0.62818897	0.69372165	0.6386343	0.6806179	0.65124863
2022-01-28	Vietnam	Delta	0.6654769	0.7102791	0.6281362	0.69351006	0.63851714	0.68060166	0.6511664
2022-01-29	Vietnam	Delta	0.66519856	0.7097297	0.6280899	0.6935107	0.6383822	0.68038887	0.6514677
2022-01-30	Vietnam	Delta	0.66505927	0.7085911	0.6275961	0.6935613	0.6382606	0.6802392	0.6514702
2022-01-31	Vietnam	Delta	0.665111	0.7067201	0.6273937	0.6930351	0.6381814	0.67993855	0.6511069
2022-02-01	Vietnam	Delta	0.6649262	0.70550764	0.6271649	0.69276845	0.6382239	0.67999536	0.65099716
2022-02-02	Vietnam	Delta	0.6648493	0.7050326	0.62685335	0.6918513	0.63820314	0.6799021	0.65080243
2022-02-03	Vietnam	Delta	0.664628	0.7045823	0.6266817	0.69112515	0.6381204	0.67978275	0.6506246
2022-02-04	Vietnam	Delta	0.66479015	0.7041652	0.6264185	0.69068253	0.6381026	0.6793785	0.6504774
2022-02-05	Vietnam	Delta	0.66443145	0.7040811	0.6257445	0.69019866	0.6381845	0.6790489	0.6500946
2022-02-06	Vietnam	Delta	0.66438144	0.70418113	0.6255188	0.68982404	0.6380628	0.6789975	0.6499876
2022-02-07	Vietnam	Delta	0.66413546	0.7042899	0.6249673	0.6894268	0.6378609	0.67883027	0.64991397
2022-02-08	Vietnam	Delta	0.66401565	0.7041489	0.6241401	0.6889544	0.6374358	0.6784299	0.649909
2022-02-09	Vietnam	Delta	0.6638788	0.70380926	0.62352943	0.6889395	0.6368893	0.6778085	0.64966226
2022-02-10	Vietnam	Delta	0.6637032	0.70346504	0.6237455	0.68872803	0.63660336	0.6774008	0.64925945
2022-02-11	Vietnam	Delta	0.6634537	0.70327055	0.62337583	0.68853515	0.6362289	0.6771305	0.6488173
2022-02-12	Vietnam	Delta	0.66330045	0.7035314	0.6233448	0.6888739	0.635365	0.6769426	0.64887404
2022-02-13	Vietnam	Delta	0.663244	0.70354503	0.6235028	0.68831956	0.63476837	0.67682624	0.6489212
2022-02-14	Vietnam	Delta	0.6629753	0.7032857	0.6235389	0.6882711	0.63479143	0.6767378	0.6488102
2022-02-15	Vietnam	Delta	0.66278875	0.7031102	0.6233927	0.6880771	0.6347233	0.67660236	0.6484403
2022-02-16	Vietnam	Delta	0.66290766	0.7029217	0.622784	0.68817353	0.63469994	0.6766193	0.64806604
2022-02-17	Vietnam	Delta	0.66269016	0.7031156	0.621718	0.68840426	0.63454735	0.67655283	0.64790785
2022-02-18	Vietnam	Delta	0.66227573	0.7033038	0.62137496	0.6881796	0.6343234	0.6764734	0.647543
2022-02-19	Vietnam	Delta	0.6622406	0.7036427	0.6205454	0.6879175	0.6340693	0.67641664	0.6468028
2022-02-20	Vietnam	Delta	0.66170186	0.7037979	0.6199264	0.6871688	0.6338325	0.67640215	0.6463817
2022-02-21	Vietnam	Delta	0.66141444	0.7035258	0.6193317	0.6867662	0.6335037	0.67628825	0.6461284
2022-02-22	Vietnam	Delta	0.6615577	0.70331526	0.61868864	0.6865566	0.6328742	0.6764682	0.6462119
2022-02-23	Vietnam	Delta	0.6613537	0.70311177	0.618588	0.6863148	0.63187283	0.67647386	0.6459458
2022-02-24	Vietnam	Delta	0.6614959	0.70322573	0.6182115	0.6861797	0.63184345	0.67650473	0.64552486
2022-02-25	Vietnam	Delta	0.6616261	0.7035788	0.6175345	0.6859946	0.63153255	0.6765166	0.6452893
2022-02-26	Vietnam	Delta	0.66168106	0.70380944	0.6171236	0.68604606	0.63152933	0.67664987	0.6452686
2022-02-27	Vietnam	Delta	0.66170526	0.70373166	0.616886	0.68620247	0.63137776	0.67669463	0.6454612
2022-02-28	Vietnam	Delta	0.66159797	0.70355463	0.6166785	0.6865197	0.63152015	0.6765703	0.6454937
2022-03-01	Vietnam	Delta	0.6614833	0.7033167	0.6164898	0.6866998	0.63061327	0.67651093	0.64534426
2022-03-02	Vietnam	Delta	0.66160154	0.70302415	0.61605966	0.68701905	0.6305612	0.6762905	0.6451235
2022-03-03	Vietnam	Delta	0.66170985	0.7031718	0.6160027	0.68695134	0.6308644	0.67616904	0.64520115
2022-03-04	Vietnam	Delta	0.66149485	0.7036254	0.6158078	0.6869814	0.63056576	0.67616785	0.64516383
