date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-04-03	Australia	Delta	1.996762e-06	3.3075452e-05	8.085334e-08	1.2188922e-05	2.6458187e-07	5.1486854e-06	7.074623e-07							
2022-04-04	Australia	Delta	1.6885626e-06	3.0935258e-05	6.092789e-08	1.1398902e-05	2.1261727e-07	4.5278093e-06	5.7565387e-07							
2022-04-05	Australia	Delta	1.4231593e-06	2.7793561e-05	4.5905907e-08	1.006184e-05	1.6494684e-07	3.995041e-06	4.590135e-07							
2022-04-06	Australia	Delta	1.1873493e-06	2.5199113e-05	3.4980577e-08	9.480424e-06	1.3133248e-07	3.5168036e-06	3.7335627e-07							
2022-04-07	Australia	Delta	1.0090744e-06	2.379518e-05	2.7706495e-08	8.483033e-06	1.0790734e-07	3.0843964e-06	3.1168162e-07							
2022-04-08	Australia	Delta	8.593903e-07	2.2105756e-05	2.1917202e-08	7.726499e-06	8.766305e-08	2.6412033e-06	2.5320497e-07							
2022-04-09	Australia	Delta	7.3269473e-07	2.0506075e-05	1.7676019e-08	7.017235e-06	6.9716585e-08	2.2910153e-06	2.0456405e-07							
2022-04-10	Australia	Delta	6.1454693e-07	1.8132163e-05	1.4254171e-08	6.5009995e-06	5.5831737e-08	1.9951349e-06	1.6714687e-07							
2022-04-11	Australia	Delta	5.217661e-07	1.6029267e-05	1.1493869e-08	5.963363e-06	4.470705e-08	1.7293631e-06	1.3643925e-07							
2022-04-12	Australia	Delta	4.4106883e-07	1.4167155e-05	9.142179e-09	5.376115e-06	3.552914e-08	1.4851877e-06	1.1034612e-07							
2022-04-13	Australia	Delta	3.7097237e-07	1.3034729e-05	7.213713e-09	4.8022184e-06	2.807415e-08	1.3070838e-06	9.018625e-08							
2022-04-14	Australia	Delta	3.1353414e-07	1.2493805e-05	5.691093e-09	4.477255e-06	2.2220759e-08	1.1764212e-06	7.302376e-08							
2022-04-15	Australia	Delta	2.6470934e-07	1.1973605e-05	4.4891597e-09	3.8919843e-06	1.7260966e-08	1.0498738e-06	5.960172e-08							
2022-04-16	Australia	Delta	2.2443655e-07	1.14735785e-05	3.5405692e-09	3.5122962e-06	1.333265e-08	9.2633826e-07	4.7685646e-08							
2022-04-17	Australia	Delta	1.8829813e-07	1.0845411e-05	2.7700242e-09	3.1087136e-06	1.0454699e-08	8.122968e-07	3.7783348e-08							
2022-04-18	Australia	Delta	1.5928276e-07	1.0050424e-05	2.1602071e-09	2.716035e-06	8.10024e-09	7.1339775e-07	3.0022772e-08							
2022-04-19	Australia	Delta	1.3300445e-07	9.39579e-06	1.6957438e-09	2.3910216e-06	6.425825e-09	6.343842e-07	2.427052e-08							
2022-04-20	Australia	Delta	1.1417041e-07	8.8640845e-06	1.3028767e-09	2.1265885e-06	5.1037423e-09	5.5277314e-07	1.9584032e-08							
2022-04-21	Australia	Delta	9.540214e-08	8.463386e-06	9.764953e-10	1.895358e-06	4.063954e-09	4.7380834e-07	1.5878197e-08							
2022-04-22	Australia	Delta	8.202447e-08	8.030615e-06	7.4317164e-10	1.7128845e-06	3.2355245e-09	4.2236286e-07	1.3032891e-08							
2022-04-23	Australia	Delta	7.04381e-08	7.6188226e-06	5.6636545e-10	1.5398294e-06	2.5755929e-09	3.7374056e-07	1.0570053e-08							
2022-04-24	Australia	Delta	5.9787766e-08	7.2270805e-06	4.3061468e-10	1.3796594e-06	2.0499689e-09	3.291674e-07	8.504515e-09							
2022-04-25	Australia	Delta	5.0596896e-08	6.854475e-06	3.2535133e-10	1.2298237e-06	1.6103832e-09	2.8916782e-07	6.8740875e-09							
2022-04-26	Australia	Delta	4.2694435e-08	6.500118e-06	2.4567506e-10	1.1060118e-06	1.2600958e-09	2.5286332e-07	5.555651e-09							
2022-04-27	Australia	Delta	3.631237e-08	6.1413252e-06	1.8549061e-10	9.843062e-07	1.0099548e-09	2.2416279e-07	4.4895883e-09							
2022-04-28	Australia	Delta	3.036033e-08	5.6886483e-06	1.4003472e-10	8.759083e-07	8.1638896e-10	1.9730481e-07	3.6781636e-09							
2022-04-29	Australia	Delta	2.5327449e-08	5.273743e-06	1.0570596e-10	7.7936994e-07	6.594341e-10	1.7160775e-07	3.099074e-09							
2022-04-30	Australia	Delta	2.1161721e-08	4.92022e-06	7.978343e-11	6.9339956e-07	5.252983e-10	1.529001e-07	2.4919147e-09							
2022-05-01	Australia	Delta	1.803064e-08	4.646495e-06	6.0210434e-11	6.3571184e-07	4.1539916e-10	1.3559051e-07	2.0058117e-09							
2022-05-02	Australia	Delta	1.5237305e-08	4.3853056e-06	4.5433268e-11	5.827949e-07	3.301496e-10	1.1831504e-07	1.630396e-09							
2022-05-03	Australia	Delta	1.280864e-08	4.034271e-06	3.4277907e-11	5.342029e-07	2.6234787e-10	1.0188338e-07	1.3231263e-09							
2022-05-04	Australia	Delta	1.0693559e-08	3.7119821e-06	2.5857646e-11	4.895842e-07	2.0708532e-10	8.8166345e-08	1.0712387e-09							
