date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-03-20	Brazil	Delta	0.000107312684	0.0005466747	1.9596584e-05	0.00031448647	3.4625096e-05	0.00018975687	6.366572e-05							
2022-03-21	Brazil	Delta	9.2877526e-05	0.0005036879	1.5762416e-05	0.00028270227	2.8051938e-05	0.00016719752	5.351372e-05							
2022-03-22	Brazil	Delta	8.0052574e-05	0.00046342454	1.2563498e-05	0.00025574857	2.2660519e-05	0.00014698462	4.508521e-05							
2022-03-23	Brazil	Delta	6.8839654e-05	0.000426203	1.0010761e-05	0.00022904611	1.831265e-05	0.00012854225	3.7632322e-05							
2022-03-24	Brazil	Delta	5.8806996e-05	0.00039180432	7.974193e-06	0.00020505583	1.5098789e-05	0.00011431248	3.1398726e-05							
2022-03-25	Brazil	Delta	5.0272905e-05	0.0003600245	6.3988527e-06	0.00018372158	1.2474611e-05	0.00010006478	2.6475289e-05							
2022-03-26	Brazil	Delta	4.3446104e-05	0.00033069664	5.140535e-06	0.00016767082	1.0298383e-05	8.749258e-05	2.2303513e-05							
2022-03-27	Brazil	Delta	3.753205e-05	0.0003036616	4.1278004e-06	0.00015411824	8.521496e-06	7.642823e-05	1.8806162e-05							
2022-03-28	Brazil	Delta	3.220212e-05	0.0002787054	3.3130323e-06	0.0001391824	7.0664255e-06	6.685722e-05	1.5806281e-05							
2022-03-29	Brazil	Delta	2.7724102e-05	0.00025567677	2.6578227e-06	0.00012459932	5.8570354e-06	5.8749767e-05	1.3335753e-05							
2022-03-30	Brazil	Delta	2.385027e-05	0.00023443562	2.1311537e-06	0.00011149599	4.8522793e-06	5.109933e-05	1.1248925e-05							
2022-03-31	Brazil	Delta	2.0474497e-05	0.0002148509	1.7079979e-06	9.962536e-05	4.0178993e-06	4.4572724e-05	9.486751e-06							
2022-04-01	Brazil	Delta	1.7569044e-05	0.00019680132	1.3681647e-06	8.894199e-05	3.325311e-06	3.901013e-05	7.99675e-06							
2022-04-02	Brazil	Delta	1.506831e-05	0.00018017372	1.0954147e-06	7.9366735e-05	2.7140727e-06	3.413253e-05	6.7374535e-06							
2022-04-03	Brazil	Delta	1.2937417e-05	0.00016522419	8.8179945e-07	7.07882e-05	2.2200425e-06	2.9831735e-05	5.600617e-06							
2022-04-04	Brazil	Delta	1.1105443e-05	0.00015200644	7.0949636e-07	6.310592e-05	1.8261761e-06	2.60655e-05	4.687462e-06							
2022-04-05	Brazil	Delta	9.4928455e-06	0.00013977132	5.705795e-07	5.6704936e-05	1.5030389e-06	2.296688e-05	3.9520555e-06							
2022-04-06	Brazil	Delta	8.154464e-06	0.00012845117	4.575602e-07	5.038895e-05	1.2372657e-06	2.0195725e-05	3.3217593e-06							
2022-04-07	Brazil	Delta	6.99621e-06	0.00011809089	3.65947e-07	4.4750886e-05	1.0102957e-06	1.7705937e-05	2.7691513e-06							
