date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-03-20	Egypt	Delta	0.0044105477	0.04204605	0.00047315768	0.018675908	0.0010259994	0.009150827	0.0021574816							
2022-03-21	Egypt	Delta	0.0039651766	0.041526556	0.0003825149	0.017968802	0.00084844924	0.008430824	0.0018752748							
2022-03-22	Egypt	Delta	0.0035513034	0.04157155	0.00030927328	0.017336352	0.00068455905	0.007798476	0.0016132584							
2022-03-23	Egypt	Delta	0.003164291	0.041943975	0.00024426723	0.016701669	0.0005527964	0.0072510126	0.0014080944							
2022-03-24	Egypt	Delta	0.0028408375	0.042583227	0.00019082795	0.016010491	0.00045917253	0.006615558	0.0012260671							
2022-03-25	Egypt	Delta	0.002581757	0.043329366	0.00014901123	0.015325342	0.00038144388	0.0060346583	0.0010388714							
2022-03-26	Egypt	Delta	0.0023099277	0.04390143	0.00011631496	0.014467562	0.00031652622	0.005589965	0.000884179							
2022-03-27	Egypt	Delta	0.002046172	0.044529684	9.076051e-05	0.013782406	0.00026225203	0.005060282	0.00074895314							
2022-03-28	Egypt	Delta	0.0018178888	0.044400383	7.079579e-05	0.013181425	0.00021693838	0.0046598706	0.0006413703							
2022-03-29	Egypt	Delta	0.0016220897	0.04387139	5.620416e-05	0.012332784	0.00017930976	0.004232034	0.0005537008							
2022-03-30	Egypt	Delta	0.0014374031	0.043355256	4.4019216e-05	0.0121288905	0.00014794424	0.003848884	0.0004775261							
2022-03-31	Egypt	Delta	0.0012909428	0.04299704	3.476083e-05	0.011557631	0.00012255082	0.003525918	0.0004075331							
2022-04-01	Egypt	Delta	0.0011579042	0.042655192	2.7494614e-05	0.011089657	0.00010044488	0.0031863598	0.00034958497							
2022-04-02	Egypt	Delta	0.0010192972	0.04233484	2.1726386e-05	0.010490382	8.243404e-05	0.002853405	0.00029988535							
2022-04-03	Egypt	Delta	0.00091260683	0.0421459	1.715196e-05	0.009908045	6.76018e-05	0.0026162635	0.0002557161							
2022-04-04	Egypt	Delta	0.0008045026	0.041991882	1.35348555e-05	0.0093459375	5.5469656e-05	0.0023745326	0.0002194491							
2022-04-05	Egypt	Delta	0.00070607587	0.04183002	1.067606e-05	0.00901116	4.541543e-05	0.002157643	0.00018496702							
2022-04-06	Egypt	Delta	0.0006277214	0.041660655	8.446523e-06	0.008732968	3.7098627e-05	0.001973811	0.00015862528							
2022-04-07	Egypt	Delta	0.0005573163	0.041484125	6.742891e-06	0.008462603	3.0291572e-05	0.0017927977	0.00013636702							
2022-04-08	Egypt	Delta	0.00049624924	0.041300755	5.380682e-06	0.00819985	2.4722942e-05	0.0016240026	0.000114658586							
2022-04-09	Egypt	Delta	0.00044076634	0.041110862	4.2919705e-06	0.007934353	2.0169511e-05	0.0014953511	9.6428455e-05							
2022-04-10	Egypt	Delta	0.00039325893	0.04073082	3.4222144e-06	0.007597954	1.644797e-05	0.0013703032	8.2188526e-05							
2022-04-11	Egypt	Delta	0.00035011652	0.03982228	2.7276808e-06	0.0073539466	1.3407745e-05	0.0012425814	7.004033e-05							
2022-04-12	Egypt	Delta	0.00031005754	0.038860384	2.1733001e-06	0.0071127387	1.0925178e-05	0.0011439433	5.821393e-05							
2022-04-13	Egypt	Delta	0.00027403925	0.037848722	1.7309699e-06	0.0069314647	8.967524e-06	0.0010522943	4.9302475e-05							
2022-04-14	Egypt	Delta	0.00024272304	0.036791947	1.378183e-06	0.006668915	7.2047324e-06	0.00095309725	4.178011e-05							
2022-04-15	Egypt	Delta	0.00021298297	0.035742365	1.0969247e-06	0.0064132395	5.8458736e-06	0.0008783516	3.549088e-05							
2022-04-16	Egypt	Delta	0.0001883281	0.034956075	8.727749e-07	0.0061647906	4.7527774e-06	0.00080925657	3.028632e-05							
2022-04-17	Egypt	Delta	0.00016779824	0.034475252	6.942055e-07	0.005925755	3.862799e-06	0.000743055	2.5843603e-05							
2022-04-18	Egypt	Delta	0.00014728941	0.033990163	5.429563e-07	0.005695775	3.1384598e-06	0.00067722634	2.2051401e-05							
2022-04-19	Egypt	Delta	0.00013014914	0.033501588	4.129231e-07	0.005471207	2.5491445e-06	0.0006162049	1.8751865e-05							
2022-04-20	Egypt	Delta	0.000114062364	0.033256646	3.145131e-07	0.0052393526	2.0698567e-06	0.0005606293	1.5301408e-05							
2022-04-21	Egypt	Delta	0.00010131986	0.033091027	2.399456e-07	0.005016931	1.6801876e-06	0.000510019	1.2722673e-05							
2022-04-22	Egypt	Delta	8.957459e-05	0.032929596	1.8336667e-07	0.0047374777	1.3634841e-06	0.0004639362	1.0817173e-05							
