date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2021-11-03	Panama	Delta	1.7338381e-05	0.9737922	6.7729156e-12	0.22541894	7.418065e-10	0.0024023063	1.1524398e-07							
2021-11-04	Panama	Delta	1.3468718e-05	0.969992	5.363463e-12	0.19824007	6.200329e-10	0.0018668273	8.963163e-08							
2021-11-05	Panama	Delta	1.04636965e-05	0.96435213	4.37164e-12	0.17229563	5.190233e-10	0.0014697209	7.610571e-08							
2021-11-06	Panama	Delta	7.814124e-06	0.95738304	3.573831e-12	0.14764662	4.0919843e-10	0.0012108542	6.101352e-08							
2021-11-07	Panama	Delta	5.944383e-06	0.95074594	2.9304506e-12	0.12583086	2.9201921e-10	0.0009891578	4.5822603e-08							
2021-11-08	Panama	Delta	4.6072873e-06	0.9467691	2.4102265e-12	0.10643406	2.3693633e-10	0.00080532185	3.4984105e-08							
2021-11-09	Panama	Delta	3.6813417e-06	0.9410666	1.9868209e-12	0.08714043	1.9263222e-10	0.0006312814	2.805576e-08							
2021-11-10	Panama	Delta	2.8615489e-06	0.92882746	1.5698855e-12	0.0682621	1.5688875e-10	0.00050856493	2.3012644e-08							
2021-11-11	Panama	Delta	2.2261556e-06	0.91425246	1.1673817e-12	0.052768804	1.2797431e-10	0.00039745047	1.7626839e-08							
2021-11-12	Panama	Delta	1.7153491e-06	0.8969952	8.6336396e-13	0.043474723	1.0479517e-10	0.00030637882	1.388389e-08							
2021-11-13	Panama	Delta	1.3035922e-06	0.8825191	6.243426e-13	0.035905246	8.6179806e-11	0.00023667213	1.12704e-08							
2021-11-14	Panama	Delta	1.0015676e-06	0.8627137	4.3525638e-13	0.029297598	6.5467305e-11	0.00019636747	8.7129e-09							
2021-11-15	Panama	Delta	7.6832504e-07	0.83493745	3.250321e-13	0.022915363	4.8374874e-11	0.00015930762	6.743574e-09							
2021-11-16	Panama	Delta	6.194116e-07	0.8026272	2.5311434e-13	0.01784236	3.5766463e-11	0.00012748638	5.3945075e-09							
2021-11-17	Panama	Delta	5.0311354e-07	0.76598644	1.8700278e-13	0.014036922	2.6461774e-11	0.000101798454	4.38445e-09							
2021-11-18	Panama	Delta	4.0479506e-07	0.72490144	1.3539532e-13	0.011675001	1.9591854e-11	8.121335e-05	3.3706642e-09							
2021-11-19	Panama	Delta	3.323041e-07	0.67951566	1.02647796e-13	0.008961023	1.4517011e-11	6.3903106e-05	2.603568e-09							
2021-11-20	Panama	Delta	2.6621214e-07	0.63638306	7.792607e-14	0.0069222627	1.0766015e-11	5.0281873e-05	2.1004214e-09							
2021-11-21	Panama	Delta	2.105821e-07	0.5939187	5.923887e-14	0.005603838	8.209903e-12	4.05597e-05	1.5672541e-09							
2021-11-22	Panama	Delta	1.6905665e-07	0.5499799	4.5094316e-14	0.0041259443	6.6376106e-12	3.261427e-05	1.2249177e-09							
2021-11-23	Panama	Delta	1.2622925e-07	0.50522614	3.4311472e-14	0.0030735396	4.855544e-12	2.6730415e-05	1.0204932e-09							
2021-11-24	Panama	Delta	1.0000724e-07	0.46036738	2.6093536e-14	0.0025609042	3.4557994e-12	2.2125529e-05	8.350527e-10							
2021-11-25	Panama	Delta	7.8029316e-08	0.41612288	1.9870942e-14	0.0021575608	2.647427e-12	1.7934584e-05	6.2762023e-10							
2021-11-26	Panama	Delta	6.5050315e-08	0.37317425	1.4776859e-14	0.0018176242	2.0932236e-12	1.4376894e-05	4.9249016e-10							
2021-11-27	Panama	Delta	5.1766783e-08	0.3321235	1.0892203e-14	0.001531157	1.5979779e-12	1.1854789e-05	3.8806733e-10							
2021-11-28	Panama	Delta	4.0547384e-08	0.2934643	8.028981e-15	0.0012862423	1.1821051e-12	9.7586e-06	3.0089856e-10							
2021-11-29	Panama	Delta	3.094656e-08	0.2575631	5.9185275e-15	0.0009956409	9.244727e-13	8.457907e-06	2.3319469e-10							
2021-11-30	Panama	Delta	2.3984207e-08	0.22694062	4.3629274e-15	0.0007643435	7.8795016e-13	6.986488e-06	1.8353466e-10							
