date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2021-10-20	South Africa	Delta	0.86399937	0.8803879	0.84640336	0.8750862	0.85188895	0.8695614	0.85748494							
2021-10-21	South Africa	Delta	0.86002886	0.8766439	0.84203494	0.8717798	0.8479141	0.8661772	0.85372657							
2021-10-22	South Africa	Delta	0.8557136	0.8725404	0.83723485	0.8678078	0.8432716	0.8622997	0.84936523							
2021-10-23	South Africa	Delta	0.85061085	0.8682482	0.8316671	0.8633308	0.83785737	0.85798657	0.844059							
2021-10-24	South Africa	Delta	0.84521157	0.86364645	0.8256755	0.8581951	0.8317135	0.85289735	0.83819944							
2021-10-25	South Africa	Delta	0.8388413	0.8585225	0.8184554	0.85237336	0.824962	0.84712505	0.8315667							
2021-10-26	South Africa	Delta	0.8318198	0.8528336	0.8101193	0.84597415	0.81773657	0.84052074	0.8239442							
2021-10-27	South Africa	Delta	0.8235482	0.8465	0.80100614	0.8386981	0.80872124	0.8328003	0.81563723							
2021-10-28	South Africa	Delta	0.8140076	0.838739	0.7900732	0.8303265	0.7987616	0.823994	0.80583775							
2021-10-29	South Africa	Delta	0.8034537	0.82900274	0.7771949	0.8206299	0.7871045	0.8139963	0.7945144							
2021-10-30	South Africa	Delta	0.7915893	0.8180949	0.7633275	0.8096037	0.7738534	0.8025022	0.782077							
2021-10-31	South Africa	Delta	0.7775445	0.80533445	0.74772465	0.79721016	0.7589587	0.78918195	0.76763296							
2021-11-01	South Africa	Delta	0.76178825	0.7905607	0.7294265	0.78286904	0.7421111	0.77403253	0.7509659							
2021-11-02	South Africa	Delta	0.74356234	0.77411604	0.7086686	0.76597255	0.72270143	0.7562361	0.73232937							
2021-11-03	South Africa	Delta	0.72312057	0.755275	0.68554157	0.7469181	0.70107865	0.73649466	0.71101063							
2021-11-04	South Africa	Delta	0.69993854	0.73354375	0.65975505	0.724964	0.6760691	0.7139712	0.68733203							
2021-11-05	South Africa	Delta	0.67421985	0.7092924	0.6312618	0.70064926	0.649593	0.6888492	0.6611004							
2021-11-06	South Africa	Delta	0.6457534	0.6820987	0.6004604	0.6736763	0.62066567	0.66077316	0.6316725							
2021-11-07	South Africa	Delta	0.61465704	0.65152645	0.5687463	0.64299643	0.5881019	0.62999594	0.60050666							
2021-11-08	South Africa	Delta	0.58063674	0.61853683	0.53491646	0.60934544	0.55311745	0.59653836	0.56638885							
2021-11-09	South Africa	Delta	0.544737	0.5842693	0.498449	0.5736821	0.51681125	0.5610519	0.5301547							
2021-11-10	South Africa	Delta	0.50695455	0.5458534	0.46097842	0.53605634	0.4793519	0.5229224	0.49215993							
2021-11-11	South Africa	Delta	0.46783334	0.50679636	0.4231422	0.496356	0.43988177	0.48331228	0.45414135							
2021-11-12	South Africa	Delta	0.42851365	0.46603063	0.38439906	0.45604557	0.40045744	0.44293094	0.41509587							
2021-11-13	South Africa	Delta	0.3888058	0.42473185	0.34593487	0.4155615	0.36152464	0.4026418	0.3752454							
2021-11-14	South Africa	Delta	0.34933275	0.3843485	0.3090985	0.3739069	0.32423094	0.36278874	0.33719724							
2021-11-15	South Africa	Delta	0.3111965	0.34530604	0.27368915	0.33420634	0.28706986	0.32362947	0.29945862							
2021-11-16	South Africa	Delta	0.2753659	0.30779096	0.2403613	0.29627234	0.25301987	0.28709233	0.264021							
2021-11-17	South Africa	Delta	0.24174413	0.27180856	0.2094143	0.26140332	0.22133179	0.25216386	0.23130107							
2021-11-18	South Africa	Delta	0.21042441	0.23841265	0.181588	0.22896607	0.1922943	0.21959956	0.20082405							
2021-11-19	South Africa	Delta	0.18182987	0.2081187	0.15630299	0.19918832	0.16539595	0.19026339	0.17298377							
2021-11-20	South Africa	Delta	0.15616897	0.18057114	0.13332754	0.17252767	0.14134176	0.1640212	0.14838229							
2021-11-21	South Africa	Delta	0.13362953	0.15588915	0.11369301	0.14868426	0.120599724	0.1406056	0.12639768							
2021-11-22	South Africa	Delta	0.113649264	0.13419035	0.09617844	0.12773827	0.1020395	0.11992043	0.10771924							
2021-11-23	South Africa	Delta	0.09649178	0.11482006	0.080834255	0.10929038	0.08577884	0.10195242	0.09081642							
2021-11-24	South Africa	Delta	0.08137201	0.0981123	0.06780371	0.0929204	0.07231515	0.08642956	0.07642382							
2021-11-25	South Africa	Delta	0.068403624	0.083508044	0.05660294	0.078489974	0.06010788	0.07302461	0.06417082							
2021-11-26	South Africa	Delta	0.057365373	0.07121946	0.04700268	0.06608879	0.050192684	0.061520237	0.05377261							
2021-11-27	South Africa	Delta	0.047983926	0.060606863	0.039052714	0.055772927	0.041767627	0.051541515	0.0449							
2021-11-28	South Africa	Delta	0.040031277	0.051205274	0.032442197	0.046638865	0.03451195	0.043152425	0.037441377							
2021-11-29	South Africa	Delta	0.033308208	0.04338427	0.026802488	0.03921337	0.02860948	0.03626995	0.03108599							
2021-11-30	South Africa	Delta	0.02770276	0.036668353	0.022150833	0.032775912	0.023667883	0.030393614	0.025772186							
2021-12-01	South Africa	Delta	0.023031637	0.030943155	0.01825963	0.027516274	0.019593976	0.025339542	0.021321984							
2021-12-02	South Africa	Delta	0.019093506	0.02605385	0.015026281	0.022990584	0.016248	0.021078475	0.01763485							
2021-12-03	South Africa	Delta	0.015822254	0.021947226	0.012316837	0.019161036	0.013399416	0.017548889	0.014575632							
2021-12-04	South Africa	Delta	0.0131221665	0.018475153	0.010088334	0.015988082	0.0110622905	0.014610446	0.01202831							
2021-12-05	South Africa	Delta	0.010869937	0.0155113395	0.00823842	0.013332284	0.009100499	0.012185137	0.009918628							
2021-12-06	South Africa	Delta	0.008999651	0.013010845	0.0067142323	0.011093147	0.0074915644	0.010129761	0.008167432							
2021-12-07	South Africa	Delta	0.0074535133	0.010875555	0.005490708	0.00923071	0.0061516543	0.008406179	0.00673215							
2021-12-08	South Africa	Delta	0.0061714263	0.009083244	0.0045014126	0.007673516	0.0050517065	0.0069835596	0.005548508							
2021-12-09	South Africa	Delta	0.005093785	0.007582582	0.0036753372	0.0063875956	0.004153796	0.005770089	0.0045732846							
2021-12-10	South Africa	Delta	0.004210349	0.0063268	0.0029976235	0.0053217392	0.0034019705	0.0047883126	0.003759841							
2021-12-11	South Africa	Delta	0.0034763524	0.0052766367	0.0024442072	0.0044254884	0.0027895523	0.0039623477	0.003090363							
2021-12-12	South Africa	Delta	0.002870148	0.00439893	0.0019902966	0.0036724347	0.0022936608	0.0032817773	0.0025453195							
2021-12-13	South Africa	Delta	0.0023698765	0.0036642824	0.0016208729	0.00304373	0.0018726366	0.0027209744	0.002086781							
2021-12-14	South Africa	Delta	0.001954424	0.0030493687	0.0013237162	0.0025198027	0.0015362994	0.0022549725	0.0017142796							
2021-12-15	South Africa	Delta	0.0016127571	0.0025383784	0.0010768869	0.002096441	0.0012557408	0.001863007	0.001406474							
2021-12-16	South Africa	Delta	0.001330246	0.0021112943	0.0008752794	0.0017434002	0.0010267355	0.0015404416	0.001155734							
2021-12-17	South Africa	Delta	0.0010944854	0.0017545356	0.000711023	0.0014422237	0.00084075105	0.0012746059	0.00094683457							
2021-12-18	South Africa	Delta	0.00089851115	0.0014566912	0.00057804026	0.0011873706	0.0006855975	0.0010520669	0.00077473535							
2021-10-20	South Africa	Omicron 21K	0.012634947	0.019149657	0.0082942275	0.016156767	0.009798006	0.014563583	0.010895722							
2021-10-21	South Africa	Omicron 21K	0.015185429	0.022722986	0.010116883	0.019277817	0.011887273	0.017465537	0.013165218							
2021-10-22	South Africa	Omicron 21K	0.018236604	0.02695806	0.012321519	0.022975925	0.014330016	0.020933775	0.01592598							
2021-10-23	South Africa	Omicron 21K	0.021902934	0.03195595	0.014992509	0.027362455	0.01735509	0.025011593	0.019255582							
2021-10-24	South Africa	Omicron 21K	0.026278477	0.03780504	0.018231496	0.032640874	0.021006973	0.029946685	0.02324122							
