date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-08-20	United Kingdom	Delta	2.6296828e-05	0.0001101194	6.447379e-06	6.729159e-05	1.053638e-05	4.5653433e-05	1.6101983e-05							
2022-08-21	United Kingdom	Delta	2.5494603e-05	0.000106215244	6.275971e-06	6.636485e-05	1.02869635e-05	4.4339748e-05	1.5493692e-05							
2022-08-22	United Kingdom	Delta	2.4827048e-05	0.00010245682	6.0471157e-06	6.459644e-05	9.993624e-06	4.317657e-05	1.4921579e-05							
2022-08-23	United Kingdom	Delta	2.4286663e-05	9.944093e-05	5.8154656e-06	6.296852e-05	9.685899e-06	4.2084284e-05	1.4599487e-05							
2022-08-24	United Kingdom	Delta	2.3825349e-05	9.7422395e-05	5.611372e-06	6.139502e-05	9.209936e-06	4.0714935e-05	1.4320238e-05							
2022-08-25	United Kingdom	Delta	2.316237e-05	9.6797514e-05	5.4689526e-06	5.97409e-05	8.75527e-06	3.944977e-05	1.39955e-05							
2022-08-26	United Kingdom	Delta	2.2584252e-05	9.360293e-05	5.3276035e-06	5.812759e-05	8.379526e-06	3.844189e-05	1.3407816e-05							
2022-08-27	United Kingdom	Delta	2.1920761e-05	9.2875256e-05	5.1902243e-06	5.7901594e-05	8.201908e-06	3.7111506e-05	1.3153869e-05							
2022-08-28	United Kingdom	Delta	2.1436887e-05	9.229587e-05	5.066776e-06	5.828646e-05	7.874304e-06	3.640072e-05	1.2770651e-05							
2022-08-29	United Kingdom	Delta	2.0705273e-05	9.151875e-05	5.0402878e-06	5.615167e-05	7.653922e-06	3.508757e-05	1.2321002e-05							
2022-08-30	United Kingdom	Delta	2.0114858e-05	9.0770365e-05	4.9649193e-06	5.5173005e-05	7.3830097e-06	3.447688e-05	1.1887529e-05							
2022-08-31	United Kingdom	Delta	1.953411e-05	9.011291e-05	4.8069423e-06	5.4512e-05	7.1164736e-06	3.3697448e-05	1.15940675e-05							
2022-09-01	United Kingdom	Delta	1.9091214e-05	8.9522975e-05	4.5698034e-06	5.3251235e-05	6.8639097e-06	3.2627282e-05	1.1392158e-05							
2022-09-02	United Kingdom	Delta	1.8539018e-05	8.913856e-05	4.3247555e-06	5.1283056e-05	6.61352e-06	3.184456e-05	1.1007704e-05							
2022-09-03	United Kingdom	Delta	1.8031486e-05	8.87367e-05	4.154457e-06	4.9741015e-05	6.371355e-06	3.096119e-05	1.0607631e-05							
2022-09-04	United Kingdom	Delta	1.7555645e-05	8.9022025e-05	3.9612705e-06	4.865165e-05	6.1321525e-06	3.0172261e-05	1.0188426e-05							
2022-09-05	United Kingdom	Delta	1.6971477e-05	8.941171e-05	3.7759617e-06	4.8111942e-05	5.984866e-06	2.9359344e-05	9.820845e-06							
2022-09-06	United Kingdom	Delta	1.662063e-05	8.859615e-05	3.5480828e-06	4.7416946e-05	5.745092e-06	2.8458846e-05	9.455297e-06							
2022-09-07	United Kingdom	Delta	1.5915855e-05	8.77843e-05	3.3313263e-06	4.6779693e-05	5.530925e-06	2.783634e-05	9.147241e-06							
2022-09-08	United Kingdom	Delta	1.5597823e-05	8.6906904e-05	3.166902e-06	4.7300186e-05	5.264599e-06	2.735628e-05	8.897816e-06							
2022-09-09	United Kingdom	Delta	1.5262953e-05	8.499932e-05	2.97534e-06	4.708815e-05	5.073816e-06	2.6454767e-05	8.596469e-06							
2022-09-10	United Kingdom	Delta	1.4613535e-05	8.327351e-05	2.834165e-06	4.5372297e-05	4.889198e-06	2.6001522e-05	8.345047e-06							
2022-09-11	United Kingdom	Delta	1.4064126e-05	8.159426e-05	2.7271358e-06	4.3796423e-05	4.6820355e-06	2.5553481e-05	8.064677e-06							
2022-09-12	United Kingdom	Delta	1.3639734e-05	7.9936915e-05	2.624438e-06	4.299941e-05	4.4974613e-06	2.5049203e-05	7.650138e-06							
2022-09-13	United Kingdom	Delta	1.3301442e-05	7.864021e-05	2.5010108e-06	4.2081472e-05	4.276424e-06	2.4434212e-05	7.4388777e-06							
2022-09-14	United Kingdom	Delta	1.3045645e-05	7.8045785e-05	2.3679106e-06	4.0799416e-05	4.0886653e-06	2.4181532e-05	7.187463e-06							
2022-09-15	United Kingdom	Delta	1.2473392e-05	7.746979e-05	2.2431552e-06	4.000099e-05	3.970029e-06	2.3962537e-05	6.888744e-06							
2022-09-16	United Kingdom	Delta	1.2123596e-05	7.594755e-05	2.1247115e-06	3.992548e-05	3.8024739e-06	2.3837918e-05	6.670954e-06							
2022-09-17	United Kingdom	Delta	1.1796208e-05	7.420104e-05	2.0410057e-06	3.912637e-05	3.667552e-06	2.3377159e-05	6.457273e-06							
2022-09-18	United Kingdom	Delta	1.1448599e-05	7.291566e-05	1.972514e-06	3.8212773e-05	3.494817e-06	2.3042268e-05	6.1931637e-06							
2022-09-19	United Kingdom	Delta	1.1166549e-05	7.208524e-05	1.8725659e-06	3.734855e-05	3.342681e-06	2.2443848e-05	5.9806825e-06							
2022-09-20	United Kingdom	Delta	1.0847985e-05	7.1752336e-05	1.7718933e-06	3.648694e-05	3.2280477e-06	2.195079e-05	5.7039942e-06							
