date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-10-03	Vietnam	Delta	1.4339007e-06	0.00030669427	6.016136e-09	4.2732547e-05	4.6333444e-08	8.922539e-06	2.3490267e-07							
2022-10-04	Vietnam	Delta	1.3800579e-06	0.00029435306	5.692891e-09	4.183906e-05	4.4385455e-08	8.413347e-06	2.1902629e-07							
2022-10-05	Vietnam	Delta	1.312456e-06	0.00028174208	5.4326934e-09	4.1510917e-05	4.2403805e-08	8.137092e-06	2.1009653e-07							
2022-10-06	Vietnam	Delta	1.2496946e-06	0.0002689293	5.167349e-09	3.8511622e-05	4.040026e-08	7.583002e-06	1.9957551e-07							
2022-10-07	Vietnam	Delta	1.1938149e-06	0.00025598615	4.8131277e-09	3.6562058e-05	3.8386712e-08	7.1252152e-06	1.8923434e-07							
2022-10-08	Vietnam	Delta	1.1194797e-06	0.00024298675	4.4409307e-09	3.5147474e-05	3.5935255e-08	6.82956e-06	1.752862e-07							
2022-10-09	Vietnam	Delta	1.0818133e-06	0.00023000558	4.0837547e-09	3.3629938e-05	3.3232638e-08	6.5329978e-06	1.6236615e-07							
2022-10-10	Vietnam	Delta	1.025419e-06	0.0002171165	3.745861e-09	3.064272e-05	3.0248533e-08	6.130489e-06	1.5151434e-07							
2022-10-11	Vietnam	Delta	9.5263175e-07	0.00020439073	3.4273628e-09	2.889003e-05	2.733362e-08	5.8281485e-06	1.4385458e-07							
2022-10-12	Vietnam	Delta	8.873328e-07	0.00019306995	3.12824e-09	2.7236485e-05	2.4640167e-08	5.5933037e-06	1.3678898e-07							
2022-10-13	Vietnam	Delta	8.217415e-07	0.00018408657	2.8483431e-09	2.5593887e-05	2.2180753e-08	5.288154e-06	1.2707196e-07							
2022-10-14	Vietnam	Delta	7.6510173e-07	0.000175128	2.6018419e-09	2.3977458e-05	2.0480819e-08	4.878658e-06	1.2001054e-07							
2022-10-15	Vietnam	Delta	7.1086527e-07	0.00016625015	2.404548e-09	2.2481245e-05	1.9518263e-08	4.4585495e-06	1.1303125e-07							
2022-10-16	Vietnam	Delta	6.5909023e-07	0.00015661927	2.2176025e-09	2.1436195e-05	1.820243e-08	4.065716e-06	1.021359e-07							
2022-10-17	Vietnam	Delta	6.0848026e-07	0.00014488891	2.0338746e-09	2.0518819e-05	1.7121392e-08	3.7527118e-06	9.370173e-08							
2022-10-18	Vietnam	Delta	5.7298723e-07	0.00013389517	1.8374049e-09	1.949276e-05	1.6108899e-08	3.4938466e-06	8.4788724e-08							
2022-10-19	Vietnam	Delta	5.225634e-07	0.00012362761	1.6809956e-09	1.780479e-05	1.4218417e-08	3.2366586e-06	7.605301e-08							
2022-10-20	Vietnam	Delta	4.6916915e-07	0.000114068534	1.5346712e-09	1.6222433e-05	1.249428e-08	2.9886414e-06	6.828612e-08							
2022-10-21	Vietnam	Delta	4.2197428e-07	0.00010519378	1.3973107e-09	1.4757751e-05	1.1175739e-08	2.7511787e-06	6.1778245e-08							
2022-10-22	Vietnam	Delta	3.817364e-07	9.726782e-05	1.2700845e-09	1.3597128e-05	1.0057667e-08	2.4753233e-06	5.6268526e-08							
2022-10-23	Vietnam	Delta	3.4892716e-07	8.985781e-05	1.1526131e-09	1.276745e-05	9.040952e-09	2.23787e-06	5.0922193e-08							
2022-10-24	Vietnam	Delta	3.2004613e-07	8.004607e-05	1.0444735e-09	1.2187132e-05	8.140005e-09	2.021774e-06	4.6695227e-08							
2022-10-25	Vietnam	Delta	2.8831738e-07	7.119991e-05	9.451973e-10	1.1302793e-05	7.1876434e-09	1.8633705e-06	4.2280327e-08							
2022-10-26	Vietnam	Delta	2.588732e-07	6.3244435e-05	8.5429275e-10	1.05741565e-05	6.2768337e-09	1.7136383e-06	3.8275708e-08							
2022-10-27	Vietnam	Delta	2.3773515e-07	5.7994606e-05	7.6986506e-10	9.872387e-06	5.476082e-09	1.5356e-06	3.4862747e-08							
2022-10-28	Vietnam	Delta	2.1777097e-07	5.3708405e-05	6.689706e-10	8.943042e-06	4.7805515e-09	1.4072933e-06	3.1029302e-08							
2022-10-29	Vietnam	Delta	1.9514505e-07	4.9925056e-05	5.809525e-10	7.904991e-06	4.3503876e-09	1.2889755e-06	2.777986e-08							
2022-10-30	Vietnam	Delta	1.7769085e-07	4.650111e-05	5.040465e-10	7.096078e-06	3.817576e-09	1.1722088e-06	2.522119e-08							
2022-10-31	Vietnam	Delta	1.6171927e-07	4.3348417e-05	4.3618928e-10	6.2663885e-06	3.6498358e-09	1.076796e-06	2.2367526e-08							
2022-11-01	Vietnam	Delta	1.4859874e-07	4.0445506e-05	3.7734232e-10	5.8371925e-06	3.3373415e-09	9.753942e-07	1.9686496e-08							
2022-11-02	Vietnam	Delta	1.34012e-07	3.7772053e-05	3.2635533e-10	5.2929067e-06	2.8312717e-09	8.7706064e-07	1.7827658e-08							
2022-11-03	Vietnam	Delta	1.1835422e-07	3.407207e-05	2.8496788e-10	4.7608587e-06	2.3971658e-09	7.9797957e-07	1.594181e-08							
2022-11-04	Vietnam	Delta	1.04022305e-07	3.068494e-05	2.5031732e-10	4.2799834e-06	2.115762e-09	7.402777e-07	1.4574632e-08							
2022-11-05	Vietnam	Delta	9.296116e-08	2.7622233e-05	2.2107394e-10	3.8457556e-06	1.8810704e-09	6.593622e-07	1.2740385e-08							
2022-11-06	Vietnam	Delta	8.410987e-08	2.4864225e-05	1.9536696e-10	3.4539796e-06	1.6732447e-09	6.028299e-07	1.121289e-08							
2022-11-07	Vietnam	Delta	7.451101e-08	2.2790953e-05	1.723825e-10	3.10078e-06	1.5098337e-09	5.452828e-07	9.997142e-09							
2022-11-08	Vietnam	Delta	6.5618515e-08	2.1043623e-05	1.5355808e-10	2.8059096e-06	1.3697693e-09	4.9755727e-07	8.934035e-09							
2022-11-09	Vietnam	Delta	5.7826888e-08	1.9474739e-05	1.3981424e-10	2.5642244e-06	1.1996801e-09	4.5058272e-07	7.894097e-09							
2022-11-10	Vietnam	Delta	5.2549098e-08	1.8090292e-05	1.2688096e-10	2.3370953e-06	1.05445e-09	4.1469835e-07	6.972397e-09							
