date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-07-04	Australia	Delta	9.744545e-08	9.718262e-06	1.5235535e-09	2.1871474e-06	6.9681128e-09	5.769732e-07	2.3991506e-08							
2022-07-05	Australia	Delta	7.1572785e-08	8.2983715e-06	9.471968e-10	1.7900663e-06	4.738063e-09	4.487661e-07	1.6653892e-08							
2022-07-06	Australia	Delta	5.2821825e-08	7.1468444e-06	5.858444e-10	1.4456868e-06	3.1450058e-09	3.4861924e-07	1.1388089e-08							
2022-07-07	Australia	Delta	3.8824297e-08	6.169629e-06	3.668116e-10	1.1720417e-06	2.0461612e-09	2.6813865e-07	7.85906e-09							
2022-07-08	Australia	Delta	2.8749717e-08	5.3312424e-06	2.3595786e-10	9.345912e-07	1.300865e-09	2.0773408e-07	5.2496025e-09							
2022-07-09	Australia	Delta	2.1267986e-08	4.6054706e-06	1.5151701e-10	7.495602e-07	8.6057006e-10	1.5859706e-07	3.5561112e-09							
2022-07-10	Australia	Delta	1.5717966e-08	3.9745287e-06	9.6592075e-11	5.9613564e-07	5.685174e-10	1.199493e-07	2.4046782e-09							
2022-07-11	Australia	Delta	1.1605433e-08	3.4267382e-06	6.1536096e-11	4.7343372e-07	3.7384207e-10	9.0633336e-08	1.644911e-09							
2022-07-12	Australia	Delta	8.493578e-09	2.9517273e-06	3.9162083e-11	3.756464e-07	2.4555868e-10	6.891722e-08	1.1389019e-09							
2022-07-13	Australia	Delta	6.1599e-09	2.5403233e-06	2.4122586e-11	2.9779812e-07	1.5723858e-10	5.1654617e-08	7.7543233e-10							
2022-07-14	Australia	Delta	4.433751e-09	2.184417e-06	1.4801573e-11	2.3588618e-07	1.0081806e-10	3.8891386e-08	5.332631e-10							
2022-07-15	Australia	Delta	3.1027465e-09	1.8768627e-06	9.077123e-12	1.8669726e-07	6.463058e-11	2.9286136e-08	3.6507475e-10							
2022-07-16	Australia	Delta	2.1751392e-09	1.6113715e-06	5.5636693e-12	1.4765357e-07	4.194343e-11	2.2251438e-08	2.5025695e-10							
2022-07-17	Australia	Delta	1.5705302e-09	1.3824234e-06	3.4084961e-12	1.1753931e-07	2.745238e-11	1.7108837e-08	1.6702598e-10							
2022-07-18	Australia	Delta	1.1364859e-09	1.1851766e-06	2.133258e-12	9.583303e-08	1.7634911e-11	1.3148782e-08	1.1243743e-10							
2022-07-19	Australia	Delta	8.187193e-10	1.0153997e-06	1.3394053e-12	7.8091034e-08	1.1215346e-11	1.0121687e-08	7.640424e-11							
2022-07-20	Australia	Delta	5.868812e-10	8.693936e-07	8.405144e-13	6.3076634e-08	7.234922e-12	7.695749e-09	5.114649e-11							
2022-07-21	Australia	Delta	4.1945628e-10	7.4393574e-07	5.271753e-13	5.0180383e-08	4.6689996e-12	5.9776757e-09	3.4850598e-11							
2022-07-22	Australia	Delta	3.0464786e-10	6.362179e-07	3.3048792e-13	3.9901245e-08	2.9712294e-12	4.689481e-09	2.3857171e-11							
2022-07-23	Australia	Delta	2.2184764e-10	5.4380246e-07	2.0709091e-13	3.171313e-08	1.893679e-12	3.579458e-09	1.635009e-11							
2022-07-24	Australia	Delta	1.5924459e-10	4.645712e-07	1.2971167e-13	2.5122938e-08	1.223698e-12	2.6933171e-09	1.1273801e-11							
2022-07-25	Australia	Delta	1.1290957e-10	3.9668964e-07	8.121264e-14	1.9885476e-08	7.956518e-13	2.019855e-09	7.480181e-12							
2022-07-26	Australia	Delta	8.00185e-11	3.385688e-07	5.080866e-14	1.5732592e-08	5.0921496e-13	1.4911112e-09	4.968931e-12							
