date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-30,Brazil,Delta,5.9978476e-05,0.00045327155,8.596549e-06,0.00023522657,1.608334e-05,0.00012279948,2.9161532e-05,,,,,,,
2022-05-01,Brazil,Delta,5.243824e-05,0.00043159176,6.880491e-06,0.00020827913,1.2962596e-05,0.000108283966,2.4257164e-05,,,,,,,
2022-05-02,Brazil,Delta,4.5382687e-05,0.00040359187,5.4995885e-06,0.00019614177,1.0494339e-05,9.9885794e-05,2.0359637e-05,,,,,,,
2022-05-03,Brazil,Delta,3.8873593e-05,0.00036910427,4.433436e-06,0.00018320036,8.46445e-06,8.9604066e-05,1.7178882e-05,,,,,,,
2022-05-04,Brazil,Delta,3.3848482e-05,0.00034121194,3.6077108e-06,0.0001685063,6.8847603e-06,8.055487e-05,1.4346367e-05,,,,,,,
2022-05-05,Brazil,Delta,2.9298402e-05,0.00032111892,2.9367902e-06,0.00015429314,5.6237996e-06,7.329142e-05,1.2042221e-05,,,,,,,
2022-05-06,Brazil,Delta,2.5855177e-05,0.00030557852,2.372009e-06,0.00014023056,4.5952206e-06,6.523506e-05,1.01369415e-05,,,,,,,
2022-05-07,Brazil,Delta,2.2539478e-05,0.00029067934,1.8673563e-06,0.00012902982,3.7588736e-06,5.876721e-05,8.390081e-06,,,,,,,
2022-05-08,Brazil,Delta,1.9455107e-05,0.00027639535,1.4695204e-06,0.00011752126,3.073553e-06,5.1709976e-05,7.150396e-06,,,,,,,
2022-05-09,Brazil,Delta,1.6564813e-05,0.0002611695,1.1545826e-06,0.00010548173,2.5121428e-06,4.586726e-05,6.0179077e-06,,,,,,,
2022-05-10,Brazil,Delta,1.4146042e-05,0.0002456524,8.9762017e-07,9.733227e-05,2.052373e-06,4.087507e-05,4.978006e-06,,,,,,,
2022-05-11,Brazil,Delta,1.2297496e-05,0.0002310721,6.9685825e-07,8.81439e-05,1.662835e-06,3.6486446e-05,4.175876e-06,,,,,,,
2022-05-12,Brazil,Delta,1.0580461e-05,0.00021734166,5.4072643e-07,8.147822e-05,1.3444022e-06,3.208319e-05,3.4039294e-06,,,,,,,
2022-05-13,Brazil,Delta,9.213998e-06,0.00020432769,4.1934837e-07,7.525689e-05,1.0983076e-06,2.8458699e-05,2.8804689e-06,,,,,,,
2022-05-14,Brazil,Delta,7.986886e-06,0.00019208426,3.2502697e-07,6.926619e-05,8.9448594e-07,2.4950352e-05,2.403891e-06,,,,,,,
2022-05-15,Brazil,Delta,6.797379e-06,0.00018328114,2.5176234e-07,6.346214e-05,7.1797217e-07,2.1783797e-05,1.9643576e-06,,,,,,,
2022-05-16,Brazil,Delta,5.8313362e-06,0.0001747754,1.9613316e-07,5.785881e-05,5.7145354e-07,1.9259394e-05,1.5958625e-06,,,,,,,
2022-05-17,Brazil,Delta,5.0026615e-06,0.0001665547,1.5418486e-07,5.2651903e-05,4.6443466e-07,1.7015838e-05,1.3197298e-06,,,,,,,
2022-05-18,Brazil,Delta,4.2986476e-06,0.00015869582,1.2112562e-07,4.776714e-05,3.7873926e-07,1.49780835e-05,1.0897552e-06,,,,,,,
2022-05-19,Brazil,Delta,3.7034615e-06,0.00015114054,9.508401e-08,4.3730455e-05,3.0400568e-07,1.3259079e-05,8.9902903e-07,,,,,,,
2022-05-20,Brazil,Delta,3.1680543e-06,0.00014382333,7.451516e-08,4.0495106e-05,2.415985e-07,1.1664481e-05,7.321453e-07,,,,,,,
2022-05-21,Brazil,Delta,2.7244737e-06,0.00013622228,5.9322815e-08,3.7902002e-05,1.9181263e-07,1.0482836e-05,6.053006e-07,,,,,,,
2022-05-22,Brazil,Delta,2.3404655e-06,0.00012825409,4.718565e-08,3.5027362e-05,1.5212323e-07,9.372101e-06,4.946152e-07,,,,,,,
2022-05-23,Brazil,Delta,2.0082248e-06,0.00012060758,3.7476376e-08,3.2118834e-05,1.2057019e-07,8.329958e-06,4.0333083e-07,,,,,,,
2022-05-24,Brazil,Delta,1.731499e-06,0.00011327053,2.942756e-08,2.9813531e-05,9.564259e-08,7.394333e-06,3.2854533e-07,,,,,,,
