date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2021-12-04,Japan,Delta,0.98822474,0.990793,0.9852264,0.9898821,0.98633754,0.9890843,0.98726135,,,,,,,
2021-12-05,Japan,Delta,0.9858681,0.9888452,0.9824039,0.9877698,0.98369014,0.98684245,0.9847216,,,,,,,
2021-12-06,Japan,Delta,0.98298854,0.98647094,0.9790522,0.98521596,0.9805067,0.98412603,0.98170835,,,,,,,
2021-12-07,Japan,Delta,0.97952664,0.9835774,0.97500885,0.9821109,0.9766225,0.9808471,0.9780487,,,,,,,
2021-12-08,Japan,Delta,0.97541016,0.98007286,0.9701947,0.97830474,0.9720569,0.9768699,0.973647,,,,,,,
2021-12-09,Japan,Delta,0.9703673,0.97580945,0.9644517,0.9736848,0.96651196,0.97212255,0.968359,,,,,,,
2021-12-10,Japan,Delta,0.9643301,0.9706284,0.95766354,0.9681325,0.9598884,0.9664134,0.96203804,,,,,,,
2021-12-11,Japan,Delta,0.9570819,0.964387,0.94940865,0.96142316,0.9519325,0.95952433,0.9544745,,,,,,,
2021-12-12,Japan,Delta,0.94845355,0.9568547,0.93969524,0.95348984,0.942563,0.9513068,0.9454004,,,,,,,
2021-12-13,Japan,Delta,0.93816066,0.94766533,0.92816925,0.9438337,0.9314728,0.94140905,0.93473244,,,,,,,
2021-12-14,Japan,Delta,0.9258725,0.9365624,0.9144913,0.93223333,0.91829866,0.9294667,0.9220458,,,,,,,
2021-12-15,Japan,Delta,0.9113146,0.9232888,0.8986695,0.9186072,0.90289396,0.91548675,0.9070593,,,,,,,
2021-12-16,Japan,Delta,0.89411783,0.90782595,0.8801966,0.9024006,0.88488746,0.89899284,0.889536,,,,,,,
2021-12-17,Japan,Delta,0.8738061,0.88960254,0.8589955,0.8835098,0.86372286,0.87947166,0.8688094,,,,,,,
2021-12-18,Japan,Delta,0.85073614,0.8680182,0.83445865,0.86131704,0.83928126,0.8566452,0.84481573,,,,,,,
2021-12-19,Japan,Delta,0.8243892,0.8424852,0.8058814,0.83591115,0.81132174,0.8305062,0.8173132,,,,,,,
2021-12-20,Japan,Delta,0.794013,0.81349134,0.77388155,0.80677336,0.7801953,0.80047053,0.78639555,,,,,,,
2021-12-21,Japan,Delta,0.75989294,0.78085345,0.7388191,0.7739233,0.74559873,0.76682127,0.75166,,,,,,,
2021-12-22,Japan,Delta,0.7219025,0.7443522,0.69958544,0.73730886,0.70686513,0.72920257,0.71312404,,,,,,,
2021-12-23,Japan,Delta,0.6797373,0.7038921,0.6566192,0.69668937,0.66451424,0.6880149,0.67155886,,,,,,,
2021-12-24,Japan,Delta,0.6350142,0.6604735,0.6112892,0.65234095,0.6190185,0.6437395,0.6265756,,,,,,,
2021-12-25,Japan,Delta,0.5882702,0.61353517,0.5634184,0.6058786,0.5709342,0.59714067,0.57907814,,,,,,,
2021-12-26,Japan,Delta,0.5388437,0.56480783,0.5142527,0.5580047,0.5220243,0.54901874,0.53034663,,,,,,,
2021-12-27,Japan,Delta,0.48971593,0.5149044,0.46429536,0.50786984,0.47315344,0.49965665,0.48121274,,,,,,,
2021-12-28,Japan,Delta,0.44058037,0.46551347,0.4150185,0.45814192,0.42413297,0.4501904,0.43168253,,,,,,,
2021-12-29,Japan,Delta,0.39203936,0.41631696,0.3668744,0.4089416,0.37579942,0.40189916,0.38353902,,,,,,,
2021-12-30,Japan,Delta,0.3457503,0.36969748,0.32157263,0.36156842,0.3301867,0.3549534,0.33738285,,,,,,,
2021-12-31,Japan,Delta,0.30234104,0.3250178,0.2787168,0.31715724,0.28726566,0.31082496,0.29386088,,,,,,,
2022-01-01,Japan,Delta,0.26175648,0.28341538,0.23980129,0.27651626,0.24758962,0.26994798,0.25403574,,,,,,,
2022-01-02,Japan,Delta,0.22527057,0.24548835,0.20448613,0.23886189,0.2118279,0.23254998,0.217588,,,,,,,
2022-01-03,Japan,Delta,0.19247776,0.21150747,0.17308287,0.20499553,0.18006128,0.19896756,0.18500708,,,,,,,
2022-01-04,Japan,Delta,0.16328529,0.18073909,0.14544116,0.1750594,0.15219468,0.16935822,0.156559,,,,,,,
2022-01-05,Japan,Delta,0.1378147,0.1535331,0.121926725,0.14858606,0.12751171,0.14307533,0.13184524,,,,,,,
2022-01-06,Japan,Delta,0.11583932,0.13002908,0.10150414,0.12546171,0.106375195,0.120399795,0.11041974,,,,,,,
2022-01-07,Japan,Delta,0.09691055,0.10950567,0.08420293,0.105473354,0.08838464,0.100868404,0.09208472,,,,,,,
2022-01-08,Japan,Delta,0.08072767,0.09197749,0.06971343,0.08831766,0.07317868,0.08425723,0.07668782,,,,,,,
2022-01-09,Japan,Delta,0.06701188,0.07724689,0.057513475,0.07371356,0.060452916,0.070184804,0.06350329,,,,,,,
2022-01-10,Japan,Delta,0.05548229,0.06460419,0.047331363,0.061547514,0.049759842,0.058265097,0.052438144,,,,,,,
2022-01-11,Japan,Delta,0.045917816,0.053898465,0.03887604,0.051176585,0.04084091,0.048405893,0.043261707,,,,,,,
2022-01-12,Japan,Delta,0.037913173,0.04479757,0.031870365,0.042466994,0.033516012,0.04005591,0.035572022,,,,,,,
2022-01-13,Japan,Delta,0.031213451,0.037149943,0.026014537,0.035280548,0.027516985,0.03309452,0.029189957,,,,,,,
2022-01-14,Japan,Delta,0.025734182,0.03081756,0.021177694,0.029262124,0.022533193,0.027345182,0.023947524,,,,,,,
2022-01-15,Japan,Delta,0.021165738,0.025588851,0.017238814,0.024130985,0.018412534,0.022579959,0.019666646,,,,,,,
2022-01-16,Japan,Delta,0.017415904,0.02122726,0.014019609,0.019946747,0.014979614,0.01861203,0.01610617,,,,,,,
2022-01-17,Japan,Delta,0.014286267,0.017595246,0.0113803465,0.016507026,0.01222675,0.015307861,0.013175737,,,,,,,
2022-01-18,Japan,Delta,0.011715073,0.014564652,0.009233126,0.013626781,0.009977322,0.012577169,0.010787477,,,,,,,
2022-01-19,Japan,Delta,0.009611959,0.012047477,0.007487852,0.011262502,0.008149788,0.010342616,0.008822656,,,,,,,
