date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-02-01	Japan	Delta	0.005783046	0.006574262	0.005050726	0.0062698377	0.005343178	0.0060554957	0.0055224206							
2022-02-02	Japan	Delta	0.005165072	0.005890302	0.0044872854	0.0056136646	0.0047574583	0.0054175085	0.004920045							
2022-02-03	Japan	Delta	0.004613189	0.0052795466	0.0039824806	0.005042215	0.0042321286	0.004847736	0.004380356							
2022-02-04	Japan	Delta	0.0041180896	0.0047400906	0.003533796	0.004520551	0.003766188	0.004338093	0.003902935							
2022-02-05	Japan	Delta	0.0036759682	0.0042596036	0.003135051	0.0040447833	0.0033509803	0.0038775112	0.0034774113							
2022-02-06	Japan	Delta	0.003278708	0.003827854	0.0027807392	0.0036181528	0.0029801643	0.003469646	0.003095889							
2022-02-07	Japan	Delta	0.002926309	0.0034384937	0.0024659524	0.0032382738	0.0026470642	0.003102546	0.002757554							
2022-02-08	Japan	Delta	0.0026117035	0.0030848444	0.0021863198	0.002903716	0.0023492214	0.0027729603	0.0024553821							
2022-02-09	Japan	Delta	0.0023302382	0.002766922	0.0019375097	0.0026008636	0.0020844429	0.0024792259	0.002186775							
2022-02-10	Japan	Delta	0.0020773874	0.0024811542	0.0017165679	0.002329047	0.0018515642	0.0022151056	0.0019454402							
2022-02-11	Japan	Delta	0.0018516628	0.0022243168	0.0015215091	0.0020847186	0.001644276	0.0019794793	0.0017297103							
2022-02-12	Japan	Delta	0.0016487619	0.0019935123	0.0013476092	0.0018652511	0.0014597896	0.0017678076	0.0015372899							
2022-02-13	Japan	Delta	0.0014673336	0.0017861259	0.0011932172	0.0016663275	0.0012950881	0.0015787749	0.0013665559							
2022-02-14	Japan	Delta	0.0013059214	0.0016006713	0.0010561768	0.001488286	0.0011480737	0.0014089288	0.0012141762							
2022-02-15	Japan	Delta	0.0011631731	0.0014345201	0.0009345602	0.0013308433	0.0010173984	0.00125601	0.0010784605							
2022-02-16	Japan	Delta	0.0010359976	0.0012840892	0.0008266502	0.0011896183	0.0009012606	0.001119792	0.0009576377							
2022-02-17	Japan	Delta	0.0009224026	0.0011483738	0.0007309179	0.0010629605	0.0007980596	0.0009982877	0.0008499431							
2022-02-18	Japan	Delta	0.00082063355	0.0010266191	0.0006460042	0.00094930583	0.0007064232	0.0008895903	0.0007542656							
2022-02-19	Japan	Delta	0.00072940264	0.0009173513	0.0005707017	0.00084740046	0.0006255356	0.000792198	0.0006690527							
2022-02-20	Japan	Delta	0.00064823974	0.00081958045	0.0005039371	0.0007557145	0.0005536098	0.0007049353	0.0005932473							
2022-02-21	Japan	Delta	0.0005758739	0.00073202106	0.00044475507	0.0006728751	0.00048951374	0.0006269243	0.0005257981							
2022-02-22	Japan	Delta	0.00051121647	0.00065353385	0.00039230866	0.00059880974	0.0004325105	0.0005571246	0.0004657517							
2022-02-23	Japan	Delta	0.0004535577	0.0005831213	0.00034578834	0.0005325858	0.00038203123	0.00049493706	0.00041231146							
2022-02-24	Japan	Delta	0.00040215437	0.00051994185	0.00030434964	0.00047340587	0.00033708347	0.00043940553	0.00036475144							
2022-02-25	Japan	Delta	0.00035634168	0.00046293993	0.00026767666	0.00042053522	0.00029722357	0.0003898395	0.00032237003							
2022-02-26	Japan	Delta	0.0003152936	0.00041189438	0.00023547231	0.000373317	0.0002619296	0.00034571582	0.00028463866							
2022-02-27	Japan	Delta	0.00027869627	0.00036620133	0.0002070005	0.00033116186	0.00023057604	0.00030639453	0.0002511745							
2022-02-28	Japan	Delta	0.00024620083	0.00032534025	0.00018178031	0.00029354164	0.00020284373	0.00027141895	0.0002214144							
2022-03-01	Japan	Delta	0.00021741708	0.00028879056	0.0001594676	0.0002601798	0.00017828944	0.00024022124	0.00019496982							
2022-03-02	Japan	Delta	0.00019182076	0.000256295	0.00013973724	0.00023044698	0.00015663328	0.0002123102	0.00017153192							
2022-03-03	Japan	Delta	0.00016915152	0.00022723417	0.00012222491	0.0002037953	0.0001376188	0.00018743493	0.00015076986							
2022-03-04	Japan	Delta	0.00014889822	0.00020126041	0.00010687505	0.00017993458	0.000120792145	0.00016532457	0.00013241397							
2022-03-05	Japan	Delta	0.00013096834	0.00017806108	9.334696e-05	0.00015868501	0.00010583216	0.00014574837	0.00011618051							
2022-03-06	Japan	Delta	0.00011498078	0.00015735479	8.142828e-05	0.0001399361	9.2516326e-05	0.00012840264	0.000101825906							
2022-03-07	Japan	Delta	0.000100831996	0.00013888805	7.093845e-05	0.00012327866	8.0774524e-05	0.00011298114	8.914226e-05							
2022-03-08	Japan	Delta	8.828842e-05	0.00012243274	6.17177e-05	0.00010846068	7.0567025e-05	9.9282464e-05	7.796055e-05							
2022-03-09	Japan	Delta	7.7194534e-05	0.0001077834	5.362069e-05	9.526794e-05	6.142313e-05	8.7053886e-05	6.804747e-05							
2022-03-10	Japan	Delta	6.7364395e-05	9.471127e-05	4.6518107e-05	8.357544e-05	5.3375785e-05	7.607456e-05	5.932789e-05							
2022-03-11	Japan	Delta	5.8726604e-05	8.309939e-05	4.029515e-05	7.3209965e-05	4.631461e-05	6.6359324e-05	5.16264e-05							
2022-03-12	Japan	Delta	5.1128787e-05	7.278013e-05	3.4836812e-05	6.40083e-05	4.0179588e-05	5.778773e-05	4.485696e-05							
2022-03-13	Japan	Delta	4.443911e-05	6.3600964e-05	3.0051251e-05	5.587941e-05	3.479211e-05	5.030697e-05	3.8956794e-05							
2022-03-14	Japan	Delta	3.855078e-05	5.5484863e-05	2.5878093e-05	4.874222e-05	3.0037972e-05	4.3771033e-05	3.377976e-05							
2022-03-15	Japan	Delta	3.342776e-05	4.8319962e-05	2.2259392e-05	4.2424348e-05	2.5892736e-05	3.802003e-05	2.922925e-05							
2022-03-16	Japan	Delta	2.8923994e-05	4.2034626e-05	1.9114173e-05	3.686066e-05	2.2287117e-05	3.296756e-05	2.5221296e-05							
2022-03-17	Japan	Delta	2.4985784e-05	3.65342e-05	1.6383383e-05	3.1990767e-05	1.9173602e-05	2.8528839e-05	2.172317e-05							
2022-03-18	Japan	Delta	2.1539488e-05	3.1707223e-05	1.4016636e-05	2.7698192e-05	1.646626e-05	2.464579e-05	1.8675413e-05							
2022-03-19	Japan	Delta	1.8561772e-05	2.7468472e-05	1.1969252e-05	2.390302e-05	1.4084457e-05	2.123852e-05	1.601531e-05							
2022-03-20	Japan	Delta	1.5940514e-05	2.374604e-05	1.0200589e-05	2.0603684e-05	1.2039081e-05	1.8290131e-05	1.3727362e-05							
2022-03-21	Japan	Delta	1.3649387e-05	2.0474927e-05	8.67557e-06	1.7745215e-05	1.0274465e-05	1.5698744e-05	1.1738923e-05							
2022-03-22	Japan	Delta	1.1681806e-05	1.7621378e-05	7.364415e-06	1.5249994e-05	8.752081e-06	1.34569955e-05	1.0014916e-05							
2022-03-23	Japan	Delta	9.995083e-06	1.5137188e-05	6.239491e-06	1.3062901e-05	7.4429868e-06	1.1513662e-05	8.5411375e-06							
2022-03-24	Japan	Delta	8.5341835e-06	1.297903e-05	5.2744363e-06	1.1171289e-05	6.3179955e-06	9.828231e-06	7.2723533e-06							
