date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-09-19	USA	Delta	3.0976174e-05	6.578927e-05	1.5612022e-05	5.042726e-05	1.9564568e-05	3.9602684e-05	2.3961715e-05							
2022-09-20	USA	Delta	3.1114858e-05	6.5825734e-05	1.5588856e-05	5.007502e-05	1.969396e-05	3.9872124e-05	2.407948e-05							
2022-09-21	USA	Delta	3.1220385e-05	6.585446e-05	1.5756752e-05	5.0081533e-05	1.9691852e-05	3.9941384e-05	2.405513e-05							
2022-09-22	USA	Delta	3.135506e-05	6.600571e-05	1.5753261e-05	5.0251438e-05	1.9701125e-05	3.99933e-05	2.4210967e-05							
2022-09-23	USA	Delta	3.1584932e-05	6.591797e-05	1.5757027e-05	5.0816205e-05	1.9489285e-05	3.9845825e-05	2.4213605e-05							
2022-09-24	USA	Delta	3.1667478e-05	6.594072e-05	1.5531745e-05	5.0654533e-05	1.9415354e-05	3.9842187e-05	2.4307814e-05							
2022-09-25	USA	Delta	3.1756514e-05	6.576121e-05	1.5290525e-05	5.0720824e-05	1.9319383e-05	3.9935367e-05	2.4470242e-05							
2022-09-26	USA	Delta	3.1781266e-05	6.603682e-05	1.5277801e-05	5.149384e-05	1.8975756e-05	3.98159e-05	2.4530618e-05							
2022-09-27	USA	Delta	3.1666434e-05	6.656107e-05	1.52847e-05	5.0940125e-05	1.8813484e-05	4.022499e-05	2.4273695e-05							
2022-09-28	USA	Delta	3.1615356e-05	6.667698e-05	1.51719e-05	5.1007853e-05	1.8671535e-05	4.0269635e-05	2.4323015e-05							
2022-09-29	USA	Delta	3.1617354e-05	6.748013e-05	1.50378055e-05	5.1324983e-05	1.8764922e-05	4.0304283e-05	2.4370853e-05							
2022-09-30	USA	Delta	3.1553544e-05	6.787237e-05	1.4959207e-05	5.2275715e-05	1.8710036e-05	4.054518e-05	2.4108766e-05							
2022-10-01	USA	Delta	3.145267e-05	6.806271e-05	1.4745348e-05	5.2303196e-05	1.8739476e-05	4.1036077e-05	2.4093315e-05							
2022-10-02	USA	Delta	3.1140757e-05	6.862056e-05	1.4408125e-05	5.281951e-05	1.8474491e-05	4.0822393e-05	2.4096935e-05							
2022-10-03	USA	Delta	3.0976335e-05	6.869256e-05	1.4083593e-05	5.301324e-05	1.8344308e-05	4.087803e-05	2.4022642e-05							
2022-10-04	USA	Delta	3.0959254e-05	6.922529e-05	1.3785678e-05	5.3126987e-05	1.8140376e-05	4.098155e-05	2.3876675e-05							
2022-10-05	USA	Delta	3.1032992e-05	7.008355e-05	1.3526818e-05	5.3452568e-05	1.8088791e-05	4.128977e-05	2.3537912e-05							
2022-10-06	USA	Delta	3.091114e-05	7.08148e-05	1.3283941e-05	5.345177e-05	1.7946337e-05	4.1468764e-05	2.3480927e-05							
2022-10-07	USA	Delta	3.0891162e-05	7.2350114e-05	1.3163168e-05	5.344664e-05	1.7642818e-05	4.1280993e-05	2.3590208e-05							
2022-10-08	USA	Delta	3.0826835e-05	7.3699135e-05	1.3019869e-05	5.354912e-05	1.7432358e-05	4.1224208e-05	2.3346303e-05							
2022-10-09	USA	Delta	3.074395e-05	7.540222e-05	1.2654271e-05	5.385338e-05	1.7349877e-05	4.124165e-05	2.32465e-05							
2022-10-10	USA	Delta	3.0763986e-05	7.629737e-05	1.2222031e-05	5.3858064e-05	1.71827e-05	4.126212e-05	2.3244083e-05							
2022-10-11	USA	Delta	3.0663512e-05	7.636541e-05	1.1801458e-05	5.4085467e-05	1.6921269e-05	4.155265e-05	2.3152494e-05							
2022-10-12	USA	Delta	3.0615764e-05	7.6616954e-05	1.1518176e-05	5.4884287e-05	1.6545917e-05	4.1691907e-05	2.28141e-05							
2022-10-13	USA	Delta	3.0421597e-05	7.808463e-05	1.1233986e-05	5.505464e-05	1.6284479e-05	4.1606356e-05	2.2655186e-05							
2022-10-14	USA	Delta	3.0373141e-05	7.928627e-05	1.0819981e-05	5.475153e-05	1.5916668e-05	4.156437e-05	2.2389757e-05							
2022-10-15	USA	Delta	3.0340154e-05	8.103518e-05	1.0390662e-05	5.53855e-05	1.575309e-05	4.1658815e-05	2.2032113e-05							
2022-10-16	USA	Delta	3.0311063e-05	8.2801795e-05	9.973208e-06	5.596897e-05	1.5439658e-05	4.1350508e-05	2.1723266e-05							
2022-10-17	USA	Delta	3.023641e-05	8.429706e-05	9.683499e-06	5.6602647e-05	1.51065215e-05	4.1200437e-05	2.1477952e-05							
2022-10-18	USA	Delta	3.010932e-05	8.5038286e-05	9.487549e-06	5.7232075e-05	1.4774715e-05	4.1321728e-05	2.114713e-05							
2022-10-19	USA	Delta	2.9943976e-05	8.5732e-05	9.233614e-06	5.7848436e-05	1.4394769e-05	4.1409327e-05	2.0898533e-05							
2022-10-20	USA	Delta	2.9755807e-05	8.637406e-05	8.916419e-06	5.8381338e-05	1.4105847e-05	4.1350708e-05	2.0574482e-05							
2022-10-21	USA	Delta	2.9492741e-05	8.696053e-05	8.613587e-06	5.7885434e-05	1.37782135e-05	4.119254e-05	2.0212221e-05							
2022-10-22	USA	Delta	2.9175964e-05	8.74871e-05	8.3294435e-06	5.814451e-05	1.34239535e-05	4.128116e-05	1.9898675e-05							
2022-10-23	USA	Delta	2.878037e-05	8.794981e-05	8.049005e-06	5.8550617e-05	1.2999484e-05	4.122916e-05	1.9535362e-05							
2022-10-24	USA	Delta	2.8292938e-05	8.834453e-05	7.790939e-06	5.8823003e-05	1.2464743e-05	4.096647e-05	1.9084799e-05							
2022-10-25	USA	Delta	2.7972188e-05	8.886805e-05	7.534909e-06	5.9113103e-05	1.207067e-05	4.0786934e-05	1.8710733e-05							
2022-10-26	USA	Delta	2.7620808e-05	8.942769e-05	7.2810144e-06	5.938215e-05	1.1790287e-05	4.0732004e-05	1.82924e-05							
2022-10-27	USA	Delta	2.7270911e-05	8.9911955e-05	7.02936e-06	5.9331593e-05	1.1506253e-05	4.0653948e-05	1.7860442e-05							
2022-10-28	USA	Delta	2.6912885e-05	9.072182e-05	6.7800765e-06	5.947098e-05	1.12077405e-05	4.050936e-05	1.7389742e-05							
2022-10-29	USA	Delta	2.641866e-05	9.119808e-05	6.533313e-06	5.9561124e-05	1.0894004e-05	4.041862e-05	1.6908602e-05							
2022-10-30	USA	Delta	2.6051588e-05	9.1939124e-05	6.2892177e-06	5.958723e-05	1.0541207e-05	4.024188e-05	1.6427168e-05							
2022-10-31	USA	Delta	2.5555117e-05	9.258977e-05	6.058027e-06	5.9195278e-05	1.01468095e-05	4.002664e-05	1.5956126e-05							
2022-11-01	USA	Delta	2.5125584e-05	9.3145034e-05	5.8120063e-06	5.836743e-05	9.73636e-06	3.9691924e-05	1.555814e-05							
2022-11-02	USA	Delta	2.466232e-05	9.3172974e-05	5.5471137e-06	5.8330672e-05	9.309875e-06	3.9525763e-05	1.5166619e-05							
2022-11-03	USA	Delta	2.4113175e-05	9.280142e-05	5.3134327e-06	5.825671e-05	8.956028e-06	3.890316e-05	1.4793217e-05							
2022-11-04	USA	Delta	2.3568791e-05	9.222614e-05	5.1153966e-06	5.805208e-05	8.571818e-06	3.8518105e-05	1.4385047e-05							
2022-11-05	USA	Delta	2.3055673e-05	9.1772235e-05	4.891419e-06	5.7822697e-05	8.189015e-06	3.791437e-05	1.3968336e-05							
2022-11-06	USA	Delta	2.2549462e-05	9.121311e-05	4.6715486e-06	5.7717174e-05	7.862147e-06	3.7222293e-05	1.3576665e-05							
2022-11-07	USA	Delta	2.2113583e-05	9.057425e-05	4.4560165e-06	5.739536e-05	7.51317e-06	3.652113e-05	1.3145116e-05							
2022-11-08	USA	Delta	2.1481093e-05	8.9853886e-05	4.245054e-06	5.6828652e-05	7.165833e-06	3.5918376e-05	1.26753275e-05							
2022-11-09	USA	Delta	2.0797688e-05	8.9028414e-05	4.0388722e-06	5.6161807e-05	6.807415e-06	3.5222896e-05	1.2216375e-05							
2022-11-10	USA	Delta	2.021859e-05	8.809916e-05	3.837688e-06	5.5435725e-05	6.4694773e-06	3.419826e-05	1.1822258e-05							
2022-11-11	USA	Delta	1.9541805e-05	8.7130145e-05	3.6417036e-06	5.4637563e-05	6.1721057e-06	3.324439e-05	1.1310081e-05							
2022-11-12	USA	Delta	1.9002764e-05	8.679948e-05	3.4511022e-06	5.339254e-05	5.8519154e-06	3.2265336e-05	1.08303175e-05							
2022-11-13	USA	Delta	1.8469837e-05	8.636747e-05	3.2660646e-06	5.1997806e-05	5.540955e-06	3.1451484e-05	1.0420308e-05							
2022-11-14	USA	Delta	1.7888884e-05	8.548919e-05	3.0867266e-06	5.0571933e-05	5.2290734e-06	3.0691426e-05	1.003788e-05							
2022-11-15	USA	Delta	1.7255978e-05	8.441038e-05	2.912776e-06	4.911945e-05	4.9450537e-06	2.9894909e-05	9.628499e-06							
2022-11-16	USA	Delta	1.6603615e-05	8.3290404e-05	2.744855e-06	4.764495e-05	4.6762593e-06	2.8942997e-05	9.115716e-06							
2022-11-17	USA	Delta	1.6105483e-05	8.2107385e-05	2.5826894e-06	4.6153134e-05	4.425754e-06	2.8093218e-05	8.640818e-06							
2022-09-19	USA	Omicron 21K	0.00036243716	0.00045208423	0.00028738403	0.00041823558	0.00031396118	0.0003936282	0.000334113							
2022-09-20	USA	Omicron 21K	0.00036182214	0.00045170082	0.0002864306	0.00041927706	0.0003149488	0.00039360696	0.00033422036							
2022-09-21	USA	Omicron 21K	0.00036169236	0.00045164773	0.00028628221	0.0004183724	0.00031485275	0.00039222493	0.00033431133							
2022-09-22	USA	Omicron 21K	0.0003622203	0.00045319804	0.00028543803	0.00041752058	0.00031381514	0.0003932708	0.00033398243							
2022-09-23	USA	Omicron 21K	0.00036121366	0.00045238642	0.00028449215	0.00041831925	0.0003128654	0.0003924825	0.0003335063							
2022-09-24	USA	Omicron 21K	0.00035976173	0.00045156115	0.00028357562	0.00041844032	0.00031364022	0.00039146343	0.00033410056							
2022-09-25	USA	Omicron 21K	0.0003588574	0.00045031143	0.00028273495	0.00041803723	0.00031202368	0.0003905414	0.0003325882							
2022-09-26	USA	Omicron 21K	0.0003582185	0.00045213173	0.00028165948	0.0004185385	0.0003112144	0.0003898223	0.00033217733							
2022-09-27	USA	Omicron 21K	0.00035781335	0.00045397686	0.00028063366	0.00041894236	0.00031106593	0.00038922706	0.00033153893							
2022-09-28	USA	Omicron 21K	0.0003571133	0.00045425963	0.0002795171	0.00042044435	0.000309155	0.0003888515	0.00033069577							
2022-09-29	USA	Omicron 21K	0.00035589514	0.00045273674	0.00027834025	0.00042026426	0.00030688525	0.00038846856	0.00033022626							
2022-09-30	USA	Omicron 21K	0.00035669387	0.0004511107	0.0002771094	0.00041979202	0.00030610137	0.00038866547	0.00032963263							
2022-10-01	USA	Omicron 21K	0.00035584124	0.00044986335	0.00027638837	0.00042144305	0.0003041926	0.00038933012	0.00032872322							
2022-10-02	USA	Omicron 21K	0.00035505876	0.00044889498	0.00027663796	0.00042199274	0.0003023163	0.0003885038	0.0003273002							
2022-10-03	USA	Omicron 21K	0.00035402988	0.00045041117	0.00027432205	0.00042085676	0.00030058337	0.0003879069	0.0003254715							
2022-10-04	USA	Omicron 21K	0.00035307428	0.0004524746	0.0002724724	0.0004205672	0.0002990745	0.00038760967	0.00032449188							
2022-10-05	USA	Omicron 21K	0.00035189613	0.0004544882	0.00027074065	0.00042068772	0.00029694464	0.00038723007	0.00032309693							
2022-10-06	USA	Omicron 21K	0.00035013416	0.0004563834	0.0002689503	0.00042107303	0.00029568753	0.00038670862	0.00032114427							
2022-10-07	USA	Omicron 21K	0.00034849235	0.00045746705	0.0002664341	0.00041993096	0.00029302604	0.0003857576	0.00031903008							
2022-10-08	USA	Omicron 21K	0.00034750748	0.0004580645	0.00026390277	0.00041881204	0.00029096013	0.00038410816	0.0003172704							
2022-10-09	USA	Omicron 21K	0.00034592662	0.00045849447	0.00026195473	0.00041768106	0.00028845356	0.00038322853	0.00031499524							
2022-10-10	USA	Omicron 21K	0.00034442032	0.00045874665	0.00025892182	0.00041846914	0.00028450863	0.00038223522	0.00031291664							
2022-10-11	USA	Omicron 21K	0.0003422927	0.000458796	0.00025493815	0.00041780848	0.00028222182	0.00038124048	0.0003109933							
2022-10-12	USA	Omicron 21K	0.00034035527	0.0004593054	0.000251534	0.0004179265	0.0002781161	0.00037952955	0.00030837615							
2022-10-13	USA	Omicron 21K	0.00033862918	0.0004601919	0.00024839715	0.00041746575	0.00027553993	0.00037792482	0.00030558437							
2022-10-14	USA	Omicron 21K	0.00033634694	0.00046085802	0.00024527265	0.0004163045	0.00027176895	0.00037640022	0.000301726							
2022-10-15	USA	Omicron 21K	0.00033416212	0.00046129074	0.00024245214	0.00041457938	0.00026808094	0.00037409627	0.00029899518							
2022-10-16	USA	Omicron 21K	0.00033086498	0.00046147662	0.00023887696	0.00041334107	0.0002648031	0.00037160062	0.00029641634							
2022-10-17	USA	Omicron 21K	0.00032751888	0.0004614023	0.0002350155	0.00041124475	0.00026147524	0.0003691329	0.00029290718							
2022-10-18	USA	Omicron 21K	0.0003241459	0.00046200008	0.00023145089	0.00040812092	0.0002574239	0.00036677084	0.00028930325							
2022-10-19	USA	Omicron 21K	0.0003208449	0.0004625373	0.00022779277	0.00040546272	0.00025339573	0.00036410236	0.00028558602							
2022-10-20	USA	Omicron 21K	0.00031699755	0.00046282937	0.00022345118	0.00040274303	0.00024928554	0.0003614009	0.00028157118							
2022-10-21	USA	Omicron 21K	0.00031330332	0.00046244188	0.00021889832	0.00040069732	0.00024508595	0.00035866932	0.00027817147							
2022-10-22	USA	Omicron 21K	0.00030963172	0.00046076026	0.0002146555	0.00039830722	0.00024085984	0.00035543382	0.00027428797							
2022-10-23	USA	Omicron 21K	0.00030611327	0.00045873708	0.00020998153	0.0003947742	0.00023705821	0.00035208656	0.00027016646							
2022-10-24	USA	Omicron 21K	0.00030223327	0.00045620307	0.00020582284	0.00039196236	0.00023251868	0.00034854852	0.0002664886							
2022-10-25	USA	Omicron 21K	0.00029830384	0.0004526977	0.00020179692	0.00038845264	0.00022782446	0.00034461566	0.00026194588							
2022-10-26	USA	Omicron 21K	0.00029394627	0.00044882647	0.00019674595	0.000384321	0.00022369757	0.00034068702	0.0002574543							
2022-10-27	USA	Omicron 21K	0.0002894919	0.00044458327	0.0001918246	0.00037993875	0.00021965634	0.00033609103	0.00025314692							
2022-10-28	USA	Omicron 21K	0.00028445333	0.00043996394	0.00018717197	0.0003758303	0.00021547658	0.00033164985	0.00024874686							
2022-10-29	USA	Omicron 21K	0.0002792438	0.000434428	0.00018241676	0.0003716331	0.0002106006	0.0003269007	0.00024328718							
2022-10-30	USA	Omicron 21K	0.0002739629	0.00042840035	0.00017759728	0.00036703167	0.00020624071	0.0003215876	0.00023817053							
2022-10-31	USA	Omicron 21K	0.00026877446	0.00042201107	0.00017272483	0.0003620712	0.00020112598	0.0003159138	0.00023261123							
2022-11-01	USA	Omicron 21K	0.00026244405	0.00041526754	0.00016733195	0.00035538292	0.00019624001	0.0003100067	0.00022661375							
2022-11-02	USA	Omicron 21K	0.0002564699	0.00040888874	0.00016190915	0.00034834587	0.00019126206	0.00030415604	0.00022084743							
2022-11-03	USA	Omicron 21K	0.00025067927	0.00040408876	0.00015648466	0.0003420756	0.00018622592	0.00029828184	0.00021511008							
2022-11-04	USA	Omicron 21K	0.00024491554	0.00039888316	0.00015117659	0.0003359334	0.00018076258	0.00029186253	0.0002090362							
2022-11-05	USA	Omicron 21K	0.00023905846	0.00039178017	0.00014587841	0.0003294015	0.00017459571	0.00028527202	0.000202933							
2022-11-06	USA	Omicron 21K	0.0002325974	0.00038413773	0.00014059461	0.0003214418	0.00016841196	0.00027830896	0.00019665045							
2022-11-07	USA	Omicron 21K	0.00022595421	0.00037617705	0.0001353157	0.0003142081	0.00016209258	0.0002716625	0.00019080195							
2022-11-08	USA	Omicron 21K	0.00022001588	0.00036796194	0.00013006886	0.00030694937	0.0001558121	0.000264976	0.00018441764							
2022-11-09	USA	Omicron 21K	0.00021375448	0.0003594792	0.00012486585	0.0002997371	0.0001495939	0.0002579424	0.00017828331							
2022-11-10	USA	Omicron 21K	0.00020695716	0.00035073643	0.000119807104	0.0002921558	0.00014366048	0.00025074102	0.0001718848							
