date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2021-12-18,United Kingdom,Delta,0.3464514,0.34863526,0.34406543,0.3479235,0.34484792,0.3471928,0.34559298,,,,,,,
2021-12-19,United Kingdom,Delta,0.29692885,0.29916012,0.29457656,0.2984129,0.29545176,0.29769954,0.29614764,,,,,,,
2021-12-20,United Kingdom,Delta,0.25177556,0.2538832,0.24950728,0.25327837,0.25035042,0.25254905,0.25105107,,,,,,,
2021-12-21,United Kingdom,Delta,0.21144146,0.21341607,0.20928565,0.21284628,0.21006043,0.21217452,0.21075761,,,,,,,
2021-12-22,United Kingdom,Delta,0.17602725,0.17788765,0.1741137,0.17732215,0.17478487,0.17673403,0.17543335,,,,,,,
2021-12-23,United Kingdom,Delta,0.14546598,0.14715454,0.14373311,0.1466012,0.14431678,0.14611195,0.14489947,,,,,,,
2021-12-24,United Kingdom,Delta,0.11942005,0.12098912,0.1178872,0.12045451,0.11839074,0.12000685,0.118907,,,,,,,
2021-12-25,United Kingdom,Delta,0.09752319,0.09891881,0.0961644,0.09846221,0.0965655,0.09802879,0.097057365,,,,,,,
2021-12-26,United Kingdom,Delta,0.07928324,0.08052373,0.07807817,0.080085844,0.07843923,0.07972641,0.07885966,,,,,,,
2021-12-27,United Kingdom,Delta,0.06420767,0.0652998,0.06315387,0.06491036,0.06347056,0.06458486,0.06382133,,,,,,,
2021-12-28,United Kingdom,Delta,0.051826976,0.05278048,0.050913244,0.052446384,0.051202726,0.052168697,0.05149266,,,,,,,
2021-12-29,United Kingdom,Delta,0.04173037,0.04255137,0.040939875,0.042255566,0.041195307,0.04201569,0.04143803,,,,,,,
2021-12-30,United Kingdom,Delta,0.03352582,0.03423264,0.03285127,0.033979353,0.03307045,0.033774864,0.03328155,,,,,,,
2021-12-31,United Kingdom,Delta,0.02688798,0.027493274,0.02631579,0.027277865,0.026506117,0.027104355,0.026683945,,,,,,,
2022-01-01,United Kingdom,Delta,0.0215341,0.022052687,0.021051198,0.021867463,0.021210924,0.021718666,0.021362193,,,,,,,
2022-01-02,United Kingdom,Delta,0.017226845,0.017667754,0.016820725,0.017509043,0.016952803,0.017384585,0.017081778,,,,,,,
2022-01-03,United Kingdom,Delta,0.013770675,0.014140437,0.013426663,0.014007241,0.01354086,0.013901384,0.013646567,,,,,,,
2022-01-04,United Kingdom,Delta,0.010997135,0.011309656,0.0107111465,0.01119738,0.010803811,0.011109321,0.010894735,,,,,,,
2022-01-05,United Kingdom,Delta,0.0087780375,0.009038865,0.008538504,0.008944599,0.008613252,0.008870222,0.008693906,,,,,,,
2022-01-06,United Kingdom,Delta,0.0070032002,0.0072200727,0.00680322,0.00714159,0.006865388,0.0070787827,0.00693303,,,,,,,
2022-01-07,United Kingdom,Delta,0.0055847103,0.005764613,0.0054184087,0.0056992318,0.0054689334,0.0056471964,0.0055273036,,,,,,,
2022-01-08,United Kingdom,Delta,0.0044517694,0.0046007307,0.004313887,0.0045471354,0.0043550814,0.0045036846,0.004403661,,,,,,,
2022-01-09,United Kingdom,Delta,0.0035476428,0.0036705828,0.0034334494,0.003625601,0.003466504,0.003590359,0.0035073543,,,,,,,
2022-01-10,United Kingdom,Delta,0.0028263265,0.0029274984,0.0027318634,0.0028901196,0.0027591235,0.002861407,0.002792611,,,,,,,
2022-01-11,United Kingdom,Delta,0.0022507478,0.002334198,0.0021730112,0.002303265,0.0021954828,0.0022797894,0.0022229403,,,,,,,
2022-01-12,United Kingdom,Delta,0.0017918854,0.0018606246,0.0017279998,0.0018349669,0.0017462169,0.0018160373,0.0017690654,,,,,,,
2022-01-13,United Kingdom,Delta,0.0014259828,0.0014828965,0.0013737535,0.0014615702,0.001388411,0.0014459201,0.001407523,,,,,,,
2022-01-14,United Kingdom,Delta,0.0011344538,0.0011815612,0.0010918324,0.0011638706,0.001103702,0.0011509171,0.0011194521,,,,,,,
2022-01-15,United Kingdom,Delta,0.0009022845,0.00094118854,0.00086752453,0.0009265536,0.00087705045,0.0009158453,0.0008900721,,,,,,,
2022-01-16,United Kingdom,Delta,0.000717422,0.00074948254,0.00068909844,0.0007373754,0.00069671636,0.00072877045,0.00070740626,,,,,,,
2022-01-17,United Kingdom,Delta,0.0005703486,0.0005966289,0.0005472003,0.00058663555,0.00055331015,0.00057963806,0.0005620364,,,,,,,
2022-01-18,United Kingdom,Delta,0.00045328343,0.00047477492,0.0004343766,0.0004665326,0.0004393386,0.00046080817,0.00044640317,,,,,,,
2022-01-19,United Kingdom,Delta,0.00036013915,0.00037764112,0.00034469034,0.00037095387,0.0003487362,0.00036621315,0.00035446257,,,,,,,
2022-01-20,United Kingdom,Delta,0.00028602738,0.0003002779,0.00027341448,0.00029482765,0.00027666194,0.00029096636,0.00028135875,,,,,,,
2022-01-21,United Kingdom,Delta,0.00022702804,0.00023869134,0.00021678352,0.00023420999,0.00021940407,0.0002310658,0.00022321596,,,,,,,
2022-01-22,United Kingdom,Delta,0.00018013689,0.00018962332,0.0001718008,0.00018596688,0.00017393174,0.00018341064,0.00017699428,,,,,,,
2022-01-23,United Kingdom,Delta,0.00014286683,0.00015056356,0.0001360812,0.00014758161,0.00013782317,0.00014550827,0.00014029145,,,,,,,
2022-01-24,United Kingdom,Delta,0.0001132254,0.000119481425,0.00010772604,0.00011705473,0.00010914723,0.00011535414,0.00011113898,,,,,,,
2022-01-25,United Kingdom,Delta,8.968695e-05,9.475581e-05,8.522542e-05,9.278992e-05,8.638346e-05,9.1390204e-05,8.7989036e-05,,,,,,,
2022-01-26,United Kingdom,Delta,7.098582e-05,7.509724e-05,6.737522e-05,7.349887e-05,6.831976e-05,7.236468e-05,6.9612855e-05,,,,,,,
2022-01-27,United Kingdom,Delta,5.6143486e-05,5.9476748e-05,5.3220974e-05,5.81712e-05,5.3992015e-05,5.7251877e-05,5.5032615e-05,,,,,,,
2022-01-28,United Kingdom,Delta,4.437018e-05,4.7065936e-05,4.2005064e-05,4.600132e-05,4.2633073e-05,4.5260407e-05,4.34692e-05,,,,,,,
2022-01-29,United Kingdom,Delta,3.5034034e-05,3.7210575e-05,3.3122356e-05,3.634393e-05,3.3632707e-05,3.5748395e-05,3.4301054e-05,,,,,,,
2022-01-30,United Kingdom,Delta,2.7632566e-05,2.9389219e-05,2.6091788e-05,2.8684972e-05,2.6505579e-05,2.8207913e-05,2.7039536e-05,,,,,,,
