date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-01-01,Vietnam,Delta,0.73741066,0.76936054,0.703362,0.75638664,0.7149369,0.7485223,0.726216,,,,,,,
2022-01-02,Vietnam,Delta,0.73116606,0.7633741,0.6976189,0.7500367,0.70868844,0.74242544,0.7199534,,,,,,,
2022-01-03,Vietnam,Delta,0.7248974,0.75717354,0.6922559,0.7440465,0.7024635,0.73626465,0.71337265,,,,,,,
2022-01-04,Vietnam,Delta,0.71833265,0.7507498,0.68646383,0.7376323,0.69630086,0.7299474,0.70728594,,,,,,,
2022-01-05,Vietnam,Delta,0.7115347,0.74445784,0.68012583,0.7315696,0.69033676,0.7230799,0.7008571,,,,,,,
2022-01-06,Vietnam,Delta,0.7046406,0.73752314,0.67283666,0.72515595,0.68384916,0.71603066,0.69407517,,,,,,,
2022-01-07,Vietnam,Delta,0.6980926,0.7301081,0.66568303,0.71918076,0.677226,0.7091547,0.68698764,,,,,,,
2022-01-08,Vietnam,Delta,0.69084346,0.723158,0.65855116,0.71180093,0.67012185,0.7019722,0.6797565,,,,,,,
2022-01-09,Vietnam,Delta,0.6835936,0.71689415,0.65185964,0.70505947,0.66281295,0.6949412,0.67218196,,,,,,,
2022-01-10,Vietnam,Delta,0.6764152,0.71044445,0.64401007,0.6972848,0.65526193,0.6877495,0.66485715,,,,,,,
2022-01-11,Vietnam,Delta,0.6690086,0.703066,0.637046,0.68947357,0.6475406,0.6803338,0.6573756,,,,,,,
2022-01-12,Vietnam,Delta,0.66124606,0.69554687,0.6301806,0.68225217,0.6398782,0.6729421,0.64961386,,,,,,,
2022-01-13,Vietnam,Delta,0.6533811,0.687872,0.6229497,0.675131,0.63168246,0.6652075,0.64168,,,,,,,
2022-01-14,Vietnam,Delta,0.6455904,0.6804232,0.61403465,0.6676191,0.6235848,0.6573667,0.63346773,,,,,,,
2022-01-15,Vietnam,Delta,0.6376178,0.6726938,0.60460746,0.6597429,0.61508566,0.64943874,0.62473583,,,,,,,
2022-01-16,Vietnam,Delta,0.62905717,0.66442674,0.5954505,0.65233886,0.60669994,0.6412717,0.616258,,,,,,,
2022-01-17,Vietnam,Delta,0.62028855,0.65557873,0.5862386,0.6440476,0.5979501,0.6330589,0.6079998,,,,,,,
2022-01-18,Vietnam,Delta,0.61144805,0.64751494,0.5769156,0.63535446,0.5893428,0.6242604,0.5985297,,,,,,,
2022-01-19,Vietnam,Delta,0.6023683,0.6401166,0.5662424,0.62680775,0.5793037,0.6160153,0.58917344,,,,,,,
2022-01-20,Vietnam,Delta,0.5933114,0.6325836,0.5551443,0.61758673,0.56940514,0.6067689,0.57976127,,,,,,,
2022-01-21,Vietnam,Delta,0.58353007,0.6238724,0.54501164,0.60876524,0.5592555,0.5978096,0.5699292,,,,,,,
2022-01-22,Vietnam,Delta,0.5737877,0.61466813,0.5347017,0.5996946,0.5488733,0.5881305,0.55961704,,,,,,,
2022-01-23,Vietnam,Delta,0.5633606,0.60517013,0.52414846,0.5898167,0.5387221,0.57839096,0.5496035,,,,,,,
2022-01-24,Vietnam,Delta,0.5530894,0.5956148,0.5138037,0.5811336,0.52768487,0.5677776,0.5391191,,,,,,,
2022-01-25,Vietnam,Delta,0.5429169,0.5863122,0.50239843,0.57115626,0.51627123,0.55773425,0.5284771,,,,,,,
2022-01-26,Vietnam,Delta,0.53216726,0.57578886,0.49027163,0.5609906,0.50463265,0.54733527,0.5172626,,,,,,,
2022-01-27,Vietnam,Delta,0.5211372,0.56471103,0.47833598,0.55040705,0.49318114,0.53637636,0.5058743,,,,,,,
2022-01-28,Vietnam,Delta,0.5092648,0.55338466,0.46645212,0.5397518,0.481104,0.52514744,0.49433413,,,,,,,
2022-01-29,Vietnam,Delta,0.49786192,0.54199237,0.45359087,0.5287084,0.46910203,0.51367617,0.48250997,,,,,,,
2022-01-30,Vietnam,Delta,0.48599797,0.53039193,0.4405831,0.51690024,0.45691636,0.5014302,0.47003168,,,,,,,
2022-01-31,Vietnam,Delta,0.47351784,0.5185449,0.4273212,0.5047465,0.44361767,0.48857653,0.4575445,,,,,,,
2022-02-01,Vietnam,Delta,0.46078944,0.50599504,0.41390252,0.49245715,0.42989108,0.47618344,0.44436103,,,,,,,
2022-02-02,Vietnam,Delta,0.44820333,0.4931321,0.4003097,0.47980294,0.41605854,0.46331185,0.4308122,,,,,,,
2022-02-03,Vietnam,Delta,0.4346568,0.4802026,0.3868637,0.46677166,0.40254462,0.45075086,0.41763806,,,,,,,
2022-02-04,Vietnam,Delta,0.4212876,0.46688855,0.37325788,0.45350307,0.38882533,0.43713236,0.40414274,,,,,,,
2022-02-05,Vietnam,Delta,0.40710312,0.45313507,0.3595553,0.43946555,0.37438488,0.42344013,0.39023814,,,,,,,
2022-02-06,Vietnam,Delta,0.3928624,0.4388836,0.34496504,0.42545795,0.35971117,0.4090504,0.3756008,,,,,,,
2022-02-07,Vietnam,Delta,0.37859213,0.42452943,0.32979965,0.4107738,0.3460146,0.39450532,0.36154068,,,,,,,
2022-02-08,Vietnam,Delta,0.3636612,0.4099257,0.3152575,0.39620897,0.3315544,0.3802496,0.34689835,,,,,,,
2022-02-09,Vietnam,Delta,0.34883624,0.39437068,0.30127758,0.38115454,0.31666172,0.3655719,0.3320894,,,,,,,
2022-02-10,Vietnam,Delta,0.33362523,0.37886465,0.28705084,0.36557627,0.30216122,0.35019806,0.3175717,,,,,,,
2022-02-11,Vietnam,Delta,0.31850874,0.3631401,0.27351582,0.35034147,0.2878799,0.33498996,0.30227485,,,,,,,
2022-02-12,Vietnam,Delta,0.30335626,0.34725064,0.25999752,0.3351127,0.27338332,0.32044384,0.2871055,,,,,,,
2022-02-13,Vietnam,Delta,0.28808033,0.33173507,0.24554695,0.31914195,0.25911674,0.30531785,0.27267912,,,,,,,
2022-02-14,Vietnam,Delta,0.2730913,0.31652987,0.23203564,0.30320674,0.24430427,0.29040164,0.25824243,,,,,,,
2022-02-15,Vietnam,Delta,0.2585423,0.30107468,0.21808314,0.2879942,0.23020878,0.27547973,0.24414629,,,,,,,
2022-02-16,Vietnam,Delta,0.24372739,0.28603685,0.20395085,0.2725695,0.21577743,0.26066476,0.23038878,,,,,,,
2022-02-17,Vietnam,Delta,0.22931936,0.27049223,0.19036886,0.25765967,0.20259786,0.24593113,0.21617216,,,,,,,
2022-02-18,Vietnam,Delta,0.21558666,0.2555654,0.17692566,0.24315305,0.18953487,0.23096456,0.20227064,,,,,,,
2022-02-19,Vietnam,Delta,0.20200145,0.23993343,0.16390468,0.2282512,0.17722507,0.2161978,0.18896219,,,,,,,
2022-02-20,Vietnam,Delta,0.18857166,0.22455667,0.15180549,0.2136154,0.16483688,0.20245303,0.17583334,,,,,,,
2022-02-21,Vietnam,Delta,0.17555788,0.2105763,0.14043364,0.19975741,0.15294069,0.1888785,0.16281298,,,,,,,
2022-02-22,Vietnam,Delta,0.16321588,0.19673756,0.1290307,0.18639703,0.1411519,0.17581321,0.15047202,,,,,,,
2022-02-23,Vietnam,Delta,0.15137455,0.18280718,0.117964596,0.17348112,0.1299711,0.16311213,0.1392152,,,,,,,
2022-02-24,Vietnam,Delta,0.14006722,0.17029577,0.1079552,0.16152738,0.119024046,0.15115958,0.12797119,,,,,,,
2022-02-25,Vietnam,Delta,0.12919755,0.15802366,0.098539576,0.1495932,0.108799376,0.13980931,0.11746092,,,,,,,
2022-02-26,Vietnam,Delta,0.118622914,0.14700004,0.08921538,0.13813578,0.099236645,0.12895167,0.10728228,,,,,,,
2022-02-27,Vietnam,Delta,0.109070405,0.13666704,0.081443116,0.1273921,0.09017071,0.118521005,0.098544955,,,,,,,
2022-02-28,Vietnam,Delta,0.09986416,0.12637004,0.07396846,0.11728437,0.08188249,0.1088696,0.09014371,,,,,,,
2022-03-01,Vietnam,Delta,0.09135738,0.117491886,0.06661313,0.10776877,0.0741861,0.09981933,0.082135,,,,,,,
2022-01-01,Vietnam,Omicron 21K,0.25598007,0.28880715,0.22438025,0.2785369,0.23705421,0.2670529,0.24524106,,,,,,,
2022-01-02,Vietnam,Omicron 21K,0.26143718,0.294044,0.22981188,0.28333423,0.24319142,0.27256083,0.25066933,,,,,,,
2022-01-03,Vietnam,Omicron 21K,0.26690668,0.29904822,0.23550418,0.28867042,0.24869613,0.27837932,0.2561187,,,,,,,
2022-01-04,Vietnam,Omicron 21K,0.2724402,0.30444467,0.24081346,0.29416957,0.25381887,0.28415245,0.2621171,,,,,,,
2022-01-05,Vietnam,Omicron 21K,0.2782336,0.30993778,0.24656183,0.29991987,0.25969562,0.28985244,0.2676368,,,,,,,
2022-01-06,Vietnam,Omicron 21K,0.28408033,0.3154503,0.25280547,0.30528736,0.2652911,0.295308,0.27383018,,,,,,,
2022-01-07,Vietnam,Omicron 21K,0.29000515,0.32078266,0.25897026,0.31058142,0.2710361,0.3009889,0.2798245,,,,,,,
2022-01-08,Vietnam,Omicron 21K,0.2963925,0.3262275,0.26439255,0.31655177,0.2772996,0.30679214,0.28570813,,,,,,,
2022-01-09,Vietnam,Omicron 21K,0.3018127,0.33166724,0.26984826,0.32223192,0.28325224,0.31259912,0.291579,,,,,,,
2022-01-10,Vietnam,Omicron 21K,0.30749762,0.33709303,0.27502668,0.32773554,0.28910106,0.31856883,0.29713115,,,,,,,
2022-01-11,Vietnam,Omicron 21K,0.31348944,0.34249488,0.28018647,0.33388108,0.29469934,0.324116,0.30283058,,,,,,,
2022-01-12,Vietnam,Omicron 21K,0.3187459,0.34786165,0.28531933,0.34008262,0.30031615,0.32954246,0.30896282,,,,,,,
2022-01-13,Vietnam,Omicron 21K,0.32449788,0.35361195,0.2906878,0.34560895,0.3059666,0.33512044,0.3145615,,,,,,,
