date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-06-03,Japan,Delta,4.626375e-06,8.371771e-05,1.8479736e-07,2.9607583e-05,6.2081017e-07,1.1129112e-05,1.6092342e-06,,,,,,,
2022-06-04,Japan,Delta,3.9805113e-06,7.943067e-05,1.4132337e-07,2.702945e-05,5.081246e-07,9.930993e-06,1.3607123e-06,,,,,,,
2022-06-05,Japan,Delta,3.4587201e-06,7.385606e-05,1.0802499e-07,2.4915398e-05,4.0882662e-07,8.914396e-06,1.1357807e-06,,,,,,,
2022-06-06,Japan,Delta,3.0020417e-06,6.87111e-05,8.2528544e-08,2.3687866e-05,3.269626e-07,7.97523e-06,9.42975e-07,,,,,,,
2022-06-07,Japan,Delta,2.6079456e-06,6.389362e-05,6.301269e-08,2.2044685e-05,2.5987146e-07,7.1972263e-06,7.7361005e-07,,,,,,,
2022-06-08,Japan,Delta,2.2641648e-06,6.0461785e-05,4.808032e-08,2.0039355e-05,2.0262334e-07,6.4821897e-06,6.463622e-07,,,,,,,
2022-06-09,Japan,Delta,1.9488857e-06,5.7380843e-05,3.6659902e-08,1.8545403e-05,1.6318948e-07,5.8483e-06,5.400859e-07,,,,,,,
2022-06-10,Japan,Delta,1.6949314e-06,5.4368993e-05,2.7929676e-08,1.7496757e-05,1.3136386e-07,5.2832065e-06,4.4930295e-07,,,,,,,
2022-06-11,Japan,Delta,1.4783761e-06,5.165791e-05,2.125953e-08,1.655136e-05,1.0646207e-07,4.7101985e-06,3.7219036e-07,,,,,,,
2022-06-12,Japan,Delta,1.2630832e-06,4.896436e-05,1.626766e-08,1.5517051e-05,8.63413e-08,4.2337874e-06,3.0928058e-07,,,,,,,
2022-06-13,Japan,Delta,1.0754047e-06,4.6364374e-05,1.2549961e-08,1.4342735e-05,6.99458e-08,3.944825e-06,2.5739195e-07,,,,,,,
