date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-07-20	Trinidad and Tobago	Omicron 22A	0.17996871	0.21367192	0.14911436	0.19978526	0.15938453	0.19127157	0.16883245							
2022-07-21	Trinidad and Tobago	Omicron 22A	0.17955878	0.21290106	0.14960155	0.19977055	0.15995961	0.19052683	0.16905859							
2022-07-22	Trinidad and Tobago	Omicron 22A	0.17948836	0.21193752	0.15015504	0.19959907	0.15950824	0.19030172	0.16887778							
2022-07-23	Trinidad and Tobago	Omicron 22A	0.17917874	0.21061431	0.15059733	0.1982236	0.1599879	0.18956216	0.16833207							
2022-07-24	Trinidad and Tobago	Omicron 22A	0.1787574	0.20919836	0.1505145	0.19761501	0.16018438	0.1885533	0.16837221							
2022-07-25	Trinidad and Tobago	Omicron 22A	0.17791316	0.2074809	0.15059611	0.19716802	0.15998396	0.18769498	0.16759707							
2022-07-26	Trinidad and Tobago	Omicron 22A	0.1773889	0.2056911	0.15047061	0.19629198	0.15975234	0.18674232	0.1667709							
2022-07-27	Trinidad and Tobago	Omicron 22A	0.17685618	0.20474099	0.15017039	0.19472115	0.15915787	0.18597493	0.16614968							
2022-07-28	Trinidad and Tobago	Omicron 22A	0.17588627	0.20371836	0.14993572	0.19367345	0.1584695	0.18516423	0.16558756							
2022-07-29	Trinidad and Tobago	Omicron 22A	0.17455016	0.20273751	0.14928882	0.19252431	0.15767011	0.18403265	0.164639							
2022-07-30	Trinidad and Tobago	Omicron 22A	0.17346334	0.20212466	0.14845958	0.1911056	0.15615872	0.18230781	0.16377497							
2022-07-31	Trinidad and Tobago	Omicron 22A	0.17218317	0.20113403	0.1476776	0.19002593	0.15551971	0.18090385	0.16271916							
2022-08-01	Trinidad and Tobago	Omicron 22A	0.17102386	0.19973063	0.14658783	0.18862909	0.15440509	0.17970756	0.16132906							
2022-08-02	Trinidad and Tobago	Omicron 22A	0.16988954	0.19833511	0.14563021	0.18721016	0.15344194	0.17824066	0.1598738							
2022-08-03	Trinidad and Tobago	Omicron 22A	0.16848934	0.19767232	0.14384353	0.1858628	0.15203495	0.17697987	0.15866795							
2022-08-04	Trinidad and Tobago	Omicron 22A	0.16674486	0.1967804	0.1426099	0.18454397	0.15040955	0.17553875	0.15710214							
2022-08-05	Trinidad and Tobago	Omicron 22A	0.16506311	0.19574907	0.14134493	0.18336023	0.14854236	0.17412022	0.1557509							
2022-08-06	Trinidad and Tobago	Omicron 22A	0.16346663	0.19465148	0.14043647	0.18212211	0.1474148	0.17263477	0.15427014							
