date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2021-11-03	United Kingdom	Delta	0.99980843	0.99983764	0.99977815	0.99982786	0.9997883	0.9998185	0.9997991							
2021-11-04	United Kingdom	Delta	0.9997941	0.9998246	0.9997626	0.99981433	0.9997733	0.9998047	0.9997842							
2021-11-05	United Kingdom	Delta	0.9997782	0.99981	0.99974525	0.99979895	0.99975646	0.99978906	0.9997679							
2021-11-06	United Kingdom	Delta	0.99976	0.9997933	0.9997253	0.9997817	0.9997378	0.99977154	0.999749							
2021-11-07	United Kingdom	Delta	0.99973905	0.9997742	0.9997027	0.9997619	0.9997163	0.9997512	0.99972755							
2021-11-08	United Kingdom	Delta	0.999715	0.9997517	0.99967676	0.99973893	0.999691	0.9997279	0.99970293							
2021-11-09	United Kingdom	Delta	0.9996866	0.9997251	0.99964666	0.99971217	0.9996614	0.9997005	0.9996743							
2021-11-10	United Kingdom	Delta	0.99965316	0.9996935	0.9996112	0.99967974	0.9996266	0.99966776	0.9996398							
2021-11-11	United Kingdom	Delta	0.999613	0.9996549	0.9995688	0.9996412	0.9995849	0.9996282	0.9995985							
2021-11-12	United Kingdom	Delta	0.99956363	0.9996081	0.99951816	0.99959445	0.99953413	0.9995798	0.99954903							
2021-11-13	United Kingdom	Delta	0.99950314	0.99955153	0.9994552	0.9995367	0.99947226	0.9995206	0.99948823							
2021-11-14	United Kingdom	Delta	0.9994282	0.9994806	0.9993763	0.99946517	0.9993956	0.9994478	0.99941266							
2021-11-15	United Kingdom	Delta	0.999334	0.9993923	0.99927795	0.9993744	0.99929965	0.999356	0.99931794							
2021-11-16	United Kingdom	Delta	0.9992162	0.99928105	0.99915576	0.99926126	0.999179	0.9992402	0.9991985							
2021-11-17	United Kingdom	Delta	0.99906623	0.99914	0.99899995	0.99911624	0.99902475	0.9990941	0.9990457							
2021-11-18	United Kingdom	Delta	0.9988756	0.9989591	0.9988018	0.9989311	0.99882984	0.99890566	0.99885154							
2021-11-19	United Kingdom	Delta	0.998631	0.9987254	0.99854314	0.9986948	0.99857926	0.9986644	0.9986046							
2021-11-20	United Kingdom	Delta	0.9983165	0.99842167	0.9982135	0.9983887	0.998253	0.99835616	0.99828327							
2021-11-21	United Kingdom	Delta	0.99790853	0.9980296	0.9977904	0.9979956	0.997833	0.99795187	0.9978696							
2021-11-22	United Kingdom	Delta	0.9973805	0.99752253	0.9972347	0.9974823	0.9972892	0.99743164	0.997332							
2021-11-23	United Kingdom	Delta	0.99669147	0.9968645	0.9965155	0.99681544	0.99658185	0.99675167	0.9966337							
2021-11-24	United Kingdom	Delta	0.99579626	0.99600524	0.9955843	0.9959444	0.9956616	0.99586916	0.99572057							
2021-11-25	United Kingdom	Delta	0.99462825	0.99488413	0.99436814	0.99480534	0.9944622	0.99471533	0.9945333							
2021-11-26	United Kingdom	Delta	0.99310434	0.99341667	0.9927821	0.9933205	0.9929026	0.99321073	0.9929853							
2021-11-27	United Kingdom	Delta	0.9911121	0.9914912	0.99070776	0.99137795	0.99085903	0.99124295	0.99096775							
2021-11-28	United Kingdom	Delta	0.98851424	0.988976	0.98801565	0.9888431	0.98819566	0.9886756	0.9883341							
2021-11-29	United Kingdom	Delta	0.9851203	0.9856989	0.98450196	0.98552084	0.9847264	0.98531705	0.98489577							
2021-11-30	United Kingdom	Delta	0.9806962	0.98141766	0.97993803	0.98119116	0.98020524	0.9809426	0.9804207							
2021-12-01	United Kingdom	Delta	0.9749483	0.9758382	0.9740212	0.9755661	0.97434074	0.97523916	0.97459996							
2021-12-02	United Kingdom	Delta	0.96749437	0.968591	0.96636987	0.96825665	0.96675193	0.96786684	0.96707493							
