date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50
2022-02-17	Vietnam	Delta	0.27187335	0.3103811	0.2390396	0.2944641	0.25049645	0.2821189	0.25962433							
2022-02-18	Vietnam	Delta	0.25556	0.2937138	0.22362328	0.27689704	0.23497283	0.26554084	0.24426794							
2022-02-19	Vietnam	Delta	0.23926055	0.2760452	0.20928042	0.25998324	0.21975745	0.24948993	0.22935864							
2022-02-20	Vietnam	Delta	0.22318986	0.2593693	0.19469643	0.24331109	0.20466498	0.23373348	0.21456493							
2022-02-21	Vietnam	Delta	0.2078533	0.24272263	0.18144262	0.22697589	0.19049618	0.21833627	0.19964287							
2022-02-22	Vietnam	Delta	0.19292182	0.22672758	0.16771546	0.21212843	0.17645735	0.20295295	0.18539536							
2022-02-23	Vietnam	Delta	0.17875837	0.210895	0.15519714	0.19679242	0.16290954	0.18834947	0.17119604							
2022-02-24	Vietnam	Delta	0.16522448	0.19588411	0.14293912	0.18215337	0.15014568	0.1742059	0.15763885							
2022-02-25	Vietnam	Delta	0.15237252	0.18140441	0.13177182	0.16821307	0.1381233	0.16038175	0.14485261							
2022-02-26	Vietnam	Delta	0.1399963	0.16792819	0.1201395	0.15554073	0.12662312	0.14786617	0.13252828							
2022-02-27	Vietnam	Delta	0.1280272	0.15470007	0.10922374	0.1433375	0.115694344	0.13545927	0.12078036							
2022-02-28	Vietnam	Delta	0.11739748	0.14180952	0.09924846	0.13191935	0.10534247	0.12432595	0.11015526							
2022-03-01	Vietnam	Delta	0.10719043	0.1307295	0.089760415	0.12129066	0.09526146	0.11368662	0.100108355							
2022-03-02	Vietnam	Delta	0.097634554	0.12019557	0.080997854	0.110603355	0.08649782	0.1036986	0.091039695							
2022-03-03	Vietnam	Delta	0.08891429	0.109715536	0.07298535	0.10139768	0.078236885	0.0942934	0.08259519							
2022-03-04	Vietnam	Delta	0.08068892	0.100053675	0.065506846	0.093173124	0.07055946	0.08606993	0.07462226							
2022-03-05	Vietnam	Delta	0.07314792	0.09118282	0.059003502	0.08477127	0.063468724	0.07840534	0.06731141							
2022-03-06	Vietnam	Delta	0.066237286	0.08307086	0.0531197	0.07740452	0.057112813	0.07126252	0.060692966							
2022-03-07	Vietnam	Delta	0.0598285	0.076064214	0.047766637	0.07059719	0.051109083	0.064953566	0.054680634							
2022-03-08	Vietnam	Delta	0.05397901	0.069274664	0.04284158	0.06410354	0.046018727	0.058920637	0.049094483							
2022-03-09	Vietnam	Delta	0.04861216	0.06302435	0.03816182	0.057973485	0.041227292	0.053266503	0.04406811							
2022-03-10	Vietnam	Delta	0.043714084	0.057350725	0.033941347	0.05264145	0.036774024	0.04831675	0.039655127							
2022-03-11	Vietnam	Delta	0.03933054	0.05208706	0.030087613	0.0477138	0.03283474	0.043624785	0.03555058							
2022-03-12	Vietnam	Delta	0.0352811	0.047241174	0.026650097	0.043185607	0.02934567	0.039359313	0.031854704							
2022-03-13	Vietnam	Delta	0.0317149	0.04281593	0.02363969	0.0391821	0.026179949	0.035607647	0.028540978							
2022-03-14	Vietnam	Delta	0.028475553	0.038818166	0.020974005	0.035565075	0.023307713	0.03220639	0.025555814							
2022-03-15	Vietnam	Delta	0.025612775	0.035190478	0.018598747	0.032281224	0.020759493	0.029022705	0.02290204							
2022-03-16	Vietnam	Delta	0.022972248	0.03198062	0.01648257	0.029288597	0.018502396	0.02611964	0.020450342							
2022-03-17	Vietnam	Delta	0.020618105	0.029024072	0.01459926	0.02644571	0.016451616	0.023584455	0.01829011							
2022-03-18	Vietnam	Delta	0.018457837	0.02630486	0.012955474	0.023953406	0.014633187	0.021224681	0.016360901							
2022-03-19	Vietnam	Delta	0.016528253	0.02383238	0.011497413	0.02160012	0.013018534	0.019105613	0.014611885							
2022-03-20	Vietnam	Delta	0.014800767	0.02158402	0.010200532	0.019533178	0.011544189	0.01721057	0.013039818							
2022-03-21	Vietnam	Delta	0.013276656	0.019540995	0.009047641	0.017629066	0.010269179	0.015506186	0.011655537							
2022-03-22	Vietnam	Delta	0.011902012	0.017686976	0.008014342	0.015932718	0.009109012	0.013940338	0.010409021							
2022-03-23	Vietnam	Delta	0.0106463665	0.016006809	0.007085681	0.014395387	0.008074414	0.012540284	0.009274396							
2022-03-24	Vietnam	Delta	0.009547166	0.0144557	0.0062581357	0.012977097	0.007196952	0.011291302	0.0082637435							
2022-03-25	Vietnam	Delta	0.008536266	0.013051797	0.005510353	0.011691146	0.006404528	0.0101567935	0.0073601278							
2022-03-26	Vietnam	Delta	0.0076444033	0.011782332	0.004851274	0.010528142	0.005675908	0.009135518	0.0065653627							
