date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-03-07,USA,Delta,0.00050574564,0.0008692546,0.00027590632,0.00072326564,0.00035160573,0.0006077518,0.00041740783,,,,,,,
2022-03-08,USA,Delta,0.00046757548,0.0008228546,0.0002525011,0.00067908544,0.00032213106,0.0005673564,0.00038485698,,,,,,,
2022-03-09,USA,Delta,0.00043274832,0.0007775763,0.00023074186,0.00063872087,0.00029528182,0.0005290229,0.00035367222,,,,,,,
2022-03-10,USA,Delta,0.0004011995,0.00073338,0.00021000314,0.00059730693,0.00026914175,0.00049254514,0.00032314932,,,,,,,
2022-03-11,USA,Delta,0.0003691199,0.0006946439,0.00018683224,0.00056110066,0.0002439298,0.0004571179,0.00029655345,,,,,,,
2022-03-12,USA,Delta,0.00033933893,0.00065346796,0.0001685165,0.000521998,0.00022117808,0.00042369092,0.00027023628,,,,,,,
2022-03-13,USA,Delta,0.0003114317,0.00061382103,0.00015252683,0.00048654556,0.00019950983,0.00039237578,0.00024523184,,,,,,,
2022-03-14,USA,Delta,0.00028566935,0.00057139894,0.00013653711,0.00045239992,0.000179895,0.00036151154,0.00022376943,,,,,,,
2022-03-15,USA,Delta,0.00026064552,0.00053054054,0.00012118753,0.00041969994,0.00016184356,0.00033232925,0.00020297333,,,,,,,
2022-03-16,USA,Delta,0.00023732318,0.0004942936,0.00010785854,0.00038934647,0.00014526711,0.0003045844,0.00018404136,,,,,,,
2022-03-17,USA,Delta,0.0002157049,0.0004620574,9.596796e-05,0.0003600622,0.00013027321,0.00028070062,0.00016561916,,,,,,,
2022-03-18,USA,Delta,0.00019468063,0.00043444007,8.421291e-05,0.00033352058,0.00011624891,0.00025698813,0.0001495035,,,,,,,
2022-03-19,USA,Delta,0.00017610355,0.00040780622,7.353267e-05,0.000307827,0.00010269941,0.00023387166,0.00013397312,,,,,,,
2022-03-20,USA,Delta,0.00015870124,0.000379942,6.5251e-05,0.0002847938,9.045961e-05,0.00021294573,0.00011905632,,,,,,,
2022-03-07,USA,Omicron 21K,0.74415797,0.7689664,0.71917415,0.7606909,0.7291016,0.7524578,0.73556674,,,,,,,
2022-03-08,USA,Omicron 21K,0.7242176,0.75171804,0.696815,0.7424943,0.70796925,0.7334429,0.71482575,,,,,,,
2022-03-09,USA,Omicron 21K,0.70352024,0.73346555,0.67294383,0.7233846,0.6851159,0.7139254,0.69316894,,,,,,,
2022-03-10,USA,Omicron 21K,0.6817327,0.715137,0.6482725,0.70379674,0.66170216,0.6935284,0.6703188,,,,,,,
2022-03-11,USA,Omicron 21K,0.6592755,0.6957285,0.62289524,0.6831806,0.6368914,0.67231303,0.6468239,,,,,,,
2022-03-12,USA,Omicron 21K,0.6356796,0.6769102,0.5963382,0.6623739,0.61097306,0.65052044,0.62221706,,,,,,,
2022-03-13,USA,Omicron 21K,0.61194086,0.6575954,0.5686042,0.64092445,0.5848986,0.6279038,0.5971726,,,,,,,
2022-03-14,USA,Omicron 21K,0.5876559,0.63764936,0.54144543,0.61953604,0.55748004,0.60473746,0.5711832,,,,,,,
2022-03-15,USA,Omicron 21K,0.5629624,0.6168209,0.51250106,0.5980177,0.5304952,0.5814392,0.5452267,,,,,,,
2022-03-16,USA,Omicron 21K,0.53807175,0.5959987,0.4839702,0.5756017,0.5027887,0.5577483,0.5187352,,,,,,,
2022-03-17,USA,Omicron 21K,0.5129924,0.5749054,0.45374286,0.55298465,0.47478068,0.533598,0.49188954,,,,,,,
2022-03-18,USA,Omicron 21K,0.48817006,0.5545183,0.4254751,0.5307219,0.4468645,0.50956625,0.46505338,,,,,,,
2022-03-19,USA,Omicron 21K,0.46291158,0.5341529,0.3962922,0.50836366,0.41913992,0.48583692,0.43804738,,,,,,,
2022-03-20,USA,Omicron 21K,0.43763882,0.5126982,0.36844686,0.48639888,0.39214838,0.46194687,0.41173354,,,,,,,
2022-03-07,USA,Omicron 21L,0.2526539,0.27749118,0.22780728,0.26789916,0.23609245,0.26103982,0.2439097,,,,,,,
2022-03-08,USA,Omicron 21L,0.27251828,0.29970267,0.24511038,0.28896317,0.25447482,0.2818815,0.26317653,,,,,,,
2022-03-09,USA,Omicron 21L,0.2933131,0.32330868,0.26347765,0.31143978,0.27362448,0.30358288,0.28294483,,,,,,,
2022-03-10,USA,Omicron 21L,0.31523877,0.3475572,0.2821264,0.33526403,0.2936019,0.32644016,0.3032667,,,,,,,
2022-03-11,USA,Omicron 21L,0.3376376,0.37305075,0.30140173,0.36021012,0.31428358,0.3498096,0.32479548,,,,,,,
