variant,location,freq,date,median_freq_nowcast,median_freq_forecast
Delta,Australia,0.007267905572197406,2022-02-01,0.007267905572197406,
Omicron 21K,Australia,0.9353591127895146,2022-02-01,0.9353591127895146,
Omicron 21L,Australia,0.0584112538628877,2022-02-01,0.0584112538628877,
Delta,Australia,0.00715674715963414,2022-02-02,0.00715674715963414,
Omicron 21K,Australia,0.938361403531269,2022-02-02,0.938361403531269,
Omicron 21L,Australia,0.055504241760473305,2022-02-02,0.055504241760473305,
Delta,Australia,0.004126736389834586,2022-02-03,0.004126736389834586,
Omicron 21K,Australia,0.9478131082137206,2022-02-03,0.9478131082137206,
Omicron 21L,Australia,0.04864968916642127,2022-02-03,0.04864968916642127,
Delta,Australia,0.004242863809645475,2022-02-04,0.004242863809645475,
Omicron 21K,Australia,0.9425777331629633,2022-02-04,0.9425777331629633,
Omicron 21L,Australia,0.05439164983014698,2022-02-04,0.05439164983014698,
Delta,Australia,0.00448924751449984,2022-02-05,0.00448924751449984,
Omicron 21K,Australia,0.945139821973459,2022-02-05,0.945139821973459,
Omicron 21L,Australia,0.05229489373254114,2022-02-05,0.05229489373254114,
Delta,Australia,0.0043850488052506655,2022-02-06,0.0043850488052506655,
Omicron 21K,Australia,0.9454026722115935,2022-02-06,0.9454026722115935,
Omicron 21L,Australia,0.05146515007037039,2022-02-06,0.05146515007037039,
Delta,Australia,0.004023585059041467,2022-02-07,0.004023585059041467,
Omicron 21K,Australia,0.9407767295372722,2022-02-07,0.9407767295372722,
Omicron 21L,Australia,0.05692407900041834,2022-02-07,0.05692407900041834,
Delta,Australia,0.0039027917746283884,2022-02-08,0.0039027917746283884,
Omicron 21K,Australia,0.9387495095886665,2022-02-08,0.9387495095886665,
Omicron 21L,Australia,0.05957786536506414,2022-02-08,0.05957786536506414,
Delta,Australia,0.0041300497309081,2022-02-09,0.0041300497309081,
Omicron 21K,Australia,0.9352365381194294,2022-02-09,0.9352365381194294,
Omicron 21L,Australia,0.06331542301347123,2022-02-09,0.06331542301347123,
other,Australia,0.001876172607879925,2022-02-09,0.001876172607879925,
Delta,Australia,0.003968253968253968,2022-02-10,0.003968253968253968,
Omicron 21K,Australia,0.9303072416511997,2022-02-10,0.9303072416511997,
Omicron 21L,Australia,0.06885784026649548,2022-02-10,0.06885784026649548,
other,Australia,0.001876172607879925,2022-02-10,0.001876172607879925,
Delta,Australia,0.003968253968253968,2022-02-11,0.003968253968253968,
Omicron 21K,Australia,0.9275966221434832,2022-02-11,0.9275966221434832,
