variant,location,freq,date,median_freq_nowcast,median_freq_forecast
Omicron 22A,Egypt,0.5,2022-10-21,0.5,
Omicron 22B,Egypt,0.5,2022-10-21,0.5,
Omicron 22A,Egypt,0.5,2022-10-22,0.5,
Omicron 22B,Egypt,0.5,2022-10-22,0.5,
Omicron 22A,Egypt,0.5,2022-10-23,0.5,
Omicron 22B,Egypt,0.5,2022-10-23,0.5,
Omicron 22A,Egypt,0.5,2022-10-24,0.5,
Omicron 22B,Egypt,0.5,2022-10-24,0.5,
Omicron 22A,Egypt,0.5,2022-10-25,0.5,
Omicron 22B,Egypt,0.5,2022-10-25,0.5,
Omicron 22A,Egypt,0.5,2022-10-26,0.5,
Omicron 22B,Egypt,0.5,2022-10-26,0.5,
Omicron 22A,Egypt,0.5,2022-10-27,0.5,
Omicron 22B,Egypt,0.5,2022-10-27,0.5,
