variant,location,freq,date,median_freq_nowcast,median_freq_forecast
Omicron 21K,South Africa,0.1,2022-08-17,0.1,
Omicron 22A,South Africa,0.3060540962796602,2022-08-17,0.3060540962796602,
Omicron 22B,South Africa,0.7929368876737297,2022-08-17,0.7929368876737297,
Omicron 21K,South Africa,0.1,2022-08-18,0.1,
Omicron 22A,South Africa,0.30443071965628354,2022-08-18,0.30443071965628354,
Omicron 22B,South Africa,0.7948308270676692,2022-08-18,0.7948308270676692,
Omicron 21K,South Africa,0.1,2022-08-19,0.1,
Omicron 22A,South Africa,0.3115735767991407,2022-08-19,0.3115735767991407,
Omicron 22B,South Africa,0.7698308270676691,2022-08-19,0.7698308270676691,
Omicron 21K,South Africa,0.1,2022-08-20,0.1,
Omicron 22A,South Africa,0.3401450053705693,2022-08-20,0.3401450053705693,
Omicron 22B,South Africa,0.7531641604010025,2022-08-20,0.7531641604010025,
Omicron 21K,South Africa,0.1,2022-08-21,0.1,
Omicron 22A,South Africa,0.4472878625134264,2022-08-21,0.4472878625134264,
Omicron 22B,South Africa,0.753796992481203,2022-08-21,0.753796992481203,
Omicron 21K,South Africa,0.13333333333333333,2022-08-22,0.13333333333333333,
Omicron 22A,South Africa,0.3282402434658073,2022-08-22,0.3282402434658073,
Omicron 22B,South Africa,0.7114974937343358,2022-08-22,0.7114974937343358,
Omicron 22D,South Africa,0.16666666666666666,2022-08-22,0.16666666666666666,
Omicron 21K,South Africa,0.11666666666666665,2022-08-23,0.11666666666666665,
Omicron 22A,South Africa,0.32636054421768707,2022-08-23,0.32636054421768707,
Omicron 22B,South Africa,0.6720238095238095,2022-08-23,0.6720238095238095,
Omicron 22D,South Africa,0.16666666666666666,2022-08-23,0.16666666666666666,
other,South Africa,0.16666666666666666,2022-08-23,0.16666666666666666,
Omicron 21K,South Africa,0.11666666666666665,2022-08-24,0.11666666666666665,
Omicron 22A,South Africa,0.33891941391941394,2022-08-24,0.33891941391941394,
Omicron 22B,South Africa,0.6573717948717949,2022-08-24,0.6573717948717949,
Omicron 22D,South Africa,0.16666666666666666,2022-08-24,0.16666666666666666,
other,South Africa,0.16666666666666666,2022-08-24,0.16666666666666666,
Omicron 21K,South Africa,0.134375,2022-08-25,0.134375,
Omicron 21L,South Africa,0.0625,2022-08-25,0.0625,
Omicron 22A,South Africa,0.3567765567765568,2022-08-25,0.3567765567765568,
Omicron 22B,South Africa,0.5844551282051281,2022-08-25,0.5844551282051281,
Omicron 22D,South Africa,0.11458333333333333,2022-08-25,0.11458333333333333,
other,South Africa,0.16666666666666666,2022-08-25,0.16666666666666666,
Omicron 21K,South Africa,0.14583333333333334,2022-08-26,0.14583333333333334,
Omicron 21L,South Africa,0.0625,2022-08-26,0.0625,
Omicron 22A,South Africa,0.33772893772893775,2022-08-26,0.33772893772893775,
Omicron 22B,South Africa,0.6233440170940171,2022-08-26,0.6233440170940171,
Omicron 22D,South Africa,0.11458333333333333,2022-08-26,0.11458333333333333,
other,South Africa,0.16666666666666666,2022-08-26,0.16666666666666666,
Omicron 21K,South Africa,0.13210227272727273,2022-08-27,0.13210227272727273,
Omicron 21L,South Africa,0.0625,2022-08-27,0.0625,
Omicron 22A,South Africa,0.33383283383283385,2022-08-27,0.33383283383283385,
Omicron 22B,South Africa,0.6127379564879565,2022-08-27,0.6127379564879565,
Omicron 22D,South Africa,0.11458333333333333,2022-08-27,0.11458333333333333,
other,South Africa,0.16666666666666666,2022-08-27,0.16666666666666666,
Omicron 21K,South Africa,0.13210227272727273,2022-08-28,0.13210227272727273,
Omicron 21L,South Africa,0.0625,2022-08-28,0.0625,
Omicron 22A,South Africa,0.2228049728049728,2022-08-28,0.2228049728049728,
Omicron 22B,South Africa,0.6680611055611055,2022-08-28,0.6680611055611055,
Omicron 22D,South Africa,0.11458333333333333,2022-08-28,0.11458333333333333,
other,South Africa,0.16666666666666666,2022-08-28,0.16666666666666666,
Omicron 21K,South Africa,0.12058080808080807,2022-08-29,0.12058080808080807,
Omicron 21L,South Africa,0.0625,2022-08-29,0.0625,
Omicron 22A,South Africa,0.23403263403263405,2022-08-29,0.23403263403263405,
Omicron 22B,South Africa,0.7394896769896769,2022-08-29,0.7394896769896769,
Omicron 22D,South Africa,0.0625,2022-08-29,0.0625,
other,South Africa,0.16666666666666666,2022-08-29,0.16666666666666666,
Omicron 21K,South Africa,0.13920454545454547,2022-08-30,0.13920454545454547,
Omicron 21L,South Africa,0.0625,2022-08-30,0.0625,
Omicron 22A,South Africa,0.22039627039627038,2022-08-30,0.22039627039627038,
Omicron 22B,South Africa,0.7719572094572095,2022-08-30,0.7719572094572095,
Omicron 22D,South Africa,0.0625,2022-08-30,0.0625,
other,South Africa,0.09090909090909091,2022-08-30,0.09090909090909091,
Omicron 21K,South Africa,0.13920454545454547,2022-08-31,0.13920454545454547,
Omicron 21L,South Africa,0.0625,2022-08-31,0.0625,
Omicron 22A,South Africa,0.20281385281385278,2022-08-31,0.20281385281385278,
Omicron 22B,South Africa,0.7641079158936303,2022-08-31,0.7641079158936303,
Omicron 22D,South Africa,0.0625,2022-08-31,0.0625,
other,South Africa,0.11688311688311688,2022-08-31,0.11688311688311688,
Omicron 21K,South Africa,0.09090909090909091,2022-09-01,0.09090909090909091,
Omicron 22A,South Africa,0.1778138528138528,2022-09-01,0.1778138528138528,
Omicron 22B,South Africa,0.8176793444650589,2022-09-01,0.8176793444650589,
other,South Africa,0.09875541125541125,2022-09-01,0.09875541125541125,
Omicron 21K,South Africa,0.09090909090909091,2022-09-02,0.09090909090909091,
Omicron 22A,South Africa,0.16266233766233767,2022-09-02,0.16266233766233767,
