variant,location,freq,date,median_freq_nowcast,median_freq_forecast
Delta,USA,0.0002818489289740699,2022-08-17,0.0002818489289740699,
Omicron 21K,USA,0.000499959987321233,2022-08-17,0.000499959987321233,
Omicron 21L,USA,0.002997177223494476,2022-08-17,0.002997177223494476,
Omicron 22A,USA,0.11011419777898325,2022-08-17,0.11011419777898325,
Omicron 22B,USA,0.8711782839094611,2022-08-17,0.8711782839094611,
Omicron 22C,USA,0.010929729192608038,2022-08-17,0.010929729192608038,
Omicron 22D,USA,0.0031940295168608203,2022-08-17,0.0031940295168608203,
Omicron 22E,USA,0.0004386926957666155,2022-08-17,0.0004386926957666155,
other,USA,0.0012693792947773516,2022-08-17,0.0012693792947773516,
Delta,USA,0.0002818489289740699,2022-08-18,0.0002818489289740699,
Omicron 21K,USA,0.00034688209110109977,2022-08-18,0.00034688209110109977,
Omicron 21L,USA,0.002980358009235395,2022-08-18,0.002980358009235395,
Omicron 22A,USA,0.11004888222293854,2022-08-18,0.11004888222293854,
Omicron 22B,USA,0.8724770461380494,2022-08-18,0.8724770461380494,
Omicron 22C,USA,0.009290660076854945,2022-08-18,0.009290660076854945,
Omicron 22D,USA,0.0034052503455951496,2022-08-18,0.0034052503455951496,
Omicron 22E,USA,0.00043792558285598535,2022-08-18,0.00043792558285598535,
other,USA,0.001483753726185259,2022-08-18,0.001483753726185259,
Delta,USA,0.0002818489289740699,2022-08-19,0.0002818489289740699,
Omicron 21K,USA,0.0002207471520022006,2022-08-19,0.0002207471520022006,
Omicron 21L,USA,0.002783373692920693,2022-08-19,0.002783373692920693,
Omicron 22A,USA,0.11057242743003802,2022-08-19,0.11057242743003802,
Omicron 22B,USA,0.8727668748290421,2022-08-19,0.8727668748290421,
Omicron 22C,USA,0.008647490893129524,2022-08-19,0.008647490893129524,
Omicron 22D,USA,0.0035093503970601196,2022-08-19,0.0035093503970601196,
Omicron 22E,USA,0.0003684907636184946,2022-08-19,0.0003684907636184946,
other,USA,0.0014276880898329732,2022-08-19,0.0014276880898329732,
Delta,USA,0.0002818489289740699,2022-08-20,0.0002818489289740699,
Omicron 21K,USA,0.00022507170535844272,2022-08-20,0.00022507170535844272,
Omicron 21L,USA,0.0027083222147703083,2022-08-20,0.0027083222147703083,
Omicron 22A,USA,0.11101914754438948,2022-08-20,0.11101914754438948,
Omicron 22B,USA,0.8719541364579951,2022-08-20,0.8719541364579951,
Omicron 22C,USA,0.008212002122807595,2022-08-20,0.008212002122807595,
Omicron 22D,USA,0.0038271738320021778,2022-08-20,0.0038271738320021778,
Omicron 22E,USA,0.0005033828286730084,2022-08-20,0.0005033828286730084,
other,USA,0.0018548470623579681,2022-08-20,0.0018548470623579681,
