variant,location,freq,date,median_freq_nowcast,median_freq_forecast
Delta,Vietnam,0.25,2022-02-01,0.25,
Omicron 21K,Vietnam,0.6944444444444445,2022-02-01,0.6944444444444445,
Omicron 21L,Vietnam,0.4666666666666667,2022-02-01,0.4666666666666667,
Delta,Vietnam,0.43333333333333335,2022-02-02,0.43333333333333335,
Omicron 21K,Vietnam,0.6166666666666666,2022-02-02,0.6166666666666666,
Omicron 21L,Vietnam,0.5,2022-02-02,0.5,
Delta,Vietnam,0.5722222222222223,2022-02-03,0.5722222222222223,
Omicron 21K,Vietnam,0.6027777777777777,2022-02-03,0.6027777777777777,
Omicron 21L,Vietnam,0.5555555555555555,2022-02-03,0.5555555555555555,
Delta,Vietnam,0.6791666666666667,2022-02-04,0.6791666666666667,
Omicron 21K,Vietnam,0.5233333333333333,2022-02-04,0.5233333333333333,
Omicron 21L,Vietnam,0.5555555555555555,2022-02-04,0.5555555555555555,
Delta,Vietnam,0.6766666666666666,2022-02-05,0.6766666666666666,
Omicron 21K,Vietnam,0.4041666666666667,2022-02-05,0.4041666666666667,
Omicron 21L,Vietnam,0.5,2022-02-05,0.5,
Delta,Vietnam,0.7305555555555555,2022-02-06,0.7305555555555555,
Omicron 21K,Vietnam,0.31666666666666665,2022-02-06,0.31666666666666665,
Omicron 21L,Vietnam,0.5555555555555555,2022-02-06,0.5555555555555555,
Delta,Vietnam,0.7547619047619047,2022-02-07,0.7547619047619047,
Omicron 21K,Vietnam,0.2625,2022-02-07,0.2625,
Omicron 21L,Vietnam,0.3333333333333333,2022-02-07,0.3333333333333333,
Delta,Vietnam,0.850952380952381,2022-02-08,0.850952380952381,
Omicron 21K,Vietnam,0.1675,2022-02-08,0.1675,
Omicron 21L,Vietnam,0.18666666666666665,2022-02-08,0.18666666666666665,
Delta,Vietnam,0.8298343685300207,2022-02-09,0.8298343685300207,
Omicron 21K,Vietnam,0.1501086956521739,2022-02-09,0.1501086956521739,
Omicron 21L,Vietnam,0.1969082125603865,2022-02-09,0.1969082125603865,
Delta,Vietnam,0.8247323277136942,2022-02-10,0.8247323277136942,
Omicron 21K,Vietnam,0.12332298136645962,2022-02-10,0.12332298136645962,
