variant	location	freq	date	median_freq_nowcast	median_freq_forecast
Delta	Vietnam	0.0625	2022-05-26	0.0625	
Delta	Vietnam	0.0625	2022-05-27	0.0625	
Delta	Vietnam	0.0625	2022-05-28	0.0625	
Delta	Vietnam	0.0625	2022-05-29	0.0625	
Delta	Vietnam	0.0625	2022-05-30	0.0625	
Delta	Vietnam	0.0625	2022-05-31	0.0625	
Delta	Vietnam	0.0625	2022-06-01	0.0625	
Delta	Vietnam	0.3333333333333333	2022-06-17	0.3333333333333333	
Delta	Vietnam	0.3333333333333333	2022-06-18	0.3333333333333333	
Delta	Vietnam	0.3333333333333333	2022-06-19	0.3333333333333333	
Delta	Vietnam	0.6666666666666666	2022-06-20	0.6666666666666666	
Delta	Vietnam	0.7152777777777777	2022-06-21	0.7152777777777777	
Delta	Vietnam	0.7152777777777777	2022-06-22	0.7152777777777777	
Delta	Vietnam	0.7152777777777777	2022-06-23	0.7152777777777777	
Delta	Vietnam	0.90625	2022-06-24	0.90625	
Delta	Vietnam	0.90625	2022-06-25	0.90625	
Delta	Vietnam	0.90625	2022-06-26	0.90625	
Delta	Vietnam	0.8125	2022-06-27	0.8125	
Omicron 21K	Vietnam	0.07692307692307693	2022-05-17	0.07692307692307693	
Omicron 21K	Vietnam	0.1111111111111111	2022-05-18	0.1111111111111111	
Omicron 21K	Vietnam	0.1111111111111111	2022-05-19	0.1111111111111111	
Omicron 21K	Vietnam	0.1111111111111111	2022-05-20	0.1111111111111111	
Omicron 21K	Vietnam	0.1111111111111111	2022-05-21	0.1111111111111111	
Omicron 21K	Vietnam	0.1111111111111111	2022-05-22	0.1111111111111111	
Omicron 21K	Vietnam	0.1111111111111111	2022-05-23	0.1111111111111111	
Omicron 21K	Vietnam	0.1111111111111111	2022-05-24	0.1111111111111111	
Omicron 21L	Vietnam	0.989010989010989	2022-05-17	0.989010989010989	
Omicron 21L	Vietnam	0.9841269841269842	2022-05-18	0.9841269841269842	
Omicron 21L	Vietnam	0.9841269841269842	2022-05-19	0.9841269841269842	
Omicron 21L	Vietnam	0.9841269841269842	2022-05-20	0.9841269841269842	
Omicron 21L	Vietnam	0.9841269841269842	2022-05-21	0.9841269841269842	
Omicron 21L	Vietnam	0.9841269841269842	2022-05-22	0.9841269841269842	
Omicron 21L	Vietnam	0.9841269841269842	2022-05-23	0.9841269841269842	
Omicron 21L	Vietnam	0.9841269841269842	2022-05-24	0.9841269841269842	
Omicron 21L	Vietnam	1.0	2022-05-25	1.0	
Omicron 21L	Vietnam	0.9910714285714286	2022-05-26	0.9910714285714286	
Omicron 21L	Vietnam	0.9375	2022-05-27	0.9375	
Omicron 21L	Vietnam	0.9375	2022-05-28	0.9375	
Omicron 21L	Vietnam	0.9375	2022-05-29	0.9375	
Omicron 21L	Vietnam	0.9270833333333334	2022-05-30	0.9270833333333334	
Omicron 21L	Vietnam	0.9270833333333334	2022-05-31	0.9270833333333334	
Omicron 21L	Vietnam	0.9125	2022-06-01	0.9125	
Omicron 21L	Vietnam	0.925	2022-06-02	0.925	
Omicron 21L	Vietnam	1.0	2022-06-03	1.0	
Omicron 21L	Vietnam	1.0	2022-06-04	1.0	
Omicron 21L	Vietnam	1.0	2022-06-05	1.0	
Omicron 21L	Vietnam	1.0	2022-06-06	1.0	
Omicron 21L	Vietnam	1.0	2022-06-07	1.0	
Omicron 21L	Vietnam	1.0	2022-06-08	1.0	
Omicron 21L	Vietnam	1.0	2022-06-09	1.0	
Omicron 21L	Vietnam	1.0	2022-06-10	1.0	
Omicron 21L	Vietnam	1.0	2022-06-11	1.0	
Omicron 21L	Vietnam	1.0	2022-06-12	1.0	
Omicron 21L	Vietnam	1.0	2022-06-13	1.0	
Omicron 21L	Vietnam	1.0	2022-06-14	1.0	
Omicron 21L	Vietnam	1.0	2022-06-15	1.0	
Omicron 21L	Vietnam	1.0	2022-06-16	1.0	
Omicron 21L	Vietnam	0.9166666666666666	2022-06-17	0.9166666666666666	
Omicron 21L	Vietnam	0.8533333333333333	2022-06-18	0.8533333333333333	
Omicron 21L	Vietnam	0.8533333333333333	2022-06-19	0.8533333333333333	
Omicron 21L	Vietnam	0.8533333333333333	2022-06-20	0.8533333333333333	
Omicron 21L	Vietnam	0.7423611111111111	2022-06-21	0.7423611111111111	
Omicron 21L	Vietnam	0.7185515873015872	2022-06-22	0.7185515873015872	
Omicron 21L	Vietnam	0.7185515873015872	2022-06-23	0.7185515873015872	
Omicron 21L	Vietnam	0.7741071428571429	2022-06-24	0.7741071428571429	
Omicron 21L	Vietnam	0.8089285714285713	2022-06-25	0.8089285714285713	
Omicron 21L	Vietnam	0.8089285714285713	2022-06-26	0.8089285714285713	
Omicron 21L	Vietnam	0.8089285714285713	2022-06-27	0.8089285714285713	
Omicron 21L	Vietnam	0.9642857142857143	2022-06-28	0.9642857142857143	
Omicron 21L	Vietnam	1.0	2022-06-29	1.0	
Omicron 21L	Vietnam	1.0	2022-06-30	1.0	
Omicron 21L	Vietnam	1.0	2022-07-01	1.0	
Omicron 21L	Vietnam	1.0	2022-07-02	1.0	
Omicron 21L	Vietnam	1.0	2022-07-03	1.0	
Omicron 21L	Vietnam	1.0	2022-07-04	1.0	
Omicron 21L	Vietnam	1.0	2022-07-05	1.0	
Omicron 21L	Vietnam	1.0	2022-07-06	1.0	
Omicron 21L	Vietnam	1.0	2022-07-07	1.0	
Omicron 21L	Vietnam	1.0	2022-07-08	1.0	
Omicron 21L	Vietnam	1.0	2022-07-09	1.0	
Omicron 21L	Vietnam	1.0	2022-07-10	1.0	
Omicron 21L	Vietnam	1.0	2022-07-11	1.0	
Omicron 21L	Vietnam	1.0	2022-07-12	1.0	
Omicron 21L	Vietnam	1.0	2022-07-13	1.0	
Omicron 21L	Vietnam	1.0	2022-07-14	1.0	
Omicron 21L	Vietnam	1.0	2022-07-15	1.0	
Omicron 21L	Vietnam	1.0	2022-07-16		1.0
Omicron 21L	Vietnam	1.0	2022-07-17		1.0
Omicron 21L	Vietnam	1.0	2022-07-18		1.0
Omicron 21L	Vietnam	1.0	2022-07-19		1.0
Omicron 21L	Vietnam	1.0	2022-07-20		1.0
Omicron 21L	Vietnam	1.0	2022-07-21		1.0
Omicron 21L	Vietnam	1.0	2022-07-22		1.0
Omicron 21L	Vietnam	1.0	2022-07-23		1.0
Omicron 21L	Vietnam	1.0	2022-07-24		1.0
Omicron 21L	Vietnam	1.0	2022-07-25		1.0
Omicron 21L	Vietnam	1.0	2022-07-26		1.0
Omicron 21L	Vietnam	1.0	2022-07-27		1.0
Omicron 21L	Vietnam	1.0	2022-07-28		1.0
Omicron 21L	Vietnam	1.0	2022-07-29		1.0
Omicron 21L	Vietnam	1.0	2022-07-30		1.0
Omicron 21L	Vietnam	1.0	2022-07-31		1.0
Omicron 21L	Vietnam	1.0	2022-08-01		1.0
Omicron 21L	Vietnam	1.0	2022-08-02		1.0
Omicron 21L	Vietnam	1.0	2022-08-03		1.0
Omicron 21L	Vietnam	1.0	2022-08-04		1.0
Omicron 21L	Vietnam	1.0	2022-08-05		1.0
Omicron 21L	Vietnam	1.0	2022-08-06		1.0
Omicron 21L	Vietnam	1.0	2022-08-07		1.0
Omicron 21L	Vietnam	1.0	2022-08-08		1.0
Omicron 21L	Vietnam	1.0	2022-08-09		1.0
Omicron 21L	Vietnam	1.0	2022-08-10		1.0
Omicron 21L	Vietnam	1.0	2022-08-11		1.0
Omicron 21L	Vietnam	1.0	2022-08-12		1.0
Omicron 21L	Vietnam	1.0	2022-08-13		1.0
Omicron 21L	Vietnam	1.0	2022-08-14		1.0
Omicron 21L	Vietnam	1.0	2022-08-15		1.0
Omicron 21L	Vietnam	1.0	2022-08-16		1.0
Omicron 21L	Vietnam	1.0	2022-08-17		1.0
Omicron 21L	Vietnam	1.0	2022-08-18		1.0
Omicron 21L	Vietnam	1.0	2022-08-19		1.0
