date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-30,Brazil,Delta,3.518444e-05,3.518444e-05,3.518444e-05,3.518444e-05,3.518444e-05,3.518444e-05,3.518444e-05,,,,,,,
2022-05-01,Brazil,Delta,3.2276672e-05,3.2276672e-05,3.2276672e-05,3.2276672e-05,3.2276672e-05,3.2276672e-05,3.2276672e-05,,,,,,,
2022-05-02,Brazil,Delta,2.9590678e-05,2.9590678e-05,2.9590678e-05,2.9590678e-05,2.9590678e-05,2.9590678e-05,2.9590678e-05,,,,,,,
2022-05-03,Brazil,Delta,2.7112168e-05,2.7112168e-05,2.7112168e-05,2.7112168e-05,2.7112168e-05,2.7112168e-05,2.7112168e-05,,,,,,,
2022-05-04,Brazil,Delta,2.4827403e-05,2.4827403e-05,2.4827403e-05,2.4827403e-05,2.4827403e-05,2.4827403e-05,2.4827403e-05,,,,,,,
2022-05-05,Brazil,Delta,2.272323e-05,2.272323e-05,2.272323e-05,2.272323e-05,2.272323e-05,2.272323e-05,2.272323e-05,,,,,,,
2022-05-06,Brazil,Delta,2.0787082e-05,2.0787082e-05,2.0787082e-05,2.0787082e-05,2.0787082e-05,2.0787082e-05,2.0787082e-05,,,,,,,
2022-05-07,Brazil,Delta,1.9007033e-05,1.9007033e-05,1.9007033e-05,1.9007033e-05,1.9007033e-05,1.9007033e-05,1.9007033e-05,,,,,,,
2022-05-08,Brazil,Delta,1.7371785e-05,1.7371785e-05,1.7371785e-05,1.7371785e-05,1.7371785e-05,1.7371785e-05,1.7371785e-05,,,,,,,
2022-05-09,Brazil,Delta,1.5870666e-05,1.5870666e-05,1.5870666e-05,1.5870666e-05,1.5870666e-05,1.5870666e-05,1.5870666e-05,,,,,,,
2022-05-10,Brazil,Delta,1.4493642e-05,1.4493642e-05,1.4493642e-05,1.4493642e-05,1.4493642e-05,1.4493642e-05,1.4493642e-05,,,,,,,
2022-05-11,Brazil,Delta,1.3231284e-05,1.3231284e-05,1.3231284e-05,1.3231284e-05,1.3231284e-05,1.3231284e-05,1.3231284e-05,,,,,,,
2022-05-12,Brazil,Delta,1.2074768e-05,1.2074768e-05,1.2074768e-05,1.2074768e-05,1.2074768e-05,1.2074768e-05,1.2074768e-05,,,,,,,
2022-05-13,Brazil,Delta,1.101583e-05,1.101583e-05,1.101583e-05,1.101583e-05,1.101583e-05,1.101583e-05,1.101583e-05,,,,,,,
2022-04-30,Brazil,Omicron 21K,0.130099,0.130099,0.130099,0.130099,0.130099,0.130099,0.130099,,,,,,,
2022-05-01,Brazil,Omicron 21K,0.12166734,0.12166734,0.12166734,0.12166734,0.12166734,0.12166734,0.12166734,,,,,,,
2022-05-02,Brazil,Omicron 21K,0.11371069,0.11371069,0.11371069,0.11371069,0.11371069,0.11371069,0.11371069,,,,,,,
2022-05-03,Brazil,Omicron 21K,0.10621135,0.10621135,0.10621135,0.10621135,0.10621135,0.10621135,0.10621135,,,,,,,
2022-05-04,Brazil,Omicron 21K,0.09915123,0.09915123,0.09915123,0.09915123,0.09915123,0.09915123,0.09915123,,,,,,,
2022-05-05,Brazil,Omicron 21K,0.09251181,0.09251181,0.09251181,0.09251181,0.09251181,0.09251181,0.09251181,,,,,,,
2022-05-06,Brazil,Omicron 21K,0.086274326,0.086274326,0.086274326,0.086274326,0.086274326,0.086274326,0.086274326,,,,,,,
2022-05-07,Brazil,Omicron 21K,0.08042006,0.08042006,0.08042006,0.08042006,0.08042006,0.08042006,0.08042006,,,,,,,
2022-05-08,Brazil,Omicron 21K,0.07493044,0.07493044,0.07493044,0.07493044,0.07493044,0.07493044,0.07493044,,,,,,,
2022-05-09,Brazil,Omicron 21K,0.06978705,0.06978705,0.06978705,0.06978705,0.06978705,0.06978705,0.06978705,,,,,,,
2022-05-10,Brazil,Omicron 21K,0.064971864,0.064971864,0.064971864,0.064971864,0.064971864,0.064971864,0.064971864,,,,,,,
2022-05-11,Brazil,Omicron 21K,0.06046728,0.06046728,0.06046728,0.06046728,0.06046728,0.06046728,0.06046728,,,,,,,
2022-05-12,Brazil,Omicron 21K,0.056256182,0.056256182,0.056256182,0.056256182,0.056256182,0.056256182,0.056256182,,,,,,,
2022-05-13,Brazil,Omicron 21K,0.052322,0.052322,0.052322,0.052322,0.052322,0.052322,0.052322,,,,,,,
2022-04-30,Brazil,other,0.0115450695,0.0115450695,0.0115450695,0.0115450695,0.0115450695,0.0115450695,0.0115450695,,,,,,,
2022-05-01,Brazil,other,0.01162649,0.01162649,0.01162649,0.01162649,0.01162649,0.01162649,0.01162649,,,,,,,
