date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-02,USA,Delta,1.7328404e-05,1.7328404e-05,1.7328404e-05,1.7328404e-05,1.7328404e-05,1.7328404e-05,1.7328404e-05,,,,,,,
2022-04-03,USA,Delta,1.478925e-05,1.478925e-05,1.478925e-05,1.478925e-05,1.478925e-05,1.478925e-05,1.478925e-05,,,,,,,
2022-04-04,USA,Delta,1.2601102e-05,1.2601102e-05,1.2601102e-05,1.2601102e-05,1.2601102e-05,1.2601102e-05,1.2601102e-05,,,,,,,
2022-04-05,USA,Delta,1.07192045e-05,1.07192045e-05,1.07192045e-05,1.07192045e-05,1.07192045e-05,1.07192045e-05,1.07192045e-05,,,,,,,
2022-04-06,USA,Delta,9.103645e-06,9.103645e-06,9.103645e-06,9.103645e-06,9.103645e-06,9.103645e-06,9.103645e-06,,,,,,,
2022-04-07,USA,Delta,7.719097e-06,7.719097e-06,7.719097e-06,7.719097e-06,7.719097e-06,7.719097e-06,7.719097e-06,,,,,,,
2022-04-08,USA,Delta,6.5344993e-06,6.5344993e-06,6.5344993e-06,6.5344993e-06,6.5344993e-06,6.5344993e-06,6.5344993e-06,,,,,,,
2022-04-09,USA,Delta,5.522628e-06,5.522628e-06,5.522628e-06,5.522628e-06,5.522628e-06,5.522628e-06,5.522628e-06,,,,,,,
2022-04-10,USA,Delta,4.659663e-06,4.659663e-06,4.659663e-06,4.659663e-06,4.659663e-06,4.659663e-06,4.659663e-06,,,,,,,
2022-04-11,USA,Delta,3.92486e-06,3.92486e-06,3.92486e-06,3.92486e-06,3.92486e-06,3.92486e-06,3.92486e-06,,,,,,,
2022-04-12,USA,Delta,3.3002436e-06,3.3002436e-06,3.3002436e-06,3.3002436e-06,3.3002436e-06,3.3002436e-06,3.3002436e-06,,,,,,,
2022-04-13,USA,Delta,2.770234e-06,2.770234e-06,2.770234e-06,2.770234e-06,2.770234e-06,2.770234e-06,2.770234e-06,,,,,,,
2022-04-14,USA,Delta,2.321296e-06,2.321296e-06,2.321296e-06,2.321296e-06,2.321296e-06,2.321296e-06,2.321296e-06,,,,,,,
2022-04-15,USA,Delta,1.9416884e-06,1.9416884e-06,1.9416884e-06,1.9416884e-06,1.9416884e-06,1.9416884e-06,1.9416884e-06,,,,,,,
2022-04-02,USA,Omicron 21K,0.13478325,0.13478325,0.13478325,0.13478325,0.13478325,0.13478325,0.13478325,,,,,,,
2022-04-03,USA,Omicron 21K,0.121879235,0.121879235,0.121879235,0.121879235,0.121879235,0.121879235,0.121879235,,,,,,,
2022-04-04,USA,Omicron 21K,0.10998085,0.10998085,0.10998085,0.10998085,0.10998085,0.10998085,0.10998085,,,,,,,
2022-04-05,USA,Omicron 21K,0.0990423,0.0990423,0.0990423,0.0990423,0.0990423,0.0990423,0.0990423,,,,,,,
2022-04-06,USA,Omicron 21K,0.089014366,0.089014366,0.089014366,0.089014366,0.089014366,0.089014366,0.089014366,,,,,,,
2022-04-07,USA,Omicron 21K,0.07984577,0.07984577,0.07984577,0.07984577,0.07984577,0.07984577,0.07984577,,,,,,,
2022-04-08,USA,Omicron 21K,0.071484365,0.071484365,0.071484365,0.071484365,0.071484365,0.071484365,0.071484365,,,,,,,
2022-04-09,USA,Omicron 21K,0.06387789,0.06387789,0.06387789,0.06387789,0.06387789,0.06387789,0.06387789,,,,,,,
2022-04-10,USA,Omicron 21K,0.056974437,0.056974437,0.056974437,0.056974437,0.056974437,0.056974437,0.056974437,,,,,,,
2022-04-11,USA,Omicron 21K,0.050723188,0.050723188,0.050723188,0.050723188,0.050723188,0.050723188,0.050723188,,,,,,,
2022-04-12,USA,Omicron 21K,0.04507506,0.04507506,0.04507506,0.04507506,0.04507506,0.04507506,0.04507506,,,,,,,
2022-04-13,USA,Omicron 21K,0.039982874,0.039982874,0.039982874,0.039982874,0.039982874,0.039982874,0.039982874,,,,,,,
2022-04-14,USA,Omicron 21K,0.035401575,0.035401575,0.035401575,0.035401575,0.035401575,0.035401575,0.035401575,,,,,,,
2022-04-15,USA,Omicron 21K,0.03128845,0.03128845,0.03128845,0.03128845,0.03128845,0.03128845,0.03128845,,,,,,,
2022-04-02,USA,Omicron 22C,0.11320769,0.11320769,0.11320769,0.11320769,0.11320769,0.11320769,0.11320769,,,,,,,
2022-04-03,USA,Omicron 22C,0.12317755,0.12317755,0.12317755,0.12317755,0.12317755,0.12317755,0.12317755,,,,,,,
2022-04-04,USA,Omicron 22C,0.13373443,0.13373443,0.13373443,0.13373443,0.13373443,0.13373443,0.13373443,,,,,,,
2022-04-05,USA,Omicron 22C,0.14488989,0.14488989,0.14488989,0.14488989,0.14488989,0.14488989,0.14488989,,,,,,,
2022-04-06,USA,Omicron 22C,0.15665369,0.15665369,0.15665369,0.15665369,0.15665369,0.15665369,0.15665369,,,,,,,
2022-04-07,USA,Omicron 22C,0.16903353,0.16903353,0.16903353,0.16903353,0.16903353,0.16903353,0.16903353,,,,,,,
2022-04-08,USA,Omicron 22C,0.18203431,0.18203431,0.18203431,0.18203431,0.18203431,0.18203431,0.18203431,,,,,,,
2022-04-09,USA,Omicron 22C,0.19565786,0.19565786,0.19565786,0.19565786,0.19565786,0.19565786,0.19565786,,,,,,,
2022-04-10,USA,Omicron 22C,0.20990299,0.20990299,0.20990299,0.20990299,0.20990299,0.20990299,0.20990299,,,,,,,
2022-04-11,USA,Omicron 22C,0.2247648,0.2247648,0.2247648,0.2247648,0.2247648,0.2247648,0.2247648,,,,,,,
2022-04-12,USA,Omicron 22C,0.24023415,0.24023415,0.24023415,0.24023415,0.24023415,0.24023415,0.24023415,,,,,,,
2022-04-13,USA,Omicron 22C,0.25629744,0.25629744,0.25629744,0.25629744,0.25629744,0.25629744,0.25629744,,,,,,,
2022-04-14,USA,Omicron 22C,0.2729365,0.2729365,0.2729365,0.2729365,0.2729365,0.2729365,0.2729365,,,,,,,
2022-04-15,USA,Omicron 22C,0.29012826,0.29012826,0.29012826,0.29012826,0.29012826,0.29012826,0.29012826,,,,,,,
2022-04-02,USA,other,0.0035235148,0.0035235148,0.0035235148,0.0035235148,0.0035235148,0.0035235148,0.0035235148,,,,,,,
2022-04-03,USA,other,0.003336926,0.003336926,0.003336926,0.003336926,0.003336926,0.003336926,0.003336926,,,,,,,
2022-04-04,USA,other,0.00315487,0.00315487,0.00315487,0.00315487,0.00315487,0.00315487,0.00315487,,,,,,,
2022-04-05,USA,other,0.002977819,0.002977819,0.002977819,0.002977819,0.002977819,0.002977819,0.002977819,,,,,,,
2022-04-06,USA,other,0.0028061147,0.0028061147,0.0028061147,0.0028061147,0.0028061147,0.0028061147,0.0028061147,,,,,,,
2022-04-07,USA,other,0.0026400043,0.0026400043,0.0026400043,0.0026400043,0.0026400043,0.0026400043,0.0026400043,,,,,,,
2022-04-08,USA,other,0.002479668,0.002479668,0.002479668,0.002479668,0.002479668,0.002479668,0.002479668,,,,,,,
2022-04-09,USA,other,0.0023252273,0.0023252273,0.0023252273,0.0023252273,0.0023252273,0.0023252273,0.0023252273,,,,,,,
2022-04-10,USA,other,0.002176749,0.002176749,0.002176749,0.002176749,0.002176749,0.002176749,0.002176749,,,,,,,
2022-04-11,USA,other,0.0020342746,0.0020342746,0.0020342746,0.0020342746,0.0020342746,0.0020342746,0.0020342746,,,,,,,
2022-04-12,USA,other,0.001897851,0.001897851,0.001897851,0.001897851,0.001897851,0.001897851,0.001897851,,,,,,,
2022-04-13,USA,other,0.0017675149,0.0017675149,0.0017675149,0.0017675149,0.0017675149,0.0017675149,0.0017675149,,,,,,,
2022-04-14,USA,other,0.0016432633,0.0016432633,0.0016432633,0.0016432633,0.0016432633,0.0016432633,0.0016432633,,,,,,,
2022-04-15,USA,other,0.0015250532,0.0015250532,0.0015250532,0.0015250532,0.0015250532,0.0015250532,0.0015250532,,,,,,,
2022-04-02,USA,Omicron 21L,0.7484682,0.7484682,0.7484682,0.7484682,0.7484682,0.7484682,0.7484682,,,,,,,
2022-04-03,USA,Omicron 21L,0.7515915,0.7515915,0.7515915,0.7515915,0.7515915,0.7515915,0.7515915,,,,,,,
2022-04-04,USA,Omicron 21L,0.7531172,0.7531172,0.7531172,0.7531172,0.7531172,0.7531172,0.7531172,,,,,,,
2022-04-05,USA,Omicron 21L,0.7530793,0.7530793,0.7530793,0.7530793,0.7530793,0.7530793,0.7530793,,,,,,,
2022-04-06,USA,Omicron 21L,0.75151676,0.75151676,0.75151676,0.75151676,0.75151676,0.75151676,0.75151676,,,,,,,
2022-04-07,USA,Omicron 21L,0.748473,0.748473,0.748473,0.748473,0.748473,0.748473,0.748473,,,,,,,
2022-04-08,USA,Omicron 21L,0.74399513,0.74399513,0.74399513,0.74399513,0.74399513,0.74399513,0.74399513,,,,,,,
2022-04-09,USA,Omicron 21L,0.7381335,0.7381335,0.7381335,0.7381335,0.7381335,0.7381335,0.7381335,,,,,,,
2022-04-10,USA,Omicron 21L,0.7309412,0.7309412,0.7309412,0.7309412,0.7309412,0.7309412,0.7309412,,,,,,,
2022-04-11,USA,Omicron 21L,0.72247386,0.72247386,0.72247386,0.72247386,0.72247386,0.72247386,0.72247386,,,,,,,
2022-04-12,USA,Omicron 21L,0.7127896,0.7127896,0.7127896,0.7127896,0.7127896,0.7127896,0.7127896,,,,,,,
2022-04-13,USA,Omicron 21L,0.7019494,0.7019494,0.7019494,0.7019494,0.7019494,0.7019494,0.7019494,,,,,,,
2022-04-14,USA,Omicron 21L,0.6900163,0.6900163,0.6900163,0.6900163,0.6900163,0.6900163,0.6900163,,,,,,,
2022-04-15,USA,Omicron 21L,0.6770564,0.6770564,0.6770564,0.6770564,0.6770564,0.6770564,0.6770564,,,,,,,
2022-04-16,USA,Delta,,,,,,,,1.6212645e-06,1.6212645e-06,1.6212645e-06,1.6212645e-06,1.6212645e-06,1.6212645e-06,1.6212645e-06
2022-04-17,USA,Delta,,,,,,,,1.351287e-06,1.351287e-06,1.351287e-06,1.351287e-06,1.351287e-06,1.351287e-06,1.351287e-06
2022-04-18,USA,Delta,,,,,,,,1.1242347e-06,1.1242347e-06,1.1242347e-06,1.1242347e-06,1.1242347e-06,1.1242347e-06,1.1242347e-06
2022-04-19,USA,Delta,,,,,,,,9.3364974e-07,9.3364974e-07,9.3364974e-07,9.3364974e-07,9.3364974e-07,9.3364974e-07,9.3364974e-07
2022-04-20,USA,Delta,,,,,,,,7.739769e-07,7.739769e-07,7.739769e-07,7.739769e-07,7.739769e-07,7.739769e-07,7.739769e-07
2022-04-21,USA,Delta,,,,,,,,6.404505e-07,6.404505e-07,6.404505e-07,6.404505e-07,6.404505e-07,6.404505e-07,6.404505e-07
2022-04-22,USA,Delta,,,,,,,,5.2900293e-07,5.2900293e-07,5.2900293e-07,5.2900293e-07,5.2900293e-07,5.2900293e-07,5.2900293e-07
2022-04-23,USA,Delta,,,,,,,,4.3616743e-07,4.3616743e-07,4.3616743e-07,4.3616743e-07,4.3616743e-07,4.3616743e-07,4.3616743e-07
2022-04-24,USA,Delta,,,,,,,,3.5898543e-07,3.5898543e-07,3.5898543e-07,3.5898543e-07,3.5898543e-07,3.5898543e-07,3.5898543e-07
2022-04-25,USA,Delta,,,,,,,,2.9493808e-07,2.9493808e-07,2.9493808e-07,2.9493808e-07,2.9493808e-07,2.9493808e-07,2.9493808e-07
2022-04-26,USA,Delta,,,,,,,,2.4189018e-07,2.4189018e-07,2.4189018e-07,2.4189018e-07,2.4189018e-07,2.4189018e-07,2.4189018e-07
2022-04-27,USA,Delta,,,,,,,,1.9803714e-07,1.9803714e-07,1.9803714e-07,1.9803714e-07,1.9803714e-07,1.9803714e-07,1.9803714e-07
2022-04-28,USA,Delta,,,,,,,,1.6185525e-07,1.6185525e-07,1.6185525e-07,1.6185525e-07,1.6185525e-07,1.6185525e-07,1.6185525e-07
2022-04-29,USA,Delta,,,,,,,,1.3205967e-07,1.3205967e-07,1.3205967e-07,1.3205967e-07,1.3205967e-07,1.3205967e-07,1.3205967e-07
2022-04-16,USA,Omicron 21K,,,,,,,,0.02760319,0.02760319,0.02760319,0.02760319,0.02760319,0.02760319,0.02760319
2022-04-17,USA,Omicron 21K,,,,,,,,0.024308005,0.024308005,0.024308005,0.024308005,0.024308005,0.024308005,0.024308005
2022-04-18,USA,Omicron 21K,,,,,,,,0.021367498,0.021367498,0.021367498,0.021367498,0.021367498,0.021367498,0.021367498
2022-04-19,USA,Omicron 21K,,,,,,,,0.01874884,0.01874884,0.01874884,0.01874884,0.01874884,0.01874884,0.01874884
2022-04-20,USA,Omicron 21K,,,,,,,,0.016421467,0.016421467,0.016421467,0.016421467,0.016421467,0.016421467,0.016421467
2022-04-21,USA,Omicron 21K,,,,,,,,0.014357072,0.014357072,0.014357072,0.014357072,0.014357072,0.014357072,0.014357072
2022-04-22,USA,Omicron 21K,,,,,,,,0.012529626,0.012529626,0.012529626,0.012529626,0.012529626,0.012529626,0.012529626
2022-04-23,USA,Omicron 21K,,,,,,,,0.010915206,0.010915206,0.010915206,0.010915206,0.010915206,0.010915206,0.010915206
