date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-05-28,United Kingdom,Delta,8.2470715e-06,8.2470715e-06,8.2470715e-06,8.2470715e-06,8.2470715e-06,8.2470715e-06,8.2470715e-06,,,,,,,
2022-05-29,United Kingdom,Delta,7.6055157e-06,7.6055157e-06,7.6055157e-06,7.6055157e-06,7.6055157e-06,7.6055157e-06,7.6055157e-06,,,,,,,
2022-05-30,United Kingdom,Delta,6.9830708e-06,6.9830708e-06,6.9830708e-06,6.9830708e-06,6.9830708e-06,6.9830708e-06,6.9830708e-06,,,,,,,
2022-05-31,United Kingdom,Delta,6.382952e-06,6.382952e-06,6.382952e-06,6.382952e-06,6.382952e-06,6.382952e-06,6.382952e-06,,,,,,,
2022-06-01,United Kingdom,Delta,5.8081646e-06,5.8081646e-06,5.8081646e-06,5.8081646e-06,5.8081646e-06,5.8081646e-06,5.8081646e-06,,,,,,,
2022-06-02,United Kingdom,Delta,5.2613887e-06,5.2613887e-06,5.2613887e-06,5.2613887e-06,5.2613887e-06,5.2613887e-06,5.2613887e-06,,,,,,,
2022-06-03,United Kingdom,Delta,4.7448675e-06,4.7448675e-06,4.7448675e-06,4.7448675e-06,4.7448675e-06,4.7448675e-06,4.7448675e-06,,,,,,,
2022-06-04,United Kingdom,Delta,4.260342e-06,4.260342e-06,4.260342e-06,4.260342e-06,4.260342e-06,4.260342e-06,4.260342e-06,,,,,,,
2022-06-05,United Kingdom,Delta,3.8089977e-06,3.8089977e-06,3.8089977e-06,3.8089977e-06,3.8089977e-06,3.8089977e-06,3.8089977e-06,,,,,,,
2022-06-06,United Kingdom,Delta,3.3914464e-06,3.3914464e-06,3.3914464e-06,3.3914464e-06,3.3914464e-06,3.3914464e-06,3.3914464e-06,,,,,,,
2022-06-07,United Kingdom,Delta,3.0077415e-06,3.0077415e-06,3.0077415e-06,3.0077415e-06,3.0077415e-06,3.0077415e-06,3.0077415e-06,,,,,,,
2022-06-08,United Kingdom,Delta,2.6574178e-06,2.6574178e-06,2.6574178e-06,2.6574178e-06,2.6574178e-06,2.6574178e-06,2.6574178e-06,,,,,,,
2022-06-09,United Kingdom,Delta,2.339546e-06,2.339546e-06,2.339546e-06,2.339546e-06,2.339546e-06,2.339546e-06,2.339546e-06,,,,,,,
2022-06-10,United Kingdom,Delta,2.052813e-06,2.052813e-06,2.052813e-06,2.052813e-06,2.052813e-06,2.052813e-06,2.052813e-06,,,,,,,
2022-05-28,United Kingdom,Omicron 21K,0.00018339501,0.00018339501,0.00018339501,0.00018339501,0.00018339501,0.00018339501,0.00018339501,,,,,,,
2022-05-29,United Kingdom,Omicron 21K,0.0001601,0.0001601,0.0001601,0.0001601,0.0001601,0.0001601,0.0001601,,,,,,,
2022-05-30,United Kingdom,Omicron 21K,0.00013915049,0.00013915049,0.00013915049,0.00013915049,0.00013915049,0.00013915049,0.00013915049,,,,,,,
2022-05-31,United Kingdom,Omicron 21K,0.000120402714,0.000120402714,0.000120402714,0.000120402714,0.000120402714,0.000120402714,0.000120402714,,,,,,,
