date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-02,Australia,Delta,4.124479e-06,4.124479e-06,4.124479e-06,4.124479e-06,4.124479e-06,4.124479e-06,4.124479e-06,,,,,,,
2022-04-03,Australia,Delta,3.5686987e-06,3.5686987e-06,3.5686987e-06,3.5686987e-06,3.5686987e-06,3.5686987e-06,3.5686987e-06,,,,,,,
2022-04-04,Australia,Delta,3.0893646e-06,3.0893646e-06,3.0893646e-06,3.0893646e-06,3.0893646e-06,3.0893646e-06,3.0893646e-06,,,,,,,
2022-04-05,Australia,Delta,2.6756513e-06,2.6756513e-06,2.6756513e-06,2.6756513e-06,2.6756513e-06,2.6756513e-06,2.6756513e-06,,,,,,,
2022-04-06,Australia,Delta,2.3182843e-06,2.3182843e-06,2.3182843e-06,2.3182843e-06,2.3182843e-06,2.3182843e-06,2.3182843e-06,,,,,,,
2022-04-07,Australia,Delta,2.0093255e-06,2.0093255e-06,2.0093255e-06,2.0093255e-06,2.0093255e-06,2.0093255e-06,2.0093255e-06,,,,,,,
2022-04-08,Australia,Delta,1.7420031e-06,1.7420031e-06,1.7420031e-06,1.7420031e-06,1.7420031e-06,1.7420031e-06,1.7420031e-06,,,,,,,
2022-04-09,Australia,Delta,1.5105297e-06,1.5105297e-06,1.5105297e-06,1.5105297e-06,1.5105297e-06,1.5105297e-06,1.5105297e-06,,,,,,,
2022-04-10,Australia,Delta,1.309947e-06,1.309947e-06,1.309947e-06,1.309947e-06,1.309947e-06,1.309947e-06,1.309947e-06,,,,,,,
2022-04-11,Australia,Delta,1.1360233e-06,1.1360233e-06,1.1360233e-06,1.1360233e-06,1.1360233e-06,1.1360233e-06,1.1360233e-06,,,,,,,
2022-04-12,Australia,Delta,9.85161e-07,9.85161e-07,9.85161e-07,9.85161e-07,9.85161e-07,9.85161e-07,9.85161e-07,,,,,,,
2022-04-13,Australia,Delta,8.5428604e-07,8.5428604e-07,8.5428604e-07,8.5428604e-07,8.5428604e-07,8.5428604e-07,8.5428604e-07,,,,,,,
2022-04-14,Australia,Delta,7.4074137e-07,7.4074137e-07,7.4074137e-07,7.4074137e-07,7.4074137e-07,7.4074137e-07,7.4074137e-07,,,,,,,
2022-04-15,Australia,Delta,6.4222075e-07,6.4222075e-07,6.4222075e-07,6.4222075e-07,6.4222075e-07,6.4222075e-07,6.4222075e-07,,,,,,,
2022-04-02,Australia,Omicron 21K,0.07363578,0.07363578,0.07363578,0.07363578,0.07363578,0.07363578,0.07363578,,,,,,,
2022-04-03,Australia,Omicron 21K,0.06790586,0.06790586,0.06790586,0.06790586,0.06790586,0.06790586,0.06790586,,,,,,,
2022-04-04,Australia,Omicron 21K,0.0625955,0.0625955,0.0625955,0.0625955,0.0625955,0.0625955,0.0625955,,,,,,,
2022-04-05,Australia,Omicron 21K,0.057678096,0.057678096,0.057678096,0.057678096,0.057678096,0.057678096,0.057678096,,,,,,,
2022-04-06,Australia,Omicron 21K,0.053128105,0.053128105,0.053128105,0.053128105,0.053128105,0.053128105,0.053128105,,,,,,,
2022-04-07,Australia,Omicron 21K,0.04892109,0.04892109,0.04892109,0.04892109,0.04892109,0.04892109,0.04892109,,,,,,,
2022-04-08,Australia,Omicron 21K,0.045033928,0.045033928,0.045033928,0.045033928,0.045033928,0.045033928,0.045033928,,,,,,,
2022-04-09,Australia,Omicron 21K,0.04144462,0.04144462,0.04144462,0.04144462,0.04144462,0.04144462,0.04144462,,,,,,,
2022-04-10,Australia,Omicron 21K,0.03813221,0.03813221,0.03813221,0.03813221,0.03813221,0.03813221,0.03813221,,,,,,,
2022-04-11,Australia,Omicron 21K,0.035076883,0.035076883,0.035076883,0.035076883,0.035076883,0.035076883,0.035076883,,,,,,,
2022-04-12,Australia,Omicron 21K,0.032260068,0.032260068,0.032260068,0.032260068,0.032260068,0.032260068,0.032260068,,,,,,,
2022-04-13,Australia,Omicron 21K,0.02966435,0.02966435,0.02966435,0.02966435,0.02966435,0.02966435,0.02966435,,,,,,,
