date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-03-06,Brazil,Delta,0.7186303,0.7186303,0.7186303,0.7186303,0.7186303,0.7186303,0.7186303
2022-03-07,Brazil,Delta,0.7185683,0.7185683,0.7185683,0.7185683,0.7185683,0.7185683,0.7185683
2022-03-08,Brazil,Delta,0.71851903,0.71851903,0.71851903,0.71851903,0.71851903,0.71851903,0.71851903
2022-03-09,Brazil,Delta,0.71848154,0.71848154,0.71848154,0.71848154,0.71848154,0.71848154,0.71848154
2022-03-10,Brazil,Delta,0.7184549,0.7184549,0.7184549,0.7184549,0.7184549,0.7184549,0.7184549
2022-03-11,Brazil,Delta,0.718438,0.718438,0.718438,0.718438,0.718438,0.718438,0.718438
2022-03-12,Brazil,Delta,0.71843016,0.71843016,0.71843016,0.71843016,0.71843016,0.71843016,0.71843016
2022-03-13,Brazil,Delta,0.71843016,0.71843016,0.71843016,0.71843016,0.71843016,0.71843016,0.71843016
2022-03-14,Brazil,Delta,0.71843725,0.71843725,0.71843725,0.71843725,0.71843725,0.71843725,0.71843725
2022-03-15,Brazil,Delta,0.7184504,0.7184504,0.7184504,0.7184504,0.7184504,0.7184504,0.7184504
2022-03-16,Brazil,Delta,0.71846867,0.71846867,0.71846867,0.71846867,0.71846867,0.71846867,0.71846867
2022-03-17,Brazil,Delta,0.7184911,0.7184911,0.7184911,0.7184911,0.7184911,0.7184911,0.7184911
2022-03-18,Brazil,Delta,0.7185166,0.7185166,0.7185166,0.7185166,0.7185166,0.7185166,0.7185166
2022-03-19,Brazil,Delta,0.71854454,0.71854454,0.71854454,0.71854454,0.71854454,0.71854454,0.71854454
2022-03-20,Brazil,Delta,0.71857405,0.71857405,0.71857405,0.71857405,0.71857405,0.71857405,0.71857405
2022-03-21,Brazil,Delta,0.7186042,0.7186042,0.7186042,0.7186042,0.7186042,0.7186042,0.7186042
2022-03-22,Brazil,Delta,0.7186344,0.7186344,0.7186344,0.7186344,0.7186344,0.7186344,0.7186344
2022-03-23,Brazil,Delta,0.7186638,0.7186638,0.7186638,0.7186638,0.7186638,0.7186638,0.7186638
2022-03-24,Brazil,Delta,0.7186916,0.7186916,0.7186916,0.7186916,0.7186916,0.7186916,0.7186916
2022-03-25,Brazil,Delta,0.718717,0.718717,0.718717,0.718717,0.718717,0.718717,0.718717
2022-03-26,Brazil,Delta,0.7187393,0.7187393,0.7187393,0.7187393,0.7187393,0.7187393,0.7187393
2022-03-27,Brazil,Delta,0.71875757,0.71875757,0.71875757,0.71875757,0.71875757,0.71875757,0.71875757
2022-03-28,Brazil,Delta,0.7187711,0.7187711,0.7187711,0.7187711,0.7187711,0.7187711,0.7187711
2022-03-29,Brazil,Delta,0.7187792,0.7187792,0.7187792,0.7187792,0.7187792,0.7187792,0.7187792
2022-03-30,Brazil,Delta,0.7187811,0.7187811,0.7187811,0.7187811,0.7187811,0.7187811,0.7187811
2022-03-31,Brazil,Delta,0.7187776,0.7187776,0.7187776,0.7187776,0.7187776,0.7187776,0.7187776
2022-04-01,Brazil,Delta,0.7187695,0.7187695,0.7187695,0.7187695,0.7187695,0.7187695,0.7187695
2022-04-02,Brazil,Delta,0.71875787,0.71875787,0.71875787,0.71875787,0.71875787,0.71875787,0.71875787
2022-04-03,Brazil,Delta,0.7187438,0.7187438,0.7187438,0.7187438,0.7187438,0.7187438,0.7187438
2022-04-04,Brazil,Delta,0.7187281,0.7187281,0.7187281,0.7187281,0.7187281,0.7187281,0.7187281
2022-04-05,Brazil,Delta,0.718712,0.718712,0.718712,0.718712,0.718712,0.718712,0.718712
2022-04-06,Brazil,Delta,0.71869624,0.71869624,0.71869624,0.71869624,0.71869624,0.71869624,0.71869624
2022-04-07,Brazil,Delta,0.71868193,0.71868193,0.71868193,0.71868193,0.71868193,0.71868193,0.71868193
2022-04-08,Brazil,Delta,0.71867007,0.71867007,0.71867007,0.71867007,0.71867007,0.71867007,0.71867007
2022-04-09,Brazil,Delta,0.71866167,0.71866167,0.71866167,0.71866167,0.71866167,0.71866167,0.71866167
2022-04-10,Brazil,Delta,0.7186577,0.7186577,0.7186577,0.7186577,0.7186577,0.7186577,0.7186577
2022-04-11,Brazil,Delta,0.71865827,0.71865827,0.71865827,0.71865827,0.71865827,0.71865827,0.71865827
2022-04-12,Brazil,Delta,0.7186625,0.7186625,0.7186625,0.7186625,0.7186625,0.7186625,0.7186625
2022-04-13,Brazil,Delta,0.7186692,0.7186692,0.7186692,0.7186692,0.7186692,0.7186692,0.7186692
2022-04-14,Brazil,Delta,0.71867734,0.71867734,0.71867734,0.71867734,0.71867734,0.71867734,0.71867734
2022-04-15,Brazil,Delta,0.7186857,0.7186857,0.7186857,0.7186857,0.7186857,0.7186857,0.7186857
2022-04-16,Brazil,Delta,0.7186932,0.7186932,0.7186932,0.7186932,0.7186932,0.7186932,0.7186932
