date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-01-16,Japan,Delta,0.63441104,0.63441104,0.63441104,0.63441104,0.63441104,0.63441104,0.63441104
2022-01-17,Japan,Delta,0.63446975,0.63446975,0.63446975,0.63446975,0.63446975,0.63446975,0.63446975
2022-01-18,Japan,Delta,0.63451535,0.63451535,0.63451535,0.63451535,0.63451535,0.63451535,0.63451535
2022-01-19,Japan,Delta,0.6345489,0.6345489,0.6345489,0.6345489,0.6345489,0.6345489,0.6345489
2022-01-20,Japan,Delta,0.6345718,0.6345718,0.6345718,0.6345718,0.6345718,0.6345718,0.6345718
2022-01-21,Japan,Delta,0.63458526,0.63458526,0.63458526,0.63458526,0.63458526,0.63458526,0.63458526
2022-01-22,Japan,Delta,0.63459057,0.63459057,0.63459057,0.63459057,0.63459057,0.63459057,0.63459057
2022-01-23,Japan,Delta,0.63458896,0.63458896,0.63458896,0.63458896,0.63458896,0.63458896,0.63458896
2022-01-24,Japan,Delta,0.63458174,0.63458174,0.63458174,0.63458174,0.63458174,0.63458174,0.63458174
2022-01-25,Japan,Delta,0.6345702,0.6345702,0.6345702,0.6345702,0.6345702,0.6345702,0.6345702
2022-01-26,Japan,Delta,0.6345556,0.6345556,0.6345556,0.6345556,0.6345556,0.6345556,0.6345556
2022-01-27,Japan,Delta,0.6345392,0.6345392,0.6345392,0.6345392,0.6345392,0.6345392,0.6345392
2022-01-28,Japan,Delta,0.6345222,0.6345222,0.6345222,0.6345222,0.6345222,0.6345222,0.6345222
2022-01-29,Japan,Delta,0.6345054,0.6345054,0.6345054,0.6345054,0.6345054,0.6345054,0.6345054
2022-01-30,Japan,Delta,0.63448894,0.63448894,0.63448894,0.63448894,0.63448894,0.63448894,0.63448894
2022-01-31,Japan,Delta,0.63447285,0.63447285,0.63447285,0.63447285,0.63447285,0.63447285,0.63447285
2022-02-01,Japan,Delta,0.63445723,0.63445723,0.63445723,0.63445723,0.63445723,0.63445723,0.63445723
2022-02-02,Japan,Delta,0.6344422,0.6344422,0.6344422,0.6344422,0.6344422,0.6344422,0.6344422
2022-02-03,Japan,Delta,0.6344278,0.6344278,0.6344278,0.6344278,0.6344278,0.6344278,0.6344278
2022-02-04,Japan,Delta,0.6344142,0.6344142,0.6344142,0.6344142,0.6344142,0.6344142,0.6344142
2022-02-05,Japan,Delta,0.63440144,0.63440144,0.63440144,0.63440144,0.63440144,0.63440144,0.63440144
2022-02-06,Japan,Delta,0.63438964,0.63438964,0.63438964,0.63438964,0.63438964,0.63438964,0.63438964
2022-02-07,Japan,Delta,0.63437885,0.63437885,0.63437885,0.63437885,0.63437885,0.63437885,0.63437885
2022-02-08,Japan,Delta,0.6343692,0.6343692,0.6343692,0.6343692,0.6343692,0.6343692,0.6343692
2022-02-09,Japan,Delta,0.6343608,0.6343608,0.6343608,0.6343608,0.6343608,0.6343608,0.6343608
2022-02-10,Japan,Delta,0.6343541,0.6343541,0.6343541,0.6343541,0.6343541,0.6343541,0.6343541
2022-02-11,Japan,Delta,0.63434994,0.63434994,0.63434994,0.63434994,0.63434994,0.63434994,0.63434994
2022-02-12,Japan,Delta,0.63434875,0.63434875,0.63434875,0.63434875,0.63434875,0.63434875,0.63434875
2022-02-13,Japan,Delta,0.63435125,0.63435125,0.63435125,0.63435125,0.63435125,0.63435125,0.63435125
