date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-30,South Africa,Delta,0.0012913638,0.0012913638,0.0012913638,0.0012913638,0.0012913638,0.0012913638,0.0012913638,,,,,,,
2022-05-01,South Africa,Delta,0.0012011073,0.0012011073,0.0012011073,0.0012011073,0.0012011073,0.0012011073,0.0012011073,,,,,,,
2022-05-02,South Africa,Delta,0.0011163031,0.0011163031,0.0011163031,0.0011163031,0.0011163031,0.0011163031,0.0011163031,,,,,,,
2022-05-03,South Africa,Delta,0.0010367463,0.0010367463,0.0010367463,0.0010367463,0.0010367463,0.0010367463,0.0010367463,,,,,,,
2022-05-04,South Africa,Delta,0.0009622213,0.0009622213,0.0009622213,0.0009622213,0.0009622213,0.0009622213,0.0009622213,,,,,,,
2022-05-05,South Africa,Delta,0.00089250604,0.00089250604,0.00089250604,0.00089250604,0.00089250604,0.00089250604,0.00089250604,,,,,,,
2022-05-06,South Africa,Delta,0.00082737376,0.00082737376,0.00082737376,0.00082737376,0.00082737376,0.00082737376,0.00082737376,,,,,,,
2022-05-07,South Africa,Delta,0.0007665948,0.0007665948,0.0007665948,0.0007665948,0.0007665948,0.0007665948,0.0007665948,,,,,,,
2022-05-08,South Africa,Delta,0.00070994045,0.00070994045,0.00070994045,0.00070994045,0.00070994045,0.00070994045,0.00070994045,,,,,,,
2022-05-09,South Africa,Delta,0.0006571844,0.0006571844,0.0006571844,0.0006571844,0.0006571844,0.0006571844,0.0006571844,,,,,,,
2022-05-10,South Africa,Delta,0.0006081044,0.0006081044,0.0006081044,0.0006081044,0.0006081044,0.0006081044,0.0006081044,,,,,,,
2022-05-11,South Africa,Delta,0.00056248397,0.00056248397,0.00056248397,0.00056248397,0.00056248397,0.00056248397,0.00056248397,,,,,,,
