date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-01-23,South Africa,Delta,1.0271583,1.0271583,1.0271583,1.0271583,1.0271583,1.0271583,1.0271583
2022-01-24,South Africa,Delta,1.027356,1.027356,1.027356,1.027356,1.027356,1.027356,1.027356
2022-01-25,South Africa,Delta,1.0274854,1.0274854,1.0274854,1.0274854,1.0274854,1.0274854,1.0274854
2022-01-26,South Africa,Delta,1.027556,1.027556,1.027556,1.027556,1.027556,1.027556,1.027556
2022-01-27,South Africa,Delta,1.0275774,1.0275774,1.0275774,1.0275774,1.0275774,1.0275774,1.0275774
2022-01-28,South Africa,Delta,1.0275592,1.0275592,1.0275592,1.0275592,1.0275592,1.0275592,1.0275592
2022-01-29,South Africa,Delta,1.0275109,1.0275109,1.0275109,1.0275109,1.0275109,1.0275109,1.0275109
2022-01-30,South Africa,Delta,1.0274422,1.0274422,1.0274422,1.0274422,1.0274422,1.0274422,1.0274422
2022-01-31,South Africa,Delta,1.0273627,1.0273627,1.0273627,1.0273627,1.0273627,1.0273627,1.0273627
2022-02-01,South Africa,Delta,1.027282,1.027282,1.027282,1.027282,1.027282,1.027282,1.027282
2022-02-02,South Africa,Delta,1.0272095,1.0272095,1.0272095,1.0272095,1.0272095,1.0272095,1.0272095
2022-02-03,South Africa,Delta,1.027155,1.027155,1.027155,1.027155,1.027155,1.027155,1.027155
2022-02-04,South Africa,Delta,1.0271279,1.0271279,1.0271279,1.0271279,1.0271279,1.0271279,1.0271279
2022-02-05,South Africa,Delta,1.0271311,1.0271311,1.0271311,1.0271311,1.0271311,1.0271311,1.0271311
2022-02-06,South Africa,Delta,1.0271604,1.0271604,1.0271604,1.0271604,1.0271604,1.0271604,1.0271604
2022-02-07,South Africa,Delta,1.0272114,1.0272114,1.0272114,1.0272114,1.0272114,1.0272114,1.0272114
2022-02-08,South Africa,Delta,1.0272795,1.0272795,1.0272795,1.0272795,1.0272795,1.0272795,1.0272795
2022-02-09,South Africa,Delta,1.0273601,1.0273601,1.0273601,1.0273601,1.0273601,1.0273601,1.0273601
2022-02-10,South Africa,Delta,1.0274485,1.0274485,1.0274485,1.0274485,1.0274485,1.0274485,1.0274485
2022-02-11,South Africa,Delta,1.0275402,1.0275402,1.0275402,1.0275402,1.0275402,1.0275402,1.0275402
2022-02-12,South Africa,Delta,1.0276307,1.0276307,1.0276307,1.0276307,1.0276307,1.0276307,1.0276307
2022-02-13,South Africa,Delta,1.0277153,1.0277153,1.0277153,1.0277153,1.0277153,1.0277153,1.0277153
2022-02-14,South Africa,Delta,1.0277895,1.0277895,1.0277895,1.0277895,1.0277895,1.0277895,1.0277895
2022-02-15,South Africa,Delta,1.0278486,1.0278486,1.0278486,1.0278486,1.0278486,1.0278486,1.0278486
2022-02-16,South Africa,Delta,1.0278889,1.0278889,1.0278889,1.0278889,1.0278889,1.0278889,1.0278889
2022-02-17,South Africa,Delta,1.027911,1.027911,1.027911,1.027911,1.027911,1.027911,1.027911
2022-02-18,South Africa,Delta,1.0279171,1.0279171,1.0279171,1.0279171,1.0279171,1.0279171,1.0279171
2022-02-19,South Africa,Delta,1.0279096,1.0279096,1.0279096,1.0279096,1.0279096,1.0279096,1.0279096
2022-02-20,South Africa,Delta,1.0278907,1.0278907,1.0278907,1.0278907,1.0278907,1.0278907,1.0278907
2022-02-21,South Africa,Delta,1.0278624,1.0278624,1.0278624,1.0278624,1.0278624,1.0278624,1.0278624
2022-02-22,South Africa,Delta,1.0278273,1.0278273,1.0278273,1.0278273,1.0278273,1.0278273,1.0278273
2022-02-23,South Africa,Delta,1.0277872,1.0277872,1.0277872,1.0277872,1.0277872,1.0277872,1.0277872
2022-02-24,South Africa,Delta,1.0277447,1.0277447,1.0277447,1.0277447,1.0277447,1.0277447,1.0277447
2022-02-25,South Africa,Delta,1.0277017,1.0277017,1.0277017,1.0277017,1.0277017,1.0277017,1.0277017
2022-02-26,South Africa,Delta,1.0276607,1.0276607,1.0276607,1.0276607,1.0276607,1.0276607,1.0276607
2022-02-27,South Africa,Delta,1.0276238,1.0276238,1.0276238,1.0276238,1.0276238,1.0276238,1.0276238
2022-02-28,South Africa,Delta,1.0275921,1.0275921,1.0275921,1.0275921,1.0275921,1.0275921,1.0275921
2022-03-01,South Africa,Delta,1.0275649,1.0275649,1.0275649,1.0275649,1.0275649,1.0275649,1.0275649
2022-03-02,South Africa,Delta,1.0275412,1.0275412,1.0275412,1.0275412,1.0275412,1.0275412,1.0275412
2022-03-03,South Africa,Delta,1.0275202,1.0275202,1.0275202,1.0275202,1.0275202,1.0275202,1.0275202
2022-03-04,South Africa,Delta,1.0275011,1.0275011,1.0275011,1.0275011,1.0275011,1.0275011,1.0275011
2022-03-05,South Africa,Delta,1.0274829,1.0274829,1.0274829,1.0274829,1.0274829,1.0274829,1.0274829
2022-03-06,South Africa,Delta,1.0274649,1.0274649,1.0274649,1.0274649,1.0274649,1.0274649,1.0274649
2022-03-07,South Africa,Delta,1.0274462,1.0274462,1.0274462,1.0274462,1.0274462,1.0274462,1.0274462
2022-03-08,South Africa,Delta,1.0274256,1.0274256,1.0274256,1.0274256,1.0274256,1.0274256,1.0274256
2022-03-09,South Africa,Delta,1.0274028,1.0274028,1.0274028,1.0274028,1.0274028,1.0274028,1.0274028
2022-03-10,South Africa,Delta,1.0273765,1.0273765,1.0273765,1.0273765,1.0273765,1.0273765,1.0273765
2022-03-11,South Africa,Delta,1.0273461,1.0273461,1.0273461,1.0273461,1.0273461,1.0273461,1.0273461
2022-03-12,South Africa,Delta,1.0273118,1.0273118,1.0273118,1.0273118,1.0273118,1.0273118,1.0273118
2022-03-13,South Africa,Delta,1.0272744,1.0272744,1.0272744,1.0272744,1.0272744,1.0272744,1.0272744
2022-03-14,South Africa,Delta,1.0272342,1.0272342,1.0272342,1.0272342,1.0272342,1.0272342,1.0272342
2022-03-15,South Africa,Delta,1.0271922,1.0271922,1.0271922,1.0271922,1.0271922,1.0271922,1.0271922
2022-03-16,South Africa,Delta,1.027149,1.027149,1.027149,1.027149,1.027149,1.027149,1.027149
2022-03-17,South Africa,Delta,1.0271051,1.0271051,1.0271051,1.0271051,1.0271051,1.0271051,1.0271051
2022-03-18,South Africa,Delta,1.0270613,1.0270613,1.0270613,1.0270613,1.0270613,1.0270613,1.0270613
2022-03-19,South Africa,Delta,1.0270184,1.0270184,1.0270184,1.0270184,1.0270184,1.0270184,1.0270184
2022-03-20,South Africa,Delta,1.0269768,1.0269768,1.0269768,1.0269768,1.0269768,1.0269768,1.0269768
2022-03-21,South Africa,Delta,1.0269374,1.0269374,1.0269374,1.0269374,1.0269374,1.0269374,1.0269374
2022-03-22,South Africa,Delta,1.0269006,1.0269006,1.0269006,1.0269006,1.0269006,1.0269006,1.0269006
2022-03-23,South Africa,Delta,1.0268673,1.0268673,1.0268673,1.0268673,1.0268673,1.0268673,1.0268673
2022-03-24,South Africa,Delta,1.0268381,1.0268381,1.0268381,1.0268381,1.0268381,1.0268381,1.0268381
2022-03-25,South Africa,Delta,1.0268137,1.0268137,1.0268137,1.0268137,1.0268137,1.0268137,1.0268137
2022-03-26,South Africa,Delta,1.0267949,1.0267949,1.0267949,1.0267949,1.0267949,1.0267949,1.0267949
2022-03-27,South Africa,Delta,1.0267824,1.0267824,1.0267824,1.0267824,1.0267824,1.0267824,1.0267824
2022-03-28,South Africa,Delta,1.0267767,1.0267767,1.0267767,1.0267767,1.0267767,1.0267767,1.0267767
2022-03-29,South Africa,Delta,1.0267787,1.0267787,1.0267787,1.0267787,1.0267787,1.0267787,1.0267787
2022-03-30,South Africa,Delta,1.0267891,1.0267891,1.0267891,1.0267891,1.0267891,1.0267891,1.0267891
2022-03-31,South Africa,Delta,1.0268086,1.0268086,1.0268086,1.0268086,1.0268086,1.0268086,1.0268086
2022-04-01,South Africa,Delta,1.0268378,1.0268378,1.0268378,1.0268378,1.0268378,1.0268378,1.0268378
2022-04-02,South Africa,Delta,1.0268775,1.0268775,1.0268775,1.0268775,1.0268775,1.0268775,1.0268775
2022-04-03,South Africa,Delta,1.0269282,1.0269282,1.0269282,1.0269282,1.0269282,1.0269282,1.0269282
2022-04-04,South Africa,Delta,1.026988,1.026988,1.026988,1.026988,1.026988,1.026988,1.026988
2022-04-05,South Africa,Delta,1.027054,1.027054,1.027054,1.027054,1.027054,1.027054,1.027054
2022-04-06,South Africa,Delta,1.0271226,1.0271226,1.0271226,1.0271226,1.0271226,1.0271226,1.0271226
2022-04-07,South Africa,Delta,1.0271907,1.0271907,1.0271907,1.0271907,1.0271907,1.0271907,1.0271907
2022-04-08,South Africa,Delta,1.0272549,1.0272549,1.0272549,1.0272549,1.0272549,1.0272549,1.0272549
2022-04-09,South Africa,Delta,1.0273122,1.0273122,1.0273122,1.0273122,1.0273122,1.0273122,1.0273122
2022-04-10,South Africa,Delta,1.0273591,1.0273591,1.0273591,1.0273591,1.0273591,1.0273591,1.0273591
2022-04-11,South Africa,Delta,1.0273925,1.0273925,1.0273925,1.0273925,1.0273925,1.0273925,1.0273925
2022-04-12,South Africa,Delta,1.0274091,1.0274091,1.0274091,1.0274091,1.0274091,1.0274091,1.0274091
2022-04-13,South Africa,Delta,1.0274055,1.0274055,1.0274055,1.0274055,1.0274055,1.0274055,1.0274055
2022-04-14,South Africa,Delta,1.0273786,1.0273786,1.0273786,1.0273786,1.0273786,1.0273786,1.0273786
2022-04-15,South Africa,Delta,1.0273271,1.0273271,1.0273271,1.0273271,1.0273271,1.0273271,1.0273271
2022-04-16,South Africa,Delta,1.0272555,1.0272555,1.0272555,1.0272555,1.0272555,1.0272555,1.0272555
2022-04-17,South Africa,Delta,1.0271696,1.0271696,1.0271696,1.0271696,1.0271696,1.0271696,1.0271696
2022-04-18,South Africa,Delta,1.0270748,1.0270748,1.0270748,1.0270748,1.0270748,1.0270748,1.0270748
2022-04-19,South Africa,Delta,1.026977,1.026977,1.026977,1.026977,1.026977,1.026977,1.026977
2022-04-20,South Africa,Delta,1.0268816,1.0268816,1.0268816,1.0268816,1.0268816,1.0268816,1.0268816
2022-04-21,South Africa,Delta,1.0267942,1.0267942,1.0267942,1.0267942,1.0267942,1.0267942,1.0267942
2022-04-22,South Africa,Delta,1.0267204,1.0267204,1.0267204,1.0267204,1.0267204,1.0267204,1.0267204
2022-04-23,South Africa,Delta,1.0266659,1.0266659,1.0266659,1.0266659,1.0266659,1.0266659,1.0266659
2022-04-24,South Africa,Delta,1.0266364,1.0266364,1.0266364,1.0266364,1.0266364,1.0266364,1.0266364
2022-04-25,South Africa,Delta,1.0266373,1.0266373,1.0266373,1.0266373,1.0266373,1.0266373,1.0266373
2022-04-26,South Africa,Delta,1.0266739,1.0266739,1.0266739,1.0266739,1.0266739,1.0266739,1.0266739
2022-04-27,South Africa,Delta,1.0267435,1.0267435,1.0267435,1.0267435,1.0267435,1.0267435,1.0267435
2022-04-28,South Africa,Delta,1.0268369,1.0268369,1.0268369,1.0268369,1.0268369,1.0268369,1.0268369
2022-04-29,South Africa,Delta,1.0269445,1.0269445,1.0269445,1.0269445,1.0269445,1.0269445,1.0269445
2022-04-30,South Africa,Delta,1.0270568,1.0270568,1.0270568,1.0270568,1.0270568,1.0270568,1.0270568
2022-05-01,South Africa,Delta,1.0271643,1.0271643,1.0271643,1.0271643,1.0271643,1.0271643,1.0271643
2022-05-02,South Africa,Delta,1.0272574,1.0272574,1.0272574,1.0272574,1.0272574,1.0272574,1.0272574
2022-05-03,South Africa,Delta,1.0273266,1.0273266,1.0273266,1.0273266,1.0273266,1.0273266,1.0273266
2022-05-04,South Africa,Delta,1.0273622,1.0273622,1.0273622,1.0273622,1.0273622,1.0273622,1.0273622
2022-05-05,South Africa,Delta,1.0273548,1.0273548,1.0273548,1.0273548,1.0273548,1.0273548,1.0273548
2022-05-06,South Africa,Delta,1.0272949,1.0272949,1.0272949,1.0272949,1.0272949,1.0272949,1.0272949
2022-01-23,South Africa,Omicron 21K,0.86387223,0.86387223,0.86387223,0.86387223,0.86387223,0.86387223,0.86387223
2022-01-24,South Africa,Omicron 21K,0.86364245,0.86364245,0.86364245,0.86364245,0.86364245,0.86364245,0.86364245
2022-01-25,South Africa,Omicron 21K,0.86347306,0.86347306,0.86347306,0.86347306,0.86347306,0.86347306,0.86347306
2022-01-26,South Africa,Omicron 21K,0.86335725,0.86335725,0.86335725,0.86335725,0.86335725,0.86335725,0.86335725
2022-01-27,South Africa,Omicron 21K,0.86328816,0.86328816,0.86328816,0.86328816,0.86328816,0.86328816,0.86328816
2022-01-28,South Africa,Omicron 21K,0.86325896,0.86325896,0.86325896,0.86325896,0.86325896,0.86325896,0.86325896
2022-01-29,South Africa,Omicron 21K,0.8632629,0.8632629,0.8632629,0.8632629,0.8632629,0.8632629,0.8632629
2022-01-30,South Africa,Omicron 21K,0.8632932,0.8632932,0.8632932,0.8632932,0.8632932,0.8632932,0.8632932
2022-01-31,South Africa,Omicron 21K,0.863343,0.863343,0.863343,0.863343,0.863343,0.863343,0.863343
2022-02-01,South Africa,Omicron 21K,0.8634055,0.8634055,0.8634055,0.8634055,0.8634055,0.8634055,0.8634055
2022-02-02,South Africa,Omicron 21K,0.863474,0.863474,0.863474,0.863474,0.863474,0.863474,0.863474
2022-02-03,South Africa,Omicron 21K,0.8635416,0.8635416,0.8635416,0.8635416,0.8635416,0.8635416,0.8635416
2022-02-04,South Africa,Omicron 21K,0.8636017,0.8636017,0.8636017,0.8636017,0.8636017,0.8636017,0.8636017
2022-02-05,South Africa,Omicron 21K,0.8636513,0.8636513,0.8636513,0.8636513,0.8636513,0.8636513,0.8636513
2022-02-06,South Africa,Omicron 21K,0.86369175,0.86369175,0.86369175,0.86369175,0.86369175,0.86369175,0.86369175
2022-02-07,South Africa,Omicron 21K,0.86372477,0.86372477,0.86372477,0.86372477,0.86372477,0.86372477,0.86372477
2022-02-08,South Africa,Omicron 21K,0.863752,0.863752,0.863752,0.863752,0.863752,0.863752,0.863752
2022-02-09,South Africa,Omicron 21K,0.8637749,0.8637749,0.8637749,0.8637749,0.8637749,0.8637749,0.8637749
2022-02-10,South Africa,Omicron 21K,0.86379534,0.86379534,0.86379534,0.86379534,0.86379534,0.86379534,0.86379534
2022-02-11,South Africa,Omicron 21K,0.8638148,0.8638148,0.8638148,0.8638148,0.8638148,0.8638148,0.8638148
2022-02-12,South Africa,Omicron 21K,0.86383486,0.86383486,0.86383486,0.86383486,0.86383486,0.86383486,0.86383486
2022-02-13,South Africa,Omicron 21K,0.8638573,0.8638573,0.8638573,0.8638573,0.8638573,0.8638573,0.8638573
2022-02-14,South Africa,Omicron 21K,0.8638837,0.8638837,0.8638837,0.8638837,0.8638837,0.8638837,0.8638837
2022-02-15,South Africa,Omicron 21K,0.8639156,0.8639156,0.8639156,0.8639156,0.8639156,0.8639156,0.8639156
2022-02-16,South Africa,Omicron 21K,0.8639543,0.8639543,0.8639543,0.8639543,0.8639543,0.8639543,0.8639543
2022-02-17,South Africa,Omicron 21K,0.86399806,0.86399806,0.86399806,0.86399806,0.86399806,0.86399806,0.86399806
2022-02-18,South Africa,Omicron 21K,0.8640444,0.8640444,0.8640444,0.8640444,0.8640444,0.8640444,0.8640444
2022-02-19,South Africa,Omicron 21K,0.8640908,0.8640908,0.8640908,0.8640908,0.8640908,0.8640908,0.8640908
2022-02-20,South Africa,Omicron 21K,0.8641347,0.8641347,0.8641347,0.8641347,0.8641347,0.8641347,0.8641347
2022-02-21,South Africa,Omicron 21K,0.86417353,0.86417353,0.86417353,0.86417353,0.86417353,0.86417353,0.86417353
2022-02-22,South Africa,Omicron 21K,0.8642049,0.8642049,0.8642049,0.8642049,0.8642049,0.8642049,0.8642049
2022-02-23,South Africa,Omicron 21K,0.864226,0.864226,0.864226,0.864226,0.864226,0.864226,0.864226
2022-02-24,South Africa,Omicron 21K,0.8642345,0.8642345,0.8642345,0.8642345,0.8642345,0.8642345,0.8642345
2022-02-25,South Africa,Omicron 21K,0.8642278,0.8642278,0.8642278,0.8642278,0.8642278,0.8642278,0.8642278
2022-02-26,South Africa,Omicron 21K,0.86420333,0.86420333,0.86420333,0.86420333,0.86420333,0.86420333,0.86420333
2022-02-27,South Africa,Omicron 21K,0.86415863,0.86415863,0.86415863,0.86415863,0.86415863,0.86415863,0.86415863
2022-02-28,South Africa,Omicron 21K,0.86409336,0.86409336,0.86409336,0.86409336,0.86409336,0.86409336,0.86409336
2022-03-01,South Africa,Omicron 21K,0.8640108,0.8640108,0.8640108,0.8640108,0.8640108,0.8640108,0.8640108
2022-03-02,South Africa,Omicron 21K,0.86391443,0.86391443,0.86391443,0.86391443,0.86391443,0.86391443,0.86391443
2022-03-03,South Africa,Omicron 21K,0.8638078,0.8638078,0.8638078,0.8638078,0.8638078,0.8638078,0.8638078
2022-03-04,South Africa,Omicron 21K,0.8636943,0.8636943,0.8636943,0.8636943,0.8636943,0.8636943,0.8636943
2022-03-05,South Africa,Omicron 21K,0.8635775,0.8635775,0.8635775,0.8635775,0.8635775,0.8635775,0.8635775
2022-03-06,South Africa,Omicron 21K,0.8634609,0.8634609,0.8634609,0.8634609,0.8634609,0.8634609,0.8634609
2022-03-07,South Africa,Omicron 21K,0.86334795,0.86334795,0.86334795,0.86334795,0.86334795,0.86334795,0.86334795
2022-03-08,South Africa,Omicron 21K,0.86324215,0.86324215,0.86324215,0.86324215,0.86324215,0.86324215,0.86324215
2022-03-09,South Africa,Omicron 21K,0.8631471,0.8631471,0.8631471,0.8631471,0.8631471,0.8631471,0.8631471
2022-03-10,South Africa,Omicron 21K,0.86306614,0.86306614,0.86306614,0.86306614,0.86306614,0.86306614,0.86306614
2022-03-11,South Africa,Omicron 21K,0.8630024,0.8630024,0.8630024,0.8630024,0.8630024,0.8630024,0.8630024
2022-03-12,South Africa,Omicron 21K,0.8629557,0.8629557,0.8629557,0.8629557,0.8629557,0.8629557,0.8629557
2022-03-13,South Africa,Omicron 21K,0.8629243,0.8629243,0.8629243,0.8629243,0.8629243,0.8629243,0.8629243
2022-03-14,South Africa,Omicron 21K,0.86290634,0.86290634,0.86290634,0.86290634,0.86290634,0.86290634,0.86290634
2022-03-15,South Africa,Omicron 21K,0.86290014,0.86290014,0.86290014,0.86290014,0.86290014,0.86290014,0.86290014
2022-03-16,South Africa,Omicron 21K,0.86290383,0.86290383,0.86290383,0.86290383,0.86290383,0.86290383,0.86290383
2022-03-17,South Africa,Omicron 21K,0.8629157,0.8629157,0.8629157,0.8629157,0.8629157,0.8629157,0.8629157
2022-03-18,South Africa,Omicron 21K,0.862934,0.862934,0.862934,0.862934,0.862934,0.862934,0.862934
2022-03-19,South Africa,Omicron 21K,0.8629569,0.8629569,0.8629569,0.8629569,0.8629569,0.8629569,0.8629569
2022-03-20,South Africa,Omicron 21K,0.8629827,0.8629827,0.8629827,0.8629827,0.8629827,0.8629827,0.8629827
2022-03-21,South Africa,Omicron 21K,0.8630096,0.8630096,0.8630096,0.8630096,0.8630096,0.8630096,0.8630096
2022-03-22,South Africa,Omicron 21K,0.8630358,0.8630358,0.8630358,0.8630358,0.8630358,0.8630358,0.8630358
2022-03-23,South Africa,Omicron 21K,0.86305994,0.86305994,0.86305994,0.86305994,0.86305994,0.86305994,0.86305994
2022-03-24,South Africa,Omicron 21K,0.86308163,0.86308163,0.86308163,0.86308163,0.86308163,0.86308163,0.86308163
2022-03-25,South Africa,Omicron 21K,0.8631005,0.8631005,0.8631005,0.8631005,0.8631005,0.8631005,0.8631005
2022-03-26,South Africa,Omicron 21K,0.86311626,0.86311626,0.86311626,0.86311626,0.86311626,0.86311626,0.86311626
2022-03-27,South Africa,Omicron 21K,0.86312854,0.86312854,0.86312854,0.86312854,0.86312854,0.86312854,0.86312854
2022-03-28,South Africa,Omicron 21K,0.8631369,0.8631369,0.8631369,0.8631369,0.8631369,0.8631369,0.8631369
2022-03-29,South Africa,Omicron 21K,0.8631412,0.8631412,0.8631412,0.8631412,0.8631412,0.8631412,0.8631412
2022-03-30,South Africa,Omicron 21K,0.86314094,0.86314094,0.86314094,0.86314094,0.86314094,0.86314094,0.86314094
2022-03-31,South Africa,Omicron 21K,0.8631358,0.8631358,0.8631358,0.8631358,0.8631358,0.8631358,0.8631358
2022-04-01,South Africa,Omicron 21K,0.86312556,0.86312556,0.86312556,0.86312556,0.86312556,0.86312556,0.86312556
2022-04-02,South Africa,Omicron 21K,0.86310977,0.86310977,0.86310977,0.86310977,0.86310977,0.86310977,0.86310977
2022-04-03,South Africa,Omicron 21K,0.8630882,0.8630882,0.8630882,0.8630882,0.8630882,0.8630882,0.8630882
2022-04-04,South Africa,Omicron 21K,0.8630614,0.8630614,0.8630614,0.8630614,0.8630614,0.8630614,0.8630614
2022-04-05,South Africa,Omicron 21K,0.8630308,0.8630308,0.8630308,0.8630308,0.8630308,0.8630308,0.8630308
2022-04-06,South Africa,Omicron 21K,0.8629973,0.8629973,0.8629973,0.8629973,0.8629973,0.8629973,0.8629973
2022-04-07,South Africa,Omicron 21K,0.86296237,0.86296237,0.86296237,0.86296237,0.86296237,0.86296237,0.86296237
2022-04-08,South Africa,Omicron 21K,0.8629271,0.8629271,0.8629271,0.8629271,0.8629271,0.8629271,0.8629271
2022-04-09,South Africa,Omicron 21K,0.8628926,0.8628926,0.8628926,0.8628926,0.8628926,0.8628926,0.8628926
